	m6	Whl2l3	Whl1l3	Whl1l2
0	0.1	1.3902022568555413655164386210490177368896978873071963459404724592487299581035656e-46	4.3540532054626889419602106661094084426876418910292159552515154266494763853924414e-44	5.3024641106336220252629449973864168553700319048463868277763542316713858193381206e-48
1	0.12033778407775895498239640770431763786298404250453128277430639102473632896813104	2.0131993563931998018120911147030479053506800441399642704144166629466626012631069e-46	6.3052308843598631491447703606570055410218592953406559619623521831720111814319561e-44	7.6785864261327947328683365047963761356838406671033516017812479124919578633594725e-48
2	0.1448118227674533666352114050535057466308525408301496112587129039799224385673547	2.9153788249758749172273515091882518719131407802032676528575328289448154135655335e-46	9.1307815491542141626748054293817768476583500809747341429157213032483679799277199e-44	1.1119486399864202036133391747079780446120536330286838475702974481262566134993429e-47
3	0.17426333860096501471714050368858326275344393605772895444378037149488747271744414	4.2218476004548886627192084138044731002970937907458513476550224407444090711628313e-46	1.3222527854326975501965221820941214463576454464574729237556392446040970677161472e-43	1.6102304579540840380889387493987098430070712370466497469554897587567369178104002e-47
4	0.20970464013232325233942615801676567577466555516317545286211947428272059349197792	6.1137732287915982494359214117269176272046602013808375770654038680751016725482617e-46	1.9147868933981764227856308909876601228207211063360748914286144964308357197743309e-43	2.3317991099172855985434630573543230329556094219574032427267228411784595393412697e-47
5	0.25235391704347660629848322524084291725319790219501911106406412803806382359604405	8.8535025594285653454536613762607976975165644568086754593470970777055051960530015e-46	2.7728450040230789063827254865594024605675539151828506858831788424615305768175192e-43	3.3767111749576587217089874754278683114613835979525438898186561886982535466489858e-47
6	0.30367711180354583332815008889520565909335908898849948054461381899839518069084088	1.2820933070766693316777214011760942755927229009155033425629983998325239553835925e-45	4.0154074767587006100734318050266204867988101525379497081571997062520541073829593e-43	4.8898580500324607124144883484536497325987489937795321342573138088051993502568625e-47
7	0.365438307095725637910590077455332094869746999496986712366473307851666037465686	1.8566175653527782190543586153437525401016926659417141273254181251998360862958425e-45	5.8147641473848707578647140419308894183056011661694686524618554075625064061114859e-43	7.0810548548594907207475507641028876208788706257424991015551314041078635539028912e-47
8	0.43976036093027200008446483656661370205864648958772811970946895253599695009909159	2.6885801966778814709256618372925446940758270675008288006265560859147136256548125e-45	8.4203946221980519574765739108453314284788649110341214943129165413191749221243332e-43	1.0254129126125950360969907168809418491635238594370591507851608638687321082585207e-46
9	0.52919787359584417116031727749057727682839012227009734171767126635992309031477458	3.8933230325406805566728037698843637818379078457300198350713104330889186903852896e-45	1.2193540822182739042578154557618659918289416269360604377213198305049629016146534e-42	1.484903985397702171475765876562679772072712747643103406601345564841436531148879e-46
