	m6	One no mni	One with mni	Two	Total
0	0.1	(0.003200000000000000153349555276349747146020133730506764649270947410219545904723651745501287825896450368 + 0.0j)	(0.003200000000000000153349555276349747149244907670195417045157718205299090211971569937075826617439985463 - 2.1539034394299999135370558354560482617189320478895693353452150465902570976687687267267093436462478e-49j)	(0.003200000000000000153349555276349747151616855202814352547401342384243116802686514853781004761098756504 + 4.361225196747710278729035629298013949104625248733049840744402344275614318092019532820320866865592627e-49j)	(0.003200000000000000153349555276349747149110466576002409349991739614883283174802422655089914961181510693 + 2.116028767258234040520097740074583376595161479103931413023417416991483463799118099049460534208711936e-47j)
1	0.1450828778495939676450496875532404637842750763565456327664781458439067500929779258399989403874770618	(0.00320000000000000015334955527634974714602672515134918482024304527084292633918142560859987714001302759 + 0.0j)	(0.003200000000000000153349555276349747152814509488559062465213870045715739586968370324804675560918800714 - 4.45457132406238788805651580688613875337878546830092537797001022708239305186053448884942056432647035e-49j)	(0.003200000000000000153349555276349747157807334731748100005624819261611326014311603690293287811523826111 + 9.335291078114460811526911779060391318393486901954886807612228750982026143637123985681492652056502419e-49j)	(0.003200000000000000153349555276349747152532052298712435084854846636191044323463138788740968686518373187 + 4.157145332207017612629704415785964976435932790739166121863459050876852397059992139892597143042053104e-47j)
2	0.2104904144512020393738735681520816965429914894974197035470121605013537751434316457253980879178086851	(0.003200000000000000153349555276349747146040544625439507340437938567987859974435366722920070001213997198 + 0.0j)	(0.00320000000000000015334955527634974716032785183231901201531620169849634467079594182307940235790328526 - 9.025722606981964658316142608179482346868158891846880480277658511653584064255139323922163894835922417e-49j)	(0.003200000000000000153349555276349747170837696490644398978637547727614231984690755495965171545210144241 + 2.033818094821913714962497027327272935747111559610710381984071325515003357162019816357197242224431718e-48j)	(0.003200000000000000153349555276349747159734451750663840588808005168870083439709976096059288738399936075 + 8.127212017318081987813320774363363620268070180115760588277579660746453392479889627955934378990873467e-47j)
3	0.3053855508833415434547650052659899378127622150670818571092639770482118016953522259196935266457518352	(0.003200000000000000153349555276349747146069513934619837749399647683032838934937006201300466788698490859 + 0.0j)	(0.003200000000000000153349555276349747176141371559395313726346762277882078197050288588077440396173963923 - 1.744507896207254230052091060285782829595692023839829572748726435977758872392444334155820057146342942e-48j)	(0.003200000000000000153349555276349747198265340063234981025258039556763009388002911787715907017709662346 + 4.585981191238020532783309669045778540935615936631884355485443757773085450673796874635902937284989804e-48j)	(0.003200000000000000153349555276349747174894866195406226012426134962343885482912798668550043442592314802 + 1.580299359839055263991906684894009938316468506067014166691978785460298675409623221281576752010113998e-46j)
4	0.4430621457583880433448517662312033623094418695790035015567325677976785801757453850618821160902337659	(0.003200000000000000153349555276349747146130223996989947628177608011231428857955202403791946614748742347 + 0.0j)	(0.003200000000000000153349555276349747209421815886518425520340292622393125449994306146575006308837600798 - 2.98428577605681042945180143026901927582918951699946040966430106595185191635255430134519451181598568e-48j)	(0.003200000000000000153349555276349747255997816900305326710794715588450151671433033013683276310626191906 + 1.100449119501828148500594947767141312960543056134869283135418940209678163613786417847614370944227177e-47j)	(0.003200000000000000153349555276349747206803943226694459949860793945593995884027750081925883760609558607 + 3.0553085863031161091107248927012798762895281503897472823700648694235950979416460256912760381192833e-46j)
5	0.6428073117284321053907001734219148406401764476895709808369168213788009846828420631367012561290230368	(0.003200000000000000153349555276349747146257383512613752983236727826191008365981498000501782123974485301 + 0.0j)	(0.00320000000000000015334955527634974727945165372374719540507329938018462638977471230067262371425568435 - 3.237374634603141162223537639535860896223215498166616140265875378616253225689861455789419908764772103e-48j)	(0.00320000000000000015334955527634974737751877537722138773153599943799378485984489772968464678850230288 + 2.915174167384642165601720509314356049145986293426181057900451205479329982723775940203466566465661611e-47j)	(0.003200000000000000153349555276349747273955898233176894197853642956679666565347705853166586859419231067 + 5.875609235888753457569750293134394064209881805307747772132366675130118116910610693134058892462298412e-46j)
6	0.9326033468832198695185690490086095902176893632953285582506749439973881990595710278390615704339458928	(0.003200000000000000153349555276349747146523453779825938123722733988766282697481127882322098959695003326 + 0.0j)	(0.003200000000000000153349555276349747426768043434343285285377005325362141134205658229066176064640102263 + 6.653139040889850422687154754313621218321763311216125747980817612384678568708783998670673364894065366e-48j)	(0.003200000000000000153349555276349747633307100712620589921184303399271034431750680431216363162190724534 + 8.789608482068484691756654353388641056152495612394768606906706930874966730724801729463725872092630791e-47j)	(0.003200000000000000153349555276349747415239512416255948249634034197437960203284034448741276521786092454 + 1.126465193995155501110629540873783198391986419182429313064606768005851041221996662481362174128111942e-45j)
7	1.353047774579806994108859547489538461707890024078268485991628037964950808516049981630065767711017405	(0.003200000000000000153349555276349747147079130825884473522106958335294805046048343100828276697261121651 + 0.0j)	(0.003200000000000000153349555276349747736498049994788199122825218899855579262119527122052461643720690496 + 7.351724903615793268847584466830161986496346075082148852303841567226589570918664203839690210107161054e-47j)	(0.003200000000000000153349555276349748171709739968682739237069420651298959959700878601309456310453435847 + 3.02584102268359683509567661197796638653514130545554436341281444758541542744969582794915998090794293e-46j)	(0.003200000000000000153349555276349747712349185274777176793040809074638626960780629339998678673242057469 + 2.168165688433239891684209447137065372369973791143432859473873203145671834205462226372036909248170041e-45j)
8	1.963040650040270920285984207953038166253412846035027681575896693716236399795955006611561711320341409	(0.003200000000000000153349555276349747148235607569543935305281418375892449840360181832853219829953017672 + 0.0j)	(0.003200000000000000153349555276349748387049522473050872425489668099587453588505125641941808257515057848 + 4.171944008975109433925815654140245044788035203670980558341240153405071149966411122822904429840251334e-46j)	(0.00320000000000000015334955527634974930496364926378800528292421448691566564508744559826120232575264453 + 1.157823681823715162676053873995473952286476656396644668449846820361323257274622745887148863893816624e-45j)	(0.003200000000000000153349555276349748336599410481886716861840492358108935548778209203143601874533262656 + 4.264899602529059932567676007126296762654855161005020834156484781760196913342597726499473799327672357e-45j)
9	2.848035868435801654907594905496899699663644642540030312115825963062421353885821873730439679631648595	(0.00320000000000000015334955527634974715062734348557933943554128531577221653873728292689510247006179534 + 0.0j)	(0.003200000000000000153349555276349749750998492419855403032280557887972520998460858494121059786585945999 + 2.031154357286124539141085239167684806760346706013067044723757855344731550796307050492021281292094613e-45j)	(0.003200000000000000153349555276349751690213966208000111203188004712913146085512690044658608535984352354 + 4.744775639371970057364275665587016607888261149707809989353214789225602121105698293912152395345365055e-45j)	(0.003200000000000000153349555276349749646113892894179984752698983760978512839247852348825179344578604213 + 8.908163003693589316003595728361624654024005931380508615639823260526644731877594247688428618464917738e-45j)
