	m6	Whl2l3	Whl1l3	Whl1l2
0	0.0000000001	(4.2586258382131355681794487065287805511376933208996774235650997225539154513617998e-58 + 9.4237352367209956158847856470144568820617695487808887478941543001822182352748137e-65j)	(1.6418534329990205521148734867741459170016392127084593504007409270491176777537618e-59 + 3.4355937798092457174075910265137527156564392206576809851512383312271697973535984e-70j)	(8.2040708376690540363303392125290811776256398939479105043232036399397688440687723e-62 - 7.6453752119265510066618323597704093471787766995755230085536507050380563886164795e-73j)
1	0.00000000011222773562085078591615155244300628084626992413280747242901576764119897739408158	(8.4984943707966002675863982309904625878624950043734557906556414841923308974686612e-58 + 2.2681943303289998454728764094727511775542281797657202433981769242040457719113553e-64j)	(3.2738527209645101532228755921178963990102948806717732825650803512716853559780697e-59 + 4.8768750972889775822589587787131414691341731372636553264479069304305479011680995e-70j)	(1.8296012179419311929077177194837585705907090086615491667201320961853200324996278e-61 - 2.5735419694375301053622865120290251206756250107761945396807883636206507593749508e-73j)
2	0.00000000012595064642583580338134875667527669846053415058498424765425396465788522683507248	(1.6922441723726788884697628083663088677207726151327629933442489400141647620283383e-57 + 8.2902842606045599897733373894918099405510369672316771750859409453406050082449167e-65j)	(9.4485227079684961867667899421675736231100774409706294714729647966915700340664752e-59 - 1.899963834410615009526138419160456588224192977850576957922027795532272066155675e-70j)	(2.3665038601830969718478024408508088329666031253083210906841895543044900166995551e-61 + 1.3468684187742295545157166558227242611068664504956748126211075860263886736527303e-72j)
3	0.00000000014135155848353955515521595271378115915405833365110591402934393024752544796116287	(1.0491267356147290579473586145787083040442340104035237975055252722098339392741231e-59 + 1.9017238051736942507980400023446570629061141940671303372912067363573740836066239e-64j)	(1.5206675597088622114549146888077662273925502795301053830911215255941195289353077e-59 + 1.5101615476091276883022671623398239562264026223565391259836750368460204561162984e-69j)	(4.6154670385071257291326774771220577100479866433932547171225551849014286763868203e-62 - 1.6740996605082106665948214416549086234343822499878510519261003113005670715681126e-72j)
4	0.00000000015863565335085905232955851950534541988865964032520329713736163003803828943225081	(4.1102960074894992352988627091660797202233390434996062426666491971715281263960348e-57 - 1.0872938904824801475890536438248386163589524203983856289839853394898111885879935e-64j)	(2.4942004431332101585426759728147681536461222288414242456117062706621041238188036e-58 - 3.7711261705857746750983404219941825990955816156674774640392497249937622667186654e-70j)	(5.3836538856478223553777594187853708913244937660302052178925916310606862196590099e-61 + 6.6989825735952075732545495315523412878445604856140841767693749954399436281816066e-73j)
5	0.00000000017803320164301141804395849347400834530616178276118547949736540812133627824132132	(1.6103293685317014674235271851080269534546976760236013381432933985668846055225954e-57 + 2.3013869096932590380011569135239957887176235617311774384456799373656899441194798e-64j)	(6.4738107703605547073845672942336281917787256392838954441343107110198238707684039e-59 + 1.4244346802411335063189269944445519833352538497161010318873567740109946115215138e-69j)	(5.6506737457911198024313566109275124965300768147604570374475950936614973096887384e-61 - 3.6978342716990278400472668977914150005645541452007483518877047650317265289607666e-72j)
6	0.00000000019980263085725503185443914884798720267281775075257133722523103377587770891309259	(1.8105181948135101858252446952533850877745377223613830231182256902273847292187703e-56 + 8.3331713767449549121896750442402418990574018198545324770396014301044114075354135e-65j)	(8.8962523348450794792140053173379003964882771634840266953444976635534646057903697e-58 - 6.9702641616074922382366815718358983184760303326967462138010981158313717539972752e-70j)	(2.962113416433823975115477522008825245846390189918343358504958415313502273111125e-60 - 2.6692560486643487810241855590193998691234532414576894069448940650443560084795733e-72j)
7	0.00000000022423396832198460938218055284637122654587566920992254986624256218002839990087204	(4.3756783956409013263157704897713343201607215430683047558632049593378497687003364e-56 - 3.9908159093460711183462757798500940969179691940623727204130007877650024522089022e-64j)	(1.9128523610223318523798166302824588041528938004947422846619101987700464353633682e-57 + 1.7294767020294836788256675486540651187417617426332804117142882693114177923307835e-69j)	(4.6624422937203048652715340946603724314241062683258458278702977059430823551563205e-60 + 6.0348605962574835506034142358382394927635842834389905362380808925633581054443328e-72j)
8	0.00000000025165270514053918877623448488483298922140242363376786287854012161974340682603834	(3.4937231393801758965581703557638081034546741883346256440666064614097130943927808e-56 + 9.8569251048888103794023430406574310782906350950843728358845480030581754701015924e-65j)	(2.077015151523158090070277557571909232336865697017473046882263847113473466355329e-57 - 4.5893901294890787796623745182886534339208376245358955583347455255547124316758946e-70j)	(4.5650572121057668831597797622946687693820607545459133115074254507291421993944064e-60 - 1.5364017823959835565234414949946897978534992285201767862374599781183065518508684e-72j)
9	0.00000000028242413260784349599523525233491996401798066424170014477434664519635777470588315	(3.4118892293664032994984047315607123961334554817265816753510602206602291473515217e-56 + 6.7400855381822749882225438995682545165567241176290838527159923247481068536029296e-65j)	(2.0505745580466103534823890223339873384781279100821051824346917572234706173299846e-57 - 3.100502631084085319122759439381652013660290347431550998827902998610382374177347e-70j)	(4.1814849500001741429236279285975867639987043315676342905775165572460786976622918e-60 - 9.3165908856693186765352668699663768428073625892510036202889147226162635422108013e-73j)
10	0.00000000031695820887261163481293862343532982476802668084482837363476233002883194841822801	(3.0690697117127300835991264713933803699299748818178706958230204723186672851178339e-56 + 4.3244208721968540764118732393436248669868627756772233482331599735732961894884822e-65j)	(1.9233286349220557639115492972749333129806405744230920206325731525161380376765239e-57 - 2.0360731719965641366958935894532453651526719500855936936587777041266335337537237e-70j)	(3.5520977159384609166103786009839381653705045677537180404857840635981965543670701e-60 - 5.0130680675581296158967693364211266556225447022330229318361833532568935153098185e-73j)
11	0.00000000035571502068213860390839903994109054551788276392039801030402136019045065053534443	(2.440914156210537681335107522289406922808555533173579987808494032740339622227149e-56 + 1.9734834907786547989774361604042669005274029734409918976760542527054477280376888e-65j)	(1.6347010146649596145818364159318431425471802486099863104863322183904149621885027e-57 - 9.7452107860956286825027069310892698009674522347390762677282156919430078915295545e-71j)	(2.6922826621084624915107955315362990665432243995143381171681015286435195279641285e-60 - 1.4419918823543676169243595796777084568538417410646149437838042364874955731283855e-73j)
12	0.00000000039921091297480520625387627869334106397400058735948623090341495179009473943615496	(1.6335882518516414737512084227685888293256183095739700522651234943974506461212719e-56 + 1.3802143799249424784440084480113227627038212476122201876765987167750804233636771e-66j)	(1.1853253697215992646731423234605954085193099762896924852793065031332781984977015e-57 - 1.3364981605071437883396097316412594274377129079228234618943161750967490043970733e-72j)	(1.9666072486396912943149390246433826494094921272906376762009944176691132179782369e-60 + 3.7505575202815809913948626315823273974368699979573040509380872004741481173180316e-75j)
13	0.00000000044802536798294909430792564926846092549312994573246876469403437229144266020676736	(8.9317223074981524535952015746822522430345668763838097780787555631987567649392416e-57 - 1.5828277715873505470941480498250894596361086670150384244363235141932293372591558e-66j)	(6.5479910804995167768587334683914183632461243488270709653575315827384058368676279e-58 + 1.3318858059404150932468666017124694166340185154566076104517645047053347620352471e-72j)	(1.9322657196317393399613904455256323690829010354481100751470011060024324825161507e-60 - 7.7794899754971365694176890655308285749965685768492523975864480818816970713845403e-77j)
14	0.00000000050280872549424797297066836393346421956164598553599062317495266502964427344097618	(8.2584485457500982620323600052271223972082259421684935382468781194717665173294573e-57 - 3.8443956782365132552037621436108142005382771146184178399519278678870339706180713e-66j)	(3.6518476005516926208762416884846719028443307171672352507877030614229668987370517e-58 - 3.2248500699101110115899316477204582586609395285698278975925078728211848507603203e-73j)	(3.3727369281142702318928432146813320738933464907015563628233396763209934954102411e-60 - 1.228989457561956990207612276956719603977441106315977718104584072485749586536567e-76j)
15	0.00000000056429084712625397923441693367351286755894900288358515611190216974918209627383828	(1.3325748100041271817234140938975027929829660465184583309180924223509891015256786e-56 - 6.1665245098056864435639658216365871281133277497479765607627445912200478487067807e-66j)	(2.5619839462120450921439200877297157813875889520365350012599085576605590580310239e-58 - 1.8890952049475485282358525592550373662071774942293799584369394196253491082094766e-72j)	(6.213122507132115637081484621480670590610345826541998578059140354063112990048314e-60 - 1.7180337227907643538398751264144058065333547824455639523174334492647617525751779e-76j)
16	0.00000000063329084004551159047841359252981743430768906767986536160186068718062423738149838	(2.4088250813364737016839000020576712350511067913474604410705071533041009142792833e-56 - 8.7276177646874972786942298425970491935619590681899511320038857045173017339918893e-66j)	(3.0282136900199115905759959002106590088109190084190077970885221367647159859622898e-58 - 3.508120055872321132855305643613604868736886928171381243363812329473306205785946e-72j)	(1.0574142764722815405979686646054558722255369385048893258486111048506628723538207e-59 - 2.2789188326487277402814609238257888628652405882967285469578557438434613209600415e-76j)
17	0.00000000071072796967734178471395616813586949086029673994717964482391640443962315182742734	(4.1218331063903130509641836078461875186532902832798584402752495030040681679504254e-56 - 1.1684621640966269968043728957642893851947810067949540213009960116809577149307825e-65j)	(5.0571887303148140575758589267510991331279470128739648461719539663216756439011389e-58 - 5.2891557088504522386482697511223932848209339040271469950745304912213678613043004e-72j)	(1.6731925440885755792826190520773654438904337222215949666376620053292585831282882e-59 - 2.9441305463983666467032659454549820110104844053361647965860414067592994536252093e-76j)
18	0.00000000079763390679292767866073300176691062497921373420570236465234675869913458308121983	(6.5962094050170282610252154825507701243713279907231343207925803727701918413571503e-56 - 1.5198039821236875284208638793995460093319008264639030948858733136872158062266737e-65j)	(8.8335132905130436493750654933642596267462266290663607766305935009856749149106215e-58 - 7.3335060283091170838709266200477134436904657308522490657247137890915751373066913e-72j)	(2.5102055457407621692064453305084980812246671251925474516223615194295416386667169e-59 - 3.749029033503531518002317389177872461452960207207102532715530146121446413609822e-76j)
19	0.00000000089516647213783025300661421962316076165247456060289809982022551621699459845854245	(1.0012734094519274647191725840533346433633186104157155052705792793900183822877212e-55 - 1.9448139107958707603608239487568230378671924524497168693606484913036227544361633e-65j)	(1.4694234184503491694704642979080978271304021650275957069088575665654704468443342e-57 - 9.7471715633268211350070656502592641214930120972125881103678132112971057489781226e-72j)	(3.6248700228932541277893233645778303979438945928229907834741196235758121768255027e-59 - 4.7348745358561400970714942314440277414811037523545156185232217997614780331579128e-76j)
20	0.0000000010046250617173410486196994780700724803095241382598130638987566943674260308057058	(1.4614601236515544371782363164652064327765970688450309859899764422659309435202156e-55 - 2.4648249196765395380282957604327025727622310038075932590514293314582354741574128e-65j)	(2.3130750371095502081660976890855434632095329946830781335237240025210558228855366e-57 - 1.2650190109910513852931251495450705531983736866524418363368492672318272038397015e-71j)	(5.0909394687879974558096275305291412753298070788592460753757986729148713551992324e-59 - 5.9515728039620742531148050004955128178347465576687862204467166448478107952623468e-76j)
21	0.0000000011274679582449465522738719686824299241746355618104106786864299376269084130082079	(2.0719127009112176624246340122358601689340902879896329036602176566473799594900515e-55 - 3.1057948913667305146430669589243845652255769494389083525429532674787222134577069e-65j)	(3.4808162163222175443043997699124792099918586564450621528171268910497248743545065e-57 - 1.6184878471525906389973662328673547195293871355465881624388323913878976496725324e-71j)	(7.0032800227902556658066316604683460308951478960517623174458706614173746962924368e-59 - 7.4605997542879094852897242006622731395935793608631417414260859724916538083328648e-76j)
22	0.0000000012653317593889429472940956026335135841051138524924724968990086732972920624481391	(2.8734531344903964656160650490812510604525003663698479545875016697601106901119339e-55 - 3.8997771148858740360654584038593914243164772033487488576438513980372195689846318e-65j)	(5.0598644240877510375620626389232845553100493369176435495914256051008891034983049e-57 - 2.0524330956499466030484673066144396225279531771424238337265107873751169564175973e-71j)	(9.4829711380264666254897668096499228032289154393767172066640826803423342223882851e-59 - 9.3384007295673047647169794912013679802850927879605591464678960041819698915570157e-76j)
23	0.0000000014200531816536826828033273322439271496241669260515241408462501170851309168370356	(3.9182220011060309760885892820646139979573200747837852555092631643077375881353208e-55 - 4.8866651245174166116960489839384909123783051395661026128578605957137246510344699e-65j)	(7.1628548030892235547942185325486613699308172949106928096130290880425117099072503e-57 - 2.588206269681359241985550587834681060055020740798630287511677895334133371045669e-71j)	(1.2683923876213821706610566631376354152471465685778421771329531579431576276628287e-58 - 1.168051168144187578609837653064460465281651969527673206365631693649338922560258e-75j)
24	0.0000000015936935303817749577216129564433198131702689581068096448423982314693306310145968	(5.2725533719752788370842837433786341522132496726173403281292309610908436168641431e-55 - 6.1163268982709301307315783481864596552849467143170487483427652179410192178084028e-65j)	(9.9340742497763186120189450994316124902359115120865855201322549327762276711256446e-57 - 3.2523529029634224280291899855426204012798456782353073966875329885563739101578966e-71j)	(1.6801333224383818084934234709028898798495656921959212104209209401631639854286714e-58 - 1.4606654970562414490763633610385587469960298972729094047759193791905895541215884e-75j)
25	0.0000000017885661618834616963182851682073117772131046937534762817326174497778285097220937	(7.0206393958288773618082639366267263289034765191698567045782136179238189894718762e-55 - 7.6512536383654835287357140281307804556884007358292718762626197628669786532818777e-65j)	(1.3557502881603464323610460292682143771502827599917805957304987614117864051501686e-56 - 4.0780247926289074371463739192502206651869863572071904652826108661137691202956588e-71j)	(2.2082399113746063256823032471318259827481165035836556591602553091143182059127661e-58 - 1.8267098669891509445104933964761935177412773857627883178021306137094993853512477e-75j)
26	0.0000000020072673035625694740544092204520228736884746428410918149945809767021532197218254	(9.2691756846269337212977681973015272857695955124320180566634605084646370842289776e-55 - 9.569870522029968889157190793058253053174486039697589815060139475803948670129731e-65j)	(1.8267068926269260697209323991942042011913542012905629397776791598841318228620744e-56 - 5.1067338963085178540504589687332472783558188020458558278588247611954841810615158e-71j)	(2.8839882382577002222657540603093493716490698562946521995547451260455857707429646e-58 - 2.2850627786578133671648224601826723950659671174869926051383204811219734775461718e-75j)
27	0.0000000022527106426459808581388322448509847608947039914122696553200955581432742147254422	(1.2153234269216029905899496542699036942275403331782360975376938827495981062773909e-54 - 1.1970689382404282373514433670049131682280567765220072720331150185371939282098452e-64j)	(2.4359655203418345155593593158982689837751150591965332253154867919873232814000034e-56 - 6.3905447267990513431819872899004292246351141156252035708932131074139257769522898e-71j)	(3.7469219070323993872052062400079995345697977910052510394364186543977949581046454e-58 - 2.8594557757790490512425100255322706615329846179063236206663619684448086297540006e-75j)
28	0.000000002528166144331500114907135037200567838013648934245204300806226218416043758008973	(1.5843678373041805817570808249747831011901041902003395859591795297226492457833178e-54 - 1.497752673572477518069938040334629741025048810150221783136402713978402700017965e-64j)	(3.2211550306635519836148404401747129577864608773833304013237846515172478361580858e-56 - 7.9948240088941085266515019974542003010230825827305962230791584725440478144984485e-71j)	(4.8470109965533316490686065269948401170696332036670371602938991162247814606932522e-58 - 3.5797327413428627234226588747192068282365577371807889518577317200920355216380203e-75j)
29	0.0000000028373036165162128468308598509499877284319748774004138175539338948218523811110591	(2.0556516854716069484656837419989453380238264173879679893134923760170398205053818e-54 - 1.8746066626341748180514985553958007326255957541188091335931099094416102729206487e-64j)	(4.2299226543788000812345399346373079251850525676816161992520383719925561884177875e-56 - 1.0001695282283769109135262263284667566018012177852335379631406735785321202499308e-70j)	(6.2473743753796551231620524055064028216938311398183642060718921616590183315700751e-58 - 4.4834345132310503180123886255221484624295496691015866690179645154936698151359474e-75j)
30	0.0000000031842416015046533877455915338006337729794778220089420857432283047296987857674485	(2.6564700700287618741412147383981162377722384797300604471019766065550813324672037e-54 - 2.3472119106080193714545261801831935834736359002131866111214193648970133377133585e-64j)	(5.5225561229142353677141712938401336935836857196135801995239465625367635367560893e-56 - 1.2514383295745611523432874678011736954014113665357893738250979431264472877201149e-70j)	(8.0277114907462906372405114124286989731855563943983255058814933478240551841615043e-58 - 5.6177934989084227377390622842100433657300158464359972822860173283414234577306026e-75j)
31	0.0000000035736022460657874250783361758047371955919677226857288299371612170579277022018334	(3.4212995167889474223758899980350672202247491522954381855279834252539302280437299e-54 - 2.9402015453713292538370081941816495177969461155598252004096441656481334302372701e-64j)	(7.1752911348919391559959143399048596324493701012471369459903150465172150379709363e-56 - 1.5662680270300476830983372639925757107644339331535201538161263724149748056393845e-70j)	(1.0288627811727472486169132988772939492663227088998151219676883373493539946808108e-57 - 7.0422448310775158219331529201144380174561310224504505774157187316277901999657717e-75j)
