m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(0.00000000000000000000000041371358781811150735111281738214690347990150096642854169729160583033094564580926 + 0.0j)	(-0.00000000000000000000000047995106003669954755273829876025676180238800750434552248248804896031653466899096 + 0.0j)	(0.00000000000000000000000052506995192461801114140188972420893274428280862903039429027480438018025384584406 + 0.0j)	(0.00000000000000000000000066150644784408625663741932885950899658243624376627592685784540747284172069637569 + 0.0j)	(0.00000000000000000000000028671762596101937358948542125008161851988271455275575253088080399644032310228626 + 0.0j)	(-0.0000000000000000000000032715884028502410060529164170333498512822939906146720318755698417193395172448333 + 0.0j)	(-0.00000000000000000000000028671795623643291598345443317560390014724127044576066111923975360456122358065379 + 0.0j)	(0.0000000000000000000000010427959768808573019821234055724885443361685413979141459588767868092961758194517 + 0.0j)	(0.0000000000000000000000022633463360457671489460954258151737880586851188649935279870890419971521868620674 - 0.0000000000000000000000013582428466062379939413146810927448060784698419825260699433740441984842909880016j)	(-0.00000000000000000000000019229227599511180765001831944565212314781416925080709039116840268777779144141189 + 0.0000000000000000000000031578816179895754042049167392440533801252700349696296428442838521610059569184453j)
0.12033778407775895498239640770431763786298404250453128277430639102473632896813104	(0.00000000000000000000000049784897819392631823827252780554056376393757185206571316801826358508453363813686 + 0.0j)	(-0.00000000000000000000000057755989523585848661157042456126926325009123785418454644234380848678305462529669 + 0.0j)	(0.00000000000000000000000063185548006677929303934782523905332327507270981522191107783257524956767677443901 + 0.0j)	(0.00000000000000000000000079603633310592117998013188089083779081632385598922361350766235133498870403220698 + 0.0j)	(0.00000000000000000000000034502725749389835098995310567662060314501962459282304538294980588226983381742228 + 0.0j)	(-0.0000000000000000000000039369620658751078914975556552840974132214461001479929954324788733154126699806947 + 0.0j)	(-0.00000000000000000000000034502765493239632532254249527038915228536101871720131054743099676589673448783406 + 0.0j)	(0.0000000000000000000000012548800570575822799657550980013445073279346555378327138186829092542202996673301 + 0.0j)	(0.0000000000000000000000027236607728713601135556555052981009900980978607138313421425190842502541438092951 - 0.0000000000000000000000016344795387422978708721408009785142131159905853837493380446401581060372174845188j)	(-0.00000000000000000000000023140035230664640070031959040300595508453420452282501161465851965229849479345306 + 0.0000000000000000000000038001243247516134506596127758683264459701378622811766727226207383687534991333091j)
0.1448118227674533666352114050535057466308525408301496112587129039799224385673547	(0.00000000000000000000000059909236157454536709706924349766891148630804025758455988328241119886543060781005 + 0.0j)	(-0.0000000000000000000000006950184287968636225120215144588974177785949059140610888735944645606179878696301 + 0.0j)	(0.0000000000000000000000007603576018271119736996477157101022492066405280461035578705252252370019002050913 + 0.0j)	(0.00000000000000000000000095792258911011673861536392831211814303688683528817560836363361653196038603738641 + 0.0j)	(0.00000000000000000000000041519414495068972033605716272615599849368159960019628773222293058200298022273792 + 0.0j)	(-0.0000000000000000000000047376614855990259919235158688405288264913948028244966731224559913607695856209316 + 0.0j)	(-0.00000000000000000000000041519462320657113083626692958713377043859305809878556991259742707463632706163632 + 0.0j)	(0.0000000000000000000000015100990491805542881592999910300984937620037013746763109276310346674339199821917 + 0.0j)	(0.0000000000000000000000032775929253091882232661741823734554435397119697009955280772631453282555375238675 - 0.0000000000000000000000019668967971429577883965583364268375398724322400027068991796580765422897333975461j)	(-0.00000000000000000000000027846221034811067571541923552934863514304568995277016942717765816975020442242594 + 0.0000000000000000000000045729846402885665274075592937708578924019746082327680395166213474412597324564788j)
0.17426333860096501471714050368858326275344393605772895444378037149488747271744414	(0.00000000000000000000000072092089082974765660377002536453341457042345576248833440200401593007909279683777 + 0.0j)	(-0.00000000000000000000000083636243216336950193673358946926731000121762918973843011852422741167484158184553 + 0.0j)	(0.00000000000000000000000091499219470204228713888522951575697041055358329368408293558095280770942235944832 + 0.0j)	(0.000000000000000000000001152726150615240522974211497285441102217691673076890806410736078843864135661901 + 0.0j)	(0.00000000000000000000000049962868157116328439050645469233600950122708265301811384621905434930185411944936 + 0.0j)	(-0.0000000000000000000000057012113170074109051890685395288256892437737694907666444000336373061987367366134 + 0.0j)	(-0.00000000000000000000000049962925707220944820138201328069185775297202999378511987949254605693029640259745 + 0.0j)	(0.0000000000000000000000018172268067519550815094633407255988205227420963343651141669888675305576543166067 + 0.0j)	(0.0000000000000000000000039441825320495140432316456608727886355080909909649268072564383505630011070108261 - 0.0000000000000000000000023669206112117276954833307866921737148823190898445097837927074953935240626381983j)	(-0.00000000000000000000000033509552179587087022507104320192401482247375438288265878444658307359258635294775 + 0.0000000000000000000000055030270496075208590156978375773443017439944488752558064436591922901230465484517j)
0.20970464013232325233942615801676567577466555516317545286211947428272059349197792	(0.00000000000000000000000086751738635110250063144660837857382744878844485759901449411817593177586032250495 + 0.0j)	(-0.0000000000000000000000010064476345212271652481537065680273100201277172033822129495962156759529851879179 + 0.0j)	(0.0000000000000000000000011010726897266872895371949027034318458820590444878431672134034767116005932687179 + 0.0j)	(0.0000000000000000000000013871370672414437887097111601949940634036593558885425392669341713003626242033901 + 0.0j)	(0.00000000000000000000000060123073222719619460325003552424206473204529606429389148951979454465795963024623 + 0.0j)	(-0.000000000000000000000006860735747844983959569325908239694605100832477683498523146986854363698365418534 + 0.0j)	(-0.00000000000000000000000060123142473639680298390855387702194604152589858533968891901312296654391193321168 + 0.0j)	(0.0000000000000000000000021868223829421344543866711726225997075771285782454553443503581177242359421579035 + 0.0j)	(0.0000000000000000000000047463415703248049144017284361468145992452996570898174786383498500047382394040234 - 0.0000000000000000000000028483008429736075458100484881187611179564623741748897639703378912685587578224038j)	(-0.00000000000000000000000040324699307572472894741031765988860635793861244295775998261636920133616183185522 + 0.0000000000000000000000066222184854275776678438529600617676793373720810212480079918499920027850548539467j)
0.25235391704347660629848322524084291725319790219501911106406412803806382359604405	(0.0000000000000000000000010439128448566130173999346794924510083717926082469424278992811093827186376826903 + 0.0j)	(-0.0000000000000000000000012111159245030707776355768894467148964867415164621092737204375368110289319992868 + 0.0j)	(0.0000000000000000000000013249922486896600808898693256369258641141124029381729450697247627885395616251941 + 0.0j)	(0.0000000000000000000000016692028974626128928908136959113513408316639349697566486968987104814353388377815 + 0.0j)	(0.00000000000000000000000072348868080813878233385147153759710382028683136174942116670652552012898799577675 + 0.0j)	(-0.0000000000000000000000082560984165936117095175466804451077794087967197904594220836590695863916074840847 + 0.0j)	(-0.00000000000000000000000072348951409811676694064248505030485525349377863591803881131324586117317049248858 + 0.0j)	(0.0000000000000000000000026315936331221850093408020539689037511838542389465994168511618351731739864910801 + 0.0j)	(0.0000000000000000000000057116417667919320396695475262993540066241945972564713963435611973558634472191533 - 0.0000000000000000000000034275839103607165137962028115652779016248118180065542390656043235321162705198923j)	(-0.00000000000000000000000048525931059748920176620763872550232328179700799072463668130469573312933818965514 + 0.0000000000000000000000079690269327384782256272063935449616471958805563483607765525528819456091785912165j)
0.30367711180354583332815008889520565909335908898849948054461381899839518069084088	(0.0000000000000000000000012561572654917106434845657338759120569286998296832552313191681779488983045817313 + 0.0j)	(-0.0000000000000000000000014573949796322096987978822424697644145399882052379013942905709120146343222551186 + 0.0j)	(0.0000000000000000000000015944427452944331904542632613809644657802924659279182556073986345344942015137666 + 0.0j)	(0.0000000000000000000000020086027303330245429697126166512128588180645986528154010867354850637179986788139 + 0.0j)	(0.00000000000000000000000087059829159046909899737878752586008039355840447259690082173643182956317001121007 + 0.0j)	(-0.0000000000000000000000099352748962496567399328130985638535758819736044228408818415935842745591055929062 + 0.0j)	(-0.00000000000000000000000087059929425252142487522792194949783485939092059559297857899438202657476860153378 + 0.0j)	(0.0000000000000000000000031668351200376971368298890381671442048063146295599407787374897576612156062876644 + 0.0j)	(0.0000000000000000000000068732622583327651401564112533291366253630821558170824259674923202950399459121249 - 0.0000000000000000000000041246816476856757619458618913079032296281857164532587466394899948185068357321668j)	(-0.00000000000000000000000058395172110031161403311968734143635798481414661052481907527178638667987224651667 + 0.0000000000000000000000095897433659730400517347894400578744094306543447975956409852259221499739272821799j)
0.365438307095725637910590077455332094869746999496986712366473307851666037465686	(0.0000000000000000000000015115241194354462758452264639868139567454453477334607336001763185347163107027509 + 0.0j)	(-0.0000000000000000000000017537378750456077649954451552933125258729754913391261296086668483477305947086449 + 0.0j)	(0.0000000000000000000000019186778699625418926572313170119257773805729684476146286168748604263161481390712 + 0.0j)	(0.000000000000000000000002416975578352534555207216885362917657692200988513083847338082596629370316259777 + 0.0j)	(0.0000000000000000000000010476051999706425116494356210797171255123248842787661302599789360315788798561432 + 0.0j)	(-0.000000000000000000000011956005524459244347575638924327381353367979012933843036824437085444259391115471 + 0.0j)	(-0.0000000000000000000000010476064063841324710134212336924322066303510936720051417247849971325029323592644 + 0.0j)	(0.0000000000000000000000038109556651988152564586410456088809494934610321759311342499531709017376999032247 + 0.0j)	(0.0000000000000000000000082711299645599263377462669854178841683065518686711879056846112552696829790057691 - 0.0000000000000000000000049635559361993006377059578917322573776510436203089468453076872900741018618855907j)	(-0.00000000000000000000000070271703497435820736758492596957334223839158388668430086308456402189058635941524 + 0.000000000000000000000011540072366023121820073650416662844711888371543404538273264124838007186017992719j)
0.43976036093027200008446483656661370205864648958772811970946895253599695009909159	(0.0000000000000000000000018187545966115326224485196281696608637328719813238331099667657648420123357502559 + 0.0j)	(-0.0000000000000000000000021103103949817169598406387483454437753850962939072458370055126090319489637609099 + 0.0j)	(0.0000000000000000000000023088290570672017922487032130035519187915645237110731936906605872231592148161121 + 0.0j)	(0.000000000000000000000002908313320136946682726106688996728931336914633399340404225989399716137179788099 + 0.0j)	(0.000000000000000000000001260575487518808075894783907519801865635337537998809930314483233813078022350589 + 0.0j)	(-0.000000000000000000000014387786390229048752904823308726476653812080426748710407077350803088063848195079 + 0.0j)	(-0.0000000000000000000000012605769390108436107979827825214271271903123293247082247199371226605177735106593 + 0.0j)	(0.0000000000000000000000045861141601212823995485657355667168573346202198946338508358691671994258806078087 + 0.0j)	(0.0000000000000000000000099532918493729859209946104826869475896238583936761052368895778431442589099450814 - 0.0000000000000000000000059730427065905082894073526049706448960002460856816808853374167290517150821868195j)	(-0.00000000000000000000000084563841837145584973319893335202306501868444944003009932574832153160463027557656 + 0.000000000000000000000013887045932238471793693356967326617601393988053499721766584758836104456861487818j)
0.52919787359584417116031727749057727682839012227009734171767126635992309031477458	(0.0000000000000000000000021883485636375085387875602622120238414363496227626400544704723867377346834391803 + 0.0j)	(-0.000000000000000000000002539335078599501643564085428413384484993337590345068155002751777264184313916526 + 0.0j)	(0.0000000000000000000000027782845214437137461510867327638415760092334274470071402977049746730660302246627 + 0.0j)	(0.0000000000000000000000034994298849761253520717673007526308514851189735961167717091702953358341358451524 + 0.0j)	(0.0000000000000000000000015167994815389936867396731502050603452453776102150471285573288752744614319419848 + 0.0j)	(-0.000000000000000000000017314268554893729632857490134816959635876183383876181498249074871937684386953938 + 0.0j)	(-0.0000000000000000000000015168012277687467767879543278447992228355549362641739949103915010447786211141508 + 0.0j)	(0.0000000000000000000000055189862803132205179741795105468531204076650910644710769041611801735928435319193 + 0.0j)	(0.0000000000000000000000119775662049055658568418144128202073048079229824628343829494244179457213665012 - 0.0000000000000000000000071878437575529534803311108328822873716039817787543986399817748597540638466022534j)	(-0.0000000000000000000000010176300435090931438800551675088910558528178238594888989079675305813230847747159 + 0.000000000000000000000016711325996378466690195042306964826171694480761064924729387456622798277982430983j)
