m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(-0.000000000000000000368115732500935511632031983855809520832914376800946153114656952225141373839773676208160520308517773414336499943794148102 + 0.0j)	(-0.00000000000000000000000000288117579295821761191519959335434941772993536787664301872337998367282268663681099653257511958232045268261778887917149758 + 0.0j)	(0.000000000000000000445845328002846943600445033482653907252524333491140597060362662490238391088502760422177816896072416514664626995819218666 + 0.0j)	(0.000000000000000000000000276303251124729987539880514807483206271833506139614968292707689043568048254181407010765930641132422535689725722662955125 + 0.0j)	(0.00000000000000000211069853187651149699404706893723164088568800127461023928733987304454260444003952348406854326984998241835468058783283139 + 0.0j)	(-0.00000000000000000000000327154575102123325506495339519701688903647438480178578410193415258349599902799786082918198482348466156270603553641412246 + 0.0j)	(-0.00000000000000000211069838493639422273746046269012096870141253876903382842351990984812217435470982047439061948498315543028505432674216752 + 0.0j)	(0.00000000000000000000000104275332404474782238023244139247940399650953258434419254987706997369087978143428084465075712109850251755082142180574757 + 0.0j)	(-0.00000000000000000000000000000000205146608202135677160440259424002490374035816255903076703239492919726564051093491693147017959065534116546366584563059079 + 0.00000000000000000000000000000000123109095518127823071451420531220345213212474219946818192673218140109087108900003686706153082822367282798266431257816776j)	(0.000000000000000000000000000000000174291265003462950266974973193868768183183995438327063376205036072113895963387660965335340713951118819694636141132569421 - 0.00000000000000000000000000000000286226052640663547429654895346239828024722883486689207041627690040849383656042972813316794037671265880787337035013746241j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(-0.000000000000000000253727580214019984826548010030195815704763696498132128697025919601636116758113772847714363124365101133616622443100089198 + 0.0j)	(-0.000000000000000000000000367493528908261507141878069739207048066710835425093825098865178870961273171512228819428670385532549780349724041921779378 + 0.0j)	(0.000000000000000000307304290204021114533558084460128851974489844702043714002700751067505626208912081000502872870646956986803929490235547685 + 0.0j)	(0.000000000000000000000000694209864641381773673338240453429335031926475341213504166320826852672510474787638675604867041220202485633237211525888513 + 0.0j)	(0.00000000000000000145482284276017410792407891182834961336401617924059941359736733107843055082635251374732172955992535021066367380447432444 + 0.0j)	(-0.00000000000000000000000474650002439262717556725727066893375148955419484710473354082990676765547533261390848294158070890764116994847860971733078 + 0.0j)	(-0.00000000000000000145482274148030255595216378968843446187811167984679701334998646462083926294793309109728013804806893291337747594623116171 + 0.0j)	(0.00000000000000000000000151289626544085841450552023204391257201428173264147795489423811583673301801907714699973238449318294557558889583264634226 + 0.0j)	(-0.00000000000000000000000000000000205146582039106476447432700318485684678313643269543348192087367920760374186742401204521781015183127341556601150409964996 + 0.00000000000000000000000000000000123108930228585385689166394028231094597594625387739498263762362438553383418104505302771969010192889219422261941240234016j)	(0.000000000000000000000000000000000174291617593819670576073354328395225231490881853477644585492129591506373766703678201001730949434191500464743789749073317 - 0.00000000000000000000000000000000286225941169744184329352583536084379100853446271066220654242201651988304879236484420456971236428367578321996970213249295j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(-0.000000000000000000174884121951451443161860990171847463084736318988258783396802637446093861055840850057820480391517639692144482301042808218 + 0.0j)	(-0.000000000000000000000000783571704861539703932170601438822905816805881908032629263076544121583364085440077393915278214343378524806996202409652305 + 0.0j)	(0.000000000000000000211813507116789271716514590159122721990453554514767848755086302059919548728145735700022611972592153556060685620468811662 + 0.0j)	(0.0000000000000000000000012093313458013759056322908826717467198218714266317995065628570717798562991746874567780084950838652708243815810147604671 + 0.0j)	(0.00000000000000000100275327008691675537479593586648715336025537956276512590928855197737695709796033989050363462130538154967059312652369528 + 0.0j)	(-0.00000000000000000000000688642360748059758164416378306798714479378743415476863674641240032566125661543637853266902590278597357878979068254250369 + 0.0j)	(-0.00000000000000000100275320027899475743649687219956980326516658631804014203762777992695536887889584818909202261639709763105170933493634358 + 0.0j)	(0.00000000000000000000000219499654341653696441910500552316568981951180841508544466877384182171431067018892564307803486451873038626326478891004784 + 0.0j)	(-0.00000000000000000000000000000000205146527148845063739459965895529484715883369180312156490381857676520122943071913741930315149999326761403849832210021546 + 0.00000000000000000000000000000000123108582414568629734300060667936245341834646442475945292048468320133172440331996943905594431541313295528615117716774406j)	(0.000000000000000000000000000000000174292359867907483167985088818239593671681970838629029882952198003005630385818635780406453290093304321457898984741753924 - 0.00000000000000000000000000000000286225706775804603216971652128789318637930088789845416655830154024037143481147567457191459218387604054623951640131525463j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(-0.000000000000000000120540178525512880146475378418549978491611418986681617979235773134821178917258084885799414275989953037382494884883426342 + 0.0j)	(-0.00000000000000000000000130937390882227285022168645700755612018644878150584697394908966740374482032557925855976881995480770216262605442319090299 + 0.0j)	(0.000000000000000000145995675918108895351623705695828119847417787001723894494439098898971887523570755967587830842403183673753903215888103759 + 0.0j)	(0.00000000000000000000000189376328488794992891689759206893673967489115300183298358522072327443790426261389498216601575874332900349688893167728076 + 0.0j)	(0.000000000000000000691159392124959075984672704685743452913811090146107514379169565409789313792682184620355698274891220394169833854041644264 + 0.0j)	(-0.00000000000000000000000999115769111676460420727084819595085233586308187838140621371127287243750225608718623189029995583973210300422664866844547 + 0.0j)	(-0.00000000000000000069115934400959546167611870845513226492627754265043673400182840623482791886683820472094663930689595578508759198030848475 + 0.0j)	(0.00000000000000000000000318463847537139824334368291430146874776198469586398963769359775288184963935563710006752257130571904890450411818329569841 + 0.0j)	(-0.00000000000000000000000000000000205146411758163743694115298232420870211905343245066187735941402073128116415281093784116966801879811484557594234457131053 + 0.00000000000000000000000000000000123107850373346864369270532763126967729426441637066192476863645661164458002019198183513238352762093560505525006163417804j)	(0.000000000000000000000000000000000174293922210830913996372062488568161868755558096059295596435547184807004101447629261035721026183782485883455160249046462 - 0.00000000000000000000000000000000286225213563889885812313502944296164281103497195248593940225689770329014689047510371374060548468022899747426188735049398j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(-0.0000000000000000000830827076350198123772951003143991121798614901235175137996960834146201580595982920846637753675039947993080683695576117716 + 0.0j)	(-0.00000000000000000000000201847453768128988715597128118540187942489454670825494057431725726960112027376294341488146469293646588189915075383507832 + 0.0j)	(0.000000000000000000100630377280788710518671403490521535184141526777835561373695393335757728778436265750635111824747633881367189046419952072 + 0.0j)	(0.00000000000000000000000284319759017904144974215865476072550003069897529494296023049903357133827862719260011974939617006196483785795448568841449 + 0.0j)	(0.000000000000000000476390025753515866257278351359839830602115400664670075716879911078221367657227126848148559886572042046300650996891201757 + 0.0j)	(-0.0000000000000000000000144958117105004120231268449433044248229229918830564158855556614656352818061223796287339317115499000781264399071957701519 + 0.0j)	(-0.000000000000000000476389992590229500010986990021212280269955721213888658299695626944661660027288896260243976553357156203944639531322440688 + 0.0j)	(0.00000000000000000000000462054229524916539710487866411123555739575890662717948286465352746998165349177921099612340007312656896513547975743627958 + 0.0j)	(-0.00000000000000000000000000000000205146169071668825122656767305984524918794879066656636665241741652427063338347376935222036069320539002464068520122317882 + 0.00000000000000000000000000000000123106309555814619240891316051836158481119887986787191801042909323827565162286307490227963373248910896187873668020360079j)	(0.000000000000000000000000000000000174297210145996034185002212139440434505150392379381105906483603346880345332383141310577751784061786274367297810975220363 - 0.00000000000000000000000000000000286224175506154540848686483330945122531767804336652260636141022519666523187597439387729135775789920204044817298020534871j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(-0.0000000000000000000572642930159758855225070300228832523478311383684444649583984116268797187873723470322448722510786849181440404616698523211 + 0.0j)	(-0.0000000000000000000000030099724166388529683392539568756168766845271015017470237274997548715487233358411735141094360308857676422874345879141004 + 0.0j)	(0.0000000000000000000693623868507278775749943262240439130567191205339982355598110738720670738944177051282426643650710522576800659182537890163 + 0.0j)	(0.00000000000000000000000419011111543596817627731673787488063644960437496965164620830285117087556313858060511314706768663358571812885566130027326 + 0.0j)	(0.000000000000000000328358132540506847453882036208797366301148270942739865331013621226840393698427129040160892937760356705793240065251892054 + 0.0j)	(-0.0000000000000000000000210319110468674137473671511737087002658156240359886297566857243499453207389439896426315459760283070955987406058726737232 + 0.0j)	(-0.000000000000000000328358109683452280352281941286126393445549480590546849741906128352699723127899597790839931400950658162204439617966508883 + 0.0j)	(0.00000000000000000000000670409086806108383783306885057131243403588912090248419012569956876559507436361085624569936116003759116675977878719645586 + 0.0j)	(-0.00000000000000000000000000000000205145658778973351005274541331425030781900774027434086538940781240826603206025840612329830261491203187966786139081363396 + 0.00000000000000000000000000000000123103066359220321207039072900145034054498656430939029428015461443743501050121197027373184964391206588523397015147772261j)	(0.000000000000000000000000000000000174304128054729698996336644759884722241891997731806636432945505393917054418267252400399511934030593528321359383024201493 - 0.00000000000000000000000000000000286221990533721758522130731201916671317021007589052294279315499041425898055088652780563425290085476425921942884855477515j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(-0.0000000000000000000394680344264434450036099818607833212386289323567248387771644660898403403704051203937916557381850688868731454847311355678 + 0.0j)	(-0.00000000000000000000000442210109568882866920601792892508190500319629664219746332271873876301820338743823832050130154451446887472272423665960217 + 0.0j)	(0.0000000000000000000478113717472732710357786763727044814366002188822473777024175408718505216087227033992461876086480634501361471812287680506 + 0.0j)	(0.00000000000000000000000612173285067427633750089569793413277285006210516295690877560620705892582124881975999168056779543851784310513147582721827 + 0.0j)	(0.000000000000000000226325925589553346121615354151187148889362032796680232102398813123059743277354317230678273342262531905363936372948667647 + 0.0j)	(-0.0000000000000000000000305163990713267271711307680872304036379770784851312296049308440620915758252459236174361380821540368036841210551622208596 + 0.0j)	(-0.000000000000000000226325909836683255947774731722937201304539879003971404717714154943108377322719182158172898289063813374146593073629576177 + 0.0j)	(0.00000000000000000000000972779744112782852521181424620283136968905947914037932701565279398105572327453607805036929290808948109685227005015793294 + 0.0j)	(-0.00000000000000000000000000000000205144586671526325092335603606568515785901412569550399428083308725416131920580128963667199623511675025937593125259054984 + 0.00000000000000000000000000000000123096239953140324514874207141030592403551720208062162410681290771818585769947128647998713348509517390485574156173574752j)	(0.000000000000000000000000000000000174318677751272076927023051030291218020428990315484666278399135040362139924609571890145139924267677084647926371902452826 - 0.00000000000000000000000000000000286217391255002968754386364212845606228197400859240317080397269284358955645960328009321952020211853816573249173936349848j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(-0.0000000000000000000272008574089433169567273462341573835670065487054695044036405125338675496656022586435123287906346444274274094119009368204 + 0.0j)	(-0.00000000000000000000000645085121998893775576593711696708167738608685933564502489289324596950533894338888350944054493911262429890855761484912194 + 0.0j)	(0.0000000000000000000329582492689618308540675176435885084771155126532543416509198597922094311762566464665661517379468600494567580015593150435 + 0.0j)	(0.00000000000000000000000890468193697146285218811434956083288282153288492040807884706592481746650187677646852368534604548267849185624155530386259 + 0.0j)	(0.000000000000000000155999712553047491735339533516956667855453872697911546415741692989666371754241413233842196510998688487437265593642690382 + 0.0j)	(-0.0000000000000000000000442815373806293837974800327202613816843218529190991958048788121462023401800742173289226968159109648222543275474466081851 + 0.0j)	(-0.000000000000000000155999701697534941215919125933792341885703641347200931481984271383528966727724872703960970431065676152000491988237262316 + 0.0j)	(0.0000000000000000000000141169767937836659230357074636364735931266494093689347761621917894006662233589582521512571178409350599591567917788744214 + 0.0j)	(-0.00000000000000000000000000000000205142338012950114724166535606428956194623314729614034855731853455116934011903626198336907278216827270878198277088538343 + 0.00000000000000000000000000000000123081871873494101335784313579474500967545432588550535557092885641439837768780886132889168517666159277943652775707672076j)	(0.000000000000000000000000000000000174349255761065761058901175236674843692700723861458746054292554476621561912443431331242412266638077097102717165741888425 - 0.00000000000000000000000000000000286207709472744117278599431699134767123523837496884316713435046520778678698452380626260438584707277235424997926872323368j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(-0.0000000000000000000187442618855226271118442099335959261381968766477506866100670289734324648777230129865994857462171787735189308779743275532 + 0.0j)	(-0.00000000000000000000000937543066640780094514373168513623873246495769280969480973320421644657978410115976648285542719101180985860997251910583292 + 0.0j)	(0.0000000000000000000227222422433793261302500924294328602733928992964232057923337999088347756258884964571788440065164210055677683548043256507 + 0.0j)	(0.0000000000000000000000129181144829596433771960696308205240399363595691567164004325153478372786316975842108149041487941533856376501442121267609 + 0.0j)	(0.000000000000000000107527490756650528890948146205834395160998224874774654699303160573158712544403777013905641931048201753175709739211608379 + 0.0j)	(-0.0000000000000000000000642654161791463259108733405384497431881807201296778661825604123707989881505885166114037754683462076356519668491443125898 + 0.0j)	(-0.000000000000000000107527483277726916444340928624545572691791706345390391895022570515536188451873814010127750900444385889342941180169993803 + 0.0j)	(0.0000000000000000000000204911738161162189891691031521558955630255563156779478878937291014637182610316578947573987808011783047720908413781566656 + 0.0j)	(-0.00000000000000000000000000000000205137637021862169370478631047655574647453577409164595626461963029218275584371801430899112012274258728462459562342201616 + 0.000000000000000000000000000000001230516321521955686563804347745020794518882597291316492010490972393056671905248537316449697644544950969707689712874414j)	(0.000000000000000000000000000000000174413429577002554417687128070472024641762504369348989049338949033769324298417677771867826178127922093694663784001197519 - 0.0000000000000000000000000000000028618732682301863697744334740244775548014473146618065566857770212074331270993038181759073281338485303157655665850136344j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(-0.0000000000000000000129135861583452561358493607038991806777871117703052442995145240972204408143915929991631301671907225130059708172237652291 + 0.0j)	(-0.0000000000000000000000135921105385860158531804367366805385665917599728414173052069724633051981354737698396115718023347758128412783752038490622 + 0.0j)	(0.0000000000000000000156693792279885095475891770404824619445304383631780853298273477961298015723948861117662190823764244136749775691860731037 + 0.0j)	(0.0000000000000000000000186959813355685215936762417672063997494472847832723351154922936699814662900089873311434722321455696515820681174880891097 + 0.0j)	(0.0000000000000000000741187759772834850044786439776796616898208391631857420376855760447930833227334298106134853030818028730347413686410849035 + 0.0j)	(-0.000000000000000000000093293653669869499093499223455341546273361158281934137640257544873823564988387119414546180017774258491551461046841595617 + 0.0j)	(-0.0000000000000000000741187708271747257887801072043213070969991981227143737770317077173999426425648422915180289481834810804511028545134684148 + 0.0j)	(0.000000000000000000000029755777324929113627541382864741475050615998949477528524766493530942888221508076950153107253720324541298775413693331884 + 0.0j)	(-0.00000000000000000000000000000000205127870323365012059691201795193466555708665532466830977741280090963576164593073666818813928766710559402988187435383561 + 0.00000000000000000000000000000000122987996830457411313424048290603605432161956038423494350564866763856054715499172600017935796990356833183979126517201441j)	(0.00000000000000000000000000000000017454776218661507649871755243597318012552122726401150495138232410227065085481103725218842017160810206997343814678635005 - 0.00000000000000000000000000000000286144408019898250920423112228145208530493035453199937358342691684164511796719972235582016285760958663638247015952133098j)
