m6	Gninj	Wninj
0.1	(0.00000000000000000000000226334634014869954868927340441145698665034543604943409418387186415487787358875950881010666089757783487416739645015203065 - 0.00000000000000000000000135824284906842139960211971931877199034020889440904535043493275231271672388798962156467513814771854294839177020169002061j)	(-0.000000000000000000000000192292276343694018436588812572280731254419605526384619516179886878546012767526660236837483769465640862226476241555858976 + 0.00000000000000000000000315788162371409746434318967948677848787231750671970405629112233581867878021085483907125700875085502380512677010789686057j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(0.00000000000000000000000328372784323453047349865475216218516951581771718314727614311970282723902484770065840276601769923519486467635519444241668 - 0.00000000000000000000000197057839105327851818125799177685569657181459153321668773046306313838456194452246372322259661062845315081932088927568326j)	(-0.000000000000000000000000278983431039270601444712705546218787231092968942322010638377454342465776288624519250792401686242586064257124325411966125 + 0.00000000000000000000000458154423293364798452559369125765875475641913254712258191153281220297991618322519290187490906191902430905794413588116629j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(0.00000000000000000000000476412635895485507285139467755975461265775257067017093445818576099801982021788593496408612889215361078276690112307625444 - 0.00000000000000000000000285897360358671346649875047543197724779057639499317815436592322144437770301646246105982248624411114290968381853181442413j)	(-0.000000000000000000000000404757992509002138101867754949181608114685467163719585666444048899759376302938379412162293556111010991063401586214355452 + 0.00000000000000000000000664703223561665944017103959029987647527334784255647839326348648088590278415968166750036056850652003461993077964436718241j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(0.00000000000000000000000691193010933554275545920971064350288804864955879072139616971814610210937034954941147528244589816270718669636453153139426 - 0.00000000000000000000000414788656686237979278491735673632686189605936210066941184115794888105117787826895750596446995281790150020037728013448826j)	(-0.000000000000000000000000587236992909900433968865900335241974191842240679044715719251836882423195429837766805806608357439817289920178458792017332 + 0.00000000000000000000000964369348221291712720878184407368506702595030598682025617500715604976987316142183357228201356043495337680141377103205951j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(0.0000000000000000000000100280224871502188758751602861003572670610666798044618974541467834188376795710613111000422567972085003314247748351202709 - 0.0000000000000000000000060178896487809510676637836312505003557079274411407396436867387863393614324432710684238004062355212981182336769040123034j)	(-0.000000000000000000000000851987806604842855584613491439886526339456403739456172073079879972565735064762183636195523738906827826780677546192250326 + 0.0000000000000000000000139913108492038695636739072352636557911943686648225440989516564683356107014370517350582185342729786151346368606509551112j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(0.0000000000000000000000145489294805976364244081568766340592758238504027138331199434345537341113529731174069656570753776419221572645590109961227 - 0.00000000000000000000000873097771698760820029896310189319481285822502308011656778482130801644079850681957499392041823598177902830623508394451306j)	(-0.00000000000000000000000123611125461981702118851968504860904146277967499759481564848857194800308660526614892032790637233811240538183437059885062 + 0.0000000000000000000000202988828697750049208960348044497575154765230896694835452127680823215536210462182830888579076362138298866855246635013299j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(0.0000000000000000000000211079624512471208027807710519955920983287187113694982290929950162475503013331228853120864993214302281453837893431218764 - 0.0000000000000000000000126673071266969058706757936625194506798510583836570337956795268411915526418382254708240149769245202154858572052505970995j)	(-0.00000000000000000000000179345543369088063708655507581879280398985937761893081118926780429773732318174590704249344033368582072317300376654581423 + 0.0000000000000000000000294498566493539382449591463435158272318242714340047611154477303761887656875359565179180852720471298740929024850074301726j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(0.0000000000000000000000306239078326267598895106523939998919716052855192680254432911085506893064785913258315921710008583805524868187275035829645 - 0.0000000000000000000000183785621520056132346735686356474204641133731783834381865420948830517832319374960296374183642500839155236047476869589461j)	(-0.00000000000000000000000260220914393423319574744137964813718299265704562193505645129298634480542415207903189808227483234924767244339338881403099 + 0.000000000000000000000042725640526826246625686979024044441080514063119273933737766413704518241590186095394924076399948218725713934304586932861j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(0.0000000000000000000000444296461328442166400788442069609434209889498314342386296630488313369958102397019568014936573514738045211312372289750527 - 0.0000000000000000000000266655773462027552077165938929823130067906422570446368327764167394726596910833491025575292021425337073508544801598644877j)	(-0.00000000000000000000000377600667320430219564964193143691590636402266712131127863010539252270548022275227561815494049704678921863905586009069468 + 0.0000000000000000000000619843548945975389778146376193464227133408163857998328560702472655939630317689656046122800523904179845143396802833148056j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(0.0000000000000000000000644585918279644478174220456866289462397522319995685559617755557335068528609767068310905881138266652372565990319510669343 - 0.0000000000000000000000386915552067569302844375483618671411850172594336880398208921406446100316071023515914781412036559884825045179751597774212j)	(-0.00000000000000000000000548030377581865802658795549343094367192631561287844546403400302806501796767857927486826493075551323160260078065015769008 + 0.0000000000000000000000899188107495247120129093943140590110169504205652967845089741096657191138478879891034446879812733073209010390576586106627j)
