m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(0.000000000000000000000085541943881010680935802455513677971710791549415730993155920229654116073493719344 + 0.0j)	(0.00000000000000000000010856691523780454966399773655155074508144488224685143947596818081048765399365414 + 0.0j)	(-0.000000000000000000000099239846476501122725126630985877592059982233381547484862805726451918754335358057 + 0.0j)	(0.00000000000000000000013678033603078800909758632689848811098092556312052945003632104330476953198611834 + 0.0j)	(1.3866430708506615550277025388869175379865613016889853259822079390114182888908758e-27 + 0.0j)	(-0.00000000000000000000046086550970891932518810625765164980992829591577659642541439260374623765033500278 + 0.0j)	(-1.3866446681508349429069204557328562651451853984268758076086647179023838875300733e-27 + 0.0j)	(1.5822272726759320543821732153618431430438908225190710748757958333835762541237774e-26 + 0.0j)	(0.00000000000000000000046799446940705496699583146025867552060943539352528393319494958145245674101042996 - 0.00000000000000000000028084513315343213112578495178897373697398057097481141046746078713998430290639454j)	(-0.000000000000000000000039760557928278803411510497681253881622621064054074317817028991390407727642837938 + 0.00000000000000000000065295858045979218392473919097008580167138118902306476386931459751055490168344672j)
0.12033778407775895498239640770431763786298404250453128277430639102473632896813104	(0.00000000000000000000010293836552377865369898961611765276240565950871846312699995346035042697346695842 + 0.0j)	(0.00000000000000000000013064668435048646201318005092367441678488125648853222253401405483807203579039238 + 0.0j)	(-0.00000000000000000000011942249972367781619213744459250551482191390466710052570001984093778860509002375 + 0.0j)	(0.00000000000000000000016459721215064823774825663741691560962528651907111110505928456012962810530203803 + 0.0j)	(1.66864403349784267798472493848905099571365727964161060184258329359865508731251e-27 + 0.0j)	(-0.00000000000000000000055459587787892128371183725693556767859104199227748458744167300393603867796487504 + 0.0j)	(-1.6686459556166432163526331164411211131726242718577500443851716765803265578570989e-27 + 0.0j)	(1.9040196947477803281079626240107160119462650450724758422663593789633414289910603e-26 + 0.0j)	(0.00000000000000000000056317416293986706331561367796660445434632182555660396807860522891605970410992599 - 0.00000000000000000000033796276985337488564186162676830907526813167625597259378852591639681806916657993j)	(-0.000000000000000000000047846992630166487658978335892692263222267245489051332949292382003816982639651502 + 0.00000000000000000000078575586241094077526187677450998911690209280857775605955108286139223583217541059j)
0.1448118227674533666352114050535057466308525408301496112587129039799224385673547	(0.00000000000000000000012387217074319011753418786829090216769762763742701267698856379607169430244175299 + 0.0j)	(0.00000000000000000000015721675624997764340781240497901292917658160621121991914327265924353565749092031 + 0.0j)	(-0.00000000000000000000014370949023029038142248336197755791306893282739125993688105374692892112238497449 + 0.0j)	(0.00000000000000000000019807059183873429808318055061497684975442903356087419786825498665550544603004611 + 0.0j)	(2.0079898549101121246614159582913658454502299583163004261893423957199436028308384e-27 + 0.0j)	(-0.00000000000000000000066738929569691823111796400666879528730194554470601554563177292888194896807822552 + 0.0j)	(-2.0079921678833792150040923814028521360412743960673805245631013177746509599697984e-27 + 0.0j)	(2.2912592564333344936996847329768461128562325426394315878917024292185157526032022e-26 + 0.0j)	(0.00000000000000000000067771128862879783083007367296100552817403790642437266269681128743855644199442095 - 0.00000000000000000000040669683834381897293324390478151687838776112022771928873355412108982337522028825j)	(-0.000000000000000000000057578042527666213577350462851163094805299249376195254727752693379723373407036559 + 0.00000000000000000000094556115064324409497595811077941979494181233328565538882580287097523108214426201j)
0.17426333860096501471714050368858326275344393605772895444378037149488747271744414	(0.00000000000000000000014906232620195661064697499652520003480888426440827980022344928458185581840881864 + 0.0j)	(0.00000000000000000000018919019811707387300008306041252427815613212561492785438047781328669919634650461 + 0.0j)	(-0.00000000000000000000017293529753416825547370352078894415510040311777514809215820817471925371408771774 + 0.0j)	(0.00000000000000000000023835031502079002337174205593438611471047948563291771509813281993870742093094932 + 0.0j)	(2.4163378410265421003553738249837563965088684387250828712418884798090717401186448e-27 + 0.0j)	(-0.00000000000000000000080312301866342237070908744846215830094732738729613748506916036714146898495340449 + 0.0j)	(-2.4163406243034168846385217564493047445747558898999072142572467445550164034801045e-27 + 0.0j)	(2.7572576138571823533459853801752764285630055697477315541379845320965464561027377e-26 + 0.0j)	(0.00000000000000000000081554271299075866536970991251746274629596530370574818107064412158006414494356615 - 0.00000000000000000000048940984128573808838544970607964228061900126779616714061110008612047123541408078j)	(-0.00000000000000000000006928819598218402684493050117617818760155905261991279592636951630899955391172416 + 0.0000000000000000000011378672616543791446843809028631848582175630727995510467277171171934402159161489j)
0.20970464013232325233942615801676567577466555516317545286211947428272059349197792	(0.00000000000000000000017937370920586178824588647131795692648835788703130284050920995238017368575484603 + 0.0j)	(0.0000000000000000000002276656642683019685775236689560844944303869888987608768891534659660664337024152 + 0.0j)	(-0.00000000000000000000020810394446081994027860842156692319655487812331165104820022073185850878716949457 + 0.0j)	(0.00000000000000000000028681968980817514745714179196277953051573622322398722018112217525148759408157731 + 0.0j)	(2.9077125134213255294554303251267054237940104702711923012601231783262271318139277e-27 + 0.0j)	(-0.00000000000000000000096646302291111669083928351141134504154592220036400563370180714242806574705948898 + 0.0j)	(-2.9077158625809082559604133165924495024344097499253130895098968941489357185433134e-27 + 0.0j)	(3.3180345063018847425241232020005312303086284429593886074501309122227237828410592e-26 + 0.0j)	(0.00000000000000000000098140596932242014844093916269048109328068708195064328291991024039769165168920328 - 0.00000000000000000000058894474557775399238825318552438334264778596203895532429407286678525534330044502j)	(-0.000000000000000000000083379976355941324343586847829091605931034626082971299995872863796101322490664892 + 0.0000000000000000000013692841190729055240453377596415952254580399461299838333287582927461091198253432j)
0.25235391704347660629848322524084291725319790219501911106406412803806382359604405	(0.00000000000000000000021584657432943914125073578536146802634681673148995134994873214393043003528833543 + 0.0j)	(0.00000000000000000000027396506509106734451706365394363059175526944916663207951046641123748705383717595 + 0.0j)	(-0.00000000000000000000025042336277682650433701802342604119567676516127971284194224655122818637102439306 + 0.0j)	(0.00000000000000000000034514271774725614630146635242889162338358424471820601282709564702079601311993086 + 0.0j)	(3.4989846289320359433333153696357384067023146964400336382376209968772724734905175e-27 + 0.0j)	(-0.0000000000000000000011630245302559485230726085760429127988146794328431582380811534883408309826866067 + 0.0j)	(-3.4989886589450848751340934115152922679778092076751288835186548233683125574297394e-27 + 0.0j)	(3.9928690508991578534861743653954410427266716791972556609160927624521427157469753e-26 + 0.0j)	(0.0000000000000000000011810020921422323588941992871245942340115911361186671621664566114398588981169326 - 0.0000000000000000000007087226859173038960195829180564464665390936183388753539231315721777260382313026j)	(-0.00000000000000000000010033778437679592358439335273595088779547707737695510509702509583293360963710565 + 0.0000000000000000000016477659410470943239897825147511060332389372524265201890658790598721216794120364j)
0.30367711180354583332815008889520565909335908898849948054461381899839518069084088	(0.00000000000000000000025973187525025231210039861046720998704631052926473859858709979163413668556833234 + 0.0j)	(0.00000000000000000000032967884599239422597326919758129405749577361305438117907043371961174572570395659 + 0.0j)	(-0.0000000000000000000003013466707225429274862240873444230193404097873596384117760660192526035896102817 + 0.0j)	(0.00000000000000000000041532075356012407822123300733745866839267798247046377393070149824026979707692342 + 0.0j)	(4.2104460250116383644488033354695674908300997982727334499328725787124207700606809e-27 + 0.0j)	(-0.0000000000000000000013995652586081032092850240805772961741699045681189739027585321088009499167511093 + 0.0j)	(-4.2104508741533072885788516762842456332874196519434791979355113497648316018633337e-27 + 0.0j)	(4.8049635123358543771705241596977570698157080376993651441874516791005692050102202e-26 + 0.0j)	(0.0000000000000000000014211915659972540775373888652906240910459835524927126537210903769273823699075946 - 0.00000000000000000000085286053002761506824933426047332848302329251908602498358026989867017420254171649j)	(-0.000000000000000000000120744559854904120962966730664251715479278793997674346643877930251288175088831 + 0.0000000000000000000019828846269835493249896278598055260694995554861284657202104862796455513283587171j)
0.365438307095725637910590077455332094869746999496986712366473307851666037465686	(0.00000000000000000000031253354310486245190315130045161399937291748084413834783127099021997406821435937 + 0.0j)	(0.00000000000000000000039672038987284373325868489296540333222517557003202029662145682541807749178314812 + 0.0j)	(-0.00000000000000000000036262171709109384978089765084927319399797300274606834938103621439925439503528018 + 0.0j)	(0.0000000000000000000004997604072588414272744302981667457697026179193740341631652217833735678316451842 + 0.0j)	(5.0664987429963876912063373307943919282301534721412974878179939077584013072534193e-27 + 0.0j)	(-0.0000000000000000000016842181050022192134500134600262913712751759970830382911440778559631276532867997 + 0.0j)	(-5.0665045775344661431748840660309753699423566994737329871414455188411253530650981e-27 + 0.0j)	(5.7822426555258281838973731058476095647215808165598721689560573124053708973781151e-26 + 0.0j)	(0.0000000000000000000017102301214692638917479913285023651984808208377304509476738143670807002415397094 - 0.0000000000000000000010263123382349660559895107346238298513123665140389910794376197578864918895319868j)	(-0.00000000000000000000014530183920222920121099519333056657091731712308318231194920769645266464976129949 + 0.000000000000000000002386158735452062864808590379363960623220049606261245140904371801598514946091316j)
0.43976036093027200008446483656661370205864648958772811970946895253599695009909159	(0.0000000000000000000003760589896269339417253222362379454768161893305343992199732624469478759707196138 + 0.0j)	(0.00000000000000000000047739134179682126663104273663132968424973922520265929497094676281805128866112312 + 0.0j)	(-0.00000000000000000000043635048884488575352386871206426668089458574535695410657549882163941471778305451 + 0.0j)	(0.00000000000000000000060135479328607020699581319738049189035669069339518470278818789283354659560760185 + 0.0j)	(6.0964799746556021841968065184802077734209491001078163391132020867898539748724213e-27 + 0.0j)	(-0.0000000000000000000020267713662440998452822088659254603738166117973608853261373021361391947815926797 + 0.0j)	(-6.0964869944590297663994813729741554230006587193349034907428342767920295081220484e-27 + 0.0j)	(6.9583166398094629015347579757193772718245912772952005172999558115105839336874819e-26 + 0.0j)	(0.0000000000000000000020580524791205562329862599651276209650068692799664698583601284249410277380893562 - 0.0000000000000000000012350395652354302237175872594242239760225621202934749545427248220819765197854322j)	(-0.00000000000000000000017485390470878032683952985122096137269887749676529831209720765672876317035282019 + 0.0000000000000000000028714493521097680121648488631384254310098398977090438774014596171202098372326156j)
0.52919787359584417116031727749057727682839012227009734171767126635992309031477458	(0.00000000000000000000045247926885796749165344836100329815673790983253730812746300165374999760011022777 + 0.0j)	(0.00000000000000000000057445998289856641191978582772307207989142616317661025229077487876449579939132252 + 0.0j)	(-0.00000000000000000000052506024973378784864116839731055462611574218239514922265765213557551380488702462 + 0.0j)	(0.00000000000000000000072358054426541487961612938666292380683376579971204381878833616392601066122739114 + 0.0j)	(7.335647691334712984326831154219059591334355090099272030028346160057527657976707e-27 + 0.0j)	(-0.0000000000000000000024390063056523579383683112484457287254653563684494638089872862981946958677922369 + 0.0j)	(-7.3356561365685179153761561757400378844308969565681706549234341949101451535229009e-27 + 0.0j)	(8.3736413461153651683570984168868025875956965243595485045359412073868705229834399e-26 + 0.0j)	(0.0000000000000000000024766137871892561807195449723625259783363761241102897695164542129484343880812086 - 0.0000000000000000000014862158291134544188986756780623008619258606762774494466082818876016170748764879j)	(-0.00000000000000000000021041686701208965024107842800015862180312759616968224996503247273213399753381816 + 0.0000000000000000000034554364391172029566940322340453168275444020681353168161090834200349546084925654j)
