m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(-0.0000000000000000761155965579836382265706148910120732840611494907763308913203494158282612863607580747401512521057748102528408634563453219 + 0.0j)	(0.0000000000000000921878933965924367019807299973598312614485138636605306321299370648725195021459214340592101800323182974452070091792439057 + 0.0j)	(-0.0000000000000000000000992375392847679709614230618611299952083863463071382720425037665904307575621398321472080851778360738653204372460224200767 + 0.0j)	(0.000000000000000000000136778473145320177134151601950851302070321671770136683395086828988577801065066449605402816318942845905238911447997730157 + 0.0j)	(0.0000000000000000000102079022315814629468479845942355230786729752853617814904015774666454786188610656492557166913769954667402918964639653307 + 0.0j)	(-0.000000000000000000000460856690448287799585164065884931588020034320122280393090981590608309597283560864480090243094862615952948331711910242392 + 0.0j)	(-0.0000000000000000000102079015209397827732239475339262901287755234460626186477798473777436156643503380490480182335493696046268754756858342571 + 0.0j)	(0.00000000000000000000000000700280385578021928023626588983074551357798924215576727479121240727853117274008127965205193049186849554192951973551356459 + 0.0j)	(-0.000000000000000000000000000000424183769523218392185388456220127685362026023978150530881821495674259135503844647088627373223573557554053375674204274759 + 0.000000000000000000000000000000254553953668207078856813956787458039933000733661893358817657290713924820021019315120628451413119936984851679573923662918j)	(0.0000000000000000000000000000000360384622960603312049687926305652576597504384433499773536049303432767371448198860186726898345013326387510907592951470797 - 0.000000000000000000000000000000591832577730186060449149180564875778583665327631036504560788862878958205092108109551700905386735003848873135086251814428j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(-0.0000000000000000524634630540728439257785598416795621286964738933535553445440050312759022496402912184326879654675989057622657485581007751 + 0.0j)	(0.0000000000000000635416216467987210335360974539608532356160173165150161501308633565018929689649925228753890146120893295631989621280111043 + 0.0j)	(-0.000000000000000000000143976880999317576119695216697821814728473650211566763776086682467990064118470280794960915832661721777699799080272847243 + 0.0j)	(0.000000000000000000000198440026906632488650834510714215769564181622920885726174838314599340490812737158695077703973043226203869307558028301668 + 0.0j)	(0.00000000000000000000703591210155639758801064096104757384468116853673998012822501141568311576256167077914898167523302909291736832589519572015 + 0.0j)	(-0.000000000000000000000668632430100465484258597313014261857716596064301509831625387330288309858213787919189807075038058570689439498581465223018 + 0.0j)	(-0.00000000000000000000703591161173986945004311656758271824739461544957139195364227790480076531673664404269080210621392414081711045058228396398 + 0.0j)	(0.0000000000000000000000000168765624821983909777305173559665557060756111051581377359642242195144170294509766476729538349124700786995977304531477134 + 0.0j)	(-0.000000000000000000000000000000424183715425589257400008001087390434813664447619671677055574853307929742254229779192352623781959342011854652681376407129 + 0.000000000000000000000000000000254553611897305827705863300232372605112217929211721778274625245407424478435943065755560403481926835534024474622259138509j)	(0.0000000000000000000000000000000360385351989209590019218411939821338141727204998369057531982594625205615265257052022943968256812278221767432834395991505 - 0.000000000000000000000000000000591832347240609937060181136931521100712537416605103748818893762166563707107763297267888127542470910804017461400778566345j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(-0.0000000000000000361609355335021422770900681362423643587570493233934621483654594743477204544449758007707584609347634748272245587714982976 + 0.0j)	(0.000000000000000043796894990690739166274902399504105852901366409483383437978532612620924538832877666468337745481270926737689228040236246 + 0.0j)	(-0.00000000000000000000020888256345265354255410067756485881271484645243112070760331471711955779749170296352340446427643667950980439099658036317 + 0.0j)	(0.000000000000000000000287893394515461450093995559291354580600771906443212481957176215936159990943021951451680341150876304860442971818767610538 + 0.0j)	(0.0000000000000000000048495828223965025742619792090457593731505820457748720361503544393378726583102189445773931221984388602298095124706947595 + 0.0j)	(-0.000000000000000000000970080282752493640870304353469927931681282754742543002276593903204517982434364864053520475337808784882709062497430485395 + 0.0j)	(-0.00000000000000000000484958248478673406255962428254760713106662999818775802177955513479721932138099354935288684040298047406272405328556191153 + 0.0j)	(0.0000000000000000000000000291147141593496034015810311138157406078606635902172497530040205361604052663489629567759220280550987607289901268807796379 + 0.0j)	(-0.000000000000000000000000000000424183601928295303839005439278461398698847075374418609003542261508325687929092660457731818412746216669736024206366139776 + 0.000000000000000000000000000000254552892718655917056274106589744038082215777706725606162225990078888329752790535346611634784770853653050482444381802577j)	(0.0000000000000000000000000000000360386886745939824304801029008007464967210662749162952929710706599440647034872163016453343914757713341680794416040699866 - 0.000000000000000000000000000000591831862581829973452927785134693902439629535176263351641580105654580218022687576204684237508238894486215725841267359434j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(-0.0000000000000000249241930978696450503824970968764089176822728355066063853183927839041120832000317229553350679708337603969642818786093779 + 0.0j)	(0.0000000000000000301876748736529746845419437880104271913364373946433089780702153903610632364861807902890560211948498805131190337457606229 + 0.0j)	(-0.000000000000000000000303040982245457937505496619487155930959846742691724687683431960051836042052865287466177097364084606185591923985026095615 + 0.0j)	(0.000000000000000000000417656083891355475319359017976933809434454890682984367040063704113591138356581402740542533758640228507295162093644493597 + 0.0j)	(0.00000000000000000000334263154813414809604550210197250524738744526845221408146654976267653169930021385899112021406842148042230536721006322372 + 0.0j)	(-0.00000000000000000000140743636558612833902394211462330524244280915141293773300584723806347211808272023454567900784755062136979820173524915552 + 0.0j)	(-0.00000000000000000000334263131543538974935166250256078541905477781842109758730772587153129913440236913318572527622396208031591670927444288952 + 0.0j)	(0.0000000000000000000000000454319883081300428439690586586442025894635853600792625757597065677032423055902270055395210364664895478725387022811237997 + 0.0j)	(-0.000000000000000000000000000000424183363333510788643301465742972851394492003439016489770523760674469961992981831198052016827396217263427088840462215764 + 0.000000000000000000000000000000254551379069429073054806743241961784627069178329055408685774013394251207442904732312570982881803765716245023536134260966j)	(0.0000000000000000000000000000000360390117119261663287010848110583478175250912598403458662151073041461860279291361896302793209485164455348195396664129214 - 0.000000000000000000000000000000591830842762438407093460723516941384911035045127795783929120554517948560218306847967727394805780053150878794340597380173j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(-0.0000000000000000171790806509132539567162881580977373887537267786978597861555577298533508870458949404930238824601971635753038989255583977 + 0.0j)	(0.0000000000000000208074457830561905271519053884384027738416234025510743154663708514898502216076324482748844347627588152514749745028671669 + 0.0j)	(-0.000000000000000000000439625166579450500709857288470940854758054389958756512250145025964007222073773449608831744125187106558274264913725210499 + 0.0j)	(0.000000000000000000000605867230313664273778279916222395120934728413873435809935393492935651443855896960149496956770861089282567291070834037424 + 0.0j)	(0.00000000000000000000230394949044147839918104521621122613512853463694535688710321441000351238759079180219008058018207754576622783134025557541 + 0.0j)	(-0.00000000000000000000204198766333886524189477374666081405662199253012420458522723972176669106178265077914683110800656488400554467465929643637 + 0.0j)	(-0.00000000000000000000230394933005496190143492666951390758298265543763294628422434663419195635315109432130403816031388895343758954003885829255 + 0.0j)	(0.0000000000000000000000000681150806565435437488991368318786796040715671435485625070330099893480110172104287849362121512083099182941497584832585716 + 0.0j)	(-0.000000000000000000000000000000424182861527547538150378678462034206157524739934673637319292412020193940867473057340406526157231795348805017277843682857 + 0.000000000000000000000000000000254548193105036567765626695221437440993196594097661094859209674784587596605198950277488846815764664318270034711635258585j)	(0.000000000000000000000000000000036039691542507661295048465162197682017286731520330406210117321111329759911104774473516465079245565722828768734951744666 - 0.000000000000000000000000000000591828696359692486372497351048192557197840459477039267433536862265610267606156088194424204598284221557265853576696584411j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(-0.0000000000000000118405855620583391092673881026744865600659737307528195643688369935052043278931669180957150254827010126732971930473157855 + 0.0j)	(0.0000000000000000143421314944062077414606055336834041213702806262492031693952045169793849130195156394159801196429417919061387442774704302 + 0.0j)	(-0.000000000000000000000637719759878722226423515993279979561056572090573399999739563800734038851932420432830990247659114710935154856338379849457 + 0.0j)	(0.000000000000000000000878783869206439428514611062637040537676890400052863942708469133235654054825214583136057859787529073817663116892904953242 + 0.0j)	(0.00000000000000000000158802769002649062132248457791686025156054104156483126239019459063898770755154517262466606370618533292315299709770695476 + 0.0j)	(-0.00000000000000000000296267836365747417096639544404598541329437897744827588432991054654402181352302048234554026834126863033927422197727285104 + 0.0j)	(-0.00000000000000000000158802757948366567537399273137621225677338429473565625797950058289068293127348754941434038373921811774452459440451340185 + 0.0j)	(0.000000000000000000000000100343930912081939791812471172877437572201514649880967783046506771111150364763195631760647054377845539850243999474943561 + 0.0j)	(-0.000000000000000000000000000000424181806388827192097053415102280369476621769095087879630293721395229197836509969928481035659209092605405847302265437996 + 0.000000000000000000000000000000254541487113800686546776383389438791152872275682785774885845057952449152225352505181133880622482870856589276100494542014j)	(0.0000000000000000000000000000000360411219289291602395979408185329360879159722827281453775676160098648367489562371307092879049261387135119576290217157031 - 0.000000000000000000000000000000591824178469531081664257826310178529588582780121777263607905500663107589747943161699745094204440314425727036721986427375j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(-0.00000000000000000816083835642509778779983843786561213396224571599123810163738519606356703898373027940664970171219845858238816239225233048 + 0.0j)	(0.00000000000000000988600610828919517053572355518688123093912393390439893788751513769089585028295511812184338262594368262141994867444344236 + 0.0j)	(-0.00000000000000000000092493825125036656331464788637970697157705049818355450604901916298272776118684586547707284582027324096093518016231254401 + 0.0j)	(0.00000000000000000000127433698092139646174361163294892932131358660505087256968693832565010606765816628823832533369912391183668687806454469132 + 0.0j)	(0.00000000000000000000109457266682057315794194062058732380354404693128055648877840046853949961020942699323184362746447240018588842974235064516 + 0.0j)	(-0.00000000000000000000429862704277284268743534259632354708560794688474730169062458298314632614778950974717029969804629195420990286937908988224 + 0.0j)	(-0.00000000000000000000109457259063548309473133530106398741119269239230578636958879361324936949471805320918821078010327095054125410808844135365 + 0.0j)	(0.000000000000000000000000146639771735478979747332832794271470249434897414720950603752299323479072293362873437938030260684018497110075458311119686 + 0.0j)	(-0.000000000000000000000000000000424179589578572120211391867509297654786265312073299710805405184582977747932240933782618845186646543524880221081736103622 + 0.000000000000000000000000000000254527372083146822543845714277833452360047734094636000512400263458269785191088670252599430275180709689585304688418851344j)	(0.0000000000000000000000000000000360441303150758042424130788724790002075549306472420310434460283456794937366832515436086386791950805882919505949198682358 - 0.000000000000000000000000000000591814668493221349241738408947508356972442214510564076280339105264326936095297003534380982010865413066490606365528104798j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(-0.00000000000000000562434395244496556745945287778355059164845696601644729294799076539842000863557466282572302781546520082912285704619378552 + 0.0j)	(0.00000000000000000681481081383056670742669728249302102345949213339971399344407356915153407387233116939923666955364321940646738510417910705 + 0.0j)	(-0.00000000000000000000134113776677405393702228498547488308902512079643860010794423289600504742620655976145313080570936292120034626158687362777 + 0.0j)	(0.00000000000000000000184711629096950778227935344409534849594764924695291441317710624055215905310400558488321062282574219794381968179269630779 + 0.0j)	(0.000000000000000000000754456304321477080037464524201825262863306160785848951527957648284303577194940016680800325734623602281662338807035915059 + 0.0j)	(-0.00000000000000000000623737052438795236393373061416469569484815368040973273533779926430763101676965681173350290298690754213403835726862621923 + 0.0j)	(-0.000000000000000000000754456251821317007016228216469504890247913692300015862079253858385229055440728846788984061047459402930837132367870916557 + 0.0j)	(0.000000000000000000000000213505499731319902715137785743454402304963662379978499769747522559638306127849767904572282560605245343613082660558152844 + 0.0j)	(-0.000000000000000000000000000000424174939998521405088699684669268776507250635890838756658119293342953536288362836056024651740002232918055983162194255421 + 0.000000000000000000000000000000254497663055839191600211616182857559612189043889360103757195245644504875564530438724378682912300683481531544281099744189j)	(0.0000000000000000000000000000000360504528312094164495988324232511532028190212824142497648555730084940315091308865056888685376583005903952537120847348479 - 0.000000000000000000000000000000591794649371627019559035156897153470077821941442687653359679711221735576052569084675822229215528351214452975120041517236j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(-0.00000000000000000387576665800421168533574627716703383809267977835175849182082037591026193732136196593559019290305389358046159811630148828 + 0.0j)	(0.00000000000000000469830119185190412389349633415005399660246451680966020683031676876787634451791333647770996828885462629960345634677861698 + 0.0j)	(-0.00000000000000000000194358990054029425388704965921375106052262674351484223418559587805316399847043050037687854435173005692496181155243444453 + 0.0j)	(0.00000000000000000000267514850859037179838422435848818287061943759452687958593494207585633264336771449279086194402552064799648298675660598509 + 0.0j)	(0.000000000000000000000520031684427866934159327112541939957668655053104390010896686684202953834092280239012926206954056701645587617610610750346 + 0.0j)	(-0.00000000000000000000905155518636542880749449878054701989385673981780786545840400599897200041477808716197354811745296259035870834975343477593 + 0.0j)	(-0.000000000000000000000520031648257793434630496067832129354964088225842272290917627612468663565198821871656021963942145383205131960468170233138 + 0.0j)	(0.000000000000000000000000310355401261147789785831103391196177440006546552343981457048125542308167798736478779964585833470558204261584903776113877 + 0.0j)	(-0.00000000000000000000000000000042416521969919819973050724337814670290573886614050723400694364898317823220376288998289802730695134626923203797979859603 + 0.00000000000000000000000000000025443513607046927059919014799717504678637124899162445903579658930742652659354402813766296793062833895005530521598225649j)	(0.00000000000000000000000000000003606372187625063604261424541373702499977297385093103536024219411172334607722535097813326649946526075224294301429598314 - 0.00000000000000000000000000000059175250395538447066835326686866228465707227267424457069489504693597069630959973645319830659454758045472523392922119311j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(-0.00000000000000000267015298733829216515079305014994943338029584868297415923640424456690925208295983301082961108513172292673841993269039277 + 0.0j)	(0.0000000000000000032399735040038441750340544922057381952146479284713084178961000165527344550670653190244672425977032677788359815562275664 + 0.0j)	(-0.00000000000000000000281391457643560534473771558528295286011483339268313436680327289925573068750842460448445086007582908993064126325320983042 + 0.0j)	(0.00000000000000000000386858292595655572234069328764316890043090774095696259558151867574870998567054214699552176515313555686638747660114202446 + 0.0j)	(0.000000000000000000000358458210528031997324328857397258254055446231425212134973096056775404747093666313015554523848900258074207390113340851653 + 0.0j)	(-0.0000000000000000000131382425189690258963265829676661588437330668095272521576095254607139331312817153532363135066376657714624744470206143424 + 0.0j)	(-0.000000000000000000000358458185620729555915830350003863220959365798227399630892137068366376781093608124275655051982980871021299579392924307779 + 0.0j)	(0.000000000000000000000000450883292749351977992669141362331509229469108952509848683081950278288581208377803948289320572576281394969359051029126279 + 0.0j)	(-0.000000000000000000000000000000424145024971846413208199921064320975724672737543589597524470181158930274435391093235073210899317174897514260141379681749 + 0.000000000000000000000000000000254303556655697182431376678685471432306947040544200894165117957330846454837764904566341003517954511883440098202453220131j)	(0.0000000000000000000000000000000360914975311576354995133732424965209610765972534554998226887441898731484907532759111115319985703768989804352936572461274 - 0.000000000000000000000000000000591663760301026349530585770311405209716565584267259866741864801693864828574057256419312554671667630768975864217222119698j)
