m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
100.0	(0.0000000000000000000000377356912377219469669908468366344707574697433962151368090951747899790343859187965245767662153117763327035231261961155283 - 4.4732782633351871520745925791757448400358461611625600265641960722116987020769599736252719324985552650680976416460931098e-146j)	(-0.0000000000000000000000875240314894654282340425705013356228242072811702470929497285590594816695513268850405558758067793282480737996849118901779 - 2.0836621615892351599031838236778898611981083286642922775536568813342467865187622146461779961221041155276444590645282179e-146j)	(0.000000000000000000000117891345808511092341392562824485559989881463838728123126131594257557547721071253541728263192319684393284394601724942444 + 9.98194005528336784761098291450877168410018192804975818146838063011074616852404832844016954025524035251501712947034266943e-146j)	(0.0000000000000000000000921441554270595171026685880892614980304017722572021664827384702017693025452045039385930781559706157435558755360358979226 + 3.00155772504682878476549877991698498733416458634234823231362284994367834691696997289967215619377883617035442384641695574e-146j)	(0.000000000000000000000049197457229796228299525008204099421820882013948228482820475080614884875136828989179111634137213857092251184294139313087 + 0.0j)	(-0.00000000000000000000208587807433492767353752612574556457630595469071751602238345483524788992283343973752916007037356841141673016636877682177 + 0.0j)	(-0.0000000000000000000000492020819865213392373266860975995351605385833849842703477915345073597127580769373726588545683559808629759703859920024032 + 0.0j)	(0.000000000000000000000703706332470287319796996097101122523179461608054857579639615026925759261260279786154971329465232449270190003874096716586 + 0.0j)	(0.00000000000000000000124775588262272825308867129998271247081812534470727215243897285824088656527890851125721122837486937602464694341375080528 - 0.000000000000000000000945446882162246921797887231962799531263787652410188503289100077673186822216242638856912124154365981779353100955899886996j)	(-0.0000000000000000000000801208590301876104858330609218624067385456251642729998331979032377039262339673835630604445624007696318235158323679797093 + 0.00000000000000000000113305338616641071935973233600717267665181781301241548608908609188306033595730387015332434689250996617146588548131246324j)
101.393945767529198239448673743258537554316223680320403095586848117740035905171401733534167053858112059551477572655230694	(0.000000000000000000000037362345687347751596978336167264407149071524572507593871567365944263650653805860605874858522350440219618689938622810782 + 2.64916130814972882576160956388144785303908096585237858938647565514982358330102510337041160197757272123880723186016807208e-146j)	(-0.0000000000000000000000874552055449660651186205600198613491332530392347157789478096891611646439615534299759942473765484081424914092734446275757 + 1.36154845975414915927491972294999301264525610239963354882310421018569695507891872824483318810809672998962015362197550549e-146j)	(0.000000000000000000000118028588168868800966030122097935014149401242652307729811034760420585799322510269608658944230896526478618024608433581311 - 6.21523644564735093426280163707914658708963197792920520125279038187091006245492147584361350690424932063860765491254437524e-146j)	(0.0000000000000000000000918461547626391983122492377218067037753001306692015716386237842953772489474475856078135329344168726606679932593399176314 - 1.99095656729736909555361678878252577347688868732857432144602457554433152437704094535715297501990042059368636689749684569e-146j)	(0.0000000000000000000000491843411662494482421374585040040396737205312210971526263052377448999503428522713078618648412195287935647943485658135445 + 0.0j)	(-0.00000000000000000000211951596063504081147383695659464486530587548832002419421278257072975201837181825397631702531932363330676659175744550453 + 0.0j)	(-0.0000000000000000000000491888936136343911173298102016808498432779843016201599910711752572498192258370161511739294403360269476423819911807584738 + 0.0j)	(0.000000000000000000000715269278752798033862207546446341947563172978932875382383942970452051634661129863889723380486369559008528965707951347569 + 0.0j)	(0.00000000000000000000127024904262166553617808670762977890834194686035111938532790521098490013986123200939810614154912001818926173483056863599 - 0.000000000000000000000963624526786176526731086123945585059022538413613017530055085824679914193999748625689837023830134992121348378406990664656j)	(-0.0000000000000000000000792065513698174675294977630248741520635189618354617397360628338488711943383392487930405448108529354237878699411619121827 + 0.00000000000000000000113935750686938919419460553728683145576721598803099132947285618187443121733819783188254054531128604366022694914233679992j)
102.807322383086522134705814617847016531149812217401048462300039961606488754401860109146605301088685268735300416256762244	(0.0000000000000000000000369838127945521556780774663090180083322045504181638256891302662448136610194445870104572167652005383649132197322575653493 + 4.33674971340117559177626690625157925065559474641647484903506127901360470589481477147075640481722615708824558148444111561e-147j)	(-0.0000000000000000000000873742696216883087623609528532058972474088324423484311118061287145150439848102689277420114833573955921654451520091630193 + 3.06673967637682517414482544205661598083044901968232667646162460750455229337240986769123322347229404289622004217537609301e-147j)	(0.000000000000000000000118149931276149161838360535181748492767674758800766470305708531326169008026255844626697571155778088950086320091434906107 - 1.21457022069006558485317009390340362944728872337600833374631224001683883972323671787044650556358269228402937908572693969e-146j)	(0.0000000000000000000000915359491728021464551867693840064626213245768165388705581624589126233197812292103669369442018566412086980044943611724938 - 4.63190260974491753486210721910971168387254291096759256260929446082779837952564898178537337254620452637627113332490932466e-147j)	(0.0000000000000000000000491652615474740228644944251956001059267615081263706919879124073948845997706404521300423099942525960849773923556141062551 + 0.0j)	(-0.0000000000000000000021537136979455144084492751782540653762835098623922747072129027797414875758597800472664443599832699021244644367503971244 + 0.0j)	(-0.0000000000000000000000491697415329111396143601447791488885998490112844057017639896214856845453433324450276125319900103974145351915558418251793 + 0.0j)	(0.000000000000000000000727025651760373541901732734978270353030882367039783542778562657033926777710668740351451426411684896730338887139592847125 + 0.0j)	(0.00000000000000000000129342060037918787009149213606328140170666362318149445153131120289574078039159751982257971390591560615270562710170281156 - 0.000000000000000000000982100439023546643689153264488365747172138339152072152715066719712700300743243709017454110150088995718079833407862584122j)	(-0.0000000000000000000000781858222335829760898857739386486952989909377761556703921293270643961205043957208777800129957102813123889839066274738014 + 0.00000000000000000000114573638795695108931667868634983199919594031596132713262941836258811916872737133093204748329311677188145415278326870675j)
104.240400702155654774025680529278637258147351835424773002036819000845599326037820311345896728609571349778187060620798083	(0.0000000000000000000000366002824216843577041346741552441983225786698836943040392684087090123007531549814472587884780576582135361834036454552403 - 2.32147481021968338875743963956466345353259972404549507786033615217605684865630479570654045376457385547684228092824110792e-146j)	(-0.0000000000000000000000872812478975862103284042853599806828485290148804498713659482706332787861689106062869684370974987744357184204592015836394 - 1.12800089609066037877072799088795203378447052064352901852635341491889563407450181899785392473108287619281553666328553921e-146j)	(0.000000000000000000000118255286596913774536667686376042039759759307629681944328039540235647531659769162924967468944028016014483399816415975535 + 5.30986521715757656131208261669553605658191791262035253048940857656286139590163277295893367087626053779360331471805302783e-146j)	(0.0000000000000000000000912136807090323859726980701190550586203475728355966613810746408496283604264200487633771285266155280275130872310096565338 + 1.65814997495607591496807179891078677929436499605993353233757324885535042508936221925864988497375173562117651750241219384e-146j)	(0.0000000000000000000000491402186593065677272936060105343389802276316450837203308186034496313902458296889214776980016039688894502537665229003883 + 0.0j)	(-0.00000000000000000000218848051619144358104913794780530672215192328243154600215126673900852592859216973921817993665195652534092490946395279557 + 0.0j)	(-0.0000000000000000000000491446260637023859466762407472210245473850143113736241126107761959942540466974378418238757836042281605644804209581921793 + 0.0j)	(0.000000000000000000000738978595235946497850737594417113931829170082686974430085177277214657241038632350539852533724940225630868870785173028435 + 0.0j)	(0.00000000000000000000131730355174006780554583080460961939122625882916959087021508346731857502752321250093824210664934807202376937892269951596 - 0.00000000000000000000100085957021387551417034760730120375385406512731131747031974692328706493219686758903219222769422907057711117277887580524j)	(-0.0000000000000000000000770587764988814678002253423580207428809860824679848144184182423445451593376925851623793499783118546340271148420543178213 + 0.00000000000000000000115223277179970844797977066892960236813787654102430836865003209209310386049270417367059540627920870667068082160643591053j)
105.693455355798830166809395586430583989156854235949065917720406648706484442504640629006160424549607431905225327105429108	(0.0000000000000000000000362119473625841404336093888345433934878396201151974779029126263299242554847467795419622414600174039537540004333192037275 - 1.05233637044976648201991431309988315687511563908522583781320737346186930018338072796264574644022845037524895854681784835e-146j)	(-0.0000000000000000000000871761713282343517819637643103475981715644963910336589975989606285762810805639639475206317134028240800545038616494868075 - 4.37879880045027771990344988379241181169945165382441681291279602716598333261502191260338090674721362212591424953200405457e-147j)	(0.000000000000000000000118344574171118551373556513978961035031103767181461428036605481875947026766414012892692265989496121581407351534643726276 + 2.23663592866695669531617514683099730566245703943725177151356096825380439349483919396331276254198345282801075625191564665e-146j)	(0.0000000000000000000000908794979022725763724509561241227902560691317542178487074090282763880353033207850626631213665037089441190030455768750567 + 6.34281703104840420509360664412127408776257642936866201849409500684642207324880274805876570102960579327549976075362583022e-147j)	(0.0000000000000000000000491092155614426626591736954692638812020535151339374721304440434014470192274084901485389210321744619493143957506346477508 + 0.0j)	(-0.00000000000000000000222382578948469575332071931400779116476833236596036510881063631289072109108245228829583727106568646868210846640335724758 + 0.0j)	(-0.0000000000000000000000491135502990313514531866620380053344908194049206298647089217503109201168546542934147255557106639743685881329865014798613 + 0.0j)	(0.000000000000000000000751131300997097994146688849616036930467310049536475558712520191114656760426226844810338230490203035886879777320031220524 + 0.0j)	(0.00000000000000000000134193221179214571118202277218655800318035518870804810812971254351331316938433984570503384896922578786254919122044366812 - 0.00000000000000000000101988260691244296260002501220167254570170921350289275292602635658856939502624490614060306745144981094860321693786624185j)	(-0.0000000000000000000000758267312707499842074864051248630482092900370759791738990112830215469956424054926989642546215009102858855657639140612269 + 0.00000000000000000000115889730504955658180152533734014723184220142672727504273918350481591845853605866495981578250912055133582950746415044115j)
107.166764803286350653910511571315427878405849203900579427336317258117139049102468551335788816346492830899289385319645615	(0.0000000000000000000000358190031354617466580222183531452623831186535747728186491581323104453489050050641024866377986933789211587299980109119748 - 4.73041183112927146317690024906598671711857666527329735566225996067545856468677670111529476253669603033883541400241523304e-147j)	(-0.0000000000000000000000870590776229443157859896236902301638300857952497170357896619422719384067992902029156529118998060119402768070911760572975 - 9.3689763299722841200846559243158746701414039582260818130692434667182596264663664876495931482552090125572102158867384145e-148j)	(0.000000000000000000000118417722714213355618698417918178461699073000339652585526789982048919003504961355640399558475509157034637709973853400142 + 7.61026310744420285302478250703986096242260832664522309239671184363315233000623817602110041336085085460799845953535144188e-147j)	(0.0000000000000000000000905335556115785111862291007611033622921281494236204673672358543832091076103174698273275820506526321956401839233268560798 + 1.14065997005789021252924171442589254754537090420768169419944950875563604551552174364585847457145853297639113792582401865e-147j)	(0.0000000000000000000000490722580888355509051295417028835129354239099389479327405756018136440202419805103778188051994750613752794558942813656914 + 0.0j)	(-0.00000000000000000000225975903827310423521013456848222684577192734384212775492075246189798160590567408999487757681476080568654866255062824725 + 0.0j)	(-0.0000000000000000000000490765201069603714315170013324917576498551728372661467603177055677503139528978576068316236895984853088101500676931521323 + 0.0j)	(0.000000000000000000000763487009665065316481297282822553271665602015663363536694004979097522006842792699147201270187695272884669677240683021079 + 0.0j)	(0.00000000000000000000136734199599477694241992321680462621929259558817656120281548139991940095426790744788314194077885133435605418089983369858 - 0.00000000000000000000103914512585722534983072414971780714994567248110403462350007028438244960448914618966120467707748927284138411029731808424j)	(-0.000000000000000000000074492470112143869798864192216235621129686927963748209935924001025259090312125528534055856520272238451344436300960951387 + 0.0000000000000000000011657898693448700993685787690773559918951845656738719609282725901592572913326863727549060315713258094078393831011214785j)
108.660611385459731248352566284291661672655359317901808345821563119142453185691423294380801998862784645011991301972345711	(0.0000000000000000000000354216477723589409403073583280170978885225539193718758167122463145376987026542745091730859207735943590456985127891869787 + 4.63314358538817800107501199502993646882300157854185933939200127942676406466850728136189037721790258508630836701047844792e-147j)	(-0.0000000000000000000000869300112128316424172221697048428056787544052877811963098090382521683602881615222643472151590017110150252071794376838514 + 9.48380894332760020215654290715591997388088943902222704263056122199627306973985461967689494776345187562839743168057413322e-148j)	(0.000000000000000000000118474669709410916997826804342354544413466755881425212034297618409402916236962483689546511406622389161204161284153851097 - 7.52033279735647534154230270756402555052929898614785077388139258045966928958193545949160325606916820840895786706683778236e-147j)	(0.0000000000000000000000901760148655962317117727218872305852070666552671390410963636632687467335986105072453332841244053064517291101238152756844 - 1.16057231579278471105372095809062593828665183741876447057212260813130589364113484683729607454216886601523801580406887963e-147j)	(0.0000000000000000000000490293548504678403459702453630532416168327945852606562674059676009111165776891209853349427605964192074868183794272549152 + 0.0j)	(-0.00000000000000000000229628993152423956157068977410241930731905395749669384308880923185784052819604139652197184387547971284659346088725367316 + 0.0j)	(-0.0000000000000000000000490335441293310900146754268188217579112163531592496291776604796507933228170950025536003486171921682840488314095948121064 + 0.0j)	(0.000000000000000000000776049011406333086607058380120902838399437106442020197146157688993557309127214717540266542551491908903744941229485547358 + 0.0j)	(0.00000000000000000000139356905886855961753818861665152667744204539322370783409323722338490139231932434836525590291272948289055466721886674195 - 0.00000000000000000000105861656066235831844043823169909474490475923506216082244985198343939558915517715326457794207402425909226754841304038745j)	(-0.0000000000000000000000730605365498642266980322879933219297142743660208407830650590402181484431484018518821980075058270321956689296405869802698 + 0.00000000000000000000117298117216209407666148930831083985930576188254657175408189622713139812368685963110017635215414062391962012521155454824j)
110.175281378838697268004571171618583794893827072998374301789548393603798983099000358678539681738589330646884655658050483	(0.0000000000000000000000350200816055765441768534283788377640904583887074613903981082471868182471279188554481216325857230328134061069418074277333 - 1.33434212415756339712243627241993765116687582100174385261179707998188344705621140699848559645301099082558244674107951687e-147j)	(-0.0000000000000000000000867890232108825674486601763679086154786914236373395832702238537823675046743073988938303901445826270931944648892202339263 - 2.82339415830113641288250173085482790650631992179577429062479756961068304985898834234147462844579282314187637324410196502e-148j)	(0.000000000000000000000118515361489939199792595384335937372388860339465368064192068110748585045652981114591347983596695641890695075158517887595 + 2.18586339687463541614052046147223830619645343634152548325931184210443567977366086202492279243525388147202660229572961352e-147j)	(0.0000000000000000000000898070426971424040850442105203302930638203415361653300510121849590736803270478645147383572405874351654107815758221243513 + 3.4733224960025896900410623029402018228627027176668361646975731954620233251681346477494534481611787454152894548083508127e-148j)	(0.000000000000000000000048980517225494202303354644570559495977129349036361212322819874827762379114594092466681328367298695211527330639913481664 + 0.0j)	(-0.00000000000000000000233342828894437918755490943177319565444416423985505464317683451893072426731308192787588946181824589553813649506986533843 + 0.0j)	(-0.0000000000000000000000489846337778762016104944859001210145043088466721326838078732955237647262481176829670454038920036982245830490871341683721 + 0.0j)	(0.000000000000000000000788820646687017839333090254711643667982070248051850459696715265569015985929908173195068227065252131020826939313679005018 + 0.0j)	(0.00000000000000000000142064972041880034533098005182038945576955535748153396275757850336353041646126871539930626815819213877084340447842856637 - 0.00000000000000000000107825892939075296494657581933176204805097010428885076185410015333158240449352024875566903232159674132670111474930764511j)	(-0.0000000000000000000000715375694343469643857070722447892437781668021148959974191255338477074921577306312045055637322960167073503218238578067145 + 0.00000000000000000000118055466134164606700182780658032279013820339650366660717448316350497632083702731452118508569526676035302087900496868713j)
111.711065050482404171694302400532746721070466972854540023523868599163664163307694746151915932036463433834633528147587677	(0.0000000000000000000000346145070514600780140328900520516273281917924904281636200579653303750806492344024529491907595727712423921593751932501214 + 1.56750080163973463674304661456483720625969591462777418049420782666536499054387452164126283575934941506166857536942975455e-147j)	(-0.0000000000000000000000866361713640859896738447745157635916878259413957141587056472092703384024843031156485604520007815286031350549630842977236 + 3.42923051623919734670725746288992045714825072023843128233559133148087945801012242839831260416573099158891671099162021341e-148j)	(0.000000000000000000000118539753311110698907008906955285767470010913097820875554050707808395795440781629673639006364446064054688611800896521698 - 2.59237352458932553975509088471967185039351145509574001583644673457390994094794216345190715479650594296325220038407353228e-147j)	(0.0000000000000000000000894268119711817440592764453158990520701292596093788186822375859868801795699655098293901091331703347699315462798743729265 - 4.2414540283646891553322720822424299760146540349816394918411554521681022721668193041646262363896041970582935178329062892e-148j)	(0.0000000000000000000000489257593567571531677445820602561599545691733618457350631183157394750868604850242528168590900105206848071293067575706072 + 0.0j)	(-0.00000000000000000000237118408323330336781261942406771385114149822491758387801486506249048575825811655444599147368226448032335810120029847015 + 0.0j)	(-0.0000000000000000000000489298032277048727386328694635417983660169799738737142889813920228767512258482729828591964047113209235155031855469659397 + 0.0j)	(0.000000000000000000000801805307040257163220922210043597464749509904167856959871627585926907812408642187400283464485833325059476209686099551528 + 0.0j)	(0.00000000000000000000144861957193814284827984421776426789725151012594318906670623054566756326068214176255327923225455542381850209176968499606 - 0.00000000000000000000109802525545462608387800732004673283797541180262138734554924394640341557818469145165705728613987412116545896017767510681j)	(-0.0000000000000000000000699326801060367980394712468687724303198822280135199746540145006400799262951237838701148430268839351110300839971999137444 + 0.0000000000000000000011886088462184522036311199685585856239118493607412664825323671675933803416166335199886761968750305038367870687976525962j)
113.268256713615393047241982102102600412040265953847870639615348943102656532119922909523461075638198425767143157027105738	(0.0000000000000000000000342051283919404304095048549802722300761827216977398570900808075401705858827357954975847160932619396288239733852569414118 + 4.60227433708715700185405576597870214896652549617603964333322317468446170167081396249461891895478049801551463156234174579e-147j)	(-0.0000000000000000000000864715199977120988327688056525506651431179540662104581213837989098020227425239324935295889528782131124399295919320003971 + 1.04120784509715622929696451046408089224935510346762458597976793784868959557051221380800792311918360614259555391448331612e-147j)	(0.000000000000000000000118547809412061922730696036672431436170064322691174166309594524216024106481153500131015879276564813919998241024795830854 - 7.6867290221631991265331231012760136954335776882289386117579938077250549895714130958450901198049448094989910397055820845e-147j)	(0.0000000000000000000000890355012065076204814423191051863625056165807835187029670693201113884531345430333636148771236706098599839844134782079993 - 1.29497624625712461169538393667049044925810952295353902258865388630766874406964127537429052876193773819490559137380196278e-147j)	(0.0000000000000000000000488650981416820947776496023111008845011021267183473750125085670702557263101028509501784620577296124038888356139173336408 + 0.0j)	(-0.00000000000000000000240956744237555224521164032863320380816932193433371849665056301127083022678558021857129157809026275216019612373688138313 + 0.0j)	(-0.0000000000000000000000488690694081680672661838867287135674359511141533715362799653125051793419039517959223888317631060738844078515358992294681 + 0.0j)	(0.000000000000000000000815006435846815606988093853745287330675304657615731774909859089129065661986328004843908543590184181349633925470845738843 + 0.0j)	(0.00000000000000000000147751208827174029594068189900260265375848039713494417257407366943538538353715133976372658179110239180699579649053004041 - 0.00000000000000000000111785759099770302051746871441532449617388300056378820503346285031158427568248276932083651431715161088411212330975682616j)	(-0.000000000000000000000068257865830535258799872011921809668626134907816965330813395107394902991891130278783946091638863758638725929549651508876 + 0.00000000000000000000119726013495063502244328944053559839898487803402996817219919311550036074623815543270630684389041737990919644164889523672j)
