m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(-0.0000000000000000952023091138335255778238419102771949140741779599865930542890903845249858576327511128724740738911324322487414124998244881 + 0.0j)	(0.000000000000000115290398751680874374988532898170397928979816756358434230645020514214186501565339406620011327527318460196379727189460754 + 0.0j)	(0.00000000000000000000000000288662187637668187373730053301148606766292639255151246275413253778962685868802674740785800201276650564714985507560978379 + 0.0j)	(-0.00000000000000000000000000233151631043395755209520729398213879917787390582771986717097583729290885953210199382616056004842828768436359033185835147 + 0.0j)	(0.0000000000000000000000451580826297061986131639287531119706733171428211209839169823679690537527682952163520919829441183133287584180969130850502 + 0.0j)	(0.0000000000000000000000000110364353429212165316514761518984167839039338449985130200064430661138100690683969042997448244661293072874816508678307954 + 0.0j)	(-0.0000000000000000000000451571934308180232718338972311368026374207728512368516542993432130994395756454700621508929937814036373469087732928628865 + 0.0j)	(-0.0000000000000000000000000110336237562834822017825333146462961909645074731102827651327962469613139631316221369360102858740670950229085896968410243 + 0.0j)	(-0.00000000000000000000000000000526911394476159273129451177926789047907154653646085976648777894564521517589959268081335155574018878044025807901149095304 + 0.00000000000000000000000000000316264049656272383966841753499630101434441276093607832554231277922822607295091021365659423318352760334810364567776543482j)	(0.000000000000000000000000000000447927708346466748385269685436701039184473371017817726470750273872621054933081933974657449165010521612168484156138995967 - 0.00000000000000000000000000000735158829738143508810616603464143467433647350396885762487240358901979540763590894138408536705768852846457599567254271642j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(-0.0000000000000000656192589421598012971158851524051047011536783528205515627160640583314505198007384549421076727079893283231989660607264875 + 0.0j)	(0.000000000000000079465199947887458494566910898571716561326594419953572540690742174113932432596234094562326923368274020450621179216453186 + 0.0j)	(0.00000000000000000000000000198981008281593224162584583972973774329964433363270276395791351692920345259331113676134977518550521149398108863519296526 + 0.0j)	(-0.00000000000000000000000000160726305498653243857224787270780580706928991982867300703009509662063484488042441868885366395581949533107131720180877427 + 0.0j)	(0.0000000000000000000000311257147541136050884782851633718681886659074089066981556080287257358612678763677159846911146713906001560884495112720524 + 0.0j)	(0.00000000000000000000000000760779295437490612602930949289765948775540666630920470002129325222177240195800976214595916953927581631247245701467157628 + 0.0j)	(-0.000000000000000000000031125101863810445624217142836180882416604479645288272858841025646857740317660785945518917415349246214749914503304792667 + 0.0j)	(-0.00000000000000000000000000760504888045874123962757155270163709225811115548360012962845002749376567075282872180752997129144912202577590813758049332 + 0.0j)	(-0.00000000000000000000000000000526911394120285730173476680133109945754460206688192154430426506475794935462569474891868069477148789507828803869224486857 + 0.00000000000000000000000000000316264049442669093089680129400671739392071386087291103538835936182173307557706584081343610565276533845152174461764573983j)	(0.000000000000000000000000000000447927708043938425353113188129453479437333451963116083500848954207505897582071566017427986803269735437951735315030204423 - 0.00000000000000000000000000000735158829241620601701386055434796095144145897264858394903199696254680659982664039307799742040377107718681123305171982201j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(-0.0000000000000000452288099062525818180610938480007818391074142989563460054435012420989497617175702257353985639671019313006021224858737081 + 0.0j)	(0.0000000000000000547722799761175296178996686800451913231802176134568083525037801588392358811589636348500723057839262700335257742369509396 + 0.0j)	(0.00000000000000000000000000137167249844640203931383041305611582343049829282359524175688769317652995455386238613426265214688251284925958343892986487 + 0.0j)	(-0.00000000000000000000000000110806337785414930609254883965123476865522685078594851823247820886428211190350895243281441369961704309568577851579921084 + 0.0j)	(0.0000000000000000000000214537478555027499684578700929483640288254785392721614726159303145487675701538676748855153048247061419798906530271835157 + 0.0j)	(0.00000000000000000000000000524456274382189655986547067197376487917840640256199810471003592063638655977484827540400588366361665679569481316108669769 + 0.0j)	(-0.0000000000000000000000214533254139899706315142374362549227474721921322077958528665294259680025579439459694296619314467027176986079471997165322 + 0.0j)	(-0.00000000000000000000000000524186520380607151276358859702360359145055832480169032648175605660355754165304868982183658848213297472030075081460346922 + 0.0j)	(-0.00000000000000000000000000000526911393874995901459411483315584016871873187573947959460401908473714818787712688236187668350656726935183577163497891261 + 0.0000000000000000000000000000031626404929544063042618444252874608258103128507461687256162238881137600115448135377043403725556105603806759870128734283j)	(0.000000000000000000000000000000447927707835417387454852525249930832615134084304081843984397738087259219747825176848351136097781511973234198568628458586 - 0.00000000000000000000000000000735158828899386622109090573802305662932133766103075722437587546338746184598411291946997982404081953129140114147814373974j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(-0.0000000000000000311744642909902942093653396848691674850826246453444246773112833200482452550837518158678568054422950281749250290549417895 + 0.0j)	(0.0000000000000000377524080291029742679462636919259243883738774631524202631112191562843033379573474534515827673682127991682654233862582857 + 0.0j)	(0.000000000000000000000000000945614237874790217813177423620552076552245518256898257377067831835063560308439144763198593899129362238707392802595868692 + 0.0j)	(-0.000000000000000000000000000763984403374924288179587043896818398151869062872602331920203224451913754719604596616675263017641552718552662543314369918 + 0.0j)	(0.0000000000000000000000147872362287564452561177841352006495543020402643875430162983303715507014532399002924216322479173202804648808190099290801 + 0.0j)	(0.00000000000000000000000000361567982471342542027243985151006702775668309430110674761646457166728046916522366667347316687062687550355432838371058084 + 0.0j)	(-0.0000000000000000000000147869450562077430439790974644130916827457399404953453839049227786712875393174104745502337905354880280038942295898193531 + 0.0j)	(-0.00000000000000000000000000361301435871014666796253078080512060591679441267051639943834169432810999908091118539291957295886384695279689785444065754 + 0.0j)	(-0.00000000000000000000000000000526911393705927137338726739065603179550423973507739085890522662690582935614694664050109308684592878390806780846947079571 + 0.00000000000000000000000000000316264049193961762115986658913813011025643846462259024738470340527035538169384540340488766864916022501492034686075344437j)	(0.000000000000000000000000000000447927707691691924579188373304940331405920029737999936226455985673698936768437243355212303907896373799654171385463164488 - 0.00000000000000000000000000000735158828663498015259347106959623803861964691434842221413707140941311931604151243281254487528422854873129380145437242967j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(-0.0000000000000000214873490053970015026163951446406306426436562855502779740119118374757246549053064443723349055942931557401661307552885228 + 0.0j)	(0.0000000000000000260212704713556267315042871022157097037059294786231927212924376250769077708972919020670531146274179540642410850217579232 + 0.0j)	(0.000000000000000000000000000651948805024288471585029273268928628844371963364041157120576351407702223487581350283282792631652058463833000475277268825 + 0.0j)	(-0.000000000000000000000000000526824112574237234880023638057215987473147919873742347390418168979673110282314751504038166444363348300791504606776151026 + 0.0j)	(0.000000000000000000000010192268348436936492819166683236812855793943995109883416184261063645184162272533131801702785077731412546422191364165986 + 0.0j)	(0.00000000000000000000000000249295401049962599419756386315190590240715065867268284228912461776947231143747852274526304566336498678323423104918711572 + 0.0j)	(-0.0000000000000000000000101920676544934462232443996050439669413073647460058944535955399816684804762281935206356458061174210634732516365795261948 + 0.0j)	(-0.00000000000000000000000000249031065186909251678925697095012917076310786792946326903182252734398829555989358118903247237815441973091466376279264854 + 0.0j)	(-0.00000000000000000000000000000526911393589394596394094569269154601071784034733224289149125933703918089570227009602507890157791190092148613922779186219 + 0.00000000000000000000000000000316264049124016314546903402730290703572930103356051369632839318410958625801271435590724306024400007028956558319113210726j)	(0.000000000000000000000000000000447927707592627538118132896966333605385302360673494102675831615631452911524420119767589021161082491516017779473462907143 - 0.0000000000000000000000000000073515882850090914865789744311380621002778706568303591285506706255791256749972200436229408088330579167055333200935727317j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(-0.0000000000000000148103961909252156209083233285020565894945034256655239705088081961679927115289231942950287443439247825618937614599605238 + 0.0j)	(0.0000000000000000179354523899246315789787559708408352657189906324584069377107505394678724598445293601006366235370004932959503779031907504 + 0.0j)	(0.00000000000000000000000000044953661309958555382392722621314640105034257730441414748158428236932173486679891899415376559717207112214764424474977041 + 0.0j)	(-0.000000000000000000000000000363358723296007767902267618271161942894238643359319909785469701605096650026630709432518358355156674550597114648990269329 + 0.0j)	(0.00000000000000000000000702513522196999332132522353288563844953208101942504606800308388841999603470499702312635598784716730480394020143175488496 + 0.0j)	(0.00000000000000000000000000171910265598507764184022732588967678748029445354941121251519691484999106826319469649643053025040427714271206609034062236 + 0.0j)	(-0.00000000000000000000000702499689141951622386022371224352116543536918122293915173106377944479414199061053631069196539591537480514671139247304409 + 0.0j)	(-0.00000000000000000000000000171647453510905831437405919425557763660739279607760946538433957696646429555957836632433728144566323961006154314850454704 + 0.0j)	(-0.00000000000000000000000000000526911393509073236196008888272092943342377958577434417941049175593561382554915155218925707807330844577146219014623635942 + 0.00000000000000000000000000000316264049075805630708112196237690999933045520975852331744795106058564158814787448508400340096626725836272454122195890085j)	(0.00000000000000000000000000000044792770752434629921919407273608227252831463529119675832112751285010390197799270159575663732109374582113975853423326672 - 0.00000000000000000000000000000735158828388842949700660222908085375149687394442049539488043891716347513163898583975939389088220305990322864292983913458j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(-0.0000000000000000102082316086318279471257727351878615498690341601550890535850732914283473400951327867519943446474806915398922505931588551 + 0.0j)	(0.0000000000000000123622116276753537127300113035200078961890041020252732579010032974817584779618698187073798584363114791040159891034514734 + 0.0j)	(0.000000000000000000000000000310021740584505013075773523820809638242807214577622249992187843766919407523052144353696793931975500672681335991478499573 + 0.0j)	(-0.00000000000000000000000000025068837113528443386715894311964248154283598732439481291705754118619908917784015291538325788099991143920435680035033414 + 0.0j)	(0.00000000000000000000000484215320801257217727006262432441926875618554113366073281171961511084201467848954249672680388409496651439371182915230834 + 0.0j)	(0.00000000000000000000000000118571693428466743033027866739576770481721554068714933032194871235487536428695528965619677036916630834788970004029130516 + 0.0j)	(-0.00000000000000000000000484205786212988167830931498328591305824692579430279847346619750002097510746555950208710209074627536150912883934871963129 + 0.0j)	(-0.00000000000000000000000000118309931620177653532454456318811772389810521376096238681784597278156479156240396773708318255078605246045793665564726446 + 0.0j)	(-0.00000000000000000000000000000526911393453710838255620683616436902974695836494289023076944040901031965434798999699123466926462225169186034368477064301 + 0.00000000000000000000000000000316264049042575876417608864541922741917111118909755371126540148164437228381622379302234731088815598287620353128262118554j)	(0.000000000000000000000000000000447927707477282689857211922347474583805201941792004427544759583468223847808918246120673029047415400370053906676952918166 - 0.00000000000000000000000000000735158828311600065777422675833759120381654029225554400204442346104718681624760885257855034834608654786451705171179927957j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(-0.00000000000000000703613807641670869898624054892272368838254153176072688138028409775957721230851293657633249282797245304852965528119633474 + 0.0j)	(0.00000000000000000852079295190110897400419179034151286372117132375080453443275824907197902844300878225460191630408614982314425638004241678 + 0.0j)	(0.000000000000000000000000000213859550632496232649662755893043943707326498953404002138450793367968145807781136575644769678930312992918167005826606242 + 0.0j)	(-0.000000000000000000000000000173029067785614269589401401718356447160404202769277765022267714232823252529317692363026211572763739120426884082814024685 + 0.0j)	(0.00000000000000000000000333750838195432267275117402173586697353588356565976145956268345379613320832356453958573030507597573264155548285089914631 + 0.0j)	(0.000000000000000000000000000818074845930969532958788036318774642489443098478508840672439788251995133036686402302879302905254092287593009421531870277 + 0.0j)	(-0.0000000000000000000000033374426637357958784663767103035425223385821013490938539172970724121430022229891995525251437319762434218835755999053382 + 0.0j)	(-0.000000000000000000000000000815464467015986946826947956388972851276862837010487625877992292777295069196168221400921506617784112731077979460623894254 + 0.0j)	(-0.00000000000000000000000000000526911393415551684845072907675040342670306293558592674503865008941025461884428651033431425795950446964266556562742124286 + 0.00000000000000000000000000000316264049019671895756737342900817558606370537272645727268735656169858620364462429028292885671868926564987580925784540169j)	(0.000000000000000000000000000000447927707444843569506396850811236523373222869181801160072640726752008162260237938840825323767791297220450672929205367739 - 0.00000000000000000000000000000735158828258359542115970742037995365590211485334576685079380222694407355550146397880981138804393070899367261113726163774j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(-0.00000000000000000484973704802779689504996220742953072138096120987722224332355589561467267370507157659990550075228689995928508432847184001 + 0.0j)	(0.00000000000000000587305206472742003921445547083151064327423610662464762901391781578891774580611231543791202970153065084979782437274813565 + 0.0j)	(0.000000000000000000000000000147578683165015898410355783627683362466622152210035445253237183683561134821974047688596348671944824876028025768601969335 + 0.0j)	(-0.000000000000000000000000000119501522338643979854380665532668479628150246494187994054278413688904683181529468436282170339452348464079083169926922807 + 0.0j)	(0.00000000000000000000000230041506750954756071251841343546590333048294462462027648187527055424092547651871589875139803408610641792238496950440292 + 0.0j)	(0.000000000000000000000000000564673415017216535557191353035204543510229463244577898430335641793225342619218147425476013762938113893871406526378623001 + 0.0j)	(-0.0000000000000000000000023003697704906917136521685842509115799405331939453505878948932655528287737591520931063922737534051175829512095921233257 + 0.0j)	(-0.000000000000000000000000000562068025779870709965120522865951543320731696122784209426816835833427349801879914855309837505228488263867343539344108139 + 0.0j)	(-0.00000000000000000000000000000526911393389250060579198234324833665047685439905077235062952279156231440022686548733998716157093624023692084066902621546 + 0.00000000000000000000000000000316264049003885070324478493215345477076582341297055748572855584336572463877460609236911138661382136593796158032626731297j)	(0.000000000000000000000000000000447927707422484542150543913536607635244911679820179893808368789573976770743283002771536179794832588155570318116175236669 - 0.00000000000000000000000000000735158828221662914337146616274353875368421334097972275009578853853811394357260413285020453352779743019498001585020201879j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(-0.00000000000000000334273562834247569823068679390556470548225833197988827783356791741258648161566254018129699119931218286527094988692556015 + 0.0j)	(0.00000000000000000404806697547788148903358457900634330009725507318430277219208836259460230770168829466304690011278420353618994084823370461 + 0.0j)	(0.000000000000000000000000000101893852214735118788047626662746806517716793382746542800371141790088005689918257389274337358270574575317482981508829786 + 0.0j)	(-0.0000000000000000000000000000826070615633968113854028623656861859226670003685988922141563755537492810727357383628165368729971320946936180165997688223 + 0.0j)	(0.00000000000000000000000158558687408975092483237081527584741686113906671938169063894107624947349990875646849450637628765987470964352466783758893 + 0.0j)	(0.000000000000000000000000000390013637977727164879096893688772589323745060033832282320367152543732872229975448651179855191121616494070547077384057029 + 0.0j)	(-0.00000000000000000000000158555565261170218753585191236636539993983413781687877541469128198623972439299185587023506975613109541432675987459580661 + 0.0j)	(-0.000000000000000000000000000387411687931629758645950659129745522400873425984008194143609964314523520586042773450107364347382128268582709302834639396 + 0.0j)	(-0.00000000000000000000000000000526911393371121371202746197314036198025667262074235042167995889387279291573420205321849155295690320556756384153283708908 + 0.00000000000000000000000000000316264048993003823918984824396658135420557407004811660251346590044917520306999118597013820292769414259141728774483228092j)	(0.000000000000000000000000000000447927707407073331892333198869478730845183061995816432851889785040352522572097885703598844754331526282895946968783808488 - 0.00000000000000000000000000000735158828196369352257456552853534977470391065165465034813910429354603497162871446938787230012523707524766634501297141247j)
