m6	Gninj	Wninj
0.1	(0.00000000000000000000408694093723637545909405908131541630003070969237800058101986130169979692286992181860831784447079225996213012646221243885 - 0.0000000000000000000024530729014281034461737583183349841673789868333901671659088073161667216297189936673041817197918966202276579379938461021j)	(-0.000000000000000000000347431569468038245443588791125700457842785574252878290151700185454340583153465872340622259362981991987020242279890462144 + 0.00000000000000000000570219326556378386548305127360118440214057907100095664911491964522053377777232043257338641283555974709248992885483348402j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(0.00000000000000000000592945108689701108775281187201639428316427447153255058932850268027043377054389076532254441697690574476890305740065369156 - 0.00000000000000000000355898719357906199390183848032744264132897289201039140585138429065070673225818704204278626293525593805135421712297397458j)	(-0.000000000000000000000504064425143358681859584547232454056098569178799928053289328709166937948530142149113940522244654015114728680681294676839 + 0.00000000000000000000827290513589884857408512924504661115347444190693143926098668937021738708186252763394414348263609936489149221180594325228j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(0.00000000000000000000860261693008777596259366854055974564941348807052973906360558711224407874160612979969137416810738725514038362827959631462 - 0.00000000000000000000516347625490664414638183087041450902706679140055289348204841580672418897144194770860166400715019012696037950747221433237j)	(-0.000000000000000000000731313330348239122324540697913006127453023151958875700267650278350557080268614308080867836583878945251279865677480570548 + 0.0000000000000000000120025659368449832659782254057516129520193047539820688600620515634981840520268696435564924439424033658885697861146697534j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(0.0000000000000000000124809200967938950764484542542523983949268033318399918530805061214342119210113067104274474264537035318020373669414838205 - 0.00000000000000000000749130532561694683124273860020079687498777033539557659972746190758698626058005301942558430075443457846567708920807670573j)	(-0.00000000000000000000106101701417739218022492254394355515925693653773852671575518391766499129152287338566836655712445756837628124831300202249 + 0.0000000000000000000174136591699307935720196648788858127850616136755041715123242487526144559270038026462933584508443005162449701301940955543j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(0.0000000000000000000181076654910001937875455583348630191899055236625128402378602181651626773782300337947734540795713996225936809869336692951 - 0.0000000000000000000108685567005143861034442346898471974843686403628546631564362917485548304769657816284214644932376340589921931976495630056j)	(-0.00000000000000000000153937414848689046751237355401923551960912744893496402842809758658872742817869954406223080986562736459494764490194026332 + 0.0000000000000000000252642106598973857547782840477177358369978062483065583785086316684401545778226455724218276842199572548814008395034461084j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(0.0000000000000000000262710838405748212965227453184961981946670556635309142169454254195299391246792697164166096725308642595773835128066774466 - 0.0000000000000000000157682784734651769187273216914689041749621525428985225209703747545937940813489756715946263979541870180606419111495235001j)	(-0.00000000000000000000223342980575573514961869045747464441565025092225675693582272881545966926604744173034742050027975508736719841094999536795 + 0.0000000000000000000366539608147870728208061025947575986898936907884668883659946478425238491166761626370561193812391081847718797752758003263j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(0.0000000000000000000381147274073643821075527372544389789267267753043987722019224460708272673828254849216527706264814397369811818877283756008 - 0.0000000000000000000228766557494360835610863792343733037291032517317712194879905917710972018344271266537881950306098483363837617565047375033j)	(-0.00000000000000000000324051199167494859650865360298687785743599306274977036117870024376809992001201572210085946598883434377594105959547517699 + 0.000000000000000000053178367480224926246569775004397220828803043124043618298336351910625037945098135927852654443778100874339385619249210592j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(0.0000000000000000000552975864304147824382913633851102051223680139551329322959777845629404558080966472096008367131262435407883215024796555021 - 0.0000000000000000000331888387645863226195982736657111212567032885094646486973438323000445778768717939354472831065138663139972634002523963163j)	(-0.00000000000000000000470200089306642371417240476233436901399396205828185249899022236523261776918143048820237891996023251132946721397128681213 + 0.000000000000000000077151931055485398976091436552095347646181235853127971105080074787142717722896539109381226628499081903158243308604263477j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(0.0000000000000000000802262427830834862647550229269965775109011910481621789795830296321391800126163074167866166340708071113954936186363636609 - 0.0000000000000000000481474387705664812016937368544252065016836421229884186151124439214226494096529970132692288688970243427783243669715836656j)	(-0.00000000000000000000682354335790664828109172380732804604138912333581167064617280792181841754009083874384865728965884114815715935383454053408 + 0.000000000000000000111931875103639135363907623605702984675301664993986120418259155231174460267891717532800563952059208969732613452422747516j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(0.000000000000000000116391240609413969913473792081792697694495475260974895884292498223169854078917278993768075360392038376683768224158483089 - 0.0000000000000000000698418304607251391379817305845583230437075234889371287924262600415987133338238966986639044064767359424495966487498290868j)	(-0.0000000000000000000099050951593910256065234441525914503334125475726449474084861355836198090738201859478893305274437504829756730211891724503 + 0.000000000000000000162386755098700928346838268492411000855748230577774413311369261713476960979519708322631998734799269845484425593461031896j)
