m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
100.0	(0.0000000000000000001311870160770527274862480838532113971774550646659347108020343388432021322961386339753831544361382082141142788594948061 - 1.55545777201365178924369091394015929089356039333137111718216388118788237882044365924379661173764831864753424178772544091e-142j)	(0.00000000000000000040995655825656071254975623066068050149993069867932427070395698419752243728674581851786281012981766633689133496165371877 + 3.47037120648781562629474536872396244422707308144619367999757890531808223352603443368629546617373092187416861312358969553e-142j)	(-0.000000000000000000304283824731952247906201147474440123101671210883638835442152189848522069700678526189772228697159368895901969650089082373 - 7.25105497048828870756452735075323550563283087936375341258369739023630130876581680127482906328705142995945608051375213448e-143j)	(0.000000000000000000320387370775869641645496925173618537552850288872506793148726391443624382817443224614984181895308833918679318753512086054 + 1.04416830429448934258259343885291415696300292551237064947969033257216359433236973534515925087170510782743832601175533564e-142j)	(0.0000000000000000000000000141484982747238795746751455895764464000938223200166331175572449119267534836282056383316890717987241392908593301716909358 + 0.0j)	(-0.00000000000000000480610935321616350796140587010991390463044218813494074679979831974940005188894405053447167165123910843690309967207179272 + 0.0j)	(-0.0000000000000000000000000141498282898553652793545561247781831247454589048810610558634186898578465491807542504354167939116791536647352368990694451 + 0.0j)	(0.000000000000000000000000599863436451009497162239837546730442171221234780042948403262654742611450229505746273529630722970441905973368513956977843 + 0.0j)	(0.00000000000000000433860868796527920742780806046537153981602391409306647627049613295723605894241304155152497739220166514602418416980333681 - 0.00000000000000000161776106577807552312074852962034809548187434437492585390802811127118842648237457980077905867347457851709492533924051216j)	(-0.000000000000000000278719405788886233995981085050191266034287497628466556652607589475760814751675843345228195400794920198015869292110870178 + 0.00000000000000000465856320304155759082497144295105866049580524629188839261114674642398387153441918075637934240617038693361517675432137169j)
101.393945767529198239448673743258537554316223680320403095586848117740035905171401733534167053858112059551477572655230694	(0.000000000000000000129889518049740714956412403273062480665771950792559876500278389968159427096111919189498472078957670194245178671881266452 + 9.21171969080024884802891109526103607074563875730813585193200221645697755816880521560616352072381578367981803914492806371e-143j)	(0.00000000000000000041043408302956398903901450884664791575049182502107381565064685174326963201571551429252923136048360545290188185019053737 - 2.16083753668794594728334704396087330806521778663194595427916476093063194579957684341502782440094470954918427178212398639e-142j)	(-0.00000000000000000030404505526561345892339863860016106155775328383649552820925712926379621446936859359248214948056722832527739006732514732 + 4.73778124175402282893450524685188725043379715210148061662098265457176810594783098862192800745755330278462081226221805255e-143j)	(0.00000000000000000031935135196677407608598672386161164662460575676523964411808537671156665616303322010820584439857751627392813996214726192 - 6.92572228913607134417008042768273763531961378247468365589569259142742173283594812460399374357843184516314707513678099094e-143j)	(0.0000000000000000000000000141447262789153158108867560165381989989482522280768574857006047114819820499068641526723618821196825937392989768234090343 + 0.0j)	(-0.00000000000000000488286893657160906831966941515636786623652535048043323978735015493022981942830379598762343218723048501562498277510130995 + 0.0j)	(-0.0000000000000000000000000141460354988953400160707838620144042130021779870827762206574353389995034073605772279469839739831555498155494083108655058 + 0.0j)	(0.00000000000000000000000060953724740392153439327992836524885279533008628655180031941282010662118849393967969924440005180866300319916960520289921 + 0.0j)	(0.00000000000000000441681208471465144450140795812198366480404283201863699932846434244283323572951533097047976236018378701218422180850193344 - 0.00000000000000000162290126073484242764289768347854525007283337877437024750655704481145190880051713034641960758453186043109083652940344473j)	(-0.000000000000000000275541456323192484823326960159349988620793612732906694883535036286255650921345297676912416995749739311790728388745204372 + 0.0000000000000000046766299505316863302059413732134984689340205823865822155212149834784046418768733841120375942434387018500763749561678705j)
102.807322383086522134705814617847016531149812217401048462300039961606488754401860109146605301088685268735300416256762244	(0.000000000000000000128573974957920325295040534952801325321430003759320282864840510050677945844673701720622908462718296597569206438046641468 + 1.50798377607710623522574904403956577442659492781165900200713091667869151814408230427309750009071163786376126104040000796e-143j)	(0.000000000000000000410856305795010673527589499751168073688411797670762347936274545675068756690662331363973362646364957374796335458763780278 - 4.22277655452478656906435228212302485478259345693007895926281100369102342228008116229716856913291674805330362371673828e-143j)	(-0.000000000000000000303764184396512911185213459407560445930430579367153447264469415321328358351976694549661618659724452812025231448824279774 + 1.06692588866903435656246037257457522386622964586672743160652871608465982537314861121724639059625268818516642899605750576e-143j)	(0.000000000000000000318272896706521384190689750267549190515995764852834966160867387339273397290101757125479767171602370660203330044220779432 - 1.61106122430824383289229085995081408617869193788834329661477417398718026406623590374649655609035785053063539977447675152e-143j)	(0.0000000000000000000000000141392392483140065529961005790842576953587399415685105218324686124883392517121613624323922014469775893561939793375062604 + 0.0j)	(-0.00000000000000000496090265862269234205322118112887165123327000350400221405578734662756313720291351201696994881978981513610154587716455529 + 0.0j)	(-0.0000000000000000000000000141405276292547484567934637406126999732803061391056772066446971506954980529939778086681020715730632007178298940714530509 + 0.0j)	(0.000000000000000000000000619372064303893206257890725798833104982264514646617306931723085323445038944397343851732755923667146569417741627531297093 + 0.0j)	(0.00000000000000000449737389706406946116362013579391076991004390822201076785853365165593531475478172186056938565708982677770074941973935917 - 0.00000000000000000162795542796956620127717119055154173312583145545821720889900536399345796010391348777747834766809064921912665630567722759j)	(-0.000000000000000000271993474031169680879326822174680781351297316562373563442520140084108705483196818793537176977773705040812263633819674854 + 0.0000000000000000046916073354935730390624605078678250398432091943505831159316587439874839233565852574553622144168355300653694606289794186j)
104.240400702155654774025680529278637258147351835424773002036819000845599326037820311345896728609571349778187060620798083	(0.000000000000000000127241046857425073032360973813014961188170953502399346448588005404945089958493541340916557934187646505589767694870726689 - 8.07228127453414212553335459482753014490006877821424341300766515725156237202239087925464475670473718364497451133102640903e-143j)	(0.000000000000000000411222918813097294758269187259631638998973204471879674549212715757981127762602292152265616637210893645056470958554339474 + 1.84606170084538416098747898449907812284374455005172432906320209926527300125526736306132547547074778782451180774667365138e-142j)	(-0.000000000000000000303441295919621761894511747011122360641265856982056225707540512691325739621865276368760039039420815235894811812131287045 - 3.92526710502220983700494177182095389533637240854197504436630944215015608584927257499210259779910571975078838097836181546e-143j)	(0.000000000000000000317152498829402591153640717085975156722974066867630845718458902205851966790038590938159812798451902460507601480448350866 + 5.76814297709810581353145256163570382344052244682688813277487453057731066114974370598831875813469952635491509657174673918e-143j)	(0.0000000000000000000000000141320372651225510781080291477004644253887868321858678168501212041250522920314324363625179692376597495070406488461492644 + 0.0j)	(-0.00000000000000000504023168231505480046630298979386126046272247455350355843948013696944734419305942215748251525347252774869499591325325838 + 0.0j)	(-0.0000000000000000000000000141333047727743993442091999492531451795379165005188489366320963025522910177855265677498511562091332969668118516249141742 + 0.0j)	(0.000000000000000000000000629370541535964101482195036150992576338690510363252967051657189988757338572323039225482457335335296867157559896496361504 + 0.0j)	(0.0000000000000000045804088690427123856633447484112410276164391306857611204058887330812890928346184814628619706837894921777050375625721267 - 0.00000000000000000163298904227139766604652766586805236849920448204897313526620429003656555502721622092454835271402489891877415937521709091j)	(-0.000000000000000000268075823948008427212614124951821379009108449871462407723375176279727024364854444892265366720132376983397285779421726161 + 0.00000000000000000470316367861379106532692073319907265797400478116136901686284299883568386358111928609398310177329962394923605593641375982j)
105.693455355798830166809395586430583989156854235949065917720406648706484442504640629006160424549607431905225327105429108	(0.000000000000000000125891404003638290611971261055091394998693385161304454862336869229618088419822122867379379575459556184905335796225555471 - 3.65920626848800796720529343713240388674191384435415730367275078984238177049675514733406403330681863861793515554500736206e-143j)	(0.000000000000000000411533644167264279111679155554330663248468389245552111606655444526676196812259328877720598619311926700046927764434257323 + 7.77593659726611964107392369421236484183297258162209444817953235779630524181514464467664752357318472473852721966162148717e-143j)	(-0.000000000000000000303076497192939228674192111137660746009753832154434066999969549438515101706007142866332071724533128319905182972035565327 - 1.52394629875731816827688524404529534938624890889829793646001562054903681114820712391140777006015014346703910459693528063e-143j)	(0.000000000000000000315990674698461870765258516973258839016216312216728843193587020009118318564831685929509639479698511016858026877648113734 + 2.20662061655982148542955353476687555505688973152047762668621827140793446609910011404696489556278630047536739640378621895e-143j)	(0.0000000000000000000000000141231212092664591576363688668740605867931892402564345298205295735957964190795777190681250337343122452526687023302774265 + 0.0j)	(-0.00000000000000000512087750479781198476045111951907803604941341582068566290858553791304963390976946617988272644637810946164272449042757148 + 0.0j)	(-0.0000000000000000000000000141243678189643644364656665699158774044149319104723280766402611398085272405976520012408174916140218713621428558968409965 + 0.0j)	(0.000000000000000000000000639535374950993660304286416799828114171349455228783439425249969982135240633016347230081799949284381323895704002967656326 + 0.0j)	(0.00000000000000000466603634333110243007031832201874628802392484941175870476287142599109254890458947018946441280733708647571837447440590431 - 0.00000000000000000163808258092946182293436828490111190490895451693713370692914099507049926113163929347892350713748998235761294270996577336j)	(-0.000000000000000000263793086297453814813235751541882249904660834221509480746632603538641754196576317534897272329117916310631587743570239384 + 0.0000000000000000047109311741416599479398356525248769703965665509528457389804326774502002216395401163953501145166793872846074894152784074j)
107.166764803286350653910511571315427878405849203900579427336317258117139049102468551335788816346492830899289385319645615	(0.000000000000000000124525726131327148657292726422401241837310064379067424594570865826475457441730822444397526994244215960110414287351377434 - 1.64486879965956111390616574883667106813685208091145032081840376393851180141865871803203965787885591163754659368382221741e-143j)	(0.00000000000000000041178823411896621026988558665002047661578100595363882691810824064660291211091309225312705318371421924870460398674126325 + 2.64565391585807132971128872927673368284339720710288628866724110406065305233516937365864615858876805937678268860758894627e-143j)	(-0.000000000000000000302669919054741233690876578794225344591448113041390898088191071064757885152514348359380920777852715083845445945388823697 - 3.26382881257537585667767477773528128571276243974254744012415060539210691125336920112265404742980770001692575038210577198e-144j)	(0.000000000000000000314787962679367942006441463086657509493439073242244495699861792752447651548759536657469144618081968992114230066542825465 + 3.97119463421244525594032672409077398764058448270507891196554603185841331481430866229620415998664400924998498493484889135e-144j)	(0.0000000000000000000000000141124927587963973034010534370594616964767162178237979528123389162748299492655813080745863247142466839074553706527413271 + 0.0j)	(-0.00000000000000000520286196236190992399488581332302588064258088469667867978921663136146326875792794735389484991097910754711854373866476578 + 0.0j)	(-0.000000000000000000000000014113718455397020475166973020329844871895362223159394096621201189244178173818311649252591484632906358858877643837206815 + 0.0j)	(0.000000000000000000000000649869302483750204104900155126939435825521349682257743663925211017864731917843672756707449854905203883250417812981851813 + 0.0j)	(0.00000000000000000475437950411020930461749922162049745116234704150770852223352262553315414394880397717991829339539278553339165359454366551 - 0.00000000000000000164333446311489081873408593100998628135193068075904716265324666393857043330599602377282896218081743420986669170608871411j)	(-0.000000000000000000259154940506692276995892040379065165653637613329479263198025356330768494625685825096377474393692324087124466746298217555 + 0.00000000000000000471450088404233422121115902941356023235998318199400699031169854795547753509413133338471410820824387037138332155930385756j)
108.660611385459731248352566284291661672655359317901808345821563119142453185691423294380801998862784645011991301972345711	(0.000000000000000000123144701722581586242057282217033496827411337462009502359743612168760838125133123217464824903716031277941213622393505342 + 1.611046479673745198236819141582953603521103441261817648882988530990653619559077073964909693867593422179345965754645545e-143j)	(0.000000000000000000411986471428245002045572488877666489360219002791675145483047831229580686477246508453647400559909867373148291424141591789 - 2.61439555448849586370507803281707898587082244733059127059303168894003254505540488035166920279734645798580871047806064066e-143j)	(-0.000000000000000000302221715712843979927210434783032838993796752872611443109246088489122376461355042530080567605472196193081294810284880504 + 3.30363469036931679326867852107210884225555227305176549441360702803058991256993093915289489427185622790404264418607828504e-144j)	(0.000000000000000000313544922589330390933163682181783656715000511010019461528294053574847187314583486948552414550529760467303917033912262551 - 4.04033417288393284957551640527035313311568868268908492930765951048121382091223680271476012587667926784500429007375972545e-144j)	(0.0000000000000000000000000141001543895349472759760450347918274181429927135892503363486427991319409358076274008679106686316143168430625025579722129 + 0.0j)	(-0.00000000000000000528620723545495999277556952602172745171191204498123082200086772656162913101648261923444009288533931204826993692424963278 + 0.0j)	(-0.0000000000000000000000000141013591673447469116864261137162850717735536082620805858562323996011998466595828061241618041855846792369427628431486008 + 0.0j)	(0.000000000000000000000000660375104780944259056052391945409880598813582364533856847047284362992101143203356152310825667659174717878074843692690777 + 0.0j)	(0.00000000000000000484556412607560760380297300577433753413421572830925632749413576354191716265780507801801829453728067168546732269968005757 - 0.00000000000000000164886464368263405475115909067281569418910974266820675086971345241150418796580768961850177193344935235940812169381984016j)	(-0.000000000000000000254177185791354502723465324690931844643224569577372842992800925531963862775851981640905267515346067504683528511390683449 + 0.00000000000000000471341681133450027806851749979295448392664271815176847187061729156214416207526861373211791316549556475486133829383226759j)
110.175281378838697268004571171618583794893827072998374301789548393603798983099000358678539681738589330646884655658050483	(0.000000000000000000121749027264197905406732354966229364744854665385763293986111902898502505348219990345340232303992913128955955473865698755 - 4.63980263548064207008018026421152723063087078533299135411310716151978360418062583295367733251173602575018478731184843511e-144j)	(0.000000000000000000412128169639460405599223021681452268983808448509763246194933471477733609368963989889872726294596940823828412366286741566 + 7.59902988105916929160092518300955020516084821130869159933881282672650010710365726028042529169662418457832092280965094379e-144j)	(-0.000000000000000000301732064606053325902726581281831091344371103395126194819352668913037938618005739377743110802902971729455777296066622911 - 9.83457104816682783120964033664094233476553382667838578328699151190391106907832449885703032758413692926909280343855167444e-145j)	(0.000000000000000000312262135122036522963481034843805061439659038934417487789565129841902114408780448063443587876657771734758196235677020874 + 1.20912410111683320885017152978586342862952953020541150097580352775419461257555387026045160187202936425824836828447443437e-144j)	(0.0000000000000000000000000140861093739673003933985926722172272685034821863177625119373254150504686511923174872945301237518055744912182354337595612 + 0.0j)	(-0.00000000000000000537093585377397969392746548086371648123425731760829557949389210853896032455305420766489464403893643505628775526537763181 + 0.0j)	(-0.0000000000000000000000000140872932366617173119788178556340051617470260175026740575077687677384684852988620353658709120661671672286714367662449797 + 0.0j)	(0.000000000000000000000000671055605839384631081530264473068548476946131380086624116069102887508474056700119261220480782268415740402751333993697598 + 0.0j)	(0.00000000000000000493971658748872606141549453687019946399996197726525619242388380317442059060421880238534705633577338695391952881102920356 - 0.00000000000000000165481903813173583941716498970818476455556282517553423829543616487693401955529449969074255625289830179743128080518099014j)	(-0.000000000000000000248882907275650327395312253383413628228843199446013321983036974864341214226753120788746404024638503599394553522369589171 + 0.00000000000000000470716883102152045051948571883331086613875003418527048816652179263220336894286333672878948478538241929576955826037169124j)
111.711065050482404171694302400532746721070466972854540023523868599163664163307694746151915932036463433834633528147587677	(0.000000000000000000120339406495868877344695668023779223405192853869924340107245909397754133426430460796598223065658920992430618250476130185 + 5.45054691663714067836252408523615780492094575903230299481983976299142942680584908517317863473064109911247832647930519308e-144j)	(0.000000000000000000412213173331599406450316729727222555890990888581593906836345273106154313633828257693611550640000337958975946383248978422 - 9.01225834517632772333395713720688426871798075413844498437197437462994510220617514679840046483942810054058756159365058633e-144j)	(-0.00000000000000000030120116623802698287324970390648157636781863213743732878447429571923174407181032885131274975977860062770165796308900288 + 1.19441694721167031642388344786954338380463928808797870520186246709316480982659809461752579828290385011528828866799701801e-144j)	(0.000000000000000000310940201249630022234735659855932117962716110291147745665662511426880616891627066332407267351217863182992171825351699213 - 1.47646034545053253576392645473955806522779978748111433040729847423820728329308027205623696515782033285479080793906425659e-144j)	(0.0000000000000000000000000140703617793764873252352359965280876021660950147468965575529075688978137758224324894417202227498936719473924716258779705 + 0.0j)	(-0.00000000000000000545707070143748823263141504550571663834161241495882712540588423675597400591771426127235018940687007105125566546522117689 + 0.0j)	(-0.0000000000000000000000000140715247399103981008303390789763171915821599713255225519565364315084023932152603436630062935782700898868915028645281849 + 0.0j)	(0.000000000000000000000000681913673654437768890674840655528293626219277529622432504936692191310206091944062565722464301133905030244691623927193827 + 0.0j)	(0.00000000000000000503696077158070401567325353310838017372342450721520490390058843718823597696570587822640221985434388689257512184070626299 - 0.00000000000000000166137501352436204809063154103364871588123676901137411018754954955904685688284214889300901736146072515655246660595727189j)	(-0.000000000000000000243303787483244362253776864550540505889746956834322464488775504696471087511989464223899154390441186320875617442008941348 + 0.00000000000000000469518418952908657175753696530222484615210861365904748590965498450545451128909763629436115358308882358944753681167682394j)
113.268256713615393047241982102102600412040265953847870639615348943102656532119922909523461075638198425767143157027105738	(0.000000000000000000118916549650560559478174151425834404935577695799475763632873241551932165499875518167586323059714810008647310214570864523 + 1.60031255941226727794802299967454338559934647615173342478533677694125882959506898187831478910645621833734781374517858208e-143j)	(0.000000000000000000412241358332654880132358282913347280390931907687836884929998123906087497886592363351860885588856819934478867347204971048 - 2.67225913551572250878237109530005028470749416996856301164856192122121528590825759709467147889719792109826095680579014345e-143j)	(-0.000000000000000000300629243983832131341999689207456217539653214137816287884888501129574750642435321104867388453649207932658282345084571031 + 3.62637518488237377237247197028032781646771184288571094717841079804257082693558724962119869155672297417768310266567861981e-144j)	(0.00000000000000000030957974160279562279852569973479034604993477991888684786070255423446171219994487635740515663602483232708254696109315733 - 4.50765459551651215982537323713372400886975985044528696164432521600053674940909928588103106390578604159590450265931315271e-144j)	(0.0000000000000000000000000140529164652249194823334121883392906475823569403754424273110305667867339826787461226777540782615579946575391025728581262 + 0.0j)	(-0.00000000000000000554463502223842705190990464768618248327392556096462227221177991070775074736840384483671485505707330961681788701748892337 + 0.0j)	(-0.0000000000000000000000000140540585457345442933151548902967217224604185655441931491857966807439211378045359321165950220879550189280036093392672548 + 0.0j)	(0.000000000000000000000000692952220878973021772932077582725730941642206522203586828521443150699128358569570527175938657161553531062615489211554157 + 0.0j)	(0.00000000000000000513741325686554185129980299571526660140589097208176748651573119410840780672401890509912137082149082553187584005154511178 - 0.00000000000000000166874826113616720958616868998572954413505542844049878504525498538708309555325821705215296966669135855241057952928086211j)	(-0.000000000000000000237481543942679248260424243462879335730629615250067599653292793983067067082819967534814012392888930310257974032087494146 + 0.00000000000000000467681719081806345872108603481192195604361481691713389441918983140687142204006450617175969120545517701582447243520048292j)
