m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(0.00000000000000015248380190408292832494676886888137510029913285047135726993101790293613269586969329694844119262848851899214559812614726 + 0.0j)	(-0.0000000000000000000558812169128293176377878708640135444633560043600216730535369951032545960006022743471467508192923122587177719925077328466 + 0.0j)	(-0.000000000000000184611038438865592490947968788417346080009402030971627738366426789874323891698796269506960557099827028303484464201856722 + 0.0j)	(0.0000000000000000000451121289275611794432912861950601802247439515629242725738375252968991068388775244639994972895416400385070226788673786376 + 0.0j)	(-0.000000000000000877391920623629916488326312031009909778649141219608616324564368491976932867379443815278879393757280984407146756975420258 + 0.0j)	(-0.000000000000000000000758053137615383973547308988478312946918622624437069481950584073310025666953952309255611119766588335609848472422852197846 + 0.0j)	(0.000000000000000877374705152751636602428144128727920264694361337272776488773476915188160580075712346931167581767147733009883203580875767 + 0.0j)	(0.000000000000000000000758038264551888243706432761107800036656229376410676559155045977963233523310997955097063746918155007856982316265475278318 + 0.0j)	(-0.00000000000000000000000000000170366023781048124806693211304230714313151576094870721288778180942156319152418732049879087070284422835392510602534292329 + 0.00000000000000000000000000000102257585137799466140290261705127235141042536580786213303848970919971565665367274699951477724027882852697701797903230021j)	(0.000000000000000000000000000000144741480055564814639126830458511991407592758504978083440850179114433540771327176629834553323376171553183490651607212698 - 0.00000000000000000000000000000237698572090600116806352314604464989633471306837656115658940478672345377872362618139090045244996947487554730934593282427j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(0.00000000000000010510116981156874028494999291788219096219649071711149003776293825494889237962820543235905539331322831906824854397732682 + 0.0j)	(-0.0000000000000000000385167551876640420692350018894876876126911340217056832294883942722298762616639763774529874899766569295367328397860138836 + 0.0j)	(-0.000000000000000127245227740703008647323981055550430742700548646956075357454949123243337091716160327913159915199402181084221852572962226 + 0.0j)	(0.0000000000000000000310940405719136159629955394812646874464515534878583582097362784592803907363776290295356379795199543445428309137845753088 + 0.0j)	(-0.00000000000000060475221688641183221823541908618912902653299388633026760327507583301574394762608971904406244580983023818299632348599482 + 0.0j)	(-0.000000000000000000000522496622521756515378159944478143793629389369426555531209198253188912573294928420866690056140573644850334705030019829963 + 0.0j)	(0.00000000000000060474035093012289893417694704294216966467411181136460747407663736489851886371848665365692995106472458004526812439945826 + 0.0j)	(0.000000000000000000000522486371356674097509845712298853675240640772733860378263936676060586675852453992877567993483977690977544545744197597226 + 0.0j)	(-0.00000000000000000000000000000170366023673208617719852166463584944622568259977158394597836249648450340785260084635316782065850589030203846470878058852 + 0.00000000000000000000000000000102257585073071726815204897666386745853774214990577090500934885222614966174672233863110491271135597611802027786508326205j)	(0.00000000000000000000000000000014474147996394531494197944161891252558171937387720159775560845909609689839305035039155128074776183823097952016733467165 - 0.00000000000000000000000000000237698571940139970583536201903559474231469025850281431384561877071123444257219868397265548369802378610640402502651963851j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(0.0000000000000000724421594936795775758448428866784499800287317954957826359459038383451552095181968265495553467138291785866201344254634792 + 0.0j)	(-0.0000000000000000000265481052920758388194053592929873970783757913249456068525278303671738535164358624467656033637581840632358572916878239437 + 0.0j)	(-0.0000000000000000877051996597944861878970570861896873818141936724940035317607202871825011357107353832771843112085388256682204338471935831 + 0.0j)	(0.0000000000000000000214319160333212453258288979007616332783388703861903682606146957354378535025353491329603421495146100147253175990299941849 + 0.0j)	(-0.000000000000000416832244858796601810461647021633541815223068696038093524028673318957973618092981356504938220054167367695636609290766618 + 0.0j)	(-0.000000000000000000000360136653960529423038346181193262633908538512834202130962580729076252354628399453600302930459805716893655501531214055758 + 0.0j)	(0.000000000000000416824066115405171767027567963291801495817031761788053149138814609679462126979873154340647597894045914558887574564537571 + 0.0j)	(0.000000000000000000000360129588490738770921847839292268812740702160640023358531279649465272052283684619805328368965227656810967068990387846308 + 0.0j)	(-0.00000000000000000000000000000170366023598879028611234825767116290911091366073223668207856498113849163829606424538636916092060457208242992827861582998 + 0.00000000000000000000000000000102257585028457406906556453474425493607710971003252933724314384475006685980819611830147307622697515952732616904734054869j)	(0.000000000000000000000000000000144741479900795547748198923562906903546511316480198583273578914805216958987743160640824823348251761750712591375686490167 - 0.00000000000000000000000000000237698571836433628185676038162935568106028633126944898588410418929258214852847139431722600624092003949695878191048985737j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(0.0000000000000000499315705254669074915664275709324196237045986098624747010394723350188875309507928050760996409299849007890283253099624987 + 0.0j)	(-0.0000000000000000000182985791833054692869352868623419092694478745982886768794232381368517961748177893851277804136874014955868627242308836581 + 0.0j)	(-0.0000000000000000604517920624008218946053542310762494240776413092675488279128701273466425758656385252368880213428828481342011823836991901 + 0.0j)	(0.0000000000000000000147721883829460775878765446486093328768247836442045297679473052874238190940408747247377813481888621822268655080773598945 + 0.0j)	(-0.000000000000000287306297561044036203957440706579269416661163836385163829481009627132928941740643866618181781316690916265748499645046281 + 0.0j)	(-0.00000000000000000000024822822557892085844182962039473750732683361444151958300978777079578763845705159658715406109367690548301638080280377957 + 0.0j)	(0.000000000000000287300660270475765454482442930774671181946877350795685697369412878118559272003457969163537786441623235791994694979032198 + 0.0j)	(0.000000000000000000000248223355885321612486178484155374586263261148305997413421826859143793210247889361689368456854337757603388346431412149798 + 0.0j)	(-0.00000000000000000000000000000170366023547646526088517052496914683755390186640422149464951505219784035715692028730514036122347974325922336350003388102 + 0.00000000000000000000000000000102257584997706486786049853800966729785627866404101072739746502841500498025438487632174747561078797995189827923890634269j)	(0.000000000000000000000000000000144741479857268862805320419268991894221185801678949115870652547320984732456763841104487034140565120862275259629801966798 - 0.00000000000000000000000000000237698571764952869146955212610980937549751925636684357202006890081053705138863817401736453154103630495993226438543900312j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(0.0000000000000000344158947328080850170933034487957493942547515042414880353413295888159892673260245657046247919593882141921111265672403182 + 0.0j)	(-0.0000000000000000000126125008346891535148264718163283270358816832152745498061177293466597046820380850307484207902058104820016665599864654863 + 0.0j)	(-0.0000000000000000416670753620310135378022309986284409362260549314304227088836733551954459152422912380833209415614720655240117031771298525 + 0.0j)	(0.0000000000000000000101818964436041202394942242022664425031296916191931148089657400078483179431037665165805922416996980958212377744716844739 + 0.0j)	(-0.000000000000000198029086385146947553913817106373660793431100162487924715507963891227591935036094087201875321157752034007733288818358477 + 0.0j)	(-0.000000000000000000000171094086810410365525340244575553602996270987743126470568491456900467358652716809218869314106943480635341447162396034022 + 0.0j)	(0.000000000000000198025200819427020832049750291642986295147287469082706839921335279345385196843879443916205077991352492832322802767086086 + 0.0j)	(0.00000000000000000000017109073058016595253803018056288734074348294901014027380568740130304601769118427570692291792563745486965883957057442502 + 0.0j)	(-0.00000000000000000000000000000170366023512333949403874326079579794603615009607389692202689636762531607040271687710732832792227252203057446477956553914 + 0.00000000000000000000000000000102257584976511070372471391843838609295019349798801352355858330297413501196024538067421188965340889637818029273557844922j)	(0.000000000000000000000000000000144741479827267607270474754219077673493723439269897552588191570076759850838175790724187799895411067965778970849863338315 - 0.00000000000000000000000000000237698571715683954673920876225223253560423659159782118527473696260984507317711285167114657532034011794410120425846019479j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(0.0000000000000000237215412586524592752252745005278695968381710512077649089879460317397358492227802009916613694324924362558814480607013092 + 0.0j)	(-0.0000000000000000000086933075907430874857522061504706623678024049520615942334763254184739749878599598330062822207250206247687234580509232193 + 0.0j)	(-0.0000000000000000287194987955833232182344725779938328216702810508345988265321306477580179726830523402649105300454551202822380173461863434 + 0.0j)	(0.00000000000000000000701798626625193215640429153482028471156772193422274168525603685692892229758828153093544147944491259440360848851283654235 + 0.0j)	(-0.000000000000000136493767765404829368534872792624182353770364227942337095870900276610599005231107116373962852486221629821142601531207228 + 0.0j)	(-0.000000000000000000000117928516973915056973480684157247445523961404452501670467377967936945624046953706342177398722758970172009274096760287802 + 0.0j)	(0.000000000000000136491089595673836393056867702593744108563010201890437596311712010553173389084304880804451049291284421880536377655499159 + 0.0j)	(0.000000000000000000000117926203915254212604645493531857139393268923924078803794606762091875490280728880318102848471630923972958828122512215441 + 0.0j)	(-0.00000000000000000000000000000170366023487994360063085954135823262179998475921961379556164533800924945509096307436295363979316244508825507582816618993 + 0.00000000000000000000000000000102257584961901892004644657054624509893402923398149359643053859855276063305854595521439666393162558105498565359945191959j)	(0.000000000000000000000000000000144741479806588905573133982849209638464273095418107590454818005200912451909812880824112826239857336058854982462034240128 - 0.00000000000000000000000000000237698571681724803059204511922047236606483210890507081805881678919794375269904928339334989023098587089269604650605996146j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(0.0000000000000000163503382398560575167441259409909191594433875602233992249603811194022187857977141661862579512079917687980558745623869583 + 0.0j)	(-0.00000000000000000000599195971208578014020056451691878804013974773124974251871276540068580009773111208521975084701848440777211534691340306941 + 0.0j)	(-0.0000000000000000197952365011548905052837135595585910277413326661356170850601631494885070556881230743888476764845025497833467309932514171 + 0.0j)	(0.00000000000000000000483722570818177862107991506892002000919816215617879766610148127564809421406192764908084888585801893003586201660389357293 + 0.0j)	(-0.0000000000000000940798595783786151291428896237092470518047399626153881213903408319881757876526596358608618549741864111619200235658589282 + 0.0j)	(-0.0000000000000000000000812835519629986580843827954542459611671867676374682141389031820228674158807971286700148540334044809483150221340383012996 + 0.0j)	(0.0000000000000000940780136198682461097085459906631786593178050930204260679893572511221353960148399188682349372910771909264844595006083773 + 0.0j)	(0.0000000000000000000000812819579220460376101612616089962444095883426504405992030425759934808298707638339926086056454235027637091426062829902198 + 0.0j)	(-0.0000000000000000000000000000017036602347121802525657668593087601073084856273236038918945639120526338647576265862589524934714496973990217253177320264 + 0.00000000000000000000000000000102257584951832352041784487916228243331213383267083633205739769793151196927014288767540994494663912713187224575572992028j)	(0.000000000000000000000000000000144741479792335878614410299670527603052159136986787737758155107655959605166146458672158339304772540368202222265550706105 - 0.00000000000000000000000000000237698571658318077117498941862751115514098030504814628379840452409751666905555983297020880419427293076297482430238107223j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(0.0000000000000000112696539255279539511072796900458250945199685322649169753147577156701789022361410351628578650457336819552400038814636476 + 0.0j)	(-0.00000000000000000000413002540371847383008231392752674106099504045151451460361492526347804375693303620240469942174054677221396896226302139507 + 0.0j)	(-0.000000000000000013644088670789504548009660045259300614180248618442727495377728775251581709119129253923983906003407562072614849644332491 + 0.0j)	(0.00000000000000000000333411204648513260285394231522566633062640741299605102717925926132057961072157018313994682781458419574239967501529714658 + 0.0j)	(-0.0000000000000000648455978865384241007264463325455582381209594038455632553489900340201025263380272114348300928759008786942608371249877625 + 0.0j)	(-0.0000000000000000000000560255990270523140068869157682390466574191130162193432990518795210173790777932456213238202354228006297017826769706045174 + 0.0j)	(0.0000000000000000648443255389412330465516897291998354006676421802313694433329941379630329882536959965980936729507856690565902149360822056 + 0.0j)	(0.0000000000000000000000560245005771155130609833758435472760714360292070727386141201495311086518075339410560192313623654977862067105538287473035 + 0.0j)	(-0.00000000000000000000000000000170366023459654748423086109684991058069202609585935814590558021332986773851681963118363858949900582039712630214883967336 + 0.00000000000000000000000000000102257584944891808739604401865054113829206204794697935724421480357670630092972116906240328511639102926654923934473868766j)	(0.000000000000000000000000000000144741479782511820002097747524886759265619790923027087495377193756210313648745841322003206474866589656206102930282684852 - 0.00000000000000000000000000000237698571642184728865259089109156156101839837528427619375253319348349763047775055879732339905286506847958580636934697425j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(0.00000000000000000776773530556173180018149080867409325627097153601601583306888053017342541440234705989269478648433233022402788092888964934 + 0.0j)	(-0.00000000000000000000284666630871678328900573665367265400279452587508202602506905358011275933734045919559413130445082495348854156085120606911 + 0.0j)	(-0.00000000000000000940434107210996619169479531675637910964500599000543537364366179971971289189629039807773842512445479051867956800862572119 + 0.0j)	(0.00000000000000000000229807410471090455079846566266734793566173972594034954188585357135577068591594526945749275920304951842981917619125737651 + 0.0j)	(-0.0000000000000000446955552887512521336635049781573482110760255610810039633679069938118438422145215575245806563510740687817777417424093164 + 0.0j)	(-0.0000000000000000000000386162718151296273280024201216402641744026507430173847424492694118526171154511161521895057966898788378946205991065430826 + 0.0j)	(0.00000000000000004469467830890635556361405013459496358300450060509407301197708218403638749832852786620634748181775258063072888460786608 + 0.0j)	(0.0000000000000000000000386155149568562351910357759072854415384158799991038315442010018517768346793144650634454671322396689988000883740934504772 + 0.0j)	(-0.00000000000000000000000000000170366023451684630237145405463810775354942888471271658983403722169939416058881719387360052830944103879722054029774142688 + 0.00000000000000000000000000000102257584940107961462611028292594322396033992909954191602531925281485693651701012264372772917831521621238551617457689516j)	(0.00000000000000000000000000000014474147977574047747236054475496859047098399768511066023964328868880571494179510794269597264821833162838113769252792439 - 0.00000000000000000000000000000237698571631064637721814934428443451226073267714108340831095636052778661866625280231154299032602503817557951978216995038j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(0.00000000000000000535399863889271144996064044013639156980050879022341580475635657989444211157054949793339131429441245280015186058488244451 + 0.0j)	(-0.00000000000000000000196209666553683126542558290721905028622725954148009426068611022449463177752824357713826150122026369210592585991548178642 + 0.0j)	(-0.00000000000000000648204751051559620922466320176246834800742409813490623693591881203453764732240054426163134943660025477845248285462539739 + 0.0j)	(0.00000000000000000000158397333895842153118183343622682096703039533580198061845716979050634684278922401225924297615428331573997340961623934884 + 0.0j)	(-0.0000000000000000308069125384834847816774744474167117365182184133782474459807031027423030591364668475909654230583288390796386555686693828 + 0.0j)	(-0.0000000000000000000000266166978690446508643892063606173420944900373064911503607293561397911185014558977315717311315822400371262127686320206922 + 0.0j)	(0.0000000000000000308063080702940820551407144010141604550073740453034490441543110988433306415341769225934421031098774361510733556579306155 + 0.0j)	(0.0000000000000000000000266161764566546374386354954297882215959881170819974529228933413497850195435108702335658829797969470361279136830255556885 + 0.0j)	(-0.00000000000000000000000000000170366023446191136929424409625752533856585104466052578609764953124551072988078743854261896154211520748626820943223017304 + 0.00000000000000000000000000000102257584936810641098192793057242529963729192306424979915359165167514453760381306206555975188945589739917968764600818789j)	(0.000000000000000000000000000000144741479771073253724409634716290873191185325576944790711670516995968128546154418911404120917642123629697774391894851793 - 0.00000000000000000000000000000237698571623399990240737737094422817386618284456220500664644932709121893795172807611326722974142445205723194002467799233j)
