	m6	Whl2l3	Whl1l3	Whl1l2
0	0.1	3.4326665665318449533050587940092720781165824320529459948968905264677500422639805e-39	1.4068062714850477505052854335843342099912911439347855085845258783371398608061845e-40	6.2800174734353624527020190411664997224224696172266243584569900328027445197915131e-43
1	0.10766241770454932246732237041310038445263510255784502392082127517805693432238809	3.9789256223313205537298147965924423845654129935109927107800606057345191430103026e-39	1.6306793819761510305188695686507920110903570942517993294375426433874145058527571e-40	7.2792779891029976524059309371265640015315783181052443659983801784894313644241352e-43
2	0.11591196185988855401478407622850354385955503777446762005822330370325574949966644	4.6121126089124537420524052195695359299522372388335910814605993592305539810955962e-39	1.8901781788025652322511689852808370992852169946445846008985060906673734579090316e-40	8.4375359895776341085488715089730172732240878032130718788131216355907613571055336e-43
3	0.12479362054713111270109299882145437713214740958380907677870998909030476248464741	5.3460602304247807825954448977083633228456796981742094118397961659221664847921368e-39	2.1909717292787331977096861390262601882934433608356345849016498522559855693142285e-40	9.7800896282850141588859297938223640487737396541648018533122256340286398099756766e-43
4	0.13435582902208258814024415860074891589347006768202159744099734045316729996777105	6.1968022337983317096309241675555336206686059939835574066692167365202790743224466e-39	2.539631157060505107195581472298414392588350310410693401060188500272204736397205e-40	1.1336262013567113220428808220368077847882065681600908661635923132639516394613412e-42
5	0.14465073385216466119837916084719091199746438053840611151363435756437677091933511	7.1829235928586812301747509221408178780234743084153004165989388889837354502006327e-39	2.9437731588101828996715320998431292218602291704242588049422281343011982234844722e-40	1.3140041503156612384079953157762229250706558523571020933935318189576385746521688e-42
6	0.1557344772926134463654720104470617938705722586279065110955118452039476577829362	8.3259663926064297670387243814988234887347190797864151478711431472201125853445761e-39	3.412226348616444602373328161748759403173787046038632916416967172815183432702113e-40	1.523082383211727669925759106495962553912193270029930431158767477655323758860124e-42
7	0.16766750345277000343719986318885864138404950549705002460662344070903021904358671	9.6509002688842648164321888486147768031743624426869190452189708325635827738875248e-39	3.955224059339155038805594306500613828705644796644351456138218063726590245942813e-40	1.765427226191628472522551697084327100397128178636022546414356385521915016531725e-42
8	0.18051488792211089872583785081393853198679306884084559148771663041259688312415253	1.118666766505270716340109633872167831234138833856252036933160795559215578713009e-38	4.5846278064406490327378869350906807947638362571318062980611109813931635436291972e-40	2.0463314508948148802877288551346130875344976213233704706305750606696671496619484e-42
9	0.19434669265360209079653791193429771511464368571370671675896562809048948282142682	1.2966815796614921824421864931540559676425399406581294511828936346284145334789317e-38	5.3141862876182520090587228667758232810776869294610866950832908542349189841351676e-40	2.3719298188898898480417060516359172730416665849287769664399034312800596577251911e-42
10	0.20923834803969775484269017852290474567719557680178534447539834881385368340492953	1.5030229102166256654284207492728000653142256092736740821778997077897326473366587e-38	6.1598355650918611633036535330943724337989116591201809607822305078479617610931966e-40	2.7493329963138865154732364478501039015611963250457571221459964951774610346358955e-42
11	0.22527106426459808581388322448509847608947039914122696553200955581432742147254422	1.7421978145303243458059915656156505456012478038212463587757476815372804708903931e-38	7.1400469734091803256042282257996505530169979886223261813441878558187809278525978e-40	3.1867827569251458987410826913809744182555330340720263016663785355779867436176204e-42
12	0.24253227417603533151411297804102374230726047355288414398970074436009114877019789	2.0194303464280728250741057589572993648443029560863285823853012836000180769329845e-38	8.2762303334015380630682996791953694139528237322715722984490862053015274659395696e-40	3.6938318545859400899424086051555083592544019749313421455976539047365582606972474e-42
13	0.26111611009174596715390231562902877392592050246944852236215324236339554423566998	2.3407755798666149298839404604549814306942627278713573236671516495472140057087668e-38	9.5932012547555301433182826858923754007007782526039128752119579474014386184233782e-40	4.2815524821526801882689405837599590248935687522302078354075842294219521962761565e-42
14	0.28112391714084641024234112758157067568054042854571053810470666196970282738166945	2.7132517517880724258068070906912001245316970354621032672470508243970149327236637e-38	1.1119722701328833520369926281090326371472905860808968028983478601476257584913567e-39	4.9627778543585028739365190381590799763752942183289194372689616385564264291198015e-42
15	0.30266480593956919303407013714388927220558738961788409933190842156624332133889378	3.1449934007961269327684282752343321940320155690809830779942537978790860166501761e-38	1.2889132604596972503684286296365957483573001741286178993274768236608435710819209e-39	5.7523821707954415410991327974503129480004451472132344972640128886328012583996505e-42
16	0.32585624761532259220214636788974333612786039596861176403118706563558931841209955	3.6454288323968228689655074499156285686958446157771672669609561389902527976448743e-38	1.4940071175835603097167061785406577316237804920735355726244387946691193197832738e-39	6.6676050468617778990181306792225629501779620814478113477842592038031352317912319e-42
17	0.35082471442397914990307993751596410787283492401644855201046417485919803353255369	4.2254857682955603678090383168191674410523222762323574072193756106220357553962342e-38	1.731732372647375751728219701325788281476132417388288298382327066724498077515819e-39	7.7284274632130085656577893572718375614787293372092065623081793330185851869623225e-42
18	0.37770636945393672888377269567641953194837305865255546468030600087490613494325708	4.8978296467884214797439954924477123089608149665169370345381891725126044464200377e-38	2.0072797304228505524439697570936251024327351285822895996540378691912061693568494e-39	8.9580073982295795612131252854723139153618939582662417119043768014411945279151672e-42
19	0.40664780917818565087063948954428610660146680306917937050743219348807822084263334	5.6771397464893214129251701261506436862015040724845141446561177995978975806577513e-38	2.3266652342855824108915468768370236112466494820149649344798326898769022227395975e-39	1.0383184596787208869483510920643739301805928144375321894282173574393246223110732e-41
20	0.43780686290381689286762897399465669814276536423442195389768032390607165436616365	6.5804291213037934355430362552683616521340237466251634177388840209794200917760421e-38	2.6968613866324213919232293183809896431991522638049185100753100719478193392862427e-39	1.2035065419244949318546311580055754209318579895613355941974132573490190032013108e-41
21	0.47135345347869093841987080436864490385285874684760499971844043677043471190860927	7.6274152777362036431191022135723287238830700391632881645270952770186760474322736e-38	3.1259490653781935843560093441371176997106339700753002678175841268244006419058597e-39	1.3949700438187830661618253595040339339082749091934374984352660618783690618788727e-41
22	0.50747052394904680717325706919389082594077350739743281725373529968767071294240667	8.8409496158899943015464145471833926139346619984706833209089120948332196035598579e-38	3.6232935240141445156792959292374351747546605290010859359335734943944764971267412e-39	1.6168869442868477343074096186166975711657782464158717903574502463812909960180854e-41
23	0.54635503522148777926843812538580114298043741939516634546799613480132562950852609	1.0247514915387533275232497275458535452174488794567182245534233665649568006292126e-37	4.1997482790659029165868557305494331229073461735413438325153990190332289929425689e-39	1.8740990813590525424549825564062296863996877730571292829025128902419021401289103e-41
24	0.58821904016999574543911805255686764805546625024240464385192014394867952958890237	1.1877801602702843814595784618443060495856182439650485080424257969364741291298349e-37	4.8678912852318927866019165445996289270812675585029380616769083297793327416847368e-39	2.1722174887615021392323994139894849252585123064763111980609463187808359270959105e-41
25	0.63329084004551159047841359252981743430768906767986536160186068718062423738149839	1.3767375216627870893812752812633365796842721917438163247032466356238729101689591e-37	5.6422984871310383562987342806860159100808632028129938914289964317787035265674758e-39	2.5177444008559582551008793137133932655482564898179737516599569346765486763432379e-41
26	0.68181622949444800111246810443093315616746418573428704150576623120077342364791747	1.5957449427593542926091835927815093281251399008367275525249077099000353022009214e-37	6.5398606313015047869870811462012079790498924912840186145301044083765531007301314e-39	2.9182145494477056988677025390268381406675633658083213713763381711582122935404576e-41
27	0.73405983697572122418124723459955210133710587204684128427766814946811368072842158	1.8495781202951696053215310599987587466247004941583790595276681135982417700243055e-37	7.5801501386977172642129500859593704266726175446947680432637471682016788336799722e-39	3.3823587846391050839709459240965305704339028722399793093085082877750196302326372e-41
28	0.79030656788613478105269425350009626408461977678521487768767255937449127093565565	2.1437707288100680425834541091503645010327644090361376875969204089150679936676976e-37	8.7858458944715324644079311877940708091451162329858824297729109189468589103913808e-39	3.920293522943594794014590760696591910402413682114429913014931088242238962569814e-41
29	0.85086315826405808261550039542715599150990421657197366948439136660230171846797971	2.4847344142559431169011336859247498902339411797487807094217987041473473762171274e-37	1.0183225028814895790924296217323539980082055054603638743350254497806536577436151e-38	4.5437400684351415424021351176259680314885421643202702170116992030233629959893863e-41
30	0.91605984754437079070118661328650758551919565358437401836742700251396729992956351	2.8798976887556833510743950616570015759928782764120032137229617076454664176660563e-37	1.1802732163370228018820680534429820610547530693772694079914245803725041883974669e-38	5.2662784771687481141223283637794664995568097072459124862459866131167622339764089e-41
31	0.98625217948687818997995940454293366403770278738932919000926816960974749658982552	3.3378666751679099935437789535213957883449111156738013740637077210106954666898989e-37	1.3679638208533496517984633369457602840558268838729391668675935017346409498880821e-38	6.1036413532125144484621645279635673214144645157019495728664623183563793470875098e-41
32	1.0618229410993843055722765404483506475523623519339157869066635613704379277350634	3.8686111016128903544782776191625520386979844019653518402051651432067578399869558e-37	1.585480264761938087805962846863867830507744809802550589631181050647738750693521e-38	7.074053789632189981981732933231343816841447534829995865027374570424185189277786e-41
33	1.1431842501291498528160862143903009735801734343628516953197336509051847731554793	4.4836794642750565222082229747792243688564522320754991109809128083518914832472571e-37	1.8375555367770734255436575656025962545375077617958742110708321788602240280096989e-38	8.1986266145675971357947629239192791935601587269125375662903033658404257969644389e-41
34	1.2307798025066652419318061314889028574704156745933972904385837146916468531608375	5.1964478707535560517577030657679631652653930726698391732736335068190906011580953e-37	2.1296716532147041356515336145300067652853822238610744604595041073742875787719951e-38	9.5018111878337108601434864677321852442688079039708240216590721742645176018353838e-41
35	1.325087291997953145188038287395174217376575521591910357395388216485820158267312	6.022407756178011702465151510802496404631729141673378947377750617834133587960517e-37	2.4681775775129364444597833827638381463235253521356147520264970324096626950883484e-38	1.1011925235897121922512825981815852899791761842990705713275965680299631435578967e-40
