	m6	Whl2l3	Whl1l3	Whl1l2
0	0.1	3.0280024329569210937003743470337842130464560782903845500577492181389193815190398e-39	6.7453548249932307099463667306996534877785129644749263614529772174951653280235008e-41	8.8643975100028512940160054250242687818144715478112149402044240375685428143182802e-43
1	0.10766241770454932246732237041310038445263510255784502392082127517805693432238809	3.5098647527149576336752000283329712876807988950738277587678042381460793284005191e-39	7.8187769369085403852738415379138659662737329228299941537339863550117611429014512e-41	1.0274880229505493325275164470394405304718146307204411897374446908639228309588371e-42
2	0.11591196185988855401478407622850354385955503777446762005822330370325574949966644	4.0684072448011614454900763383908601853260499820771339158560479903853792021528941e-39	9.0630148127224218717782209805104670054848305588914875531118618865574924551636657e-41	1.1909792826428819521182530691724186989116205769041006510392322844692237994964606e-42
3	0.12479362054713111270109299882145437713214740958380907677870998909030476248464741	4.7158318705288189186851281226787796929396372194609156136401504093126890418427022e-39	1.0505249635853184203349891266531393877657458294407873440679508682200463105500885e-40	1.3804844659287199940323382430733808800109500324820291854951527813704073023775507e-42
4	0.13435582902208258814024415860074891589347006768202159744099734045316729996777105	5.4662821414386988247419624677039903092594542581991768331868497959106469515421728e-39	1.2176987471150314984399044217060621953934430931166612648279698532392656170950031e-40	1.6001426546706683783712074941847445446553641937674370943636396988040345496172137e-42
5	0.14465073385216466119837916084719091199746438053840611151363435756437677091933511	6.3361520148844262318001656682797148519849799111001852651897100168193717166676777e-39	1.4114747299062289176156167064330235135867031798139239790300876735805975301515414e-40	1.8547514604776437930040645969052243250808364493629612768212027718067495058793177e-42
6	0.1557344772926134463654720104470617938705722586279065110955118452039476577829362	7.3444439213260060724776589402489019550834079537835191457961984929326254835690378e-39	1.6360858471758635777886769268647097421904941456918544757439662140796101921811526e-40	2.1498717839897689134279790152297846107972740925022709625306162371946655475011708e-42
7	0.16766750345277000343719986318885864138404950549705002460662344070903021904358671	8.5131837339428802254997679746062106172812018631561263418592631352916525500517277e-39	1.8964384981822806057334335404694322320648137738793236824465605731834944203567501e-40	2.4919492351289165501762135476568402084647594210032921120774334849364548611976357e-42
8	0.18051488792211089872583785081393853198679306884084559148771663041259688312415253	9.8679017315555875815726981325192212041549400463373220243606756768888141798801527e-39	2.1982196694440802593836746423042569785081170211839298499126387275070375096127519e-40	2.88845486274099381725761466579323044218446058431492527616273222581354197231436e-42
9	0.19434669265360209079653791193429771511464368571370671675896562809048948282142682	1.1438190042793074293131121416985105364626710106263282807191893802655930740946227e-38	2.5480210891306624347391303071014530189490685617694586958539981463669290093148377e-40	3.348048262623585339206083788622590203465073229424227743354149590059079401503718e-42
