m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
10.0	(2.693644345984255595071281180055942155146190907067696231797502712e-37 + 0.0j)	(-5.974032969925898205835056080656894330263370667110196621277381282e-35 + 0.0j)	(3.370488321208082594857207811924600324353396183230137942633368247e-35 + 0.0j)	(-3.11378107031095966649808739303207741643885468032340306942749013e-35 + 0.0j)	(-1.454409996337798661312228068963557357499810537252320459446414922e-39 + 0.0j)	(9.994950272374489659249205812112998747705314772618207854532332466e-33 + 0.0j)	(1.454409995519412899521239635622422967852115286313504514430723272e-39 + 0.0j)	(-3.5496844134013777374694954348848689731830981422058125737813401e-37 + 0.0j)	(-5.789312084893905907742025242992712888656704497286953560676612792e-59 + 0.0j)	(2.491873191692732859457107834743022548033340812681795573954308001e-62 + 0.0j)
11.5139539932644732216362789617117283891575717115700685366709713	(2.693246540103247977065598251598452735054252756403264831144903728e-37 + 0.0j)	(-5.973527815160185883296993462316920796213950236007977368587208686e-35 + 0.0j)	(3.370206766938076641723796624155553358938569464598512546477855913e-35 + 0.0j)	(-3.113516091024767434146937731970660404789107514558788800688916817e-35 + 0.0j)	(-1.454275242756995914401248836997802761927019396367781930521465365e-39 + 0.0j)	(9.994674233352871492489389029359459023701469263343277739292798809e-33 + 0.0j)	(1.454275241938740727893513999977555056259814194246122086210528518e-39 + 0.0j)	(-3.549586286697054327043583601799775901669762593326805977708678872e-37 + 0.0j)	(-5.788584516872310938648800891513054321055863058499049469674550166e-59 + 0.0j)	(2.4913922341140992366517507970343012973986051120588764305538584e-62 + 0.0j)
13.2571136559010909061671162374687970736866285307464313909808956	(2.692719322741594871678537840369979984007716915179865349821615106e-37 + 0.0j)	(-5.97285828583141873687412496383414661267389241777660363241367345e-35 + 0.0j)	(3.369833595967451171738013468991664941308969990197512963955557985e-35 + 0.0j)	(-3.113164889078029000222572246225168016602652003762327754546067571e-35 + 0.0j)	(-1.454096642654843264026222067814572305000155072254918091499583737e-39 + 0.0j)	(9.994308370970351982725731598715960356519383468426158869237885602e-33 + 0.0j)	(1.454096641836761128396115380287403208568963979269651236231649742e-39 + 0.0j)	(-3.549456229455069139228839377560386980013968419192497247970686115e-37 + 0.0j)	(-5.787620259779220014414684464711789355813442448090816006718890262e-59 + 0.0j)	(2.490754854543421326664837626732237073519238512428962165135964858e-62 + 0.0j)
15.26417967175233452102933260093379400628215365265398847764281886	(2.692020662968535692543544171130401709969615569795104949214634908e-37 + 0.0j)	(-5.971970964415467791562480243678496615301677859658605314379472922e-35 + 0.0j)	(3.369339034835506102713951814364114733075974864735007979221964929e-35 + 0.0j)	(-3.112699444413505307627806686125127133376922386521295423565039517e-35 + 0.0j)	(-1.453859948206123162058825483619679587319649618964269021725451837e-39 + 0.0j)	(9.993823493577976142816676948528304610924641371693655008334246757e-33 + 0.0j)	(1.453859947388270346632616018304287316421609465965100143434920854e-39 + 0.0j)	(-3.549283864575050389045453949666516188858617527433708508677240759e-37 + 0.0j)	(-5.78634243926748427890532726481962657512275206546479734345221862e-59 + 0.0j)	(2.489910279575254519792001865515563628926176030618162831513283718e-62 + 0.0j)
17.57510624854791881389007655886166993236741554122847989724604642	(2.691094930506841878895436011540428173467662351697055858034797831e-37 + 0.0j)	(-5.970795126288794553794120826201061071571377386065445407196463879e-35 + 0.0j)	(3.368683663292896068141865839228588363270994648758019191363287912e-35 + 0.0j)	(-3.112082658644492318214060715812389905083913726388603440698747801e-35 + 0.0j)	(-1.453546296224757116649684203536833495442737572865736540124521491e-39 + 0.0j)	(9.993180950502976502288293129781417242148609006809865661920920759e-33 + 0.0j)	(1.453546295407208146230103435793497319514136115995808732031541459e-39 + 0.0j)	(-3.549055452437358087802087213171142526893992645849352736075640605e-37 + 0.0j)	(-5.784649306903979908270607056430972680038924548217069828504454886e-59 + 0.0j)	(2.488791330585168597615390079803800319449763514906905213763716272e-62 + 0.0j)
20.23589647725157052491828358753364117410550997548752104154077658	(2.68986853465441215951180046549732662781321672178636770542778874e-37 + 0.0j)	(-5.969237171769638327416639750932511537074358850064084922256488318e-35 + 0.0j)	(3.367815310564744450594812856633938485332685338528298688467443825e-35 + 0.0j)	(-3.111265434474512309993563788043130187947752435723522827631460035e-35 + 0.0j)	(-1.453130724003613689073697897409962258664088327649495003295144519e-39 + 0.0j)	(9.992329588157807115457068968156075041822257073514472862963533914e-33 + 0.0j)	(1.453130723186467235507736637860037198384227270051233080165555751e-39 + 0.0j)	(-3.548752808846222311405778341212190767070872992111869060279905341e-37 + 0.0j)	(-5.782406262735917663910283855807466508409653507221208139055470128e-59 + 0.0j)	(2.487309180124930739249751484861142849104712011892694012719525832e-62 + 0.0j)
23.29951810515372068449409285952747834727346726842142635662525	(2.688244194221161038854571082942102240789070842324320375736503335e-37 + 0.0j)	(-5.96717329670399690336743852348899597150141685699425024877754474e-35 + 0.0j)	(3.366664969563893615498724708693169383417511233292357452054714173e-35 + 0.0j)	(-3.110182831218514899780258843779108438585201181272048384312443359e-35 + 0.0j)	(-1.452580216142777273965291150486857915439995938555376564952306396e-39 + 0.0j)	(9.991201742605479808913818445997732849226430744575972835656399115e-33 + 0.0j)	(1.452580215326163925622891383252312020738378996199832810140022746e-39 + 0.0j)	(-3.548351880442981768711219033488586129161368665657921922559960724e-37 + 0.0j)	(-5.779435373080663870154927156070472650456514670632522574915448043e-59 + 0.0j)	(2.485346475424598905719994771213699437215969501859187902676986797e-62 + 0.0j)
26.8269579527972574769880268062762501535385557236722348004234889	(2.68609343113449591268489236401670090500289181651163528847592601e-37 + 0.0j)	(-5.964439866937443080227742155641300640374387144484869118639128363e-35 + 0.0j)	(3.365141430843382126852748201516550339860840413905774767598507161e-35 + 0.0j)	(-3.108749016025888391754371078321184975973566420505599759333373902e-35 + 0.0j)	(-1.451851140398439877625718214259102688858203079829097849630860284e-39 + 0.0j)	(9.98970797565997605414353041726878665004170085910170717591885692e-33 + 0.0j)	(1.45185113958253236763033760287384834562284983851617290390358177e-39 + 0.0j)	(-3.547820873455241296510636559354244508290746340774516807854762544e-37 + 0.0j)	(-5.775501637756129698198127437680310229572479062862775490769290963e-59 + 0.0j)	(2.482748353226914496610360152376451404912938110871248146762441084e-62 + 0.0j)
30.88843596477481002430926824563108583451420625422300382615279384	(2.683246776308313494279673791164131479368186586685143053464353419e-37 + 0.0j)	(-5.960820816943889126785138211010914059412526446568757833367356139e-35 + 0.0j)	(3.363124257062820131729661933295856966116296576994098668270382095e-35 + 0.0j)	(-3.106850654350907991399832221552852554847962929178771473545739645e-35 + 0.0j)	(-1.450885892374837309155579244312048467321067000151343878876456213e-39 + 0.0j)	(9.987730181762055536867089926593128528351713395994045810625789251e-33 + 0.0j)	(1.450885891559863949409896991563269162209902944105803291066422373e-39 + 0.0j)	(-3.547117803262081414824972291762520109061696112233960153220845159e-37 + 0.0j)	(-5.770295070036172941498648656967157702807698066926840120077208031e-59 + 0.0j)	(2.479310756715121615290969243745396690769193432754450311168557864e-62 + 0.0j)
35.5648030622312895396122024695050431516351520715493127560941868	(2.679481059336217261930701308450075840863326843490082132570569983e-37 + 0.0j)	(-5.95603122190397060631212825604194106657524718834282664887268128e-35 + 0.0j)	(3.360454623173116029377034593878024764281076104912311213109642068e-35 + 0.0j)	(-3.104338293602031111473695700549391434652770204297239746223463885e-35 + 0.0j)	(-1.449608524117980200203143741737367966081460416411763267968370959e-39 + 0.0j)	(9.985112598461103336220147782807618752068275878683849499921548795e-33 + 0.0j)	(1.449608523304242471650879339920326606107276089020046930830339705e-39 + 0.0j)	(-3.546187298686576521352618258241744199849323536188480312989617238e-37 + 0.0j)	(-5.763407437441506128554319084037372217796107765930731186062483185e-59 + 0.0j)	(2.474765345030509860161539209957790370888109783297830578517726214e-62 + 0.0j)
