m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
10.0	(7.562308404487774846383912894660776974534558015276316069055453734e-39 + 0.0j)	(9.462494428797703928450209787451470112829963610383825414369804401e-37 + 0.0j)	(-1.677186342147294909386434063132214295099620489822622436159926444e-36 + 0.0j)	(-8.741801985245532876770629083309844895936945801400741839911803351e-37 + 0.0j)	(-1.745702369424275504952897570239625100232136973925899326480694345e-36 + 0.0j)	(4.260622885565648057600718341863308538069035214390297743836008878e-34 + 0.0j)	(1.745702091621091194329934913072174487777344115171205317642613276e-36 + 0.0j)	(-1.454676998471588999747191826519231884739607216593426416931387317e-34 + 0.0j)	(-1.625328006367846242250486478149500598336237237186021737517133206e-60 + 0.0j)	(6.995832118657528571079675865821607752852302224066472024891685619e-64 + 0.0j)
11.5139539932644732216362789617117283891575717115700685366709713	(7.561191578948335391118506882695988683694372257496299784822293542e-39 + 0.0j)	(9.461703979615274002045703556864205359886147765917479002333725713e-37 + 0.0j)	(-1.677044522016884185145305686212920566582700830451525211537816595e-36 + 0.0j)	(-8.74105806908700351669570468052642138374493845558901697786897666e-37 + 0.0j)	(-1.74554062710547400208631902494379124782792371987614479702645373e-36 + 0.0j)	(4.260505105831651132755025229057510388035811373233086406668040655e-34 + 0.0j)	(1.745540349346613831009361245751933916371321585721267439988562407e-36 + 0.0j)	(-1.454636712931065506728586600991304211938969793240361198173196419e-34 + 0.0j)	(-1.625123744336370112397635226506539189900754697214682274976782169e-60 + 0.0j)	(6.994481849916327051876338647764568941647506343811030493541171599e-64 + 0.0j)
13.2571136559010909061671162374687970736866285307464313909808956	(7.559711435384753162690723024269534607177105763280712364125911859e-39 + 0.0j)	(9.460656321241182130497792083735221910994109244273107706640106262e-37 + 0.0j)	(-1.676856554401465039186934116999938681431672081722385819618642407e-36 + 0.0j)	(-8.740072087099840575670791997300246720004970436157987591336249724e-37 + 0.0j)	(-1.745326256589393689520534319499353653704686581936188625815182585e-36 + 0.0j)	(4.260349000442491213443047497720173247057682798149675993398187199e-34 + 0.0j)	(1.745325978889276115485310192898571313094123820556452660216584915e-36 + 0.0j)	(-1.454583318419843183820680742676386296862333449568005711663067544e-34 + 0.0j)	(-1.624853032723359207866233566205454682582518376536432225037068583e-60 + 0.0j)	(6.99269243282675391051270341579817859069876889210742224642279417e-64 + 0.0j)
15.26417967175233452102933260093379400628215365265398847764281886	(7.557749973487934386730389034156886119898762872892382687143427462e-39 + 0.0j)	(9.459267866210136465683285422393603436047743236500105789728760178e-37 + 0.0j)	(-1.676607442550017523862639406796739972073412670661789504290635868e-36 + 0.0j)	(-8.738765374367553547002703991383638686296616772835603468965489575e-37 + 0.0j)	(-1.745042156465631692193289185685729999342836210742918896551836022e-36 + 0.0j)	(4.260142113949573827468582134870890981852120703026910600310291236e-34 + 0.0j)	(1.745041878843357492973017938667900337472008686676903408862673971e-36 + 0.0j)	(-1.454512554646948643582267919614941391034705727611275796626122496e-34 + 0.0j)	(-1.624494289340135415933853049775276536126302903380608854580446052e-60 + 0.0j)	(6.990321323128563025819457782201626648317877341659121067765232786e-64 + 0.0j)
17.57510624854791881389007655886166993236741554122847989724604642	(7.555151013278300599902521182757330149937336367534991628103290382e-39 + 0.0j)	(9.457427944191840693959116812735100113918219817703502169554298573e-37 + 0.0j)	(-1.676277330814268410347437113803898645724381777188468419727065611e-36 + 0.0j)	(-8.73703377901524018136807294108081127241654051304535152439549072e-37 + 0.0j)	(-1.744665685588489733371554390169499520661546180276295336937945144e-36 + 0.0j)	(4.259867954932367029637288447696774299205307151354121929267057394e-34 + 0.0j)	(1.744665408069356558494108878476137367457071767958506620624047905e-36 + 0.0j)	(-1.454418780841498676320131210887661881707636139194162148928609272e-34 + 0.0j)	(-1.624018948690367489121793005967415204668350534886259401040396816e-60 + 0.0j)	(6.987179919579826713854221395354684250760886742427827037022168571e-64 + 0.0j)
20.23589647725157052491828358753364117410550997548752104154077658	(7.551707951536818577091996734201211224358067020282357508364471096e-39 + 0.0j)	(9.454990088408515557562509325265957120558913977405736272150805422e-37 + 0.0j)	(-1.675839941467058321871736269859778356605237636130967876813742333e-36 + 0.0j)	(-8.73473946282552457799632449395704422001870366836087640313816701e-37 + 0.0j)	(-1.744166881665975647993343952809306286580606551392523314011652589e-36 + 0.0j)	(4.259504697224838985642510766292487160955649953219445418285987009e-34 + 0.0j)	(1.744166604283477927647382509138180486599193199814318070145406655e-36 + 0.0j)	(-1.454294531510044064822100316523185874552325637276264158233376676e-34 + 0.0j)	(-1.623389222335062331286189324223841029890666783700947860440811959e-60 + 0.0j)	(6.983018842750762743684820360756912018207727690617447887873118029e-64 + 0.0j)
23.29951810515372068449409285952747834727346726842142635662525	(7.547147674861269374188659174986834689093749306112673751535362906e-39 + 0.0j)	(9.451760564997570700143175320053817750176554052630921826613117492e-37 + 0.0j)	(-1.675260516999367841233609991499116769067897549646472387861698514e-36 + 0.0j)	(-8.731700108055313660343628279338623558140129762845315082949268467e-37 + 0.0j)	(-1.743506116902622348182588991832124930872920867165257902778693214e-36 + 0.0j)	(4.259023470009362885475665774613114088788011053940396428579574258e-34 + 0.0j)	(1.743505839701088664141698927760644306139904163225762412025494776e-36 + 0.0j)	(-1.454129931563142382166631947163938627096293048675893242620807165e-34 + 0.0j)	(-1.622555156050819066804758722569767862425534431316129954955521962e-60 + 0.0j)	(6.977508629536962539378374044934678569205533905650710009552604254e-64 + 0.0j)
26.8269579527972574769880268062762501535385557236722348004234889	(7.541109485736703492134077890626435985367367170439939539553091421e-39 + 0.0j)	(9.447483308107439833032424331813022772441798823535858165967613979e-37 + 0.0j)	(-1.674493117792683689487011761689527266972686633479615185211494865e-36 + 0.0j)	(-8.727674743245057217615493844003741656884430167321660839260671798e-37 + 0.0j)	(-1.742631020294661498027531328946302919512182902836693955181502713e-36 + 0.0j)	(4.258386111787687587402458911614460308396089514569920110469356108e-34 + 0.0j)	(1.742630743332726584656311066262033135188211193821802051435803007e-36 + 0.0j)	(-1.45391192805440035179962522948166839871144722136769879213089344e-34 + 0.0j)	(-1.621450774405541918426013779467562846927500076322738454861447534e-60 + 0.0j)	(6.970214507674248919262040048109201568197862753010338733599041099e-64 + 0.0j)
30.88843596477481002430926824563108583451420625422300382615279384	(7.533117605868956834853458007996059293200171147539961620380644112e-39 + 0.0j)	(9.441820196070654610601800607903409034536335004552657512863647049e-37 + 0.0j)	(-1.673477084335592000747578023613180393157385542058235351959307764e-36 + 0.0j)	(-8.722345187292399831279059027917625397006447165531538509633024438e-37 + 0.0j)	(-1.741472450313619000161755946518011192442989768107245644906999744e-36 + 0.0j)	(4.257542229167740107357942297794773420219829650602400542087657137e-34 + 0.0j)	(1.741472173668783961388864692819662385092115341115814098658721175e-36 + 0.0j)	(-1.453623284117951308127256792952617774364417371968720841009246517e-34 + 0.0j)	(-1.619989049772182510207263474834188824357842425100119314690891936e-60 + 0.0j)	(6.960563595991115712325082480551913454345198515382494205504034391e-64 + 0.0j)
35.5648030622312895396122024695050431516351520715493127560941868	(7.52254549246076382428194242884038939588868709586615994200159557e-39 + 0.0j)	(9.434325335689558868211080644914959545312128103141636251382577342e-37 + 0.0j)	(-1.672132425151979449422886884110251275923907244462748503247141065e-36 + 0.0j)	(-8.715291859474514463944655511605418834514910687055847519220205412e-37 + 0.0j)	(-1.73993924798536375764144724710125395830713981156541750455403235e-36 + 0.0j)	(4.256425361112901952769043103553935922464228397696161617381480564e-34 + 0.0j)	(1.739938971759967129687613416711774407740491832598812856181891942e-36 + 0.0j)	(-1.453241266902439633469682217068266715790397098944939489221582513e-34 + 0.0j)	(-1.618055372391790562632041072823591566978607592945778348573659682e-60 + 0.0j)	(6.947802538496106547584657542460050307619858862063659896986223639e-64 + 0.0j)
