m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(0.000000000000000000368116146214523329743539334968626902979817856702447119543200755354222155839693391734582603180450331874154002000624314948 + 0.0j)	(-0.000000000000000000000000477069884243741329940823099166902412384658072136468879463766488391947050803326603659049751862561170302604149397443710576 + 0.0j)	(-0.00000000000000000044584480293289501898243389208076418304359158920833196802996837222687239223200195515404006492408933000069664720050311979 + 0.0j)	(0.000000000000000000000000385203196719356269097538814052025790310602737626660958565137718439156315462742747892982822717644414308372043707910384434 + 0.0j)	(-0.00000000000000000211069824515888553597467347945181039080406948139188743863390847819618715906619848551758929111498714923789229098827727484 + 0.0j)	(-0.0000000000000000000000000000426518290077509879630218363329622458196058128862476069603917356660374915164839901480646751705643813489476869556565562144 + 0.0j)	(0.0000000000000000021106980982184379863045444792356877930975123915277633826628646436568855760999191317519593479685047700320464855713921394 + 0.0j)	(0.0000000000000000000000000000426528361094796018909641800091403396590088135699534089997169538847847032276500367663579284293875466840237237104809960725 + 0.0j)	(-0.00000000000000000000000000000000205146631772182120699188060435163541344408240360680738682624438709763944223221757628252715732931921507346273535033287454 + 0.00000000000000000000000000000000123109245047952680751151297894953560029439453829209052618750025149883263743227629315213097433714616492321157416035644166j)	(0.000000000000000000000000000000000174290945783107542859653634912736668092393533655045624866611598477634458105538024150794734690278480518750362102885415784 - 0.00000000000000000000000000000000286226153373163746594617615428464919150284557857994641324139592288376569786189405919140170853270831769074002919275187215j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(0.000000000000000000253728180427651094140922841818945782835939602667050858336080325410920796507728494936976747834122179506524200061303248356 + 0.0j)	(-0.000000000000000000000000328825765688020082341461110622702895850597151825481306027824080281800453535647443672180183566277019474270914589460269178 + 0.0j)	(-0.00000000000000000030730352842323957756370822810179606256704600390417037233354789315690788634419965947397853735903098930319846593637764579 + 0.0j)	(0.000000000000000000000000265505621443908801024909332933576598799355297979434113716784364949178129496921113953565434335365756813329746838746858605 + 0.0j)	(-0.00000000000000000145482242678892720579693023832211447146973279290461145749476202938733144492917421092406530027628190544142446733813176712 + 0.0j)	(-0.000000000000000000000000000029397790559400686414182595310919756448035678238516380297705893269392252174672358037227834154503921545655526997544305907 + 0.0j)	(0.00000000000000000145482232550857650290899451529158674327126980864438137229037271139720213486141304052172586068020652890528514726390780377 + 0.0j)	(0.0000000000000000000000000000293987985838350402425499364636902318828768972536798544935755737743783265942272300047484948789363681688395232216046438347 + 0.0j)	(-0.00000000000000000000000000000000205146631649600223720469600563424829299668325306029490696279953919568628238040535947431506529565593576726965342699497694 + 0.00000000000000000000000000000000123109244974390835434799017583139222717583906175890453810071372643116800169388722679639079613156555735195252701705338509j)	(0.000000000000000000000000000000000174290945678962938701422579669417949200215001190246586099068337378333450107998729288478796408393641370833619418835315348 - 0.00000000000000000000000000000000286226153202134154042653974791417500706525567829885149854560665147133711927766575457926092207411392618885425900527351135j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(0.000000000000000000174884992718924550335457440760396320905328969572437225613785132800540278180667403768008769593351464243496983837080874132 + 0.0j)	(-0.000000000000000000000000226646845155587440524497116057053650860899414775779173095406130009395245582654402455859456130285468047857526828846592527 + 0.0j)	(-0.000000000000000000211812401918526780741063180341837970089638801698692749945341559221646217053972229707928698274390106380928552822564817078 + 0.0j)	(0.000000000000000000000000183002725874411676215233227265507988712760044355450399391776549673326943534968895010943017516398651223902829604662330242 + 0.0j)	(-0.0000000000000000010027526666036129650725990486791466999281191071247301821831058307094949506042663387936273088839451497524292161946666294 + 0.0j)	(-0.0000000000000000000000000000202622959809850769990476685276580524257448124272159106633761427450823728321930449336065060535106215880206247408029973598 + 0.0j)	(0.00000000000000000100275259679499586392544141689543624525713372504595907846317852917609535623815383237057507569961004246915726122598393636 + 0.0j)	(0.0000000000000000000000000000202633046414047055934227212175995508506639027952599997743972874630328067369152604660797762193937674402211813611863987826 + 0.0j)	(-0.00000000000000000000000000000000205146631565109277119214749375746438906141799312264540262310224399606144588420785112289527727567142231179149506087391194 + 0.00000000000000000000000000000000123109244923687508942855964450657556652190484484445038641192729913970928557327612280423947288739361167621656927918803923j)	(0.000000000000000000000000000000000174290945607180102853568362493617133809421543889896921171656986120335224923284344579757873454760331975107896382043090994 - 0.00000000000000000000000000000000286226153084250090182465150914173447481266385714946874643545168617815971931064939641056680341817301021437047041883399642j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(0.000000000000000000120541441747405398212134388374352362202749142357434024541914113121371292857990326744613671658930249961171195126786076356 + 0.0j)	(-0.000000000000000000000000156218878738465198792903920497121501906427428445998366161144872946652177270137237123565877041856643527929547834632630734 + 0.0j)	(-0.000000000000000000145994072506126870480827086323805006650565730995162713059433255690361955041956669550503127084265229149104395493622960288 + 0.0j)	(0.000000000000000000000000126136680234013950515169211993500648218441499571326061378725335897015001448473002190728278740523921171070065463328695548 + 0.0j)	(-0.000000000000000000691158516629969473954932719562661200498240901814352494257241524444015406448582958322476598293383372644639771393813327593 + 0.0j)	(-0.0000000000000000000000000000139655539326265129431109705261273809953199196160350776457578219229309898080911828742932172950919258693054167151755442625 + 0.0j)	(0.000000000000000000691158468513597560390083837917672373091612965430646629142994140309157806416597049376970214778514639171656768565204565698 + 0.0j)	(0.0000000000000000000000000000139665630314061216547890250872779243280737043631737730258870054911273884664191918455665965103483737978975570177049992179 + 0.0j)	(-0.00000000000000000000000000000000205146631506872945035707456064655543587295313414849524647740810654955498055656113929662933633905127306412299689275223751 + 0.00000000000000000000000000000000123109244888739672776946158076113346321672080061138203183849118536263284044620118712348550262449712419016392869191512339j)	(0.000000000000000000000000000000000174290945557702978564024143104778555215656546519748921244116523283870634420234539654885600467550202854076531004122694267 - 0.00000000000000000000000000000000286226153002997177693337271812608739715989799701447237018199326871863899963203673337693009060233756344898695517883694398j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(0.0000000000000000000830845400364393929368366200088439074386044658935712786105610631982982015666713262467995053585702362051654158827801517606 + 0.0j)	(-0.000000000000000000000000107675613371578963974829037727844856461571104771110245605876808495667480911640901095190000410697055459471369977725896069 + 0.0j)	(-0.000000000000000000100628051119848504145752374690965560907255791195966030260192428472984920081225234178037698990188903555245502296847599142 + 0.0j)	(0.0000000000000000000000000869411207947714305929966244562222660807265543177642226601921646794204634863096083638490258567712406670861304325135833711 + 0.0j)	(-0.000000000000000000476388755717739247795187338279688646421379486039721898865512419595038749996411402364210731618658065025830947309908162887 + 0.0j)	(-0.00000000000000000000000000000962545388785241976946770543451045142616805642668038895992392409067259630506785261961937935125765043088838810193848777098 + 0.0j)	(0.000000000000000000476388722552990504885505611720024527148045268937414794908137644830943706137764833492577096458016059324947162256729433032 + 0.0j)	(0.00000000000000000000000000000962646328877655889433433167426451735708413058626729444794248693792610296327844340615590551916389510328869213575038288796 + 0.0j)	(-0.00000000000000000000000000000000205146631466732900312332990018947601735480990423122797036006018568082731336261188210795517930400289236758295071569041322 + 0.0000000000000000000000000000000012310924486465148493102818566514753486575612527545627959867847373218542694336215228170428288999157375703560800799022438j)	(0.000000000000000000000000000000000174290945523600316004190515094576511053061812212114884263785289351426508061576983946686865657517120638367348969336048378 - 0.00000000000000000000000000000000286226152946992696907335121616868978952343844683413999879840326411522431203331617768008372532632934141429582683826719589j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(0.0000000000000000000572669506292201025056631457073764404099708659744180675260215703070497645740293042922321719726589689381615354454216306202 + 0.0j)	(-0.0000000000000000000000000742166235331042660226684732628448271100615098277432517834907195240237845531099227523722183257278656920107255086924424993 + 0.0j)	(-0.0000000000000000000693590123128516164206500654778979499087293734082654075757984041123735835061663291029577254173653871740009413948615825299 + 0.0j)	(0.0000000000000000000000000599251420574706786670674677313002062477339016885732097668843839781645888276466819640186924625261112886346332656482668176 + 0.0j)	(-0.000000000000000000328356290376504420001803444557853689316457501668234708956893064264526179878769999390479806694690490661059234186284039108 + 0.0j)	(-0.00000000000000000000000000000663399127818795835247864784509349866216684542983814873637102769684081736504888150043224845635450490192918752353638268844 + 0.0j)	(0.000000000000000000328356267517329559579854736355393994569662539561257564150634332557964029034263451901661563526365588857747906003770775287 + 0.0j)	(0.00000000000000000000000000000663500088736860219409931319130278935438482558145850916407688459090034369212337603926989519135587745427113312245051963664 + 0.0j)	(-0.00000000000000000000000000000000205146631439065924508791090355832937305830800917917102119330099727059629134580864610027000075650864173622175898150059854 + 0.00000000000000000000000000000000123109244848048431424809815523183420530244359869837091737022090025034082081612270440775001016439575271728697829194843962j)	(0.000000000000000000000000000000000174290945500094673537134682307033484339100720182081600793947993112365353799475860458927633102987278742140850348371679954 - 0.00000000000000000000000000000000286226152908390980704115392388611883973924492127045691175410411479733435500668291385102839865144733123388631172264362262j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(0.0000000000000000000394718877063692976996494336807623083966155206203063142087198665864655983489520609961418150907940242243541892541164000214 + 0.0j)	(-0.0000000000000000000000000511546397003227369805068933150934876802227141637522923299206761881749903951749721842652485094590021647123956659324447241 + 0.0j)	(-0.0000000000000000000478064767786092418838195667577190713356991832875842979669290226570077994074138292287672135873386784036233252817303967333 + 0.0j)	(0.0000000000000000000000000413040758545107916200062239188899737150927504510798063498480461366465163835181848655771115313757946532471155955942832617 + 0.0j)	(-0.000000000000000000226323254145964686784233188561082501255990276798087588369045821185678318465018622470886674845788747676045029993932964512 + 0.0j)	(-0.00000000000000000000000000000457209213916729059549984093593285118368816271633456803631522156975419139753881858769474978502565426049452318590338402821 + 0.0j)	(0.000000000000000000226323238390022153841966900692460352460510343722647653290219736149741386821824275286441991873983039121087574533497433159 + 0.0j)	(0.0000000000000000000000000000045731018918910649391236910366530873145285239045540810484102406758366771794333726206646137917116245257332382344967504632 + 0.0j)	(-0.0000000000000000000000000000000020514663141999615128183492019146254646923290150407632776344350503535448244838881337188677600402109771132267661760980021 + 0.00000000000000000000000000000000123109244836604590670878519998950910214846588572885596938612236223743084534591351838726465330262192101874862713067042196j)	(0.000000000000000000000000000000000174290945483893145962036246138227738841309593225826676341221588092616120407229615096294365108443673740043971742797792822 - 0.00000000000000000000000000000000286226152881784315075251046588608710667479998985254319332628646473262576905879631087837021143761261401786176301651782014j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(0.0000000000000000000272064410975779551493637663553327488232409751317388187138960232098831749621903712954044045497573029414610042237138928772 + 0.0j)	(-0.0000000000000000000000000352589088102363226257800467910705387481728162339390320427784265406664234804353218332598116127197959795221707249010083675 + 0.0j)	(-0.0000000000000000000329511500497629017207287616954365620094758401908316679204031565914831066364776649457925487602777476845127550632336823215 + 0.0j)	(0.0000000000000000000000000284692972251029457522327469325375913070037445255874744531216036662685645418764435643681114784584006658593483976322511602 + 0.0j)	(-0.000000000000000000155995840096109333424297255780073381214920217206474310643277191847595304346811065808714002479778709348028611633484479436 + 0.0j)	(-0.00000000000000000000000000000315090504294772233669383362215405079109268796210623465291321237764428887628721676877990216701519699144115204730155877899 + 0.0j)	(0.000000000000000000155995829236149312050763057708470079531442540632821973642207783151691089954248617901583909840130664736988702828613175862 + 0.0j)	(0.00000000000000000000000000000315191489461020855024082555794180174090742424500992749861804012379599700882312141846000720024440896459333904140022284664 + 0.0j)	(-0.00000000000000000000000000000000205146631406852096306825459424611663347481807470576868689312279497905854992201154518072807754415992823004680910550874975 + 0.00000000000000000000000000000000123109244828716795142072655398710970197606970516145248399361571680673415067546028517422415845576747324108346056281856242j)	(0.000000000000000000000000000000000174290945472726061456531810734452421885807738324220580930698691126049735093130085385888228549973077427241123252920987151 - 0.00000000000000000000000000000000286226152863445372521223190014422609933416117718726060101455208972252829686193732163537455259871537173364028340437036467j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(0.0000000000000000000187523445220371806176167011735383838024179877069997487246222939031489107908504003458310551110233436316622169347045982703 + 0.0j)	(-0.0000000000000000000000000243025980969128809085416525884748839162460050234487480944517196385660459562558466631851330322242454876424170900384458754 + 0.0j)	(-0.0000000000000000000227119495679098510904490435677960266565769615562856298209326661277786659306222027523424178019658913732753962212007848371 + 0.0j)	(0.0000000000000000000000000196227821719186580130920278763592772256510517706325533931065186852612840967196809661769095574685633918601989396691740868 + 0.0j)	(-0.000000000000000000107521881564557035746997600419028618510253100602335805402365255612883218847479348517069169447499773486673998647651826964 + 0.0j)	(-0.00000000000000000000000000000217133590481777756923259315547905323448826040817347041605308897098340057728934179647656131287387368622988214138089891116 + 0.0j)	(0.000000000000000000107521874079207846342140245295795877457319183320780743623017472726635098725403356201899826781629173020389714594330238418 + 0.0j)	(0.00000000000000000000000000000217234582467488008060035856362328035266613662307222967038404488493655372995895048979342782727558373908866785786473746124 + 0.0j)	(-0.0000000000000000000000000000000020514663139779240906573512027333472195329050474187382724826775927406654962471464698253205229373405126889142736354956687 + 0.0000000000000000000000000000000012310924482328004364882956810707538712726896105944314334782468664642860547537636706630535324248091203121166845831760675j)	(0.000000000000000000000000000000000174290945465029023274095014227576072938323886576223035556179457166238186531615810440554325815767449789528529214723372284 - 0.00000000000000000000000000000000286226152850805050779743615692080507856218270097071576836852809941656519909291180667799399553273663983711168096921421209j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(0.0000000000000000000129252636835119735912874692873132969197003821140405664104748021748171875360368465744255826267107850801545785595932355183 + 0.0j)	(-0.0000000000000000000000000167508381130908756072956348340857344922346379935026628549164287799168955001101547572288946011799114104274792162317142689 + 0.0j)	(-0.0000000000000000000156544658502238521410148204064006071733841895397911930641417862323081638179613896101701514232272898112710909985862703168 + 0.0j)	(0.0000000000000000000000000135252224985081894492530112637868272292331028241003598864292704538479839335235409757164444731429082193182634763316872422 + 0.0j)	(-0.000000000000000000074110662234050873494353254557963134874388090225739848670694438232067827984970095956531618393292710116071994224464170962 + 0.0j)	(-0.00000000000000000000000000000149615689499643148534174325797966437383791322751055886345917332599303224969759092279009105377276348017680692053746316678 + 0.0j)	(0.0000000000000000000741106570746900307729437057792655219279851422008422362705355486823765198426218595392595480478869147562776059628190235125 + 0.0j)	(0.00000000000000000000000000000149716686185743776914680323340615322223516280712323354891263097861211976611493688240095766440188791230035525695645676327 + 0.0j)	(-0.00000000000000000000000000000000205146631391547918072258045410280900948063715684207563633517868769152327856786132841946206872191952941566413249892014751 + 0.00000000000000000000000000000000123109244819532701734050220511923444206191323901608302916627701299559204087889682773543721823615389801569975883222676178j)	(0.000000000000000000000000000000000174290945459723753420111491217362118538011005071514927334435648390444683639975321454044478879115986340323387429798560753 - 0.00000000000000000000000000000000286226152842092567316592398312043749115310220277435897538908329038198829209112816475362884435687559285291707290460869819j)
