m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(0.0000000000000000761156820999275192372515506934675869620328602823257466223135053380107108423486040096506443403733502959091739449807796113 + 0.0j)	(-0.0000000000000000921877848296771988974310659996232797107034324187782837806909884645686924691933339089336958136279078285067022195018211943 + 0.0j)	(-0.00000000000000000000000000230719173315176370356912474759685159588707440921282030195986588761571319959355549082961835615803651502554701313323331424 + 0.0j)	(0.00000000000000000000000000186288546783196343472494763680891060389135039276664123421432684886891662749137554402454739240091141088412261888025007876 + 0.0j)	(-0.0000000000000000000102079008449383920961864295665329841917554372988004399123786412299664171709523701126205577111466821243664864726067246167 + 0.0j)	(-0.00000000000000000000000000881926063152560294219176671822190826159565431603228894749750977727247743180135845171926049090373884465449278148303421384 + 0.0j)	(0.0000000000000000000102079001342951146223890046270058343959192583008772202209040680759858842455712537982704072194956079640959280155896000792 + 0.0j)	(0.00000000000000000000000000881946887097910126358546626378768591686091898303494347396677038328995103730412315587106962912760070423840921654638201187 + 0.0j)	(-0.000000000000000000000000000000424183818259304407364681120196667309605379205034269952612721514353086097738201068026209571286380114379523514925959282728 + 0.000000000000000000000000000000254554262852576912879973474547506774725782050800712169647714007641598267975001866349120495010483871257726228404767058128j)	(0.0000000000000000000000000000000360383962932211326938097362703569001741478305554764792268460960623642677570527781864923617462353358956479350097214676088 - 0.000000000000000000000000000000591832786015821555091727909542234116257142783478751646264353556853429906756000088031007742709754939725605841406954661095j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(0.0000000000000000524635871580853693723445851284999986090092506326698765918141537181439646152026402869885054071301493544834528364005359582 + 0.0j)	(-0.0000000000000000635414641357749552463588358112481021202105773786961088323231917298043345351608550229937217703595007268626745822270873748 + 0.0j)	(-0.00000000000000000000000000159024379054177383766249367178989187999211770079450086484471821802337999587710150035323087724906275956809436694898089523 + 0.0j)	(0.00000000000000000000000000128399542959028581460470338057050268345599997953304164153481194640086268371923261692820044186571843916588131918329450356 + 0.0j)	(-0.00000000000000000000703591008980826994285662835304372984025206754849760036702463938119370024946818116394281060421332626992776739362238976036 + 0.0j)	(-0.00000000000000000000000000607870935471011324031645772230686346596861721887144096885180029130179468351384209975418444437192066928384047221306819172 + 0.0j)	(0.00000000000000000000703590959998942450299542113679728209172457762840506228696176846038207733214255218348099484012479212824721474779352954798 + 0.0j)	(0.00000000000000000000000000607891778495243441470907912696397817965635628325748754728883917811010305573301835654472257490910410178486649069118045674 + 0.0j)	(-0.00000000000000000000000000000042418381800584054758439926344983199141787881410637712896910509576532135988291140501704063358803169371049377165680437522 + 0.000000000000000000000000000000254554262700472322349136264276441408085124785329955636767036924440834017146866611060622292135310524088148303933683179724j)	(0.0000000000000000000000000000000360383962716869990668939284294868713677667120312013419708781850494579689168265005210250312521033635642955044274107390781 - 0.000000000000000000000000000000591832785662181892683890767904928451105663777823301103905190801997223825553611511654858382574353269184348497789746109451j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(0.0000000000000000361611155792237295917572988274548388075922409789747462706910417130508112566793506117122112514083297954309020553709293359 + 0.0j)	(-0.0000000000000000437966664719903155352683345478715666548360626560459047721888295285038116233917192256164046112937154597286150316449713105 + 0.0j)	(-0.00000000000000000000000000109607938410495607215700273078354921387697347468530501379925935874019949152719293425706538698628693894628787214903436039 + 0.0j)	(0.000000000000000000000000000884988981369676418222109798907380072260932717721488631955835279882554970389102262210521438974998854528639293883355732636 + 0.0j)	(-0.00000000000000000000484957990378995102358601281350600003467034699735696690417913192781139428126803046681377583607510857016365066700667136298 + 0.0j)	(-0.0000000000000000000000000041897536655605854248224212187462919467338250442173880964856770640943861774549968371230512516741861648908784490851020806 + 0.0j)	(0.00000000000000000000484957956617682080698372670862737006744648242947648200922472296430990655913019693679125367861537697995210449069351519582 + 0.0j)	(0.00000000000000000000000000418996222730624149506400041231322909383540238200037868823994777431265374170284287545278607039240544662840602881594615705 + 0.0j)	(-0.000000000000000000000000000000424183817831137740972084507819443946641120993858446714811487340915945313755594280501871211898819649379586569610476930511 + 0.000000000000000000000000000000254554262595632528275971828772631156989692759995687636814700034304369916628472724712392522728711711117963900905914266497j)	(0.0000000000000000000000000000000360383962568443560729459372459164956424128903314571759003476385710508005126244763790667951461390712437521611984648628066 - 0.000000000000000000000000000000591832785418431791167891728726758560597638340766654157455742653549280986307351254355040436488774774609368872080813486456j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(0.0000000000000000249244542904824498762849613338559255128011990983588404045923539283887534046860675613215155881301511041910860884547147247 + 0.0j)	(-0.000000000000000030187343340253843544975845303589131954362967105541159256385353399699661089781196205521114734779796743775545077688389743 + 0.0j)	(-0.000000000000000000000000000755471027315528854647024685623408213746015393505181670431261138341577803942318851417027070757366949072391724456442604323 + 0.0j)	(0.000000000000000000000000000609969314014933823824485902662431094642163080256697008163915549941218927441518823874170372122426907170589519796104492885 + 0.0j)	(-0.00000000000000000000334262731400638274835293033973613357424381128929712402579453358878375802285846954100686675873479938880759912154283413595 + 0.0j)	(-0.00000000000000000000000000288776978135397777596363165437280597722224437027510345017301237981780773336409229880285688148736658223156393230868060914 + 0.0j)	(0.00000000000000000000334262708130274799696510355078488153179835534104732564349867504919534013892562078583789305084063014023014015461859944324 + 0.0j)	(0.00000000000000000000000000288797843373978159414242960960645165811212558399461520662726512720336371245014209757236642113389117616005756478042766354 + 0.0j)	(-0.000000000000000000000000000000424183817710721873106255532521530235558868928819602798716870218319675752323695983171508962280371486826133894646974541235 + 0.000000000000000000000000000000254554262523370524963055392229199654511982113213707678387783926763442405814185723835726460659582490522014794277410709085j)	(0.0000000000000000000000000000000360383962466138980042034520617246414352406322979046829403516932920993936508279804696118781529693407550863654813427247005 - 0.000000000000000000000000000000591832785250424301273542383362307015303129035048711019733869257947916478731564885179773860432968934892948905556142916324j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(0.0000000000000000171794595316308846641361619796030192511987320052585413777738530217397527834099229264926169624463056767526008453347943472 + 0.0j)	(-0.0000000000000000208069648080267127690894789249029435524744168005001371473948743906548091552374622155687631809068085031180052346140801228 + 0.0j)	(-0.000000000000000000000000000520702899099512730324348089453056574251710538003550195135874993670981250092993732608625775395700263751892869602438643132 + 0.0j)	(0.000000000000000000000000000420408925256238240868235517241788243335076289382098571409500587358417253055650743383534149953906612469888676571576700787 + 0.0j)	(-0.00000000000000000000230394334820901718363941633409919457052171983121614509104937390131615371236197450887858871717901070630512600866104275386 + 0.0j)	(-0.00000000000000000000000000199036279362239653944516430719557207630327705467789881390653830868002616346337634930401424069809401344408802226830870914 + 0.0j)	(0.00000000000000000000230394318781542824149624614413148337471750078011564414346070733019697363085744680971708211518120581407389740595064155204 + 0.0j)	(0.00000000000000000000000000199057150848293829002839461131857613277601853847288083624956354845681576192065536905949772773295977576064934073699478136 + 0.0j)	(-0.000000000000000000000000000000424183817627723886306410582501617870296817334729216477383744136569875630947430195059465395187921354363076763892475876217 + 0.000000000000000000000000000000254554262473563129115703282570847358841584081517399966360103231680847631796302675912813791162873585724068490619429415069j)	(0.0000000000000000000000000000000360383962395624400959155063335459527594860159235420604807642920085522178650846003463644049913713586730043388202185124968 - 0.000000000000000000000000000000591832785134623255483934025613728011836844173879749779916095818167785024126484549911814594734537137795998611785449700131j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(0.0000000000000000118411350704127001781599051627270943189903459475589018030958744541927754974843607017998398644103698317240309173745634967 + 0.0j)	(-0.0000000000000000143414337478740958435631783062133848417658411886266411649226157910901747316301751331262314764936170000361560540238738703 + 0.0j)	(-0.000000000000000000000000000358886334906536865303833312285701516825696853683864392886119323871918750421515370459530040393788071155582429318589831697 + 0.0j)	(0.000000000000000000000000000289752302276337889841521378085905195928618530566419993357387289630638391647708051231732662710359023847917719641079439018 + 0.0j)	(-0.0000000000000000000015880187808290153191455760000857773541615538837068704928731057717127851402427737051725835814971308037838469493625615791 + 0.0j)	(-0.00000000000000000000000000137181496713090526032937739492779602259551641564729640571980913818345967357498306033650934247817149632932202254097673447 + 0.0j)	(0.00000000000000000000158801867027593606800402962594743830423147414078934899944136043854930549722230384177313135493065318858895684240418175039 + 0.0j)	(0.00000000000000000000000000137202372505286049109466566950000100511577071493117993869271466798246735724846265847597801404120106161914772447138650394 + 0.0j)	(-0.00000000000000000000000000000042418381757051659348053063788577919231485325239070709430870935415719463466389318602708403298126162484126935896386158695 + 0.000000000000000000000000000000254554262439232823177013793765512987569864958011069179198610303757955971839801676544622196232541499469568581782411874765j)	(0.0000000000000000000000000000000360383962347021436843699074109987460139994286209044375385796227743474826514505812671556239393546483237526707944386335791 - 0.000000000000000000000000000000591832785054806086520485952906983698085620565197461078715221911645271581983485216309820891958731238077960415405873168881j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(0.00000000000000000816163509109209657393632580303244941615549878737839068851781667150523000412553133161686339580376333257325541697940261525 + 0.0j)	(-0.00000000000000000988499398387003444708221993589743585208033598837121627817298582751456188859207547294881992716513324599228791511613490345 + 0.0j)	(-0.000000000000000000000000000247352454018016091945910362811247665664217588295409059639524171495909776668910144779830333684981518829362251533189172824 + 0.0j)	(0.000000000000000000000000000199695760182428191286320133290220434228718660081963338963785814291059053468485799948924653107460876461198044190934059237 + 0.0j)	(-0.00000000000000000000109455974700537530708634449512316068655887782929985574159173210889533996531917959570909607085177030155649262092376370936 + 0.0j)	(-0.00000000000000000000000000094547394359093023844181250084301368319027083306902423095064838177694132183925763919275842164284247589686020688819459153 + 0.0j)	(0.00000000000000000000109455967080542608946853195394517546949953421959372469081300667397802241781139697777183283974640671011618162584488654681 + 0.0j)	(0.000000000000000000000000000945682731193447443457996680246793769835020400071283773614433090159193048764000759732759192962069864275205598473223662423 + 0.0j)	(-0.000000000000000000000000000000424183817531085825590895684332043137523904501549933843493803438280150966493569146693122771633805288921605363154656884169 + 0.000000000000000000000000000000254554262415570274956654094970758985550132585879094950937733299602232443543608042667109153878099577818328236394494538861j)	(0.0000000000000000000000000000000360383962313521298974601723279631626303866758466968105825396192609321014581848686402500027293313207560083506584102205272 - 0.000000000000000000000000000000591832784999791208040137484696161283727375597244748136139346733735579492559058653274903682126457810627170617163459611809j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(0.00000000000000000562549848179396647860009231713140232961267050119065772118130502280627120717473411585534311769910564256713890165401161214 + 0.0j)	(-0.00000000000000000681334291819738617406808779573798855782727013293275274348205871697780737771081842672140602484766420297501129953580756607 + 0.0j)	(-0.00000000000000000000000000017047647627967571834173598118027931684648288108072129412219896367721235506101246622162568753692265817420039425528571327 + 0.0j)	(0.000000000000000000000000000137623278977160108112185077493656960649845340396150403464305494870975696854654312741850846499304634083681984295151790146 + 0.0j)	(-0.000000000000000000000754437576084723352070943570921990325580392116150940495350318427353030480041836595005232398894254405421565592893467396105 + 0.0j)	(-0.000000000000000000000000000651613613675936145425329316612732363164581249335409557111317781021029887887990278796499908912522594803787461150935230165 + 0.0j)	(0.000000000000000000000754437523563054121313078955981716928265825650798523836183685190143045116095220932687009066139568140077619034126189978266 + 0.0j)	(0.00000000000000000000000000065182242173611342123693259636279848571008059685924402175703569319429148049658291115183948804193445701630470836199981841 + 0.0j)	(-0.000000000000000000000000000000424183817503907726791294745632493218782492834360784762346871115660674668158464946220507809582662051716897348836050594041 + 0.000000000000000000000000000000254554262399260598330947096911857775444384435124683964205231519575913039662796125877132837503084039832954283378730350193j)	(0.0000000000000000000000000000000360383962290430953400938341404847495083311266187695001132326365750743817226328057248152801556336963912897584157204942945 - 0.000000000000000000000000000000591832784961871586312963643404096665829200511194111855378593229239105836309954514312366933683790407194696883323748830018j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(0.00000000000000000387743789275653889375013696183882360993877355919298895020162733064159044681413706241963631719829054080524329837467041302 + 0.0j)	(-0.00000000000000000469617298677829374587000781993970045754456238786496269265027123752453806009828430469118896737012849329767849561284382853 + 0.0j)	(-0.000000000000000000000000000117488846813886860072689327906506824415558334234602866165368341639374063060022448564487040851367477582892041417476873594 + 0.0j)	(0.0000000000000000000000000000948391254497503649158830022412914946503114716541873986836180028864234142225628694817216830056733729901454042130776358025 + 0.0j)	(-0.000000000000000000000520004556875720663133785479974669922948507802458769605911495794228500140365909020369319946883138219304281784098767988028 + 0.0j)	(-0.000000000000000000000000000449067086993330239596564907315217770636745633706503487513674112988943313961366176863773405058169756817445306900523601651 + 0.0j)	(0.000000000000000000000520004520674571356055590245562669821888038071899668370162425975424101225143678923141877829693474421857080675338381266931 + 0.0j)	(0.000000000000000000000000000449275909154179057537336171805669077715087338902043528880625504383384855258024860434571175791888295153135297848473012619 + 0.0j)	(-0.000000000000000000000000000000424183817485174917517445823689300387958059610399070885802966109417338946219614279020970906650162014609391263768904646505 + 0.000000000000000000000000000000254554262388018970879360706172019679640065216658293264269370307789428973142979749202643033435813696343648693987076138638j)	(0.0000000000000000000000000000000360383962274515673863244962435041737962606564226098767644400717520395362772020627116730588190933494838534915324702235695 - 0.000000000000000000000000000000591832784935735061944964978074190415551998725444209501453212576691438546167879440934570509752781140401332645606471125527j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(0.00000000000000000267256753529796944927547529764146845788250420604425758560881447262482860454772331027708459183773497604186727180606594316 + 0.0j)	(-0.00000000000000000323688987721850296250536297492691256478130857339450341957710958856412497107308959097556763213241325400535303003756042049 + 0.0j)	(-0.0000000000000000000000000000809665291918857690019894778331151542080428741746752246985261803037684616068651542539028374624610228526502380038461692569 + 0.0j)	(0.0000000000000000000000000000653496680033593159870659124164277569169911892566559823258468139401921160005333192735694647486446066529462535097863287015 + 0.0j)	(-0.000000000000000000000358418970297179598292774115834934335801744407584261429781609482647990347343552139255987667981947519111421437157922728713 + 0.0j)	(-0.000000000000000000000000000309459622849055157231339306151586836258629694134834884184842109680582577340920655719652444694527913456460388407141751428 + 0.0j)	(0.000000000000000000000358418945345131608224249797967108477240208287569850300343021629535248927120762542348680948821410310812586188217387894333 + 0.0j)	(0.000000000000000000000000000309668454728949909802061787681087627690606823645901703778607383509604224958248494242077401411533298600353638095022676969 + 0.0j)	(-0.000000000000000000000000000000424183817472263118723495937159055381622105040212941231063276944532957175986746713909174428273744189231126576590792146387 + 0.000000000000000000000000000000254554262380270553135415777761158429893136587393927822798956073243582310561324719964861748280683705023532667685410517903j)	(0.0000000000000000000000000000000360383962263545889025525166835459212432981229516189977710801064334370345629631985804867728828922246404628112125554244737 - 0.000000000000000000000000000000591832784917720169523897314444838189440511364469061310436625068202700490605646857890717461426886543013567896174099332863j)
