m6	Gninj	Wninj
0.1	(0.00000000000000000000046799447025542255477835425980874509702623038849268916220737006553998083486323030613585979335435676455509841246070820036 - 0.000000000000000000000280845133662540347646568943525761168308945385633594194930066315605355601261930964813956806234947339106742041665734542949j)	(-0.0000000000000000000000397605580003556620007919615800324105235432218879725868218248498409052532742452201618351042588555166420340958604668855931 + 0.000000000000000000000652958581643457547670746806510962891778491083863872874979102748335697321415865841808962193929972713827840191960600376558j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(0.000000000000000000000678979811971259034131629453162678796512241557001069878522699681097560838393864122954189143574300520366385816009045207732 - 0.000000000000000000000407458082789832344042746922362503205387278770057304585795122252042899218647187903653875321318654068783520865582207010311j)	(-0.0000000000000000000000576858160998159531242139670615949269995100613394897732872368042819925314111776712488727080959829709906994543941591784767 + 0.000000000000000000000947331028593873973717356149991036601124104908885672284120183734415255966087828148525421489891468371211191688425096452581j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(0.000000000000000000000985083348513585069231942340287102404398687231018852014631122458354107103161846926180128357638885819489908639197447533539 - 0.000000000000000000000591151547856814492368071356642864638560400243869829156833560639579553090414897097224697793499454696910612341111542527803j)	(-0.0000000000000000000000836924079404321342309884591631909094638019554471449958720331011265677960048726847497243556827870368872954580595563148242 + 0.00000000000000000000137441489673561974363850697206628408585362997181821305657573486964911610765139512752410012417980846187275862937176978543j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(0.00000000000000000000142918695765498167858056019412588493551550424691842915669692743078349280114829074984487312627673320173635695489512932672 - 0.000000000000000000000857658564418388013035629694285978833093345205429941555709900474869673471405703881118817025832857899139537697228779733779j)	(-0.000000000000000000000121423860358898635450872047048785840522574993779049505494143346272386683113110583946388348354221176662063010996114365767 + 0.00000000000000000000199404000694336357628786928378482803894503473017359404383223469048732327610144886192995760827420549778741138950870813268j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(0.00000000000000000000207350461060409722487603026354123525189730613864509563501754235732443599555519226714706653299330782434879262439183764871 - 0.00000000000000000000124431232644655711739508777746868453441162444314301877187170534752062606253134753468209507206670884995177768428438875588j)	(-0.000000000000000000000176166777090064540507475895801545493143873456009527924734127587170472739268387191332200961677332480487253599940907561622 + 0.0000000000000000000028930085545398105512098153050542198040412832772315582481783016846463752340846776483186912137127656264094213813918659421j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(0.0000000000000000000030082972387369743742088512737741027490117913538409953251340390176630589724300752841408921092724255192700230201165759399 - 0.00000000000000000000180527374674253207259837142398436009588707793448879773218620214869089848847821011886601109313415065858764789170461458579j)	(-0.000000000000000000000255592549624064342711134750174366112480403619075739291306047767730648328009581437805836787479810938216312679770567994684 + 0.00000000000000000000419725373666434653697656435254282905265515335968553789171922476973900837718764168178802544528951623327414695536478337289j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(0.00000000000000000000436451528925379876440774860470098358693611267808721091169569375653175791039420759015941577472132513388209024385166649354 - 0.00000000000000000000261911138801266322306670521790403154886852481750103088101502412005345621292549574665255236445979977500890530576404633197j)	(-0.000000000000000000000370835428258024516840222577200764130168054329185227373988037824885601960531902813663504550125878638907794546692695018064 + 0.00000000000000000000608947717813883742297984614342734606245185923644980599133544106908582640119663935146040892981351661490984639671182512342j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(0.00000000000000000000633213718626543606797371421350738956236335114467749182236032265323252794508892665611719162316373098841091079968525507043 - 0.00000000000000000000379978531848351456289170571598428014040505891031158250833644749789554145072391082517770325147531747946581917822526600668j)	(-0.000000000000000000000538062626131890009114340015590036467678535573510612982968193995848719797864590245202447537843432523366012777418290170919 + 0.00000000000000000000883472968938136908016536140840758753604215232618029075658334046640841558955396573830751612472709018861892545476449035215j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(0.00000000000000000000918676401569484984348781684676607388917805761441091767240102024046299517946630390340943486502437950980818305991755698117 - 0.00000000000000000000551254211184690782681718992067524110563348423233671486452915771876472603499314665551181242194968853114443625806317880688j)	(-0.00000000000000000000078077047131099615824088865763115624155801636438654187496666260019070202192400666679728981885442006605485510000493997086 + 0.0000000000000000000128174997346781166492525017335690309552723576209170206294285989814760719795498007377326250821843318391136935331253256027j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(0.0000000000000000000133281698962691942249891390565560030341890503798485818593109631196314835841507056870521507530767452113175468687735880092 - 0.00000000000000000000799685151933451280111591014823870010765470085667295839895728025063606046144438419271946818168020643540625378376059117927j)	(-0.00000000000000000000113317049058601447766245035965451320620152355270808982778602535881837522024997392995948337806502888578458657655011878747 + 0.0000000000000000000185954465374076662259691352532100191246059845846016712589588344817773220395650959297270097031483149085931869487597820743j)
4.13201240011533687355142497933077619017638268318171456231476085676355862974777274254336073067136946165422363295876158346	(0.000000000000000000019336131019802743529362583516097070704799304041618121251025299992517702435413246890383506829168240935826899396264009126 - 0.0000000000000000000115993043493905204416797817474462774843646272828997026901403289476937657871987733935515753489261048869873751819775500755j)	(-0.00000000000000000000164526475866902635584378563997334137052571073618633690914183867166050462863409704832265736894307325060865813250006981399 + 0.0000000000000000000269771252762084312860307410097948856648208228765964743990075794268875245065262991650267313746652921439120593368560403532j)
5.99484250318941014811559563053420341792505712982592727891133592796725701829834579759265675256212768861671456310321803177	(0.0000000000000000000280511311269056538315319224594470145027561599533537569930902376826714842071940055028999595690817046884364657738784330306 - 0.0000000000000000000168201842268823824810589770575943189763933457799773371724334405689988444283829527402690435086975776984761874906989058826j)	(-0.00000000000000000000239068209557012398354544818499099846405112888328404384203626800496793937295696050692429894412057835321251744664806478219 + 0.0000000000000000000391340401904700576736140773419894068061874135044584958136465601359022058390358021650776725609029462894923542629961860407j)
8.69749002617783327913479146387332709624003280073782296075665591367558291372894603935108544234132284333572317686378518819	(0.0000000000000000000406906403890845706391610112772376743401924444100870457840814932836790968330046868850772356505889892465846674777130238348 - 0.0000000000000000000243775064754746417148448531079314806794398238393120574442632835345517297149446807420890526721593055096620038162347249336j)	(-0.00000000000000000000347936487357370259488472233027645293021065069481851707504313718634698962156623734315414832675233002532245995219207462616 + 0.0000000000000000000567610161683417459925490067657471785184254793315975662945362737805638933893265017733393404991537709385957356303359909859j)
