m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(0.0000000000000000000000855419438810106809358024555136779717107915494157309931559221824495559878459349104930882675754856563330815244342894632196 + 0.0j)	(0.00000000000000000000010856691523780454966399773655155074508144488224685143894860030382703295258752512551436640441046893850478967742271137892 + 0.0j)	(-0.00000000000000000000009923984647650112272512663098587759205998223338154748486280572645631837327533942570269891479619223190183546279303555331 + 0.0j)	(0.000000000000000000000136780336030788009097586326898488110980925563120529450036321043315426669981693940980946840866335246816649795570616610407 + 0.0j)	(0.00000000000000000000000000138664307085066155502770253888691753798656134157802293623667906144790869553663515898023031334237380542385724071401294674 + 0.0j)	(-0.000000000000000000000460865509708919325188106257651649809928295915776596425379929088118086869760992665838541962355353519691792986204691725426 + 0.0j)	(-0.00000000000000000000000000138664466815083494290692045573285626514518539842687577930175773141877908425077761101405376164053094746009623417784412514 + 0.0j)	(0.0000000000000000000000000158222727267593205438217321536184314304389082251907107487579827905684822100442044355231215596194691997803387362818955765 + 0.0j)	(0.000000000000000000000467994469407054966995831460258675520609435393525283933194949582045437824835885072893814078239519820045144740527131309759 - 0.00000000000000000000028084513315343213112578495178897373697398057097481141046746078713998430290640787681793562476519839268313823342315663497j)	(-0.0000000000000000000000397605579282788034115104976812538816226210640540743178229983932604542268686042152599624400536904650612974273260678598241 + 0.000000000000000000000652958580459792183924739190970085801671381189023064763869314597510554901683477729960853996347264065731350248386121400065j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(0.000000000000000000000124104012525446566025286820436480312776739316321247270148686868062365562349068555817441662550448721187087842435183147627 + 0.0j)	(0.000000000000000000000157511023765787177261642712751115405439937818907317807671626697558433804137499881667244252588602700524379900923729560958 + 0.0j)	(-0.000000000000000000000143978471243108117893532879191493604620353642329267558276951527186208087498466157896461269063538970840459367174639796224 + 0.0j)	(0.000000000000000000000198441310902062078936649115417596340066865078920865259216479849411286891675420877927694632173485091922308473439347484963 + 0.0j)	(0.00000000000000000000000000201174812764515401260800384400442910098824237976120037203448941551309348961520617107101970282298960093227280595978928367 + 0.0j)	(-0.000000000000000000000668638508809820194371837629471984164580062032918728703066356182088601160008471433031906829222502942610108782421937436086 + 0.0j)	(-0.00000000000000000000000000201175044494704769543078543615567003782116632966668050944441868798459409185920980726608913201256989570278875441600210774 + 0.0j)	(0.0000000000000000000000000229554802671508253924395964829305338857319673884156252832530633976245200851839950042176764098215741804844642211443281701 + 0.0j)	(0.000000000000000000000678979811122891500700199648178271531975019130769526616796650875072880889320613020817047959364907262996394780286696783394 - 0.000000000000000000000407458082280724469444968772307503640878464756859961871253444837001237048798929408071065644502471373166283505960034231755j)	(-0.0000000000000000000000576858160277390216536060089927791573760410561575503407561985565579160868991991408055205023726635429129148630076869307659 + 0.00000000000000000000094733102741020884081456432024696469628765535706747108969177888169117140192404061586404668096872186109436750843673049339j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(0.000000000000000000000180045721587314667230691212474448835191655581284122325582238703090802234374810941452790473566320603677496599431038285275 + 0.0j)	(0.000000000000000000000228518700423631006567851632539198065303753437478665789703084117112915441158440851933134187555467009074196395264935454672 + 0.0j)	(-0.000000000000000000000208883659532037647510172834567589596264060329404595392908328516378916537691194490716338721341823665796743337284452512205 + 0.0j)	(0.000000000000000000000287894279504442819770413781401153487980844167375930203445808171771439873497992340553942551672315279859297500458061493893 + 0.0j)	(0.00000000000000000000000000291860655155067596639553975933848023504841790513197122251152647837704218847776361728612333029006615884546402339651377719 + 0.0j)	(-0.000000000000000000000970084472506159201455729175891146677973229488567587219664690388881582076820542319050357598389060459068873953375879570498 + 0.0j)	(-0.00000000000000000000000000291860991325557589757392023706362014756871127601255483217048731276225079661256163316178760349411061956259204671570590275 + 0.0j)	(0.000000000000000000000000033304676386655844896645031526128969701696065972217628441243968310473059008051805832228708098447504207357396155696725795 + 0.0j)	(0.000000000000000000000985083347665217649472509295476012457300781885678883945398257134539077500737575924495441416679282789178342773148124939722 - 0.000000000000000000000591151547347707337053782911310618703198025048797920619131147396602627066031638850843434533440450539397129776340528144453j)	(-0.0000000000000000000000836924078683550492995501206597648693170847133080110392656596299332490867738778195336126630020749073496806154816360741841 + 0.00000000000000000000137441489555195509563824520744546457199217750878094518063281736055179334844753392319406129362008378787574496027618518751j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(0.000000000000000000000261192612804825902464236979516595118926262852234019273961144484641321486035838366180520159317343794121806576105346800425 + 0.0j)	(0.000000000000000000000331533399131139566098484421295236973470289102149721684861990661402146704984584767941286415053136737573956057370879917023 + 0.0j)	(-0.000000000000000000000303041737716485253034351266511841554368060488707118192865102391312974383630669229785028514391155363552540996376750552057 + 0.0j)	(0.000000000000000000000417656693860669490253182842462836471865549532846064623737071868029141079575508844259366407929012350934202332683164289701 + 0.0j)	(0.00000000000000000000000000423412776534769257176223637167314363397915509005567201617389277367644174431798425345533362209161470624566722908777171674 + 0.0j)	(-0.0000000000000000000014074392533559096930017180782549596152487863736573080081092974110758519358904535986379778107044321087363804332991814642 + 0.0j)	(-0.00000000000000000000000000423413264175238655895177590388725642247737377194380905082233595899547674834734783222538333194008577655465584344628573274 + 0.0j)	(0.0000000000000000000000000483199667418698244381114882682506542475757109440738777823869716949066060180403691031118874576003807240325962670615514633 + 0.0j)	(0.00000000000000000000142918695680661449753632753237632793725100115996506822443830814229609882215414503552819531190717222262858925080556834323 - 0.000000000000000000000857658563909282371442830096268116697622183766290890264167137387796115531248010267861726569684560455598151440990519915966j)	(-0.000000000000000000000121423860286821227492331982715881303649792004526283781936398317465819882516865004267631231694979019188145153795493180746 + 0.00000000000000000000199404000575969994827500657541782493206578632995942996365572788682433346363558382298008587512670424254866240146488043278j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(0.000000000000000000000378880717630707419873821505281862445005226560681591618295291886401896364027985999593079986108513177296946409235949556693 + 0.0j)	(0.000000000000000000000480975029477758062426463535459221367206602050937168071496460835041066370170232706121253855950312133469739888787044141891 + 0.0j)	(-0.000000000000000000000439625687282349600222587612819030307814628641669294515800340161839000893055023542602564352750962502258538016806594812938 + 0.0j)	(0.000000000000000000000605867650722589530016520784457912362722971748949725192033964902436238802273150015800240340305011043189179760959510609001 + 0.0j)	(0.00000000000000000000000000614223246121554162888211203156460681480572921179605384050868735867522881729331149186300306683946110182267921282154843893 + 0.0j)	(-0.00000000000000000000204198965370165886429131319182512125219406883340125926312605362830499974180881424252318041202080558209955811874731870468 + 0.0j)	(-0.00000000000000000000000000614223953365993868052538242420826515465751730214076363930399498272229364751158695604513268313936369213408821674051962921 + 0.0j)	(0.0000000000000000000000000701056521650264820389275314431972557368475856820214433432825735378048267791310841539957098789412696940547990992202533529 + 0.0j)	(0.00000000000000000000207350460975573054572075883908444599093365406219075356035365224262139944696512269533216328059343590300363947467995586754 - 0.00000000000000000000124431232593745466181648808058735455661933964330823809625664428630131315606591230628059344587640621197313943424205023054j)	(-0.000000000000000000000176166777017986452725405794410581521648129821232755177290255120479591126148505213556011586857451610416636675545074454067 + 0.00000000000000000000289300855335614906971549956319778842737936270819687361482151263729674255365128235658605057560652682707660002203860147674j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(0.000000000000000000000549508354361068892517060052607758924372216806082238727037460687571169591193783704124838927668819050733724327247711141055 + 0.0j)	(0.000000000000000000000697746532111897897427227470019279604439437622562004472588725889210181389340506289748643149324791869982690253596559912773 + 0.0j)	(-0.000000000000000000000637720118765057132960381297113291846758088916270253683603956686853362723851170854346360707189155104723226011920809168047 + 0.0j)	(0.000000000000000000000878784158958741704852500904158418623582086328671394509128462490622943685463606230844109091520191784176686964810624594322 + 0.0j)	(0.0000000000000000000000000089091974753021769085778310828973989871578579607695170888189262025673087714674520824822090545291393060477351453756549581 + 0.0j)	(-0.00000000000000000000296267973547244130187165577342338034109040157296469153162631626635315999698269405732860060485061110851077055129929539202 + 0.0j)	(-0.00000000000000000000000000890920772960736996310542877395254191015394630725853814014434137743405118370764120902880856492915556775200033165145181196 + 0.0j)	(0.000000000000000000000000101715954637134800282907136842377438577317285364812147721739221439093617722011658290236625068419046601469391723946330065 + 0.0j)	(0.00000000000000000000300829723788860875024950748819651869602373179204952030364824404372405589687765145164048895331686045062955230266990073364 - 0.0000000000000000000018052737462334363230453379142605699187321261557660604984923471946064431267678049948008569114083945817326235213784567279j)	(-0.00000000000000000000025559254955198482454750344625039826425087193697382389040241518481450108922536911840542996908194602637203189273330336626 + 0.00000000000000000000419725373548068957345222718435808527343799113201133454639998642741588096487926251005659706727995024711097540286109592076j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(0.000000000000000000000796734666998786136487365166837282193253071387152586880431475441662965141801052210213694091564873990867254587150284771881 + 0.0j)	(0.00000000000000000000101212441916072345350361928944537885878794553318265971452931017633396169087964517302345546081043662913203355830853890986 + 0.0j)	(-0.000000000000000000000924938498602820581330739832290069782824716162401142801458078802506899257096622534387217625650606925942454009524564077199 + 0.0j)	(0.00000000000000000000127433718061715664417180291926906261153402083376953265165027728943592035871721975672412528262377701929756333926258888225 + 0.0j)	(0.0000000000000000000000000129198151978508555961254641631169851691019807007471866683596441596448902473975227475566127020986293958088185869357992311 + 0.0j)	(-0.00000000000000000000429862798824678627836558103813604792862163007501813475964881393379470792473083158642793889080471359705237876623929677043 + 0.0j)	(-0.0000000000000000000000000129198300570052628033471188119416931581727120616787757869392713470769066562314163779403568642404250724822435548068317691 + 0.0j)	(0.000000000000000000000000147585454466672427190790829474518264019269917814792234377366732413638265342126874197670789453646088361385281056784343348 + 0.0j)	(0.00000000000000000000436451528840543535729809065889869603509477188577704109807246020223254928753107887573360569424558351706163841140518090931 - 0.00000000000000000000261911138750358158856798812040353173961993237959085056104129316860332264986499351791785565154009119085562501825613279089j)	(-0.00000000000000000000037083542818594199029379464306089087896761216634728576749409898325961631292529121846863642994201999749926814534839471681 + 0.00000000000000000000608947717695518996948683358614547016880818959574998817958012885666614056219673292280605327300423195077252317301816389989j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(0.00000000000000000000115452934900091114063943934785173796421353517421042823331425740785119853915945302962008988364044173801604460781782662315 + 0.0j)	(0.00000000000000000000146789563318053335860948675503246563222200046696124996201485217372669616151274267783064470597901643145608556837154097873 + 0.0j)	(-0.00000000000000000000134113793725053021669800332721086426930443764292148118866552701820401110341891482246559702733505045812300443578726788306 + 0.0j)	(0.00000000000000000000184711642859278675943946155628042598960460989679825480932750970485765392407970243953752336467658869724845376547468060294 + 0.0j)	(0.0000000000000000000000000187282367537279665209532798349372829140446349084561776392209312730971531034216755679268403691968600967459135685189531565 + 0.0j)	(-0.00000000000000000000623737117600156603986987603949401230758051684499098207074735637562541203779954469972378169948681645465663316105608737016 + 0.0j)	(-0.0000000000000000000000000187282582628857031492604877879619820880415014920258955686682421839393455079141019749949078912628532180982416809382917344 + 0.0j)	(0.000000000000000000000000214157322153056016136374718339817200790673742976837743791504558252832597608346350815724122048647179800629387368920152662 + 0.0j)	(0.00000000000000000000633213718541707731047128508162739513206158914938774835210869913422753753608529845167036384088719852708824651505030173843 - 0.00000000000000000000379978531797446263743660592605312142731034357525500902932240342993311468550349290995037668687380595905043445491078017902j)	(-0.000000000000000000000538062626059801160054087503800343801114799670799462835067010245970631588281021831970683845612928374672720780436605158792 + 0.00000000000000000000883472968819774164583186280253558873574090219027326830394654095767014264909312432594499252573890102571960669635534049371j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(0.00000000000000000000167123475232720841439068467178977184609378084123045838080695473132850949277509648404612429523664722478170025836892474555 + 0.0j)	(0.00000000000000000000212820507361037802348851421035353905790212894469751418004553124333828441962903178652100091872613300192496073393478844875 + 0.0j)	(-0.00000000000000000000194359001802914106777390973190307896702945115907317646878846204342150563784449356039932710883877090829243939444447586201 + 0.0j)	(0.00000000000000000000267514860342949724813458927437118511191093224483835124012234075947433552979112871535373142574720365366985597690201019816 + 0.0j)	(0.0000000000000000000000000271275521462710255416325672700347201472506456204049851908899744536937263712186436062600709184823413058335118427623182639 + 0.0j)	(-0.00000000000000000000905155563543251580082473837711192720907451045455349916490749351264611340372140112333972498122636764852846516719874167646 + 0.0j)	(-0.0000000000000000000000000271275832220785749058222694595330760501539426039207552016370445623400551429485141441342486709613480512851297889662062477 + 0.0j)	(0.00000000000000000000000031080467717030196884336843956300184651772163389124602498592875104669155265399450364039915700926244649941472020162458689 + 0.0j)	(0.00000000000000000000918676401484650080630344372951812082211061052354711919586144212065308542106578672498605769602051057585106969903893367942 - 0.00000000000000000000551254211133791842835870167919669025146428950591027839887923999545955913789629115577528864460938252977799422276947480767j)	(-0.000000000000000000000780770471238894040137186454202217499900775165590508244693121688066019756060243784442862405164613740736296489768843536313 + 0.0000000000000000000128174997334945313603613822009557127103295049207079496313101449093279643559223914952551459047965630227663648122692677232j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(0.00000000000000000000241454795967728412468224749151902450220835736128342637241022805791935246476347726625498075260325311512885187337555038416 + 0.0j)	(0.00000000000000000000308362678534121252869151727882563043333935507680499831899042798860948399397572804889961046529001377348295151866714590484 + 0.0j)	(-0.00000000000000000000281391465740213453662348458727243069322998760072600854147849759778191099127688621134960511397866655239166411590344783426 + 0.0j)	(0.00000000000000000000386858299130622372570000927470908131685866465794815185223750100159552392586265814752884103872260030551099412954739553424 + 0.0j)	(0.0000000000000000000000000392402308523990315547415623239182537018238409507051914865741274143997501141737595668558669527389627859529554181229401511 + 0.0j)	(-0.0000000000000000000131382428284286487453817401990054649953199030681569462924444096455560428118642926941569692262901104659903879034810027496 + 0.0j)	(-0.0000000000000000000000000392402755979476915805520367547437191575106575493305491154388311278539728455819269741031615705602087133911755364134465932 + 0.0j)	(0.000000000000000000000000451192961204080927902471203150012596857159715776155750386860557661798185433336052442531397973987814693569712689124148956 + 0.0j)	(0.0000000000000000000133281698954208653825450295246243071759656740225018040815544322910437364584588182366300129459324975721444855046449471725 - 0.00000000000000000000799685151882565498207994241267190765120807099447287477101915153367198643086995542732037855714900368360761556685361841339j)	(-0.00000000000000000000113317049051388458390493813525244731627548111050371510758095086122460636962666374690576690357343058090312397501067554096 + 0.0000000000000000000185954465362241696807503887341555360398497411854445943102225133045988321696685306105473055888382848924946327749772383139j)
