m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
100.0	(0.0000000000000000000274359294007113444589227665877521176237628225054612940246321779517095720651862125403610436329830355962344216841082202965 + 6.95889147628080513970662769688580970034704932451978170865510642910387482304875587681183999301137512571131747745678646391e-144j)	(0.000000000000000000061217577689438080483043507894541192367353885423364699562236717383132288316076947122328240906108480605822186609258632692 - 1.53552578598233247980029226538585975652607657369165739951915373357735723481261575480933707722120200061038062696833910137e-143j)	(-0.0000000000000000000484698217814202566378534171107411875423685458641440539930519195194008781159576580695174825106058852833955490036978566621 + 3.16856472619811036533916766439758806019454805300587365950339402328137232612577269462802851486478815383905575316320624923e-144j)	(0.0000000000000000000556851245901296020589906648466259574334424270036517664088364073233744178343825914564040370450399399917584866623555897604 - 4.55201970531645702520537081113048745591628028366959885431443404592213003293327362821351792101111816077797495015304217468e-144j)	(0.000000000000000000000000639451955318032222393086237501839377683797225103281641859162021709025413967566027184360303513464138216867150478906746824 + 0.0j)	(-0.000000000000000000528367623473180145796884094517100484811521138111220816545631264978789156707374535901311529753235386892344970193508933763 + 0.0j)	(-0.000000000000000000000000639452309169185559690458137212929179210727586836492271377212771458261851746705060075620905736980156684082197522051526517 + 0.0j)	(0.0000000000000000000000185640887129541416310075381121481195697060168349945793163127210631829012185485461891361133888913454283300966339186097294 + 0.0j)	(0.000000000000000000484095872863654850754102032816750576887405893474522790232969648185050562703107175891352211963151042138239094777353355609 - 0.000000000000000000216139521035840254898963666976995794346783181856039726845787669739730900528289724270833445649037950608349053831888021779j)	(-0.0000000000000000000369644658259824387188096217053261440332437248292307829442199600894149837880528528440240574529470245282462078507875608595 + 0.000000000000000000576798432176825707826331936209412659966141813053768702253588173164896122571609744784860870601072510870695731768333397162j)
101.393945767529198239448673743258537554316223680320403095586848117740035905171401733534167053858112059551477572655230694	(0.0000000000000000000274199591141776601959675367344971559780741688648575722068178724078097314772933844574966542918454622340092889524743628979 - 3.80509980957634310760342640690148906328540664856791883850637276677121460529224528117219440930462016486390149934820518054e-144j)	(0.0000000000000000000615422635179391406578470673159459781251455141108764046916580806296349986103476344489016499945737594185185188145311574422 + 9.05852093387541644578534525032321175531919292796848329469795212250096173511857201603233701891646428047503604923236278345e-144j)	(-0.0000000000000000000486634563074172891549817443558456520902539753215463418391929512511553966306198035440916953915587943020224129483554760061 - 2.01343727011428256249001043700749872593139219445357476058784986570235998642687005095980185759939870773807492217534368082e-144j)	(0.0000000000000000000558204207180856277385292705288710021736028028690995746274788830537935511771319949748017881269489817444535798985059842401 + 2.95101074529699890904344286239106074443534633314143583368939753733486641064486515074362647322965846254579763087048878964e-144j)	(0.000000000000000000000000642050911645041927558390849750715096884744522265519454037171615403882075470920678465297150310854720102421756541899104966 + 0.0j)	(-0.000000000000000000536633349330325991694842702442987516391429276390288864526176200613998296490009582747619046727583572649061781458261233708 + 0.0j)	(-0.0000000000000000000000006420512643798693617141234889667977794596801348671861515305942104653825479151006260446842416849163606512273505832385483 + 0.0j)	(0.0000000000000000000000188576146217960698380869591428871242100618783761177063781889082530228006865386466082332030840030480588197408688330698115 + 0.0j)	(0.000000000000000000492045270653163117864909746374314330339648228613399553172755315897658484666924031016781975990021110843750809912206408661 - 0.000000000000000000217743847236940565158966612795800768705670842335310139537194716688874086906051098108739533058645998140794915462966191058j)	(-0.0000000000000000000370194922246154546854724974067049030984372123083985090197708670974808268795732912209038076137159275331855679094583019637 + 0.000000000000000000581498200383227769237522363642723492841091519192747924102989885634933491405608629250081406479631337400184752222164993659j)
102.807322383086522134705814617847016531149812217401048462300039961606488754401860109146605301088685268735300416256762244	(0.0000000000000000000274008190888072161847993489536712292927074088404125754062736076361670179575731710646413674032874578673132718498437731178 - 3.24906665975327790528523192077388176266380731356274891758095456788149697082304960275727016730112736804522466889130914562e-145j)	(0.0000000000000000000618631521792467321791088073730108352869667212239395384579021267675671939933743564864320699647665252514560129744678346663 + 1.31039704723315277384756397311161259523763750045413724571461286273186820421672806662229415924517437650592112279224161515e-144j)	(-0.000000000000000000048853433773472285864241314061534885436225252970324011220370220086710211783598639920565237874219386213430203855937089231 - 4.01407831334356256890044376626707288303986200339663049224639681457485549028930761226404906107572918819441674596415817714e-145j)	(0.0000000000000000000559508974868034639668992211936761304269857377212914875993619273702046997943827209302174039779701023654486906487021522113 + 6.24322981890657837685448467597888248278653745570590044732067892080062553984832320880751006267943831841251821344460922562e-145j)	(0.000000000000000000000000644607445385914716652075519663599292036427187144105211819621445809458703341978189431167203481489093678620365893109963596 + 0.0j)	(-0.000000000000000000545034421900590492380631440112639590838196235257179309866830969549950088566773389380422501128078844818300085835785225888 + 0.0j)	(-0.00000000000000000000000064460779696833779707874356109073192534173432922870946230496657949859841683190183098531218341534646673746837371889123108 + 0.0j)	(0.0000000000000000000000191559775777474108671390622316923412055864610156414431864889793815575157795506690836959138158777657108543081901818959697 + 0.0j)	(0.000000000000000000500192696574271550809453954384023950817590382788069966932785245479629023852922305250085033936820315488252483200239913653 - 0.000000000000000000219350107233608865428010020571042616856498766164453654478223754642796695849958713134507360099740312458344436728727309777j)	(-0.000000000000000000037052433765841194604337907899353482412806020333295711263161392725960051508727004307669303074824508962623881394731279323 + 0.000000000000000000586029814736762251130544904733732462412202079672461191024795613989631114022538489975888985042250552689898724148079246779j)
104.240400702155654774025680529278637258147351835424773002036819000845599326037820311345896728609571349778187060620798083	(0.0000000000000000000273785191590980309453568187423514447539204363546211656786956801952998811587669271923775328383657532908110806650050504017 + 3.99760658301421863148234522592034888594494950539061673482862845016204184605991797072928450438894703896947916228970322653e-144j)	(0.0000000000000000000621801543511634843821201337767952199527510278332948061954143760458614584003451200086569259413763895977530828532668014756 - 8.77881462696006179911709450880009147235900855506551145426006807445023226197227208738678747134241094800336970508329278434e-144j)	(-0.000000000000000000049039702311234674079482038790377731891452876703636082702951307463514805539012109736916525908402189545453449576454858256 + 1.78834710988869120790587932958143049233327166225521886605227539591178241043221224615599910143919873329782036925643373641e-144j)	(0.0000000000000000000560765239601743913553441033011001980167307223563931999376296467039341843298927387433917827748547476219886388622177484562 - 2.60247546580821283181456176937956880835626084267495554507625885776594224177759722390485324946230337419948212149867052108e-144j)	(0.000000000000000000000000647120919934546783807862891228532969200653997689162411549645962443664222722227264936723999028034029930731692204450222752 + 0.0j)	(-0.000000000000000000553573102179499887910747881955009465823558860019001481893569959684277787805173989186019395944058243075851809410247776239 + 0.0j)	(-0.000000000000000000000000647121270328973033113923531617328265575804545215850844852551832225926491092590438034901706728917564687097250970057870391 + 0.0j)	(0.0000000000000000000000194592581623736176887459911114623784979790776981010669763991659093803361674352038006578065244468663909071965848627752061 + 0.0j)	(0.000000000000000000508546591499903790990791189668374926549315681566805806589762731748748807759586099224495718650301453442057576660438682791 - 0.000000000000000000220962404646947601666559381559817377284611994062357640274501257114329975705575179542952808297811580769640144219163366638j)	(-0.0000000000000000000370632252105083579401078253456147022312996588054347060122313814208313601130294697456941397475931323410819214687686362817 + 0.000000000000000000590371085144484304679006263242820567363047479102695240560306494314812982538219216249681674391480542688635051674836005565j)
105.693455355798830166809395586430583989156854235949065917720406648706484442504640629006160424549607431905225327105429108	(0.0000000000000000000273530706011216802540659274781852854470221498630235745404662864950464343896600986556098679572462689191353769907834705403 + 2.16289415588476474935297425225941454204863009041921246164955789332999353575907186122551099233177674795984012528830082104e-144j)	(0.0000000000000000000624931817761330257627807365468471992863643907300979310477003987836912397290256481634776365640926148048430415367712959965 - 4.28674283938871014117324341905994036087218889656102496238293797793205055376469877201633086495770519190277838117288025624e-144j)	(-0.0000000000000000000492222113368527727525704616662139295795208776325566333249952396480549976566909071739707193036742050465306671076409321457 + 7.69373922280397446934297815314862389502533566460836048751449021378679199858409185430359107850263981960181130063666071351e-145j)	(0.000000000000000000056197271050440655805514947507966735506534108800873193294885238395497051532662204939112526886668245239440684839583422037 - 1.08734319482011336645381620723455633187887600449642596458197815218782791728281119248688156285078478329229757903310152721e-144j)	(0.000000000000000000000000649590710984097903325384210367748156880206303136737789158039261882809235805537737622677704388394704457269053257369214791 + 0.0j)	(-0.000000000000000000562251687939031163433416968614447667715710667115010749898555068351934349629213634728671492991273503538326349350179430325 + 0.0j)	(-0.000000000000000000000000649591060155434080411777462385150844092051216371938577439205211386332701291944043065936054321052659767811821478571929869 + 0.0j)	(0.0000000000000000000000197675382544369693166323342670245449933651563639162753042588908738862267195823861300819534547530406942129958179152661337 + 0.0j)	(0.000000000000000000517115729300442804086012005840397289006374444687449343643762610587649680927806376059492384404103175035491636261647772893 - 0.000000000000000000222585829324496057172967585044825898693205027328236683365149139138957479595408883157501577032328119325248101138525756017j)	(-0.0000000000000000000370520726588920431188539673669973979467101836669638994158607472227061246497860694246773286819196897730197743683047176044 + 0.000000000000000000594497373992819042545873272143903338918196695961581343068737622340719865188084769495942058088201546901463114174230530096j)
107.166764803286350653910511571315427878405849203900579427336317258117139049102468551335788816346492830899289385319645615	(0.0000000000000000000273244861198175002611787774401217253753201499386154255335184615057656426282391742810857560256802743155383762589572156042 + 1.35913955658736944764065929764027815327668462061692081890491650964592930920445039056952279088701600969058765705832990289e-144j)	(0.000000000000000000062802147316329591916100221678054288146144251683565644091122940570994181981932500172334686552412388205648660313096623137 - 2.18674067829983877362128304820385731478261014832890684575062024632813755197173428312483872002663052493690778300019290936e-144j)	(-0.000000000000000000049400911580675925523843735709539115255902951693962076698203876390344799508300832604457344921333151035550347639254839643 + 2.69687092734623978499603229303437754324737172227975396725271243260286811196005165625230159554253832424652650369504281531e-145j)	(0.0000000000000000000563131115303055164881051626771876398352404333841607815731519436502683991546677169842649311592519700023826541438694042969 - 3.28136062607713539828697740763960251334759315133937143926900547046647314358373280509647672511680636094369579093083526428e-145j)	(0.000000000000000000000000652016206859949316283475252089546934297802090420310098082588837003739490563060991976766474943329336005097991887449689747 + 0.0j)	(-0.000000000000000000571072514288234208245098603149830028096716360433436146101292735331153183002239546271486121029107345906202110837500781841 + 0.0j)	(-0.00000000000000000000000065201655477361425587588130839802719273583324652141542818570851934741830766467620304754052653457482215934133977286717266 + 0.0j)	(0.0000000000000000000000200809010495813024321128820190545513317763701049993579251448224136154855593662350928730974031530564075200556242544599546 + 0.0j)	(0.000000000000000000525909167472295488703711434354379540200470132353734977537434296269840060063728989165507668432658504053492254850902073201 - 0.000000000000000000224226653349472907215030295150923716016401068465068094639079513474812673822492604054304608071433827822040346598597868763j)	(-0.000000000000000000037019511957597432563545977244117646760945190729002283738823626489198330071327389913931937175354811870549395970252147064 + 0.000000000000000000598381259020314449060664364798272586321029752284034781911306222720002909126720391535096382472003464447857861348194842312j)
108.660611385459731248352566284291661672655359317901808345821563119142453185691423294380801998862784645011991301972345711	(0.000000000000000000027292779835001932606740549140698202885994100656120239858288812535667043725838711177043406691029606120497626953843333795 - 1.33119249296880471193866214393518981392715199621929724166357695445072578511899494260971456459391782341573029161409216978e-144j)	(0.0000000000000000000631069650079170620097318242816874261815962094080384673258971825882240882022062189305254541993594574194524152258103632678 + 2.16089858069998335221800060811184030311777438469157050985787423911118785079267429472832408159248269154932798625007733172e-144j)	(-0.0000000000000000000495757551158527940194091953279483093070818566838640164172649963494041452923329140060612089620860659529442614778435219318 - 2.72976214827864810298327537726235506215667123780932258779820373384390832472491892560806330509949605721390498456716598652e-145j)	(0.0000000000000000000564240200434895165072709022935112117304966470894452322864347009994991727488504324359232910903655766643795869839886805519 + 3.33848997399355887356985475259311358274103853010863665271177191744635767607280532627229933541343939192112769336415585551e-145j)	(0.000000000000000000000000654396808844280170064240280992181358423392469231628819628562253932641312484286766503302562579679995506850655495444959468 + 0.0j)	(-0.000000000000000000580037954242152753228609319437578383602153071193727059065719219459884784365313882519364111077066248599324310735387797104 + 0.0j)	(-0.000000000000000000000000654397155466217190512267835571546200536480116638606737471821960871888538176402342811051938250425243134214425151863433676 + 0.0j)	(0.0000000000000000000000203994310803146295356015631451060240961488947111506994246271739362459345052918780825237652601305296539450521589250142367 + 0.0j)	(0.000000000000000000534936164777065980291171112566484306366581503907668714894822463073080749318148413651607612670052426085738783055532339063 - 0.000000000000000000225892570808470844239220812146993104101928248515279717724816811547419698989382602479886066699063414966050205211445012713j)	(-0.0000000000000000000369664762003959976322762543855749635665096876230310557934245957388739916274201799410023174716005927450742889245885516875 + 0.000000000000000000601992134468971735379419124676287810348241389850498812564142833080641534712447379036819826175288228890039023466200438273j)
110.175281378838697268004571171618583794893827072998374301789548393603798983099000358678539681738589330646884655658050483	(0.0000000000000000000272579672661205252085290410847027800022970505476046209413433822163988249343694250187572244832319624045944898059705735464 + 3.83382510382910246015596817353510780242783048626564286757620262715083851209504652543900587338967504864418035439794545173e-145j)	(0.000000000000000000063407550114418684181880294831060208442225989549314831418284464795607554082499131406172083040817825429430625891303570178 - 6.28087350723842578444996477865657254325048447763448994355083509406334906655804391598162815232204152753395969040246436762e-145j)	(-0.0000000000000000000497466953858000325249472631602018461577784520030005641043778223715639626923628734820469344038462670053145105605517499052 + 8.12621318879592252156402479790190839426265599468878739429408881847752062454053247912888168657701182042347173652397807928e-146j)	(0.0000000000000000000565299731137334153567948460021448805872209300914103087194141032782270607469530229525388773514405196940735838455514948208 - 9.99087826938636500320012917708722916602875199892938431216429651355123964883345156752241126618101109885347739048738195748e-146j)	(0.000000000000000000000000656731931491973570941867394705742084763929245936045768313208384393386906983109689457990782073226591111076181597345546838 + 0.0j)	(-0.000000000000000000589150419299182140235437413491271237165105463180285658378253527813288298646618469562368616901059482683565794823191775636 + 0.0j)	(-0.000000000000000000000000656732276788662442696653891815702128300137168941223502467944159272940049980946708107174353443157815641530453844548497419 + 0.0j)	(0.0000000000000000000000207232142362946669850912689188755287335789260847421853603982147078026268029990365823574693081776692714174520159679155167 + 0.0j)	(0.000000000000000000544206049678652485538107344921205516488617670818559170393200454898792737281030280118056324034368927562082908886400367499 - 0.000000000000000000227592993136485412006419254307743472715915587954405913345881173192614734532173203710792949201640778094157929202886746529j)	(-0.0000000000000000000368943729214403870148232968803851636349132195080532597601617136272711782273252562967643282977023373332687973968849440287 + 0.000000000000000000605295735692895094976867366314293684266913617319803252423206955493473950139943220344151476488046459090092868070703463988j)
111.711065050482404171694302400532746721070466972854540023523868599163664163307694746151915932036463433834633528147587677	(0.0000000000000000000272200653157717082086814600676380814616554417796259392198014169841849949332612938985480566597907216663199917402186812038 - 4.50373544745337975007865706658670890087859182473102395738369780901353731026017506648607455549377192952415236658459002447e-145j)	(0.0000000000000000000637038191791402928848499713336292211965229802983153066549042698243183212490021678783906594227037235332026880765434084207 + 7.44893705364102015499380098697148056459563682266716490102706298503490416645532618927842072457228855101149595167704256721e-145j)	(-0.0000000000000000000499136872305173304451039475126302866283491028407208712719580832851593615833445289336939334867059708873725813910268485073 - 9.86935444547127562883583782451514979270657532788970728773961334030348731521425301648316298961362560472768892978134091846e-146j)	(0.0000000000000000000566309491522503081669342954541821410310199134963649788858611034777807208170746031873633062902180904453901736290188118222 + 1.21998524116318670811001245858237513799244785214466912761873550598227454655777671179401851188027020054735153388497992878e-145j)	(0.000000000000000000000000659021002937573902966015766551134498824651724808779083844002823972402084324723880495187288390104019561896792591303913898 + 0.0j)	(-0.000000000000000000598412360027004409697872226296263116652132098353697207045348654222515829349151592108089523366525083047700631245031357644 + 0.0j)	(-0.000000000000000000000000659021346876042370731473706374251643612144259599787488213574646289123499946743395496472188197992037390095091301348141211 + 0.0j)	(0.0000000000000000000000210523377849223768284878585820394452819431805840470856313172788680476046947381706375667853726273344540039390476670766069 + 0.0j)	(0.000000000000000000553728014417159048060244758976046898848142136427064198444223003636323925528060400598012957086266682935979417787800502066 - 0.00000000000000000022933941574015118051151109210734121417377733634112743140904339071209742192330852916979424143364221545303451863784364636j)	(-0.0000000000000000000368051709694656847632701689949855799741040843383075017298773287164362620242182304612200754524647599910609149963501455733 + 0.000000000000000000608253567891941995302357129746523768725093826079841361134504820673850446297641089499457407316013066592888690732240507166j)
113.268256713615393047241982102102600412040265953847870639615348943102656532119922909523461075638198425767143157027105738	(0.0000000000000000000271790922520329824989588239512333119969615336922168825948887811361424283529781180707896703921568584849108587694867060355 - 1.32232315601764559913151032768017213844245518606984711083179483079249405797900325842808148799815304006183022170257210031e-144j)	(0.0000000000000000000639956900765914502078727025775602617570300654518433573752062230737434645778692006363301501781531083579011379633344931265 + 2.20870639238604364361691624333877582583952745660342243710632078061222135060090296782780469191312990749334661370483722746e-144j)	(-0.0000000000000000000500766869117265891970218502573860884907441769154853981339375893267698231685006181387350791260588132633030672637155776179 - 2.99643957124153241910325847256587432361360338517353998630634080338985483642524155490172625643445562426149224130750118481e-145j)	(0.0000000000000000000567269284636315002242782596399517834479056349006360744203657832713194570454109345497233259535444175324438337430742157654 + 3.72463242628672890616631628855767920107362235784122830209223140324204024259463919811512446251940864163699397029314119308e-145j)	(0.000000000000000000000000661263465193028000121853241636725845784094190430780770920759849819584179485821289251774760647024980258778049240352101553 + 0.0j)	(-0.000000000000000000607826266657243648931687927214882133364886563549560416479935861355158280200556764548010083752877566110882812120083550562 + 0.0j)	(-0.000000000000000000000000661263807740862852261032129968009231623139751580416478898034477773754919021638738932960743400088316430257563505948856105 + 0.0j)	(0.0000000000000000000000213868903922487075430002968667095799187054161978998430116456540813791958305440064866530473560985984442332654000597161749 + 0.0j)	(0.000000000000000000563510794562837199187221418468329812476436195508062311327935568728672413091247482799900692891835049160462660604044487191 - 0.000000000000000000231145877013704565349478202817070664648404996524746099482641054079151176024250208847591540148442676232605306604937845057j)	(-0.0000000000000000000367014957761527590358313167282466377776973272657733509957629325337459832322859071840658237960742790396277925574717747898 + 0.000000000000000000610822213439903467113217607158576256101423728219952193460637095487900620417700079361609522819641425941041430079833342083j)
