m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(0.000000000000000000000000134465014457443569277087918052307229312446536451577106925831320291012601985491118895921005634784328135983018499153179069 + 2.993432518846593544875823310066006699104355831910813319123500926348323729357495122664240280855291105874150862298900546e-131j)	(-0.000000000000000000000000156044217510883243044672671520929271238351406560245510481389859383051286348101686732957580260672284309579957782511303819 - 1.09701224015431614742306453796620747058956054229613129414616197951012034611220263629941275579727706646714603000711831826e-134j)	(0.000000000000000000000000171659432453484135859159707870596581116001899896180058260093778351879504024574052744778789311418472534545314338626886728 - 3.62412873447060026485048546854887222421356383140130884839256119117554518720269043571191859863898488584828001477130264604e-131j)	(0.000000000000000000000000215042984718869208659413170022413454350587166399980910527089705670252869630268988811016222124674409696348018221213719539 + 8.85602135992493463007600758520471145795581099351858932268108801976832237218651540466447294626315730089833083115080630249e-135j)	(0.0000000000000000000000000931872079154203689951718139948547775832195452131759071343218547494279368336291711405312505903061764834088706497680969191 - 1.71632936285284602384558894753893640573971278200559243640733616370859318598828406955395603344692940278649276584479548767e-130j)	(-0.00000000000000000000000106333019660783685755348274815011756215400179055593751298850203269506309891749736406913730375140381573466496006009052993 - 3.61722536062830752921154357616895371671673865134471182847422260698536551632864415062092839091442776978875995286370830593e-141j)	(-0.0000000000000000000000000932175762296606822186218122767718071053842530147732970988792147298731313409347896422271736117027564596379778175113113341 + 1.71629556695026734540476782228116021282871235154188005626809218538742802053422292458357077831091669527998922686816372986e-130j)	(0.000000000000000000000000338897569094840064396815114453928509505747424926442614364553981245832948839348721712372771826442600850253909932131494373 + 3.51575383678073254668048700365134059479114282712958600022562468176642825456129288060593061556128180680572052860225166676e-141j)	(0.00000000000000000000000073564916808413217552077058813349293187297386169650756572392482049849890268692635572558344117540731522147789306923414593 - 0.000000000000000000000000441553412487401170049970485790741494337042598714448174345094046539859375211771443110620448806458103353797589678962288099j)	(-0.0000000000000000000000000625000830850858556827228780839723396990853882569767640263669439511996256613920519241207124812531492262006106933880331514 + 0.00000000000000000000000102639413624338709794303503243542804456822757056545072795533104218426555023829570040003659439322551844374867566749635606j)
0.464158883361277889241007635091944657655134912501124363765069285868477786969284482618995907089757137984154330822826540482	(0.000000000000000000000000623713793262636071311648532038200329806989096699073542066720764570980571700967440213719812864937331371523762267938033207 - 2.2413027650090876986055840231118061898727635711346997801571079944002583715137594515293544409788665615766870884811936317e-132j)	(-0.000000000000000000000000724064345872788513005805321464697474958280620987094830716037648458124389311846024805178982746276780755781720658788875751 + 8.21377686604213727750209479399549729248246209654052501719637558452887489486967737820232722288418100505932273151835816106e-136j)	(0.000000000000000000000000795327634007133124651349486574073607217925877277076410639555874088659221435071368719877807750814625673170722002814895551 + 2.71353026923570273460296635391683687310539912009946242237602828894653175673500600076426683509823694092291846680362496443e-132j)	(0.000000000000000000000000997627805145039765817113898454598447270400481334711850712965106019509449864917401141970914532113580257434210924402840567 - 6.63086744543221953170595425396341192577042409698441612803599715140346413379635582405745884684860079308798993067353478159e-136j)	(0.000000000000000000000000432329347401548451119032306537150147304275278497376594025880937209438628032157009516464146820355331341661656995231644388 + 1.2850845045747083062420756134939343607546733790963927997660599043862204858086671886036878945847375638650768730717814394e-131j)	(-0.00000000000000000000000493599108317646087965353098187591382375916633931906845853346039513223152869918382876226752361314520823634216604732870208 + 5.07820673103344385618203381154683392751619732030620638767657379835107936298570597893774054233056431576003821892260962006e-141j)	(-0.000000000000000000000000432470120735517437149299884633912651997189439972114351959876171054302511327756881049834033551929704829889421085978153373 - 1.28505920022946612135995053930051124280438068814892302037118579279018567822023761932673595229097334108883757642417045121e-131j)	(0.00000000000000000000000157324222183557007564328590457660789829885333946309988648717562418460826973241012640710383798448649885505955113422149462 - 1.79549199781404164400057554818902416976613597631732535249352264101467959178267056096712603683713143893399904824948923427e-141j)	(0.00000000000000000000000341457491920011822389870210299256389741217141058694645059642805235666240164415326167221100985386762393306110085889143666 - 0.00000000000000000000000204953069458755773535471701476204368426130351792989669802710488459202578073981743299949145498727016541795526021895076868j)	(-0.000000000000000000000000290109375756292277353190015939846706403503098336108886310310782415345941859453419462584279516642289983151824319782359664 + 0.0000000000000000000000047640513866961729816307027655383254663278071954002913879556645317034191687599736293942379069471280696627494639932608151j)
2.15443469003188372175929356651935049525934494219210858248923550634641110664834080018544150354324327610126122049178092045	(0.00000000000000000000000286748727723035574117833545492406865592846384935232671932414082257623145917968860748523851206326118897988861064781873025 + 2.94079315483436175263681936376136505025816007846681530411819454050759586196297766164140679157828211184325122474747311568e-131j)	(-0.00000000000000000000000334504725598198212462219011552597086620787463008630136171889633912176583615721479215971626392501387921325284785676754122 - 1.07772102277177973752554319980705928076080218928679741771630505227083759400547738122768032536115832110988113999341589776e-134j)	(0.00000000000000000000000367501318876726999556574032387461057553958989440093509810894334669290322543659611062091753693591069304659094832303211069 - 3.56039860910979471808271224117357849752188550148834381584704252035263011653916192178036404899895919010476989528747615995e-131j)	(0.00000000000000000000000459644164930586383498836006968852768791046662814569358083571363311224419866666613316107440927999041717765763451513836337 + 8.70028437085731728044562993530491810889393384044597849149003392173759355089237833624988999985638437707530500219703954511e-135j)	(0.0000000000000000000000019930615695276623242515720862171324868500896242034176736969883258739452749089481601585812925586400692640238452471547056 - 1.68614779536762479241757984839256866327781057997144698481689951878497855114935329325567867966540812652976932255288587203e-130j)	(-0.0000000000000000000000229415717563642455276079188397568830945429695304398616679663577989128872950053911592548447076355992781369684889609612287 + 1.76189165695391042410975702635710433316902227957304298436785744926950587507457428015914802183944575777414399002786171562e-140j)	(-0.00000000000000000000000199370351858628366413293980996410991983386063528674703319679022588682323596191025668320968799034140112983178046792748205 + 1.68611459376433826704333343045690629202005987405482092017665236420454833545785305903840736074159315168659049787176583576e-130j)	(0.00000000000000000000000731713731538754173661192562737585783202636929782467998139629512324787077905051705430115255114813105149906656924893937024 - 3.29319406959219793598493617085983652247909799816743981304508571798392338289314429000112576600534653182103258023816220044e-141j)	(0.0000000000000000000000158484526630431163550395553813276958076796796003616228517892383036596058106082188967306643902112203099091428116602921573 - 0.00000000000000000000000951520915267281752445143104207524604190656696810350738468359170604891014482123007789234515740833057596236994114711568859j)	(-0.00000000000000000000000134753186917161780022311073728244114432460502007556436750954536884107066010567829355122408879668114814810293697907090843 + 0.0000000000000000000000221079504853884982633175597253971315488072342993760046114721620975402181436648905294505674249209087942643572325213908197j)
10.0	(0.0000000000000000000000119346957985507988191017962524068749179906662157342704186056321261660113034868094353731550977374503125286772354698206487 - 9.4901927817250614243282979211558833635129145384202141708674460883662035253941012780524925149738178773803446505529081124e-133j)	(-0.0000000000000000000000146540556630665933861764414221020311777566278030096262079945610837912338119793957198614680023501980719215880612925348815 + 3.47749091233497766220614346634553429285646013782246579603880954863800247939471722909541307585975575306039992811169988527e-136j)	(0.0000000000000000000000163890994662779370100766868225218110676273586741652896883273007869669094676117966218823689985510706675892120172000394142 + 1.14897138269313530065775897909606224769494564535542744186468499590992290941947016358850094889757184674680952956752392992e-132j)	(0.0000000000000000000000195947793244791295884316984534637952820415223603165606185351587262486383028235818609212403985325439869876027467702600867 - 2.80708519731033613329714178976188488963204531354742125138759955014725514213735239794442703746108603993491758970375803882e-136j)	(0.00000000000000000000000857148603361143871378305481738790340066238590466679912435644853415659114781967062762072243131065086088339087578141649906 + 5.44134438487378935816865876824643453119000569382616550697586276228424924933845824137852056684947741343770856151230390429e-132j)	(-0.00000000000000000000010817195245391270573365359532319387426416896062282363718534331588292970740622679552361700499108305551376653223762084896 - 2.66053354493668150563393377660932782752368836064538848540809297142916286898198312193844606631716470596325253916932481235e-139j)	(-0.00000000000000000000000857396858158527897892817213928409326650519588417111816821423384694479863646431851568127283213848424255212773868079347471 - 5.44123724044500556303949275731721548730719999900165502515852116447586837078386413018345662775963828599413972496800277096e-132j)	(0.0000000000000000000000347520899196230933323653742917681065927999181556092271775523149486168217127380955030283604622363755581463195842873177278 + 8.42967889162676423196913700804119753463959045352883892611594461986815147413183135283846816329104362077027971307503868866e-140j)	(0.000000000000000000000073506204906321538157146524429482143722169929216671438326305839880946269525147503812505147143017378136153832348251722566 - 0.0000000000000000000000443784999705429275183227626151120384739363449489335096021423345017321926344084933967645115468618490313719970664302137723j)	(-0.00000000000000000000000634449921656105929422495682520704715200318591440012321818698156446666501675988584799292479668671407836545140739686549265 + 0.00000000000000000000010213511375724992564824265136999710637929503690601110819089902312043421036368472882172270345089783813059795695519274524j)
46.4158883361277889241007635091944657655134912501124363765069285868477786969284482618995907089757137984154330822826540482	(0.0000000000000000000000236669441649410960199974156095153191375110243178897244914853944316393445045867760082577608763101771972378565590873565786 - 2.87916960341731734349707562349243637696799161484635021026285323054116392093290602509447869986473040636618581824185785155e-132j)	(-0.0000000000000000000000416437731504052880659673275632451284783355934542140645183300609878263639119976820262922937961948194226910976081963502931 + 1.05700348025709013568169403243961211056430185583867679727559133191411865372869388993569043858506924892980628505371673581e-135j)	(0.0000000000000000000000523224447834329879205116358947376220539070630680774968990491400757068743886773855375815259562593682485257835651290384272 + 3.48578770228084955366082305579387915560331135032606606422330722087117465475616184715014715057299407018462717433624175906e-132j)	(0.0000000000000000000000476557079942459896714683522837094723334550498479526464520916154903853118087127964318791432145400161733030389179330621094 - 8.54002111996497308715292520223792336217806230003004407908599278865453048767537293574084259570055625251222389822205182144e-136j)	(0.0000000000000000000000230897879878426602672471688364235670621968487737821441805216216222227007609588534864164268056824456677984576196464081077 + 1.65081423804953065520419386964253699901899105330785383953722923006829754263369182611452007209667233140685470744032466447e-131j)	(-0.000000000000000000000557522695492346887137785802873712906005870279125132274524654586249527334401075539737144021002044023470863805787637467546 + 1.98880447533040483777227709302183674671004870282732302886086907625070815508698648260322641254591772963478310920508642312e-137j)	(-0.0000000000000000000000230931549906528220866345994062343459865132966508753330359109023245819535366721913016183783022117304905612509599227062112 - 1.65078173217375416005361832685947110366999463605363728742786679230894227645190115948612102406194312235367152968775475881e-131j)	(0.000000000000000000000185351823894053625854540734151103865387676301258272988982878775449356880999993932056743116212426703757759137358144249648 - 6.55416605852410281124002516335904925503117169007386291710745473255146950044013989290294556099927834718918145447283338249e-138j)	(0.000000000000000000000339610037194008593108578481329131675025130350000888987011751495492561153897218162762892799971936730892948773844589016763 - 0.000000000000000000000226747747763296762298018579327545093982370312587781171051316914079579809890234099546535200608791702788647149126731447304j)	(-0.0000000000000000000000333877605230369202513293802351544643933517146255602237920860778413994625730205376422696636005229614335475979717042352225 + 0.000000000000000000000427825372277523916773335111741062199925863090597715633207866974465930870021527673302605696567559773862989041322822670862j)
215.443469003188372175929356651935049525934494219210858248923550634641110664834080018544150354324327610126122049178092045	(-0.00000000000000000000000152064744862648509393811348445976553944763668505457343009899294861123758019606822006467973692317891162892882656070014613 + 7.86823454526508945676136080027608064245179324668534385600340093170103080333442792723839341053141888943029201422205047251e-131j)	(-0.0000000000000000000000216311088068769119426894597160746616037536439097931609061979271459656334947063346173012302044575412027654098276593568249 - 2.88509161409863370692210216443133784590318632188511423250396927028092952427261529770503911671433980796157536863804952328e-134j)	(0.0000000000000000000000367956241144164741651869500976805203572937395914689417947378929629783827751743555091283152355553254714072087797321260992 - 9.52601519772151918515232617493569506631902350358904451654013048299826045676196902431277960114456484854912762484183902758e-131j)	(0.0000000000000000000000161377367691798461707853708939983695584016651535017249415642108212486008169224983298394524959814909230828201791178425862 + 2.33041618988165212375807005649415136091813968705247580701006886965628498823413955972272968147863044857288165667373355375e-134j)	(0.0000000000000000000000137900422860505909733824813330460307246151135727373456875101270328837873158311710351512713035274088515383540233536037066 - 4.51136885842270924024510120801999787554569979718612623760835026296590483133492112024306331406312327662150530508132477795e-130j)	(-0.00000000000000000000331228075721069273452642205066777196323677433793051295660978523511726938696790422739807789507193717541303252873513911965 + 5.25069287267958391709842928506202375602799760454574948765827827333590371468744393649339114084787198332970134255987091878e-136j)	(-0.0000000000000000000000137894329335423421627722117675493534482094569599601111573061720602873068961275271587535553653739505701527773296365660237 + 4.51128002590626982183689995841536141499581514511704421667144760227706144930510408994028761208996178631779980806974969281e-130j)	(0.00000000000000000000113295941086864879011451417850491631168461796776124179422088610063028997753161540612689982828491678326991830471653626924 - 1.82999752671568730195882428889702154809683788517908113212615800074472830594866521519697269375387619738565708018645038247e-136j)	(0.00000000000000000000226415674255845815484600411740992625850868128266311984843972241663178109753467660756903680089810008364636170204497721229 + 0.00000000000000000000126600189547589987562925266558116492472199682636611359229688377869520457090678983537393420292378934989522584162285916386j)	(0.00000000000000000000000555068690531676384813525746423128892487136960160184355932096806164058087005012894467689151072647670308938016243348157567 - 0.00000000000000000000151254532843622539407344965233376547383293259224456139841310693349392728309556684073442604365087715249184468527325983351j)
1000.0	(-0.00000000000000000000000108048868713316754041111527449468448804195479329654359785472516646871750522155892669381132845322396545292524901870533882 + 5.27105680275827752845806634293763890843062663400618977255761165817708876272903915902209990608018233301173754140454846596e-131j)	(-0.000000000000000000000000570484217162550750338815842593806777674970945399117326898603029317804244976396700342943076901120695576200346606019285469 - 1.93954574386217258107033757325841646605691928806572809452233468205108885036265993883606381886965850230711527205593522263e-134j)	(0.00000000000000000000000179305952362817480399880618800550850918844470569554062628535927160885955934434715470803312614613777545533797217535142919 - 6.38161859275772290381082164778031581575104022095216576985788003988060739303645815588675414026595320021431814743119836267e-131j)	(-0.000000000000000000000000104692897533376249718713865633888921084080165678653933666590996620781278739803159718305335304590870147719815929585616663 + 1.56765319191157585309136577564508445258215823985370936032956482364426323771933170034660483638119551196564573020828948822e-134j)	(0.000000000000000000000000755191090507693065283235151642562353209925937436494133762434861627234724000827040599315046564749404251658422144136920062 - 3.0222370309952516032288075980284902659558787030286429269325464789106387520691992054827827650159194972310404486756950321e-130j)	(-0.0000000000000000000196187486885579132459238115614891693745578768388746823029953139888150150543064070895355078034153693723554470800912294777 + 2.9875207093998545811021755536448324399840736027288076468710183188653139472789565516338208771405455329872696039408844977e-135j)	(-0.000000000000000000000000755103701215424152055952976421866677521038209534595443154219519612312315543567177449656858832621787299355376879884793515 + 3.02217752067122294965129039937165940636592202649296205700278520969934449702123929609209257183611313749044948797951073574e-130j)	(0.00000000000000000000669464922156751418355968338959951420659154748567294117562305731883747622300815744771225410771028999513449597756131743045 - 1.02832573139156223787242515751973735215207680606639580780509584948473686075406790273216724574547628877065490284955257322e-135j)	(0.0000000000000000000129244138894444442741636886341928728163304433676109750385847284676367444296619684554686908179329892197650719221105015063 - 0.0000000000000000000000000000000324979145379049024157741210756617488446569659421979996315611299623152264305761629075589695055367797620856397946413075668j)	(-0.000000000000000000000000990591148911126449315043806766495692335582869870371365665809851002678286972660874840572071053302774663508989257616215654 - 0.000000000000000000000000000000000617803055916354222922609563197095796638230651494176648632431843864356204244190057407274866716952738993361466524540906962j)
4641.58883361277889241007635091944657655134912501124363765069285868477786969284482618995907089757137984154330822826540483	(-0.0000000000000000000000000353134641017181604327569546509897653819251220994901438922163731945244262582544683292800645943953995591459352184249627283 + 2.74732706986838645046431523562328729535109210202187368166841467184458160860597865614901506081668018554939520871415126832e-131j)	(0.000000000000000000000000190428783172879610297473980996839797726197361486727934693836207512361709832423180986868172803256935689582027375766654573 - 1.00917025147096205514340840060071893723149666479623602568222917771826423703529457120151658755682550832899675170260656492e-134j)	(-0.000000000000000000000000289122397343405111017960787002638200461540653138315136366368068629892686900552485163915003884344616300115471795730288448 - 3.32616636515096932391885034548495619802462655021370536816786201306650531706802679321638380874439207762795067398139698221e-131j)	(-0.000000000000000000000000171352612411462505306030937225790233567922726700657169856696241493516221551969163231688356244025104493137394116154773417 + 8.14970919706718781438853881396494506836945539211607941612279391715733504981921940996029090505600004298619793546035937536e-135j)	(-0.000000000000000000000000111634575936248272097066425083721247802924956712064906402074816738386406737073382939358598333679516299055110257045021231 - 1.57522068702498047728053320250788144660049322688277808749051130053262354744895054483459800098800133449881757461877094065e-130j)	(-0.000000000000000000110982008789849128292666952021994955532646075429062591592432628697832778880374616112308735254195116223300289761854296555 + 1.79896977467884383109915679028213451098030082462109873522523090384616154945897888703249561673058984753336064850433371074e-134j)	(0.000000000000000000000000111635978692544804204918737484874355105892905427263427134348671515362292279602305191503692782041463465164747292139262998 + 1.57518966965686351299258849096675258083503840898228979630833640723912761927035413490987602512460727413739401608837200953e-130j)	(0.000000000000000000037714963590808223015853143478156281146201160911754824102220540689253147040037809456579587317362419979346016239818415438 - 6.11088964465587103365160308197638721629868688962619351949365567881676728656010253312125141914326863926063974727722475175e-135j)	(0.0000000000000000000732670620061767146405550388313166327196124834822199638196404511961744972223209067878134481808452967175613905876232838208 - 0.000000000000000000000000000000696930381278961681176036107946547137664006189980285244727983582627054973654568560922775266398646923395836216558841595033j)	(0.000000000000000000000000101022797004081440566544382130451858775999818152519944793728009574695630504144198043772667482123125668121798254209221827 - 0.000000000000000000000000000000000618240063457142427499330408585927010247817082256174600382458263383238160822620607666439942464807157702564481839717340211j)
21544.3469003188372175929356651935049525934494219210858248923550634641110664834080018544150354324327610126122049178092045	(-0.000000000000000000000000000630472606255902562227273694234852330645745439704470475982006256932710531034028644251238179485430658141656476929266202458 - 2.7339490021076971806894614823920005233262550249013099814342779809495547746761379612788910260171664534002882839845109825e-132j)	(0.0000000000000000000000000482190866784495723477828391196032288362935983900595764147721649881473668044551640246189536110536771417875099550386056709 + 9.72284960682243680026375111456898276670487802394251567094048415317388514091682153893420586317012017585660383113517390152e-136j)	(-0.0000000000000000000000000798568927760792803561898725159110335647896883162032787082258190065532987938825010446832420128879900236035283074257118968 + 3.31002496146709278005358185390060947617856216078575063110502824956897561571317403422959677132152183082198635657024448134e-132j)	(-0.0000000000000000000000000392434434600864132953021555522101721974141694388558325973407960591247873597692808763471448395605054576902349354138396879 - 7.82731497880822600613614890103341320034863829831221041736705180411811202971212790238433659746389547431820794835409198089e-136j)	(-0.0000000000000000000000000318535565746398046299385482223141936083887118128022262842755078911447555171394593283678989037923247748280729176425723252 + 1.56755470092544115978620474543652782867193405321687766419638322784370559817458626373725729814792811360215489572116697445e-131j)	(-0.000000000000000000607592440902571470537244234892690793571695076727728632198794588470250335730024953507614889426098511563640054466030958909 + 4.27677776857402235119677943464933177129958828658972393955786016542742674778946755105065910457426683671116983159342874821e-133j)	(0.0000000000000000000000000318535714007986440161256931198484388989234484258979629848995195315690757246344867674572035165714907034506449967072877418 - 1.56752383459613589474456835201184412101087926486096921701702537172012254313259001278692753773697532899924194891236785322e-131j)	(0.000000000000000000205877059579078646252391391377045336580724704424566609716320085809154410098258382704996734910890380304590722310672729527 - 1.44865173755861908621817729225688156968296153458540138567471460430670226379502874565250066318401128498831968572149635074e-133j)	(0.000000000000000000401715381657479253532230980152468364185335950116346792974921794377886087123690989767108555808712889467661234025895329464 - 0.0000000000000000000000000000150115880133186478982111794095346320545849562614422087870995005614629645531570663228966048485601183736326917581008903602j)	(0.0000000000000000000000000316376217236177962290110155458225917650191213878519025645821829636346935420607176073074211647433972498941849307966601798 - 0.000000000000000000000000000000000618259884290528017648636208897157295653057347750839562084874341161009307174426962881648282092476673949073528906320732287j)
100000.0	(-0.00000000000000000000000000000911025126976893060209043032281448694958303535057933755831235650925210013722524346437139546450710170702197861432791828861 + 2.67512198344344746147646136475605233103499871332173022278212268493867975474667848672644532425197081630892408017443850185e-131j)	(0.0000000000000000000000000105029458513592848741633268767360637987046008996847262044601600317443917760543252868581716229797354064228693728193372495 - 9.82732647961297714439943710287871458595169171967089504849769436411497650063368811238987044386313499358179196915535947948e-135j)	(-0.0000000000000000000000000174975432878085759285571018075404387552688758958153771310330135964266039243841314267766420693767095489158909036541193302 - 3.23874824600311141679943221708285613207301813053805863572896778379901160137148346505143177918946270982159698934005628484e-131j)	(-0.00000000000000000000000000848490469834682925226144905960563452868041840020940648088940224495105309992942392883276237442787501444357471736341827637 + 7.93464086797844146377546314353219327797544060776102479693424699531172261497518996676292452542807762282541037853309011543e-135j)	(-0.00000000000000000000000000699761952113166850697476651774133241588153944308158324399064976176272893260249817325213474993560347006844155435585882935 - 1.53382097732890017522698206206028063747288763712851130473474545102071310171146824293211005731037139701832471497742142452e-130j)	(-0.00000000000000000324935100570760371817149035852364217111704888297863459306887846386540193322578417971353591079261136950201322875600135251 + 1.16111066490336324969897875347967178909632724441650051226067996784608956195129459272232659220640924958712006124512876508e-133j)	(0.00000000000000000000000000699761967006851049316836127477790709032462606433592960337690410178062195582647063379116974252704783391033674730747718816 + 1.53379077515752332151084695528862433856545553835546109765802025604562847489782108338641839797035220450775151499105395068e-130j)	(0.00000000000000000109864887642612232708874803985947400051011502165733834262175567553066509522433515753379814116726977755330629115990066839 - 3.64634240854837788483804148234611027007254566474513450748540803941419868257372969213371480279453551855480006682298952973e-134j)	(0.00000000000000000215070212928651567523303679440563375602301589210943534146214135328523531195575544725547499469925135157251985621206343834 - 0.000000000000000000000000000323411533660701354269148883148890311140276077885088425083948481180681404489197007121393317115188307625297678700228919393j)	(0.00000000000000000000000000699277756266730069074579323251964352434897808404082725563640130704500783702331838424171985800130321631234658907490195648 - 0.000000000000000000000000000000000618260803779447549562068044289916453517102636206544416148544757376160923090140339402781156308757780450441289069230384141j)
