m6	Gninj	Wninj
0.1	(0.0000000000000000000000011753468503174339763232812132823979103930438223625591522239644753839886783297211688584815714592923528166383918928061727 - 0.00000000000000000000000070546990301417435818862395226603628834287254258790503135584494642422485263850507571506505118288353915455379739316221078j)	(-0.0000000000000000000000000998563612025656600807202629540139328355585764081005487536260983871627071533214713604625501444522421530863020201496361033 + 0.00000000000000000000000163987029581215077233275401896048330315093482903693525211772913505149636022181798340499661693379283318290968770420440435j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(0.00000000000000000000000170522690722072829358159183539473562947980976658657660438383159218731173266428469000391669008129360264930360863382960141 - 0.0000000000000000000000010235164883295025134074522650846624112343324138395409756652225572120045011177264567642122189712671967719692844948341021j)	(-0.000000000000000000000000144874687519260635409703455016880550625734302257291714578213305743447692818135503367618448194827675204411185208011043618 + 0.00000000000000000000000237916999952833448379056161623287782083900751506062453451859862880258477119827945340742809262675141289331120699702502181j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(0.00000000000000000000000247399188006343122886814555334572694068678001208846386061478013987180291339215815508803913861377904429934077515560208483 - 0.0000000000000000000000014849485526152039196869311879247000172655696992514145846496855113803163812566274350584356029710428711701347605385826799j)	(-0.000000000000000000000000210188991811714491735006272390947430416458612952537910983000655824465411924220002929474182880161545847552810487058734513 + 0.00000000000000000000000345176519299325685924430532343309613065977876982700930802055790142319134120964284715317763192505553931838824808812614863j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(0.00000000000000000000000358933742438192597046606807582653968563238588773224679381349885655185601960916340892128737337588497008369196658864188979 - 0.00000000000000000000000215441029686103028006746429629577104070978738349514482713865908460020175994260298201351757038232604293879844016257491564j)	(-0.000000000000000000000000304950149343444679933936699273772744912873371114195393648030907473402725559329268425808132049881892070973834684153000705 + 0.0000000000000000000000050079107767986513760296364694981249716212290682610454427598101571179541671954495830578042341013177336609500329135727364j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(0.00000000000000000000000520751039033527177345103654533738177161034733002746490819445915551097528355974437528306719622903112015964040094807354985 - 0.00000000000000000000000312569329187548761866741211691859272268577768792294634701170843458551224128878502945057772008496353872671510911560109761j)	(-0.000000000000000000000000442436287515884042240803977533260569369446046262590265217305734422135373499369557662157050210184761236672408668399890406 + 0.00000000000000000000000726559205755652759713910411112165625954053250720716114154877243334920502658144554947963608002236127272747306177487885314j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(0.00000000000000000000000755519483099239310361576616021890862366392292087533644769615870137356826864824181049420658418511867944321768238043938984 - 0.00000000000000000000000453488496887501570398042035537696872730422423657760785643187154830433265874459251930229796579737804555741150239699670619j)	(-0.000000000000000000000000641917109315833599408604513875340596089723904459968110872833337084485373188643515492196131114153015544501372776417052241 + 0.0000000000000000000000105410414344357699628602535658883189595694114437091941004291411335461909284918979192095959750361026708871945998348901743j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(0.0000000000000000000000109612602125498566319678560951569663078838905809037395615438394570665041181029766788838900528348383335882044840939740866 - 0.00000000000000000000000657946129431643351567112132699596702589384613287703591969199396663732067651082895871559079019828051029612319559507822667j)	(-0.000000000000000000000000931366160024202047296616956679085594135512823532176605315912654842395802696417679805514318177518465929225020848813013181 + 0.0000000000000000000000152929756519648190298286299641663771660087227330893162874249595934329655410178183696349601518893809565948265251814576312j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(0.0000000000000000000000159028085295853373458358765558750576969979745690295026502552931158197229156703853094643164621925641495343443155921109858 - 0.00000000000000000000000954603725546793433052916666234602739222184654297086414566111159439230038911724695577372683400539152628278524415952778691j)	(-0.00000000000000000000000135141851483722745457612059396943097489894379160557997790866333299794198039574798316671349265776306704606047987269134774 + 0.0000000000000000000000221866627795356928303404159544535450734059341137749803719698751515463599430751410322367202342042140455244492020668280902j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(0.0000000000000000000000230719380998004461778003079837805124350753858394999240414520107606308820652400789715917871482698925167630041295823216606 - 0.0000000000000000000000138507816077192373581518543726798999295467402112291165867504793940956318884563678070592978453683178841672738441879787532j)	(-0.0000000000000000000000019611812809996240913685012951679323548754072799113606704760123535037943189771861487167684562477209102488143206553349364 + 0.0000000000000000000000321865252577167502699347130413353801925123765276697415635215763325120469213544519436814096976778821861323844311654150061j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(0.0000000000000000000000334724781487860365936554506502596337480979883722703354700593853452149898055870435851644702902210757825972139940191973861 - 0.0000000000000000000000200985205635491034973530120604443255299979097554204794367707249305021366854654098784205829146249499288890301786064314036j)	(-0.00000000000000000000000284686967623756556419118254513054945324756687103414294400598723338270887257454580821396469016518032309672078970604230301 + 0.0000000000000000000000466894311854897795677496894932519874559282173708020892745728587321472695408410871915295474561225614540328079740114188588j)
4.13201240011533687355142497933077619017638268318171456231476085676355862974777274254336073067136946165422363295876158346	(0.0000000000000000000000485599541416905160124154686487864890223581952949829349837237229265188000227194344373003383655190594138782608079774171271 - 0.0000000000000000000000291699182170233977692146194423780345233543103811697509400912981106365516543494432847756770222682293829097056317896643368j)	(-0.00000000000000000000000413494711939947481024052914082843124863170984742523883112717049653252719437087369211918017796361461594697936278874641003 + 0.0000000000000000000000677148425892790432784768858708824160767745600588153323321851428179599520677047651790257907915151866073772804126566275346j)
5.99484250318941014811559563053420341792505712982592727891133592796725701829834579759265675256212768861671456310321803177	(0.0000000000000000000000704435571667534412789830403052323967644172011810601117226849761978404394579711638393867631499278591481831566652615891956 - 0.0000000000000000000000423523269747876819937374388757750871196511931213291357968060885351418861262201281989188536354238292215298517208868446483j)	(-0.00000000000000000000000601295448270097841991057119524523604033545359001650381720356895029131041365687655070733108857070071750724059468233051274 + 0.000000000000000000000098170823911955312505067742559041416448261955306534662343892506863870168855527270429717845330799644808856337318260263827j)
8.69749002617783327913479146387332709624003280073782296075665591367558291372894603935108544234132284333572317686378518819	(0.000000000000000000000102176164750928325177485032432552687012451017710727556407823135868307766270278514073683783862414746708863486497123895865 - 0.000000000000000000000061542939567802907451612130562894957295782698829678558891107523362696196413583894768921482582896252895462172846503611541j)	(-0.00000000000000000000000876460420848662109632448229916034365733759075040952369805110013922330019247812426290365627786676373727239237705762182338 + 0.000000000000000000000142209940201379166147698957524219244870172348072351075513566492027071538087591611538233296947062193824259333676555514934j)
12.6185688306602042565689206334196624508024911714658731858465649332180634116211899497219788988697166664969466672360606298	(0.00000000000000000000014816776738287832076436510689128288298124300014160743604496613429583798763364603347764376210551788375305030404011938966 - 0.0000000000000000000000895840180049208028699146533563376857980597858099612804520012026438932655920424092299357892612385232199977428542972328212j)	(-0.0000000000000000000000128330079841646262639457828019595981452018554859531716530806242016761668797583968791608851325690568923640621727611437211 + 0.000000000000000000000205654457242748652270011037531438878093002787717222975830739489360853496686535485527819317478005668785337256418924716429j)
18.3073828029536820179342319923628569781055915557191387497830535616968839393044958367626536597989915192462491854959924239	(0.00000000000000000000021477220458242679555064373776932408503976881748557817547457290755397627198407085922492201857787324830263304978073412757 - 0.000000000000000000000130871873968791385622336447220462054821974324883014442250593749150491526561721287037438343065924853023112224065800230996j)	(-0.0000000000000000000000189378049719779490140507701001167903325324442871745529262228893809598433540888654006914538727266696546708669601243124152 + 0.000000000000000000000296338607228158099940474885489741283882688429909646396374621312498290783315197289925326917700163921958218703193587041777j)
26.5608778294668627766323355407359483556132018226376559851531431605004742854432986067497955435344554252309961345358605571	(0.000000000000000000000311145015043588386223092300193984249367190335793508084854653671617031850660671926409715414376933849028756241322872479215 - 0.000000000000000000000192608028251856880837599606386220450630709197371107046341436941831814989815721199603686535302224920538593005118670789177j)	(-0.0000000000000000000000282682184197420599477328985623794775624851807690997140771767062229487279737942896041003531371673854953241536495709794483 + 0.000000000000000000000423790881878228740361639611092179361624557763861075642518732780205634883029496585998652951919905879098432459406257445889j)
38.535285937105294070702149979604145171150825306967036808584949878257488105734519144985119335655181255951150785636696589	(0.000000000000000000000450733987288819305703659929526192876704401213580611440719330782986212550101156829955945869207391065792804337961442947194 - 0.00000000000000000000028769021828351798306761743308373040085211994598759576431112931016388672432184001167972538265456820531940715570059283911j)	(-0.0000000000000000000000426085098285997822960628156719957166189217323091092991247571837717124204274117719983658507225458915627936635943919118063 + 0.000000000000000000000596449763962411880886603114683675726652245424116091755324534727788747787751504640429400088337163747827679901370914385365j)
55.908101825122235893502827688604298694102377288028055241742113811755967334254924284872276933619688524435259406390244338	(0.000000000000000000000655286497047059065395700065825183235519709871607068024337242344502010204873143257038990981198968463506945171554914731171 - 0.000000000000000000000441844370401232795895983298642156106071045420242758074813085162353556639627076128707277028100937868751963519417514590223j)	(-0.0000000000000000000000632089578521918716901963588308306864178015514687228273162077566605473426494570991770164413239531706660739985597310286121 + 0.000000000000000000000811677341048625930304692326053021756085309546244606044023264979153534001510996014309297628307261885870216391107590619592j)
81.1130830789687091321110011535867985365974862957505536386900006308084045347577436316212753590723423233030129119885749938	(0.000000000000000000000971888259986854126167596714903816189934027584087279119549523679172057637979584887086194554621442078929472115177499682494 - 0.000000000000000000000709865191327807174632757829866681279522944015346471296976199728930133301552983632712355079074817389731014200336165164033j)	(-0.0000000000000000000000828006287568921223159199680833397190675089610520048959046394404488828607868752774151000948365512176325445335336479610521 + 0.0000000000000000000010321788028098309240687289227956494709683094170399075243856829360751255566628401834153825642132844650404970073199069619j)
117.681195243499845948464058877008059653696641217054519176860323220747858176186214881733785915075079649235142375790420412	(0.00000000000000000000156228249734603589118071156902892478843736262289910369589242117049406943302021171559005846744470447548794632469916746012 - 0.00000000000000000000117230513327339711140520135641785976449297482889422779378852050181467033547872915339209590071423676380263768382129391269j)	(-0.0000000000000000000000634106780167066307549697393146116776223314986539894143156226744186962191742667934079909942142573205877970777788180854577 + 0.00000000000000000000122547783656199381168208720841588010673421191945416847061374350892757784293553514467340283372755735006751999002339957049j)
170.735264747069067833967426989296392337914150928097735923022229658816762657110136803249980250796450997289985107431184164	(0.0000000000000000000025701516223078793019612038271948081656609923892368772781565199486258260064267868590728334055159471321963520453977668778 + 0.000000000000000000000644006661522534089200654410558268269023851305012059632016857987081501875951852908344838312058641245961202424598520606108j)	(-0.0000000000000000000000320420721861538806056895928563426363981399482758486519784581858455707101199788969785485968963709661560922504925191498421 - 0.00000000000000000000100455676409628065911673267645092609451711010953611646265023202449032584869520884291331624130973554694237013176352211351j)
247.707635599171086724505427753637458774064682261636912771452255462819107532834486484454508904370373810628885908246942079	(0.00000000000000000000397712978139066070480132024154869021668938529627133362470154087717664370906491167422293440237130670965239304899619721888 + 0.00000000000000000000103401165311440882216655652538292864699633805223263464153460486411172207038926026881677511384744560711443885225220177748j)	(-0.0000000000000000000000301385938293782467327460262738947398148958844651604839535084682425055854708299423978884900717194254408231787002539293496 - 0.00000000000000000000126755617447990260328747059938734163998127497813496495802820832475910345457316320051932192918548548966691159334894365996j)
359.381366380462730218816722903842263650386450278684975953189664143890373227099950360673415840345486857525772862216664145	(0.00000000000000000000611157392360088881615571941180005150973437719659536845261524333173335370676051553564902192531445124189857042114439645538 - 0.0000000000000000000000892352542489781591643647238218873879084430057796751615716679144296725034253473704554820169815450136280274817903871358925j)	(-0.0000000000000000000000266080297104881117148677652257080267324142623733775863237314346612068805421260036100609518780334104414052166897098297418 + 0.000000000000000000000112061905301600210238200117693101950915155652733856265172527331810997149494170559744592588831144561831932900604677228737j)
521.400828799968504522973700530306284769725488843893411579320356041861841973129626993723877817469858618016202601898606214	(0.00000000000000000000942103580274705745206134729536002042888577916534596373629538145672500952986909017707361376507607356385668305977211173308 + 1.63513647821282537481593459634098515251818366458922121174417987259805213246364115948771400935191075404506461327975613213e-142j)	(-0.000000000000000000000019889681267281516482671857802914793705132913416178888797714257530707451928891855218444443238779186826088124127463490922 + 4.56464507677698823188822313880239783595395707310720808208938538740753983347666673801490785728941724623176807703961268552e-141j)
756.463327554628870191630700084242361509882311077210629360373016552662124545089903810394984999141452130628209928531586408	(0.0000000000000000000144889315027781054922578746147705073824785455319731721639056909775011285020627606671660038263143493001676170460680580971 - 1.91123107484657007065902172181193219347847184494935595074893005707556807907567183102254908128085564295093295172976333749e-142j)	(-0.0000000000000000000000140054814432331487123111477465357148814607265766960718515498940407707177448036310279965793822558576018805094577206720543 - 9.81686352933868644789453136317100982149625876531475275015156748722297618700375797929155088827640712494346502276344867218e-141j)
1097.4987654930561098977530741317955114708037275286893288644589980401398938530915242988500409531203255124767234080828746	(0.0000000000000000000222248751096004292835993271610078863146578793477712134507517499669497996874507862228222421640120126312373209962359901372 + 4.09124048590809770206516732175277373948777533889418924665656838144177286174462416166707065500522529848104266075819991977e-143j)	(-0.00000000000000000000000937565325361266962290700732994529354503809937200295468301218442366941286391529269262744831509821905132466491761140632581 + 1.26211514644560041638111502896870536724201574167067878315497927342273750348321429712200274587870820296177399492484062382e-141j)
