m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(-0.000000000000000152483504799616798334048956595641885478682968259202130931837496883815626944651034112717333522318149711154856438241591932 + 0.0j)	(0.0000000000000000000555364276270157832603753778952462951111985042841662032328070391941230516519088944599779968457233661623156210002571484382 + 0.0j)	(0.000000000000000184611417923881104451798956714305333400593338170322888935011624313042625260290557191315656144679808820640075883170644037 + 0.0j)	(-0.0000000000000000000446369756294266700584593904405189000196023847598502353329396891993420195029456565941094255473212726946436571178358429295 + 0.0j)	(0.000000000000000877392127258287904418173337378264841630634428708859045529176281048578300354476139011689956921439736320867300006043555071 + 0.0j)	(-0.00000000000000000000159975470249684376835880082248485804338801574475681620216354722000562733110560629333815942702946969055786677777412691039 + 0.0j)	(-0.000000000000000877374911854512067306580761671833231978108732998135165421462488119728324590641897474218608186771164901170365144513925786 + 0.0j)	(-0.000000000000000000000000894612008536238576399479333711685751415994025440530719441389785404637693824741135364427179979902231768118995411365956628 + 0.0j)	(-0.00000000000000000000000000000170366002768131079477920620070837603638118585478949641026543431056579451858033560955048251925294301858208149004535754306 + 0.00000000000000000000000000000102257452432970260474659294473229116309887300197346304037183678951540678806111473854013763451337093703170325607216148128j)	(0.000000000000000000000000000000144741763322560864783715702195491857402251020015657363915607641153269457511765014888919260594445124482580823091090238346 - 0.00000000000000000000000000000237698482699808802546427584841816712503177715906330837573623637615282195573202091643814757531723330076164125335052216789j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(-0.000000000000000105100738775014430863496821745932612617674257838607991399074370559856034664257771687548915941898418537246268941547674234 + 0.0j)	(0.0000000000000000000380165313076255105181734604808104606313972809748299626514835472284438776551037156819535331675281548826757756971231774456 + 0.0j)	(0.000000000000000127245778087094914732920085853733333863099458067738061782549078827344302807756615166558704241385349105733622023875904813 + 0.0j)	(-0.0000000000000000000304046889031331638823436425366304684432038170581213324690593240395572092993548994417618880685012459084589422737737174347 + 0.0j)	(0.00000000000000060475251667203703285096991144441090663033409680941798060481920457242746139306801628690792817698498836676339579431805189 + 0.0j)	(-0.00000000000000000000289829141918245448251509231863561876102239769437422382994882527501765614989253016151710960678691707812690496756894937261 + 0.0j)	(-0.000000000000000604740650813096957729801655984836670191881245839223254158984484215988403462215680201323445503779263337658781331867466913 + 0.0j)	(0.000000000000000000000576005606687481102956194334658038640880123937149755332419932154683491075240683722137444675687449823885530767927246937545 + 0.0j)	(-0.00000000000000000000000000000170365979455733384537736216106379820909066359492388684407824807517413288632109736420406817168046450951224282782381910195 + 0.00000000000000000000000000000102257305742255428861434413497013899283299178401053399880329129951696560507600097463054283908968201554274720464479797252j)	(0.000000000000000000000000000000144742076203254085305773041444471752206565108440655080040825003211845420277278031878892340050691458037402582074408851593 - 0.00000000000000000000000000000237698383780972830296342617069867954625181164367048671273868822937377989621185845795323408347709288836762758405165384834j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(-0.0000000000000000724415341660901583502009987328194273788107607470214766318090239735773365133876542710085399528240058132159160858099677656 + 0.0j)	(0.0000000000000000000258223842641324077497461153426624438624671275990669605157122110478888180274971741264256570596375097333736188616239377162 + 0.0j)	(0.0000000000000000877059977912680575371975319382294253005930639956357496313460024137929562438907535857341003637710535345844974954143952457 + 0.0j)	(-0.0000000000000000000204318259352290213072890746056191820963641431354494491640390078550285298797934877645163269359833911847219303338027002413 + 0.0j)	(0.00000000000000041683267977966459650486461062463462896063685218364017917637875061119274394247648365154682745570976303623621802910730313 + 0.0j)	(-0.00000000000000000000460287703410273295573792087514151894711764651709604579638225001486227204643733098909991023172330555471296621508289088652 + 0.0j)	(-0.000000000000000416824501177494706362347484030412289569201847217653684615220799174646075716206634587533699800469739082818196253172258248 + 0.0j)	(0.00000000000000000000123361182421977107831853545118277377011822435598337962536107716140036705139308338679033943386839313828011657245497717137 + 0.0j)	(-0.00000000000000000000000000000170365930556079971637195214573514899493624712565627677700558493448306476322096563988276504914476920952469574237200433561 + 0.00000000000000000000000000000102256997064434465987031857421850707416371062906008353767836763048239876634793861250778189387434017221627811470993374231j)	(0.000000000000000000000000000000144742734880388103562821447435508468188796485565196559769598320279294247217039760203918896253310194988561495004594621521 - 0.00000000000000000000000000000237698175778890992694715512831539336275884318478120405668813334644390392380535069910947505961401104220867227582054065882j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(-0.0000000000000000499306633759448234254380736659833105918922899062364080253967866713994326804817819348681620490988950137689729042727014248 + 0.0j)	(0.0000000000000000000172457340574952570754427756630711531654544803472591498452916417218749719636361665829711364057323721081904868583712838434 + 0.0j)	(0.0000000000000000604529495239020083163686546005607659818463303656661814088675022311566008262001801821323785898005495354839019325160037279 + 0.0j)	(-0.0000000000000000000133213456407938288109583294557211088943639717398773413356142857019878742850880139353262949642997127801318364471134742539 + 0.0j)	(0.000000000000000287306928509352357626844904209017702715296651009065614041205724027159497476541683189237477511352491043950099697768332856 + 0.0j)	(-0.00000000000000000000695235718919571589166334447404715458542286337282659349012710630222859102188652050292659937931395600774939620895240141152 + 0.0j)	(-0.00000000000000028730129142363023487907371813054153526995245897280169510553513910498736212795890431499433970030833186201838695949152643 + 0.0j)	(0.00000000000000000000206407266810811409786471631878830104719792464259320479531491688448172483188159242984671626223786030503400040571816693075 + 0.0j)	(-0.0000000000000000000000000000017036582778281306052861211460512724310904321328500582831616287254000506415356687896345349588304626717612345117880996909 + 0.00000000000000000000000000000102256347392322781047969916861588338147355928714880637437417483114224900892877081312095563900650544428422961467901924763j)	(0.000000000000000000000000000000144744121268138503638574108552977595418841466474645763578758775987827567952816736434128137210788307636577928463836064196 - 0.00000000000000000000000000000237697738099433084036087961954597241108246722977405946421507314293870280930588349157485845745540424871904954683363812206j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(-0.0000000000000000344145788798773985547748072849434601755867056930768878835639999016212870345768936777316686654572926176356074471927567298 + 0.0j)	(0.0000000000000000000110851498065386701557117897608214062845785585832722565468304309589260452252975202003179009370773082972172417080069385124 + 0.0j)	(0.0000000000000000416687538822889213577847695787497127070424783069626331151867765065695619779490631399784031553008646149511748059313036413 + 0.0j)	(-0.00000000000000000000807730125582959305548339184967509690010520400838967454847904206748817711529790432641223142952114468245201253955254585605 + 0.0j)	(0.000000000000000198030001649740426859584926833115300425982033065440533933876512230618196187841262092235780054927069568329754386395581966 + 0.0j)	(-0.0000000000000000000102760121595512366162845601213385287653725080201062337625782401773117815076728057554150213355999983955574296969813579138 + 0.0j)	(-0.000000000000000198026116381099637516289323662640642260760131929097026099429184802400319137026452067508757417136540823298187040945632377 + 0.0j)	(0.00000000000000000000318379649500268114286355611112148879906593785246390552353285027824770701310541784468498841980341404823478779802253505562 + 0.0j)	(-0.00000000000000000000000000000170365611685813241737592012356731161802104004893594841703721832363587393500151183944557445292118241999586704657007197243 + 0.00000000000000000000000000000102254979946996495004352082257203590330157697250083695977987083605023929621875856447538234450058976761948212095022958581j)	(0.000000000000000000000000000000144747038903812633980348873993539056794786407343573390717038251808700236019383235460400109219953414108168520704907229525 - 0.00000000000000000000000000000237696816919233667043433343991873730652371475092500736272660260446519237571982387026177200173326731216499141590578959872j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(-0.0000000000000000237196329265536204571217837301239488197503271724683896796583207544637347093978651718362137504106566005441959866594873665 + 0.0j)	(0.00000000000000000000647779702101327695484756450330083654386223057344348760527153573595092300151794541742786625089148578818483045464027961615 + 0.0j)	(0.0000000000000000287219328098179061885403675047283005051050436170654812875483722482561694843047562168988947032868603105114166304514940994 + 0.0j)	(-0.00000000000000000000396550065415598794499091972007394442441608007029592337857489093497197610484436895063820024109883220538444949324339295873 + 0.0j)	(0.000000000000000136495095285098120560866160381869214706781667890041035082819879635432977463553806558598742690246064336269395487779727255 + 0.0j)	(-0.0000000000000000000150398490184723329531169179250477842372791671973418992979639831691155043347777192175665366273206426489723357231111975643 + 0.0j)	(-0.0000000000000001364924175460529694130080018595122892682976977931651188378041359203915344487365845654416216493417853348145583841133591 + 0.0j)	(0.00000000000000000000474983826389384513556555902706087586311292741253414281073529558301927996354026262397178667057342833999053465711754479514 + 0.0j)	(-0.00000000000000000000000000000170365157417727945294301596817305055015529331294036612827858857747046575504815874279982315634471028496940796004289382833 + 0.00000000000000000000000000000102252101674044212682931482956339876524620685798029205969889753538685541918000985771972193641653240044460564093910237727j)	(0.000000000000000000000000000000144753177664630876606973065089035848835588981557467342878450901089044916637734755860898159674219973954190591269473166729 - 0.00000000000000000000000000000237694877957136021884311831052329312144405110239474845442538294906806213197977688439942868772858897112355700387545517851j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(-0.000000000000000016347571645438158265635702527125118708246274141390879503994956968416872879113094090034672109671357823756078175867501496 + 0.0j)	(0.00000000000000000000277879249441818299300661995904403348142772991253693993730083903911460766820352992862063967640221486373827808000868727452 + 0.0j)	(0.0000000000000000197987656839074610622272426702100456323746569108029482187038948770758096728691518302394602249663443577001596496448121624 + 0.0j)	(-0.000000000000000000000411150421261865802219563504971539236063094222714513902505130550916018369682139373889746272159840445892271191505046767752 + 0.0j)	(0.0000000000000000940817845506206811621935050750655989383533292964325147917044382891705777240595637369457865017975937658413669007213906352 + 0.0j)	(-0.0000000000000000000219123333080623355340399899877495706205195451154939132675206748373816103309934040961417910888304515187830533305614347825 + 0.0j)	(-0.0000000000000000940799392160720614701844875169899266406041207627837304404202014118617774846108181038333083471471247916662360228851067067 + 0.0j)	(0.00000000000000000000698211825934268234646742636338203894054425709192347922292658388547630719140057017612439922378290054895371943292512503531 + 0.0j)	(-0.00000000000000000000000000000170364203270868912175933907718675808186358819263702935642126872919424104126399257765387623514925495013970548863779311686 + 0.00000000000000000000000000000102246043376095352131942370593715747439918267767868863432666548429816099063767294961359969629278162246152183717443346152j)	(0.000000000000000000000000000000144766088523757956120687430247555945817148417035450313105834113201332011005826017071129184957536022834578887090264049162 - 0.00000000000000000000000000000237690796517123825653522705258762481164802025640571353308891751661041099177798754169864513764656858142811439843388253454j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(-0.000000000000000011265645749764316498583852689583218166080572965968891150521480566852020448123873029287579983216307755253552284350950092 + 0.0j)	(-0.00000000000000000000052851301140425463019566400113003138810432782816617474956075207677773618647482551653264640146789379369910801635925530979 + 0.0j)	(0.000000000000000013649204755514472908972245253608371767533898078953337259039576934960909426555475423542364397242874797917574518205123347 + 0.0j)	(0.00000000000000000000308033254994881183365806405591234332314531231556036814806343434219359949749520580091217157516854954944054348356910922632 + 0.0j)	(0.0000000000000000648483878648624431233089861117671258906814355935921965545916230453049911095873968349556483383782773908565618132612132935 + 0.0j)	(-0.0000000000000000000318592526828014716871234912975627985225717379048971551711291518708371980708023980345437604819777431716427045124942389073 + 0.0j)	(-0.0000000000000000648471164201240871675931104736840156288146630304777781314510403264624469768606465107018175417900766522452869952250232303 + 0.0j)	(0.0000000000000000000101948168148570199323714336946709458804322891791877618463191082575141571192274074990558319942863617443982924223702123905 + 0.0j)	(-0.00000000000000000000000000000170362202607610376333791119592551478680623522801271670081744504446836694345864356790600230443168756086860959597361336443 + 0.00000000000000000000000000000102233292007265612006834835026103115757666557129348545051433013707071466768457220809802721315752105173471814263763473673j)	(0.000000000000000000000000000000144793221694063977338037206330235466873850766932847374021269615056214120973007017136933337800696188525321449719748670381 - 0.00000000000000000000000000000237682204806961985014813494097590540135594106803338444582526771467468731171383930901145392034952186149156089810365966991j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(-0.00000000000000000776193551681746156810556491209879042583445383456547746319950137997072303025402554324888193881465123522930797598775214859 + 0.0j)	(-0.00000000000000000000390323733154263563880741570152412261514248039836146275015142476025030513778785233772877539598903198298020732613520679153 + 0.0j)	(0.0000000000000000094117547651129111690632201796568889151078797572458678088804735490913024121161352511088248680820639734896234740872239033 + 0.0j)	(0.00000000000000000000698908949089161265998002029280031717283337875319020263212209744525231092881529969387628359145789404404214300877404259377 + 0.0j)	(0.0000000000000000446995954209050681587992204446793128215657786005108747005667906033312301788083566238793529485664851275921893479255385815 + 0.0j)	(-0.0000000000000000000462822724567083686453559705962493723259030865372826114431479017592705579171823559170951418558150325895756808724967757187 + 0.0j)	(-0.0000000000000000446987197445689095649697646670323014501290820306758398310145521660552674850212949100314527120027421963825990415720804452 + 0.0j)	(0.0000000000000000000148419460748809837416243263490249460558954563792911426931486562945117223965374876115541495216592890059621494384902220185 + 0.0j)	(-0.00000000000000000000000000000170358021480982638545937920801294821441359412160080611495348379718379282234495817792282007161063394223683253558479985051 + 0.00000000000000000000000000000102206454946028465448428258019128205011888564331223426738480749392887639899332055372017361397085888070054050490817890583j)	(0.000000000000000000000000000000144850163284061365512384469376773750102847164499192342554856513010901049360764529202536382809962475870891953620615929833 - 0.00000000000000000000000000000237664116987196395796640737225824419722555352446953243592283361840326089858883651000278910690423226578639188913666916108j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(-0.00000000000000000534562517648304239442705105187009487285164688729959133296413059532574052388182273440820643953260688683937040280628543725 + 0.0j)	(-0.00000000000000000000780687545787602394443654438626246225655690204467189084809540599179095487752927197601322361357396131529114277989881900411 + 0.0j)	(0.00000000000000000649278287919220505350337783425171920565882240895904445697927563933280449053228001201501873391709232484077990220671321045 + 0.0j)	(0.0000000000000000000118390253725784633052416364492991342324607629568425435046824879537636114441763839093904223980526520503661737902746794194 + 0.0j)	(0.0000000000000000308127537058702566341943870532320544729492621841130596784815497297730028799744431303194038421879192776651709897097256638 + 0.0j)	(-0.0000000000000000000672238465367983100583231786828724983345906913138068706033912361670686326179646324762900130977875607645547787121309897153 + 0.0j)	(-0.0000000000000000308121511122275922022831820923543461899644360426489445025809819225670483801038836905045523070294680972384134750564084709 + 0.0j)	(0.0000000000000000000215850112460966150896613279205529567819489917041083732913364417363002033786488390796433012286887544731740670048980013466 + 0.0j)	(-0.00000000000000000000000000000170349338558843440357812791588033337832305246348942058694945483206770893243357795121063541682958805960045729476467505259 + 0.00000000000000000000000000000102149980301965409800976725724615719770640578705982284700481064301869208628174067120733028558861383324825036786158968412j)	(0.000000000000000000000000000000144969346646521687753543100850612032183090876372155506366186436566187704042916674464892264667404711317018880048119635825 - 0.00000000000000000000000000000237626030067063412256087945015034944844990874901315061829039657851674089089134371696693144928070266052826594886266484685j)
