m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(0.000000000000000000000297104466129990897812273239489621616164591269226338093521019120505751218659184231107670310338807837289159884555328768544 + 0.0j)	(-0.000000000000000000000344789285813534377412492968767249352157500075855469820729955909131544348693379887168753973568946096402150992250584408336 + 0.0j)	(0.000000000000000000000379485015511960850987925887987320583936139351261196645197523168301368591760921808695587579981792336591418968787315469658 + 0.0j)	(0.000000000000000000000475153298134509384831895754541280205141566803074037240897836097557087335931867869890071742220367343863365561031535708142 + 0.0j)	(0.000000000000000000000206634657987929847025347254931851985287489250429204611912556601367487096695196411077527682455336460153249068134813037055 + 0.0j)	(-0.00000000000000000000235780784011222774190610981096317099030663836919388568411413129331565299805955860259377054679605802616771525019697910823 + 0.0j)	(-0.000000000000000000000206701760430704152617543105311713414371660862388932689011204540164010566185127287440605004017168160481940933050019209562 + 0.0j)	(0.000000000000000000000757143652543352005130033281774088350904813382385236028435604588177828885617173213961699319738175105625214197270063912362 + 0.0j)	(0.00000000000000000000162545032037676021037090672784474048547235264259808642628364080445039337509682130845763459346958589041014950929480980523 - 0.000000000000000000000975632828868032924573490717999689577908753960916598281296442939504886650252919256168039749754043022133660827693718181076j)	(-0.00000000000000000000013809698102721204512161539689200654416878699887559281546119437738862833847853888692697466961628164435859745386454324969 + 0.0000000000000000000022678648837599372920675174601272103058757391366211366832940152540082496517670172383031753127854667226728018512591139521j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(0.000000000000000000000431036554309421453171171949578344522232878503498638688567695092857715370433744810139451414809781821979602429652586081187 + 0.0j)	(-0.000000000000000000000500223880038531551061541408677226981293853046875720578004847043785998606560260695499454322448502046860957142662836438052 + 0.0j)	(0.00000000000000000000055034639190608559610479818290312039890942078198642509412970410096571604045483864554432618594692464940017130294258767661 + 0.0j)	(0.000000000000000000000689351668780452080651896944634219003247736429737025740676954419723181437022729587773749911018708436083888640010857874092 + 0.0j)	(0.000000000000000000000299785625200632734492358221777603801102923087713001544128739411717445441926567863865731175158128580399470832057069761549 + 0.0j)	(-0.00000000000000000000342078804170421099789325226311376255465178706380077936115802352820656872318745858238379966292749072297723967259896920257 + 0.0j)	(-0.000000000000000000000299882974058795624708941894500527207134027858646684907846851089884598497193547666515552714538757613513207468008652749473 + 0.0j)	(0.00000000000000000000109849197804415520046604004695689231612076470988361571068386883074407775109313771501501266917142751486307531367144453477 + 0.0j)	(0.00000000000000000000235824996453983307354528502295284007855077119356499825732026868531504176538561791051391454607505886819355769799681614052 - 0.00000000000000000000141547667813661141681371542993380634360410341505633366442998872346560301151277697404655803871041350183420844420211454543j)	(-0.000000000000000000000200355298146896880385729222589504836050898757119907138773473197188991527440138023608705050823587771770228079785643546223 + 0.00000000000000000000329028252911735283737219110650108664535248759779620588236570997626728182276925806271128122116974887910848871780525890188j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(0.000000000000000000000625327589419225643844153859022601217971048474306004136879864767818696130542555541015393889823365370704048615495713623841 + 0.0j)	(-0.000000000000000000000725721027943431069659243950324953215908663725878646336815619319285035488938688320339946304120674329862238430063886227498 + 0.0j)	(0.00000000000000000000079813147357134930047485203973791877887032314174609958528212661045510818001820245691605256251470891627706156720166261773 + 0.0j)	(0.00000000000000000000100009009809222401853982329514245118197472725074091909657568788040932362274186136844401521353121883000338726522729394367 + 0.0j)	(0.000000000000000000000434920867994694402963603001087145413783487602085652350077292234770324383502295041889235655595668540581419816536512087285 + 0.0j)	(-0.00000000000000000000496301368806326237877626705633478158102618502993024792734483074393852440106573044270021316218311127160662171661410494228 + 0.0j)	(-0.000000000000000000000435062089534595319916067120488073384815455865631466081984564966613589226761433193052202575693168259308678607720677369047 + 0.0j)	(0.00000000000000000000159374141271050984924038329047504258285892651662340298389235681086563910367676800659566780283362079509108364144536501767 + 0.0j)	(0.00000000000000000000342141649020638789630201527124258961830868918000262598950105798775701880979235966425872571374209634799717665678219304488 - 0.000000000000000000002053615802843630886448391292452953417256604324770949600759267591356737159623562338362353815717418280678912623483374373j)	(-0.00000000000000000000029068191576750484565566115825248684411031200610980805181781082745611226883824439957160439014713837668777432551240841034 + 0.00000000000000000000477363318840984898948838138719511301035974017903024473383569711415295166376995738686145575310941473036180911295907806509j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(0.000000000000000000000907149522084066128353904949109031812308703626066675642685663619454850469010870207937591831089887020055421037261073943077 + 0.0j)	(-0.00000000000000000000105284512581021221149251119927075610399339425102952703413159641497682421118162280215664400795502938739637586585959981477 + 0.0j)	(0.0000000000000000000011574615011864217633003694845165577686890563986325809546321038099582503345416568954905684576666873497007501323045378154 + 0.0j)	(0.00000000000000000000145084274215224877691821519288822398246081190432718843233301958543594480895286078941148638388914940209502906096388564051 + 0.0j)	(0.000000000000000000000630948308321422887463502438433298635487172680450211724714400026568534801039322619295730035800127684351198123286575081686 + 0.0j)	(-0.00000000000000000000720058541477463675010517409444189209274969698726811307313689407302437866034357209951375344040763291323241258975520519109 + 0.0j)	(-0.000000000000000000000631153154469424591275199766864088005581622006009408165726226868802855955446345830801913866708626226392264512494232524267 + 0.0j)	(0.00000000000000000000231229602399343571035089480294367563346118579089920220873674374362551804212948179153608471909219806263738875214957908054 + 0.0j)	(0.00000000000000000000496388820626504781761208256756198458431759785677392545127729912748212682780140468530298570566493197604057601053974834921 - 0.00000000000000000000297944949448315332589253250144819897224855137900725688911835909703989573972894363623694168647500401416768732125608547838j)	(-0.000000000000000000000421731774954121872071807508236837474460448660193146835106950888539978786471442043795869159911763176474737805285138438861 + 0.0000000000000000000069257140378010881703277757971767753195600340703693248535557372503294952984608129530871569545912488345073274222176747351j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(0.00000000000000000000131585293068646231849616385228921866804581116460015177732968719470223274913088797295612650209559655650367937448358848183 + 0.0j)	(-0.00000000000000000000152735102815048335911468205550692075130312463200229325928729838773365945674056483043051985312850218478442485197952697387 + 0.0j)	(0.00000000000000000000167852025790781998253858012127177081642337553221040630310315137411606270677190189508221373939254942716310275417378880728 + 0.0j)	(0.00000000000000000000210459518777452718401083235259134560302448761080344026048669794036014082780586219016836081217855341336922523491913861782 + 0.0j)	(0.000000000000000000000915264593479305671109726741639632550932902952609218368548339390604252805168005033904733769317534322021097577223488230711 + 0.0j)	(-0.0000000000000000000104471062463616469818099003659140823683687790078493602331467316342122488663255225646338906497069418761927711441437539478 + 0.0j)	(-0.000000000000000000000915561672616684239573370997655965612844460014319259507849523054933940182572623592552339145188330465864238178546291242394 + 0.0j)	(0.00000000000000000000335488722558284709540158629168437613980942080147404579733853767955075303079660212039191133772905150310444663759310948064 + 0.0j)	(0.00000000000000000000720174788983003642620836881887525883814825927093475221257915264129789914262414105090192685245699133075708483454615339258 - 0.00000000000000000000432268507902414678524145069034313668003705959625085213316485717417357606944593607386776736632222289813246589944759301866j)	(-0.00000000000000000000061186696510944768270395902321564894209956094894574635901450555981711575234955936168959667623157381454463855012672082907 + 0.0000000000000000000100479935649956797217894094994043372320230555284342905718231763816049489868149340068589579777955636086721159449672077832j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(0.00000000000000000000190833209883881810349077040392077708784387873937522932962527727600113982491502915544761902183583571168546140121394269718 + 0.0j)	(-0.00000000000000000000221551056972981053090464164716982582394017437861810662820478968252305198634201441557841596983353483658389300341064360316 + 0.0j)	(0.00000000000000000000243401423458297030589492673446768343476256623088246101624160049815151162170387663398417324140519022917861310530775602251 + 0.0j)	(0.00000000000000000000305248561209594421141337181474634028715164186392681830668114592195694619274391258029724123834608038901915899526944358362 + 0.0j)	(0.00000000000000000000132751969329119233128758924503235301130366209869798694897935882237845832269944222477983775984270644825288624852002726821 + 0.0j)	(-0.0000000000000000000151577775354462480100903986092050316828031286017944009684313611370524499588246729239087140260434016191443449972079578521 + 0.0j)	(-0.00000000000000000000132795037913301995113415691854515973468759127468124149242390983836105965227968463717060005050091293402200645785994172736 + 0.0j)	(0.00000000000000000000486776446780909934817020452059273300250619633645822161452990234511115545382099150428988951904505926396349348524005701058 + 0.0j)	(0.0000000000000000000104484909693139129631794233532852646682603323439158329328719675165194133543299045311066818000098324567699511393441653344 - 0.00000000000000000000627151869044632886866525303093458179889991178496330513975719316403978813668224600871140091383433085057879032232032519229j)	(-0.000000000000000000000887733643666329071542586430702423685811052071267845366296579436236390731222830243452060620947339890316472886054424924252 + 0.0000000000000000000145778215024296259852390972707219920218602609640746583983087506291531032122222747707864752821789333054069248491111494966j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(0.00000000000000000000276659441789925110842341386580045119711341883251972096542415098534590668462007615158584153663394504197769869488546231715 + 0.0j)	(-0.00000000000000000000321316721766759714719394455787475455871201781871280258141192636157119242952758215659911117061626954403383726690471579489 + 0.0j)	(0.00000000000000000000352918275257055694352911065145460463332424466733113364373172758730261718102875585061254848184180791681291865156074527173 + 0.0j)	(0.00000000000000000000442607528691991281886035156394848077313506793346428376359635072473207584437978827519110261369817848414359082509884680518 + 0.0j)	(0.00000000000000000000192497224206603305061545135635188654858933381712667031409745718240193640690410108492464682340735467944687715553170701045 + 0.0j)	(-0.0000000000000000000219936168600253341921243727832038165816867318831313814816595780194044777468742012248118059428638559997313683526954730838 + 0.0j)	(-0.00000000000000000000192559620381536047594152632674798128631566976330437243084416073964208859597818496507340985604760073975156338449832945326 + 0.0j)	(0.00000000000000000000706340021726472838407758762499103518495384543457391982212962646146978802127133401011700782942832405171742857553140802553 + 0.0j)	(0.0000000000000000000151589344086374215696726108720149558439275361514593461547845165454595426304202287779139237125328465873899340590814469295 - 0.00000000000000000000909903043428013454155892730969339216583614077625844683208475255785927153740067257162784859522725642844340380446252427227j)	(-0.00000000000000000000128800884217363880197722100567558582198023047380183619595062464198957198777948970689942676740992083699001193230865803514 + 0.000000000000000000021149627569292360138180731862584286013157951900578092670248535914353416962913629841347309104428019208584383781448292029j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(0.0000000000000000000040081757636374525234270004626069284393955662960258247932771488181584541122680058752778818294259267016877195305135555501 + 0.0j)	(-0.00000000000000000000465853841512272846027797792865677244909936827968068935317567734025577994340786171893734582320844056591307697862227670486 + 0.0j)	(0.00000000000000000000511608472496836096258520834907115335364946051060976366184815970932771743634616961838049123946723584495966856079085600946 + 0.0j)	(0.0000000000000000000064144445964339444365120063711380096537717197285564191752426936035141791082167759840521184029831337451829431585844063729 + 0.0j)	(0.00000000000000000000278997832401902258253977922156765256047618974663329924263301128488858324936962352081824550237651216230097613622553101324 + 0.0j)	(-0.0000000000000000000319152782818285240011303782133310375692291570179133745144282037503582154498801912801650843022131659722724062951712095118 + 0.0j)	(-0.00000000000000000000279088118285412104142074448418022814702085024640868811804618849941398860695051410372386883929098318869678028894102470265 + 0.0j)	(0.0000000000000000000102508413154341354454324170705144931565037252083948345849332284070452657710349414401118512256487272421844991329240411378 + 0.0j)	(0.0000000000000000000219929055793044215864961956177413873696376569380758482108108814835074711108599630206529648749091005501312635617705307902 - 0.0000000000000000000132015341384304213889069371948192558828008732677532518960863707849830563648716190709999271278961332437323233056584664281j)	(-0.00000000000000000000186886117869473883856634068616360063627447237902626608960446261941717308785136194036261901170460325424236526460649387043 + 0.0000000000000000000306835862557742895118199427983871234261702103178861110505526387728657711988063336300680923723326569390422749297812025237j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(0.00000000000000000000579978874427023207592589657530283043651770145053836986937915020270238414832151664381284766968109499471990494113750075409 + 0.0j)	(-0.00000000000000000000674990364025941892781315235519677661793700627344348877522047834036306447512831153332290670043985693646874888698641286063 + 0.0j)	(0.00000000000000000000741369300294497736842486290050980546287376724043243523681174937158952021984485303108644295760918297094390607859818211611 + 0.0j)	(0.00000000000000000000928716359560251721077848595546766510849511847913055217400795101660808161473124496333377635066094356247196218496529997028 + 0.0j)	(0.00000000000000000000404013215381602513571546652196461048975303942987073719888360951938633659383506635477229221541105881041160618312926512006 + 0.0j)	(-0.0000000000000000000463208887285234982726839730163710125900774891880256288278903510286824105342978070332473313616117224684135754930958822618 + 0.0j)	(-0.00000000000000000000404143566255400135571453243733786712458142558176681903746998201887998669276704382510523018498961575187015696421436527159 + 0.0j)	(0.000000000000000000014880561589837839976815362124932231497433872259290246524692857296363499231216802076617594988791528674960949526864315469 + 0.0j)	(0.0000000000000000000319075972735427673732218798599086981518185539353327983726564167374188559904587773170620658149902458862072832594194921712 - 0.0000000000000000000191543838804370727292512839856814754707364791590867660387806955697277508065399033835762563078146834117259334083690165894j)	(-0.00000000000000000000271194833483535052911722083167414674396632888432235797468441385197459855856932241935295875442054238341762252360689384436 + 0.0000000000000000000445138752777559302795350682872616760388473580463749144728245534431970579328007287374228938610123925601439527531913697331j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(0.00000000000000000000837346240966905553358938826629669694886190292382447179222598456870158768872676352518487476180556596078145777859700726242 + 0.0j)	(-0.00000000000000000000976897212341285520986212729348151254278416158615198510878151621628558665505751555315148511479422500739706863981430079052 + 0.0j)	(0.0000000000000000000107353686766088442787146324892508576513983108241382200433568272982668432098794677533873844804920700623274193520878130611 + 0.0j)	(0.0000000000000000000134229987115368848364234698855259551994911582926445241231396577442699582869656079216496653742069353661061471998909187683 + 0.0j)	(0.00000000000000000000584116738677185251691260581534273643104377073481223250084662703069982083797628272843841912959043858553233414105628099778 + 0.0j)	(-0.000000000000000000067250463234667354709187567889233115676685181351113361753751965523208423736466088374021584828919143004591904924899621736 + 0.0j)	(-0.00000000000000000000584304193351014714246769134018573495706199734549545842667082372371773856970676791111020391959066108734011939847785534299 + 0.0j)	(0.0000000000000000000216116274225532697270999634159827450035449798211903707442593350776499883981923499498768671116685514202101949185810269023 + 0.0j)	(0.000000000000000000046291418792829068676474746668648188553244366037514158746990045769118903450182640071188581705319867255188161156163936274 - 0.0000000000000000000277934514502725541224771073257256527860561254844542360419698626718364249559671249737529379513839256445128646690400022283j)	(-0.00000000000000000000393624529016057604250096149516373628524259712374036407288573128412718383323992382954985857190523012620539043326150632014 + 0.0000000000000000000645735996728393427261766385613871905780697827442493085852467864637073505984572162830551965063215753179087362570772971378j)
