m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
100.0	(0.0000000000000000000793347083472932304238837346191164427370738499428775097851924070649967287321098985463648085875856194825386476276395389497 - 7.67771509736687167083760686703094502040075170668538933422093518372120554894926775142821622600909680147190240121433341421e-144j)	(-0.000000000000000000150857101144648401088923271052421445070126921891388002116103453316977103027684601337566276406764756367973710135089131365 - 3.74134673998008519296413258010418916769520249236541726212710024576919830410468143161965887234387771619101595994118442762e-144j)	(0.000000000000000000194311814815510460613049720235703907480138379404130973633497459016321876144411080484893755400891989269912125066961440215 + 1.75132697637803411204912736318744197117280882727516230773761443465963574785157326562553897432251972877078232088411396115e-143j)	(0.000000000000000000169001648814087796442324177362803271209640551008606534171835499576444405021371535586780430900662519977547305742513164606 + 5.41299649201039923487132304196214037447468121291816082899625639820742811557914563781395631408341552089290992444199955987e-144j)	(0.0000000000000000000852912730521875759174565386198181897664302240636553886330513202450519879418747754069361932486904151271407929067185514752 + 0.0j)	(-0.0000000000000000028139628002749600182194352082022589296021900211344611182555436278792014064157800212994390060605824852194684191233472422 + 0.0j)	(-0.0000000000000000000853030015823509302383395119044829727141580760551822219233133120482474495801366845702512075249660263428638729663878747054 + 0.0j)	(0.000000000000000000950603232702384253070289987033489763590783640076526872234291969025619293763000621612896520632747208974380532009445815407 + 0.0j)	(0.00000000000000000169771840845949321027262500759372368804313912921301862249104823846628097668259585417069182793361077292231795444812530265 - 0.00000000000000000124000129821385807495260123434138100839179447558605231870248409228366838183415517901721028945680306016792028755510706276j)	(-0.000000000000000000121877114434271403209006998651716119239091551946399612184364587044157549072543413323522381371792831197864128022783481705 + 0.00000000000000000170727564428975888207123118900959358398395942730102970019071452774646316573145338828916932873427671506557936837628353004j)
101.393945767529198239448673743258537554316223680320403095586848117740035905171401733534167053858112059551477572655230694	(0.0000000000000000000791086440706164520796168556739773418442629795026368117576893307269659324054248112524472486416793388930407314990875858 + 5.23833963405873875822216712468302414707620336221091301305754106416712976010360535130155127998211544347913722147759005802e-144j)	(-0.000000000000000000151245431674537841474578077648315935888306389036343661692421698747823214112572687958462098864832087217590966094345114495 + 2.56890501214850522922659695147586515416159734077764011954806934670635366420124350896396183662156077551523507414929995371e-144j)	(0.000000000000000000195092062139866310267439097540685784114114509698635340970068239571245332926543636144065807182873607018436025725488817135 - 1.20034750988399027487726373218486993919043170138245346909570435469047716551007078290082424097745611240397755301674425699e-143j)	(0.000000000000000000169145042719288426118222735346332897571898738796404771532721669180944055025765771754021350583509616645029293034274798969 - 3.73953831676440052096062905110873448808837172386850193564415083273197092259001152057306278085634876367559013335197694672e-144j)	(0.0000000000000000000855284598030497793107161554718804907753726825006584277565505540653811163129001626262329507615546769673109919496961213735 + 0.0j)	(-0.00000000000000000285879330608174669512240847705913346286721027218198498050681351769915116164957895711492301112290284102000885837706872819 + 0.0j)	(-0.0000000000000000000855401217750020580187684545790637551295959002032423577399600270384078751338533008595602007909910381671369034702977909308 + 0.0j)	(0.000000000000000000966052040277090536945927997596669897470706652984201582094617628832209313375517277074662074216046396552750074364464418384 + 0.0j)	(0.00000000000000000172662274981387494550156884855916896007599539677160589233958804712974441944402139553371227961710812002079802253037117833 - 0.00000000000000000126292579842747938125279618488974706584978754543657233881885775837545220043183776281646413146471524191704942096306814603j)	(-0.000000000000000000121529417962581460675281523965507352324251107984119346230807670796836505211193723756532462455523830307468568444711684968 + 0.00000000000000000172020940611418647981604215765757334182931617538156350090975125631736278306989265797852778587938281446107180718927488397j)
102.807322383086522134705814617847016531149812217401048462300039961606488754401860109146605301088685268735300416256762244	(0.0000000000000000000788729903554469748704711432941115522643210764590486358332290948757273774300112724896690889439099436202723777273622118299 + 1.50940605672794255655377647359474415010346713949620347768373673789525995397816098832817683572410137711333502221775944552e-144j)	(-0.000000000000000000151619560253853486793372352385759974639982610850750425291794178909134833308636457811573541022708127120394959200139256605 + 6.92154033473991996581526222309655807796706812293462857969068427021977675965568857335081528879013472073214969248641593396e-145j)	(0.000000000000000000195855861709627410470743656700278807971919624765340294692526457756282814980859032330952001500947804064338385878260684466 - 3.35140994952375919098527175641900399459523847640717903969440633728891430617844994887183265475132444062296135389524505882e-144j)	(0.000000000000000000169271644011335656426347435842393440638905563780034496403008355424329759748356566278029411253577434510718270800253675796 - 1.00573937030189678255429487940632561297837766389866986557749674321175736593106354584088377606128596657620622161270211521e-144j)	(0.0000000000000000000857586011736141492891113971581207043794443842663791410180937124285500659585348029899919894672961254375570867458496809057 + 0.0j)	(-0.00000000000000000290436541918457601619342131050322765678686133324091666023882934741930532082752387780664226661557980623376395026348640784 + 0.0j)	(-0.0000000000000000000857701955549007417713623441980758229092186043389182554270457199301769572362771782096910138221595999275449267742702622401 + 0.0j)	(0.000000000000000000981758807463800383909502341976565315303305773534648301624546652874209437021042423199065079038194885223523550914014358748 + 0.0j)	(0.00000000000000000175630760457060030219460508063383262058252283007975442558195572439531676044217706776075150037360265577990990525041109367 - 0.00000000000000000128623751102151803584842898875553488047210794515619111988867980061694357684009730771305997202992699044802405608820025296j)	(-0.000000000000000000121078929506622153991553759215286565562733071233795608494090564131850303258073240810427905423626675100676431772729646865 + 0.0000000000000000017332633321877991840871261204039429348162503283100599061270818615120451199760197199072305476847158942625088449572896174j)
104.240400702155654774025680529278637258147351835424773002036819000845599326037820311345896728609571349778187060620798083	(0.0000000000000000000786278659123823874234569465472617274756485625308675253047437694661546178291744892649066956126028598823417057263147409098 - 3.13967989618830724427036506414438951006236711152312811817736499384052881787498014681148776510103219824321466077336485795e-144j)	(-0.000000000000000000151979385805415396507743983403993118719988831920626699406808551122565136919092046024039168473142658846677978650358046842 - 1.86583003166008597985411208232194723180572584819328216997245882374434792616527718130370050480588076425417594892541928369e-144j)	(0.000000000000000000196602972874129243623377266583703954574622450772583209706464582032631766320564374331122980259924573186338695912880212912 + 7.98045873696428990226003272257032042587222906770655266389019541112799113360182822097753602134865574440436418610620605093e-144j)	(0.000000000000000000169381457744950198392618575024545968632354669791288303917168525338619418729914551173353874572129362076158311283367055883 + 2.79832744703803631921907765352449689428690889515737047877177031050809499870603601215988068246589037358342069302293849971e-144j)	(0.0000000000000000000859816375620808843810257508393119366912288358487791241358307664484379521455609585385654765702929198956698153404932992267 + 0.0j)	(-0.00000000000000000295069144448614823923551214838058774976885061663153574804074945085006854655319962363154498902977885000369042797778373755 + 0.0j)	(-0.0000000000000000000859931633502632347707561017683227257493646738898648765883184895956234231298496357267711994452363832707208720584286428908 + 0.0j)	(0.000000000000000000997727777637816145839313023507358032350440467294780279726548250091008250851561923480239729195060531727034342232769150002 + 0.0j)	(0.0000000000000000017868083317801829900517096934506678973523834717060652769768703853452431831959228924850337287159455458567696168083560367 - 0.00000000000000000130992308515468570591866640900312081356765502457674379958076821520219812781836525641865407136945516606906360563067373938j)	(-0.000000000000000000120525560045794323834440487107372980941354688588129032854887154750829744754153548689403390798040107282548695697665332883 + 0.00000000000000000174647991953014900262886508370224881245966337157343486405801876555668456468625796666702556770471460724621073166939974925j)
105.693455355798830166809395586430583989156854235949065917720406648706484442504640629006160424549607431905225327105429108	(0.0000000000000000000783733941062216322123553116016611872978887092782657408234195136067089964973690742930552656375163613800092950702145436037 - 6.55944077802903321162909349375705453207864332502739794248155676069963790418193831198754240915534628399567290155864356597e-145j)	(-0.000000000000000000152324813532771389804427814690270680466995554732243506541140526999405691104042913594872481504871350101670998573336187786 - 5.60389222896223739262671376361279191832407462449879764210062037596393056201507938243756038454673736942280617172859681727e-145j)	(0.000000000000000000197333161700843345448707757294206831657038258565325752469070819061661445548758453371134936420082012250302938123850611425 + 2.07343787577155257521207722151363143285041704918897960929162380152689596938831530085910842250801034414599306968848075036e-144j)	(0.000000000000000000169474496336151876768255991126081550663275249438546339684092253975054641087675966654237924039344379969620350741101196151 + 8.69947620285119540891903198783682630209371962971190826921374483272243681943149451077987977237432359733244557371601919186e-145j)	(0.0000000000000000000861975119460806339754291299204605105926274464702820109954124587279599879010024050452267585667392532371047729894197633857 + 0.0j)	(-0.00000000000000000299778388271424724691023601410955640258325922345713388495046816604043035834622829805264511269287384664665733965397154339 + 0.0j)	(-0.0000000000000000000862089681689915060848619526826488362473666432633525825835523209049287351387724235083980572489922413148338416124925249928 + 0.0j)	(0.0000000000000000010139632603498976872886725286581894948024747908585917063495141005495901157600048570659829770531415493706731108683763894 + 0.0j)	(0.00000000000000000181816169443563508984858439673434287447556687847135805913891841721817173404360307280316823662503839344302228553612147944 - 0.00000000000000000133396487613368115260340035577312391915638447463340915747058233159573067622403494317318462807264910749048428567694570042j)	(-0.000000000000000000119870434702068556064812195179619573256259960729491151402986882171803178083143916309189627082784765188683699487722179752 + 0.0000000000000000017599096612381633891313343209141967137386374055584481480498203299949654697082191263017990475319271197113341382750937777j)
107.166764803286350653910511571315427878405849203900579427336317258117139049102468551335788816346492830899289385319645615	(0.0000000000000000000781097028221384590423322069727624213494818225020432951641997387517486360798346750369010389192726956646470660332095114945 + 5.51460409698311911143836766486952550395183513556282950937980468204272180175886679393137746447655299584902391969311374366e-145j)	(-0.000000000000000000152655754972933781774132030506160089589230808337503050491391122125897224434376459094282328179475907190455192322478235386 + 1.09221347100911867571209263271651077714427214372762458286901893828511262081063159901903476396923947428004095159404938506e-145j)	(0.000000000000000000198046201148119740778286579206346368742319089349806221457462676687947509384458801369805478867622835755217093384159569001 - 8.87185820902581236381875303363919022173323366832970148372957651312747317270066712184886358334409867515938007501110975474e-145j)	(0.000000000000000000169550779511262861748409087411132903252021641901230245364224795978396991542274019923315662251896157164496301862348240128 - 1.329754864629667797381131844583304432611188989632750132459990915743304833112480768397830400021699888782952659589910386e-145j)	(0.0000000000000000000864061699146427968903497130296868162058616786790726673106050358158975328731700905796023516369470771541559032414108987728 + 0.0j)	(-0.00000000000000000304565543337341013012332904228223847405586441960914441090884690349273753138268221229005490173297700538502220602418712968 + 0.0j)	(-0.0000000000000000000864175556306139481083097786412827743959047988665933393927316877681892983227761456328106705285691422836082528083704013057 + 0.0j)	(0.00000000000000000103046963232456713480430943319198796277216461142437896091675346517756824897955520183703858925650722176432004539509781084 + 0.0j)	(0.00000000000000000185040563940331052802922779929024602257524348707738205587896395628978428020976564247198823101423759734544974233707608342 - 0.00000000000000000135834008477101710003349093424830636896795920714464686313911193701911983842674150989995280000647372616205962628648719071j)	(-0.000000000000000000119116150655702044293571520236143898895760383825897100882948250416202534125500150510609693772422441165540277382234397869 + 0.00000000000000000177361240257119110702232723674179755786777189105110258304359325811106241908748938816031619023722926876413511572099693593j)
108.660611385459731248352566284291661672655359317901808345821563119142453185691423294380801998862784645011991301972345711	(0.000000000000000000077836924327294014822709677223233764353316208477997367652681338195997627737542705329457220660065735159915940941802563772 - 5.40121103827724671224153882183015954641703105669566927927734542544995653632185817761661673889724957584234460228147991151e-145j)	(-0.000000000000000000152972128042579582366609265039242446273515646831215442681328927071791596250131045689373899247202757390886845302528232111 - 1.10560039000651450816624336908837522537150939629577834644967389227292066773705044866536606219980111711132184424638995302e-145j)	(0.000000000000000000198741871231079939642238511417293229129624624939721290503832204319450146585941681079140811913114605709127016471080324021 + 8.76701974098053479013746344874588786308438449645705002851458235781008440710958299819149569988925979657374095229748796341e-145j)	(0.000000000000000000169610334248836791786618857506691030608838895931752385532219361559082120701236654590741893913821812179925123463116570721 + 1.35296821418362816918251569349566454624635928930207870246108000657911368851663302809879803169924406016711532281037037913e-145j)	(0.0000000000000000000866075596980275481631617767467949519992127052512337860445925036768362270728847410906012883880269569616676156726510694773 + 0.0j)	(-0.00000000000000000309431899774231940877157972021938181229248042583306408095831320674484221327769335732056380503302022256956897062091238809 + 0.0j)	(-0.00000000000000000008661887399608985179626955141943524102974739927385399860456191424474083082515188879040979884190671567604761549823069592 + 0.0j)	(0.00000000000000000104725133847472361083269463197811603150453945131839342790409131112470267428616350291750450442498834089507723291022527109 + 0.0j)	(0.00000000000000000188357893225553647579444722372979579582593392821094143937702686381311980979932071186685406935587289177723286407555345108 - 0.00000000000000000138301970466506854144520223153819046238011105064878906946580730084069117617707385964401399808740674013790594532274195575j)	(-0.000000000000000000118267075060704141153638289128416612541929154039836341372848875357614270352111934275965979557260240860339512571247372018 + 0.00000000000000000178765896253276534322629122522548187254172035627755592986492843009870141834375453429401274594325549883415482784142176312j)
110.175281378838697268004571171618583794893827072998374301789548393603798983099000358678539681738589330646884655658050483	(0.0000000000000000000775551951281459987787631493438606378846254949170958604483544273841326190720680123596628398833309624729150873187790361047 + 1.55554501539030361909108609030277904284006494326756404885679731254331958615678028613519430797847612967634252568295397733e-145j)	(-0.000000000000000000153273857077683024377098552806725406072836017748230188735591222265815911200209342157805681669484169858800273715878310768 + 3.29144724573562437013532403918541557569571541437366522003629106847009728184080736919433133934962444679381894526100574513e-146j)	(0.000000000000000000199419959180436901680504216749626489273849118277299805017887160170845902899123417260598703475294327268028717321070947311 - 2.5482260233218065078654858704516865315482117939680376580501561558636780624922635479391921777309011806824449253020984812e-145j)	(0.000000000000000000169653194714658440338667118310833765201484624524550408973839937391370202565425828227075920117142072096777211405462995445 - 4.04911858636776671233558580644753595466672285757081448667360967124686088887028246898030557504469208435877437114675904538e-146j)	(0.0000000000000000000868016321953934459059850039963948372466482696494544569641936089608130786047809681337163145676311100768506542681604342447 + 0.0j)	(-0.00000000000000000314378768191770819131662025300595447245487194239968938805610890497989997830399851945782281300530618288370655859109635133 + 0.0j)	(-0.000000000000000000086812874195449542392019092755967805986864430291614790097082073344617266429293468250956514975506617684865114674760936996 + 0.0j)	(0.00000000000000000106431289293284608756117706588799791980857124440388529605792153338598654919285043590609624274240010739732662819481148403 + 0.0j)	(0.00000000000000000191772057578545139678980897536670331800310662181502460908365586849696791683829972731852247665484867018592709807856073801 - 0.00000000000000000140796722552313403248254026409042411481676041733034638333322181233753422170571194466968334505595265582130968251533453821j)	(-0.000000000000000000117329685589041538136015784033102742205027733877024683156105221726488331794034102880491292599898067303776026623896076314 + 0.00000000000000000180213308577804919581919714908572338854068600433512899501097924364358984810986453274539824549936369162528440123545575324j)
111.711065050482404171694302400532746721070466972854540023523868599163664163307694746151915932036463433834633528147587677	(0.000000000000000000077264655823718575887041982475748141953591090566078109391225574268460239940125689410044346599986743171944622420967769185 - 1.82735597900008278545015844701745766288147713671340129869640737610790130020230460865371606147061203267032964010861133655e-145j)	(-0.00000000000000000015356087286656141875902737793398263104632588415075380073946749245082051390354930187770039684902204370056341260462387104 - 3.99771718181199169093789591648282932982905339687199819375000729656467238298369856289980826611541018299105370998540276164e-146j)	(0.000000000000000000200080259594031631312312532813399477606422719029124327316931755305168048727508650236201924401578926338652021763197356349 + 3.02212560628747008634816653226938138071536627752969862218709195251013173647636889605061238529447588925250677144535391099e-145j)	(0.000000000000000000169679402189969868045079509278279624097629362111095471684917115880916698593389090196056827645504778764391986321495537592 + 4.94458846226961318624553685798557848770779985327384529119075080543487497677339160726985280497737126554178134396865961327e-146j)	(0.0000000000000000000869883410002755653922843803497315378094729950814947065334247378336931431990935010960666641602951769188356956050391743572 + 0.0j)	(-0.00000000000000000319407479990557984966426009250589647633428852117162571274243184543110232440632216610787195549482148558664686206107561548 + 0.0j)	(-0.0000000000000000000869995098532451631350521829925277313878290362118329703056745091685043948880431255853763474788649284116634299871041796908 + 0.0j)	(0.00000000000000000108165888009906530206307124209114366969763569676426738899457683238691705378665934892428891881424344443713858525297275562 + 0.0j)	(0.00000000000000000195286890168251777090397856542647282998193005183690498718893575492736018296968031327092631305685505446098100016546153783 - 0.00000000000000000143313702360680344044497861424568397477159666135309439676436078163463624535105039669619493721563081101471002849263097662j)	(-0.000000000000000000116312953554459581174857589483019132659915193671476290281811425838666763595661280098705963769427749879220478345157608591 + 0.00000000000000000181713380947185548858056903086315340148158871122356581883140220187486755954401239250271142941961769463443193411208613987j)
113.268256713615393047241982102102600412040265953847870639615348943102656532119922909523461075638198425767143157027105738	(0.0000000000000000000769654509551032619112618631522523452823909290499967997778567394957457257171779890156508343186795989561644389579957012643 - 5.3652243865376748339128005276250559452222478939608270124371707633421659936203501647087864955256104424979160117918526328e-145j)	(-0.000000000000000000153833112676327413916014537302654886117178973493746110267874133432793116967539152022675786391514962639835850862989255175 - 1.21381589032027576022660585201304924527562704042484242351300877066726400676477533683545579572039324138811150017736538622e-145j)	(0.000000000000000000200722574580889756919283447593668656109418703596014528284360576747570049762395816895442764455843097109780117547633877789 + 8.96100065214590859693669367138092041159927804990435523229421873198845953675034566779105563338077563646393386724090652969e-145j)	(0.00000000000000000016968900499308979367983168589005863656751892209118599908714072973765989957786102093800765700490955554855020270964755454 + 1.50965319047084990950971356320785899920420221825946657372701840398386991733188919927724571540708651414324418912444793228e-145j)	(0.0000000000000000000871676424238522353349130613099353850369261116110240321591038664182912945533363775423241748040208217434181393914660853059 + 0.0j)	(-0.00000000000000000324519387676055510560778360686370600686611200863218426728374271663730796073434438639153306293358042019080119746844501072 + 0.0j)	(-0.0000000000000000000871787373117902215155514153611183938774466971562237139984220527925727095463142587326538789721116774600247177742613448498 + 0.0j)	(0.00000000000000000109929395570638848510532087116487998996137251063386965262767954443141749346400144947419546871607272043097714161716247387 + 0.0j)	(0.00000000000000000198906015898599171734318907897000604933177351234816220646457780456685569882608055159837483677665285371605238949364577651 - 0.0000000000000000014584723466133483605635256315462775231521096967917195044976776292062679559440057590547546969253026372937836804594672249j)	(-0.000000000000000000115228763965965243562118019874134030896060947944709029105786099908103522691296965665067927090804513106709800031530467758 + 0.00000000000000000183277835692545013261867970581651958592574332853525954455281135666777744406989286596874295413871993490365014965503989186j)
