m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(0.0000000000000000000049635030205129088110421394995750136277794470422251536435980233586434474195926735 + 0.0j)	(0.0000000000000000000063441134827380250253948633308940687374346619515297778648759250029354986166961121 + 0.0j)	(-0.0000000000000000000057960735580424845453004785553371211516971272615901374291250954251881619629021837 + 0.0j)	(0.0000000000000000000079899236551836370821594387953413299409905877377417855041480323234727677140262408 + 0.0j)	(0.00000000000000000000001228741598269118987241436632942352282423832727415202060619338039945792668332367 + 0.0j)	(-0.000000000000000000027057638367554032319390244173516925863264585895973960518718347465655135233641295 + 0.0j)	(-0.000000000000000000000012291406192445212771726306240916920501620660445963456840113465497898235850983799 + 0.0j)	(0.00000000000000000000014019776345269801528176601222303253685492563258066187785675370498422599993546825 + 0.0j)	(0.00000000000000000002733482562813676618091701288830752346711358331715726819308301803589022307212611 - 0.000000000000000000016406983319763396036544267251287049931226892014189551747621071879613632790879301j)	(-0.000000000000000000002323737666896558634765859648427662495296814802929621450800798361953320972835696 + 0.000000000000000000038138172418852705855351115449367184393816627503018732242442810474695946162309171j)
0.12033778407775895498239640770431763786298404250453128277430639102473632896813104	(0.0000000000000000000059741470710514879487061984865456233412101952854964552265889353287470039593579985 + 0.0j)	(0.0000000000000000000076343374122966019114313713959254135392379477260079043058809062828769786366304783 + 0.0j)	(-0.0000000000000000000069748298624432051320308590630555000122636578201987246223804254426767672203730845 + 0.0j)	(0.000000000000000000009614813632994239866408123667323541426240236447565669955550144695797863445629728 + 0.0j)	(0.000000000000000000000014786284046181160259061367014386063592986959313583277486713483583778804628359458 + 0.0j)	(-0.000000000000000000032560599558529202822467218203875528480085346214169371337102895900120009606644785 + 0.0j)	(-0.000000000000000000000014791085667900687068367458469366930734223067297709962139360925020404197200428202 + 0.0j)	(0.00000000000000000000016871113827601565029398676020997301099408236135744138939854794730700349448103729 + 0.0j)	(0.000000000000000000032894122670310120910022361199755143604851858160754209969031641924158928369314836 - 0.000000000000000000019743797383714177206022799656791436138116375832824252027432953909424805730427955j)	(-0.0000000000000000000027963356697395909657766168441466392271935096414983858700872704631024199678951027 + 0.000000000000000000045894629896956382855910030048253119357170701059347167668727733595627304859365369j)
0.1448118227674533666352114050535057466308525408301496112587129039799224385673547	(0.000000000000000000007190540390347909342900401269370633170287362545360421930911939739722103822923509 + 0.0j)	(0.0000000000000000000091869472201321083126868671435639139217853889181995596702304049974509181879106077 + 0.0j)	(-0.0000000000000000000083932938380555459535814572208395383006278850935860135918114707605074374646281711 + 0.0j)	(0.000000000000000000011570112997165945398759330561071398317524365949964880159937517045869770147590684 + 0.0j)	(0.000000000000000000000017793284275039345153970916706036647261694072292455801735613297747853211831068692 + 0.0j)	(-0.000000000000000000039182766713506971261425588654109620983807233786076050557848193223251106960865292 + 0.0j)	(-0.000000000000000000000017799062258290409751923563822312105231264039454036176607508596763937478709667814 + 0.0j)	(0.00000000000000000000020302367823303151066294542728909782868799684204070295665555774863216869541394259 + 0.0j)	(0.000000000000000000039584056958958208749428972969697294725969370300897083917081106917189936874956814 - 0.000000000000000000023759243419252324524564154074121550726840800176239596245820668794096579365643746j)	(-0.0000000000000000000033650505649298186467377928785874923680619544157370974793466356476490156793653087 + 0.000000000000000000055228577689351142534528214873432082243503822980080092973961045065317403811596117j)
0.17426333860096501471714050368858326275344393605772895444378037149488747271744414	(0.0000000000000000000086545475912235823478714766612809412026671731811408296252690460304230890475484121 + 0.0j)	(0.000000000000000000011055295088679613844678421638294653036837656586691156963136533318595292825290141 + 0.0j)	(-0.000000000000000000010100199421002735745758144775756615604170958086583682032666578456805715462710193 + 0.0j)	(0.000000000000000000013922980714228752490923329417776236721219460914425084650977511836086729032035212 + 0.0j)	(0.000000000000000000000021411703582105657472629078385604472817141283349568097220139998197662771753711379 + 0.0j)	(-0.000000000000000000047151779072767587023244049413759725277047565989666705300782420425832911574777625 + 0.0j)	(-0.000000000000000000000021418656373869871764011740215121130262538244558177121624378600859156101428087759 + 0.0j)	(0.00000000000000000000024431492578853534674754868620722847917483785822812319338525002054253689220687929 + 0.0j)	(0.000000000000000000047634574623642336556000733635801327612466826435595435163648747563181531937751067 - 0.000000000000000000028591338595814047006130469171248657912219946121833270841823200904694603701604353j)	(-0.0000000000000000000040494310903918691059198716345252481601050621487329800474995977519880503671200964 + 0.00000000000000000006646084143451528959065126514797531648063130867654890239095956470699357364929785j)
0.20970464013232325233942615801676567577466555516317545286211947428272059349197792	(0.000000000000000000010416536679004132068760266486693301082351491336531389419330069601070631399501503 + 0.0j)	(0.000000000000000000013303576203678719405520290931699021526591866834308103856634995656041243597786434 + 0.0j)	(-0.000000000000000000012154180186605921745563591771730115619149767335097425416405923339117583781399355 + 0.0j)	(0.000000000000000000016754208060685324128107847940711519793999213234587658539809010422417512133877806 + 0.0j)	(0.000000000000000000000025765797455761218532671899001471304386717041324211761116860891841212873570817712 + 0.0j)	(-0.000000000000000000056741584599212720165503478844844066150109976545577039399374759665355270264033276 + 0.0j)	(-0.000000000000000000000025774163779908770084234863982607275436839660149253201720981953805233357891815236 + 0.0j)	(0.00000000000000000000029400439824426627780300590090924765211656144660146440456219651714428877708159108 + 0.0j)	(0.000000000000000000057322387420235930838651150470009187178537816510749237221716131503557237995794361 - 0.000000000000000000034406168576338365434789672578541531943673384352127246557095651140713095272672276j)	(-0.0000000000000000000048730022783324133284652420292835039500760370024004120118480772449996529651344242 + 0.000000000000000000079977494901816739628919746719247285270056733005106638121904378664896610218896976j)
0.25235391704347660629848322524084291725319790219501911106406412803806382359604405	(0.000000000000000000012537096279874861043004993935977078229602232608352719551626563452746903641590699 + 0.0j)	(0.000000000000000000016009028787514072572703098558339550385686031924082739484238977491418832996316328 + 0.0j)	(-0.000000000000000000014625774781508787060500422070586655034409181237150540172919790170127292577914973 + 0.0j)	(0.000000000000000000020160973515082959436703151406153085494934633818155073392169160831457492516258414 + 0.0j)	(0.000000000000000000000031005029351728310031479334609693863631918709730462398740297088330344210282494363 + 0.0j)	(-0.000000000000000000068281866210958789817970608794756799022126531237531282206721120510769824572904775 + 0.0j)	(-0.000000000000000000000031015096345427457411250234431133091050781111080714078082288952673687073539903823 + 0.0j)	(0.0000000000000000000003538004485401730773106875877592263210648592659264184125045774164216880699028177 + 0.0j)	(0.000000000000000000068980483584701448908816178089814625454262187001572643091927466151667850618336276 - 0.000000000000000000041403595179966789595819902462181837420827663540833904664730103102266643061085219j)	(-0.0000000000000000000058640745274248464704486557567243760014547100469872385182744496499865041707486109 + 0.000000000000000000096243129499551795806163642941255727468291482212533108054249963336335398864415049j)
0.30367711180354583332815008889520565909335908898849948054461381899839518069084088	(0.000000000000000000015089093116053828171173253356241012805511122319749783367557096446972900253832064 + 0.0j)	(0.000000000000000000019264578063093955665620149353374665771512783790957311649947225836963198110326272 + 0.0j)	(-0.000000000000000000017599834918023260236155445137691877211009816386902050822749359642562516667027287 + 0.0j)	(0.000000000000000000024260146290649705288873243667433003312971746960273835535796508407913610706719459 + 0.0j)	(0.000000000000000000000037309155712930231059161908385373710651747465495530087268768674990918476065909939 + 0.0j)	(-0.000000000000000000082169390491052358261270330749743953326484036571646708355211917534628906843014747 + 0.0j)	(-0.000000000000000000000037321268681783842082370905847600881676563512340550794552585952160158950286144847 + 0.0j)	(0.0000000000000000000004257591000596087754941395023841932980846044206514181323960089454694831752661973 + 0.0j)	(0.000000000000000000083009572806884377691479234646858817652889648618796093159716118538334146445950525 - 0.000000000000000000049824124227923148573573735967283298422089302291710635706692459674049562223474968j)	(-0.0000000000000000000070567175061234585268275954051212548986070766140106758083443066236657205265979873 + 0.00000000000000000011581682212371560976094839069245732325954338723005423045324888871287593011552819j)
0.365438307095725637910590077455332094869746999496986712366473307851666037465686	(0.000000000000000000018160132892448809348837689716436367879990873033660297063888372185012434115862935 + 0.0j)	(0.000000000000000000023182012086047222753350454273338525138706141225039647918496092117997506275303338 + 0.0j)	(-0.000000000000000000021178414309763409373671522235493083575346182579345579560372464204066506852021187 + 0.0j)	(0.00000000000000000002919224251149964739785989135425753663312651115906190629297188154180434569294251 + 0.0j)	(0.000000000000000000000044894317857471266873552881791496486307907228388123462370703491735556516733547739 + 0.0j)	(-0.000000000000000000098881673422224725087662785810675859279210513893520785943842504880949171269236002 + 0.0j)	(-0.000000000000000000000044908891955403124143524156627265758314583221524029730514109014460810128059127602 + 0.0j)	(0.00000000000000000000051235490812627318545223743754882163434193409096681552862152920859257013733384604 + 0.0j)	(0.000000000000000000099891858550257061996347051437074727569446942834304711220881899210583026119379963 - 0.000000000000000000059957169061059208883959523278061756486297596383010284579872742686056949413250401j)	(-0.000000000000000000008491932620770852381701917736436029532469794989397247422248871638381067349412585 + 0.00000000000000000013937134984565249802827036585668368758736765576116835430875692017971087042378819j)
0.43976036093027200008446483656661370205864648958772811970946895253599695009909159	(0.00000000000000000002185549673170789372611431702285338812485973841744819214246473673548666217581354 + 0.0j)	(0.000000000000000000027895793714454539993034163407806106919074816879196144774431708683900895480030735 + 0.0j)	(-0.000000000000000000025484230601724002090266571408847732898607966511545792978564968625359034976787923 + 0.0j)	(0.000000000000000000035126154351544551212760900443228006622306512996597138549870998317168905270458837 + 0.0j)	(0.000000000000000000000054020327948610595517924423147629375919609586210623101107527186757030935304195954 + 0.0j)	(-0.00000000000000000011899344025013644706688112538022892141922725521328045086386371537442146654475067 + 0.0j)	(-0.000000000000000000000054037862136185190405102008791230207133815036033475830737701572736373069792659196 + 0.0j)	(0.000000000000000000000616566333998525504377399257778906949037266353259476150030165592664733674347133 + 0.0j)	(0.00000000000000000012020761081974076085258205373180913659578329172811358552069499283818971784186287 - 0.000000000000000000072150992763840071637311636679073347036752077754619520409057688593456899430501112j)	(-0.000000000000000000010219064799061320121438829829751013700503110092110073375877325136642818670116854 + 0.00000000000000000016771631127775402094205738274067883385242164837251085717073141225471376900658678j)
0.52919787359584417116031727749057727682839012227009734171767126635992309031477458	(0.000000000000000000026301633689323037880611559763543811160145548335691163738394592708862177719462791 + 0.0j)	(0.000000000000000000033567631626296740089260807994946876793087179191985277778473436041488149506283421 + 0.0j)	(-0.000000000000000000030664807362960573592974629207472487584778001644336687966826819888430373594781314 + 0.0j)	(0.000000000000000000042264789084912396438929776907218877626619355038827666830365953735100981634401346 + 0.0j)	(0.000000000000000000000064999363309513034904371282374118614264999780453219101874397194443514791431084399 + 0.0j)	(-0.00000000000000000014319645739779307036939142427680011382610666087379388611682104434872952692828448 + 0.0j)	(-0.000000000000000000000065020456992853616394309849653558358182630779237848743227309178848393297871804849 + 0.0j)	(0.00000000000000000000074197864827102718760587637583790539702914249635923510091988957973035039813865588 + 0.0j)	(0.00000000000000000014465510852904765286898278338077285654438016186168007911940745011119430339517706 - 0.000000000000000000086824669088119304967194953510850531547074938872675587107701035555531105163656918j)	(-0.000000000000000000012297502899011345916200476850409091601934588490497460792238090200971095982858925 + 0.00000000000000000020182594828469864859288404700092832292006454234144230064908119547944673040523004j)
