m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(-0.0000000000000000000016345424472232707065464353721682284919410948756901160778192389812942073040654307664844726696480696807658475862990811036 + 1.23410129964631921115693493143616508163405340867556603712640002071853049410852250556602843786281174899723924353627997172e-126j)	(-0.00000000000000000000208888185945222108084060743148758704979238309819503747827477883670610600657041523289450286842296625016684396545290025947 - 1.49449987916773315797445936781398189441277665528422290835363870078677151366876160312579118274953561983102700012423482937e-126j)	(0.00000000000000000000190843227803500573389210104432147692636244676570788818499787829744621446738955646424031587612407936664778174579048552191 - 1.59951447637693353175226947712810508018333358063489494122742078421678714767135176785714721969943666574203153134378827429e-132j)	(-0.00000000000000000000263078321947321164647963204616084794399061046110939891829298105877214850901810895588335025698230772603387476173819897458 + 1.29174517138554386108280281996481869883334528806072182902573014769314555588247650273241304242304135896983062820352493458e-132j)	(-0.00000000000000000000000404578745392380909402948121180405693884823360200548323953236692815007658351231819309666698213838356997350770308417155454 - 2.51163521390355294873817929528199996307944668382791198251479911445790209138888885554677622359519934229773676490080069747e-128j)	(0.00000000000000000000890909415233619522849200751431447588363229519949872502923084917440773497123493903224112519054312625073858775756932744531 - 6.13687771664381150748787223062676405184099662239510044709771351341413481685347216603892868248118380889576023857759986044e-132j)	(0.00000000000000000000000404710127554697517098451112140543948877061352505068174363132890947057253701771819858596155197262067545017041741812330048 + 2.51158593263954150985449960080065570708593799191384567709871933221329606266160242112729558610422425311008393692937442693e-128j)	(-0.0000000000000000000000461620188078090116372666110640445950682748358393566251952675012379174524674523357211389933909503585550688591266732737955 + 6.13676183120100641563426246074545637969534024396441200145699265266964334546230802373386874165950228752028143995451365966e-132j)	(-0.00000000000000000000900035883000994370177075828886706820334051567131528073108108952449320931273171933737272025426586754211132531614769825135 + 0.00000000000000000000540221966533112055326452192414829424163406226827897007917654565263137354411628201761330961315721563815756973264030039445j)	(0.000000000000000000000765121964029994997641175867041307359238792688767525470411190880554724778785468799673211879335740537164942167674994144517 - 0.0000000000000000000125575059565977204548236926588331452967416643569431153821350042266973481930617682709348857300326818928977405846706375183j)
0.464158883361277889241007635091944657655134912501124363765069285868477786969284482618995907089757137984154330822826540482	(-0.00000000000000000000759636425558867076762548069852605587821497652698198033537300033221892561953098412335474404809307393598903527668270834304 - 9.23462135472990997043243052478186759203429071167229359549243266156772349159003180903563915296138367136209052112820121236e-128j)	(-0.00000000000000000000969440415180804851104676066349150128550678345461987584426398436583428252505924095142424075775838320356424997741297382982 + 1.11831504507493696238016724830790222497607816238760698002322938815164083724470983417605104473648026694923828700816712892e-127j)	(0.00000000000000000000885617690332816675875715087326791433772472408260786557720227281771028099107817950665386924912276043171491137106873909964 + 1.19664505357033208463614953964772372860865555878671299340260911530275453541329771955856580307948162332015714743262408994e-133j)	(-0.0000000000000000000122065590097717470377997574260241390460213126772875830844396729124446567900992305992444763668498920520706891232166101128 - 9.6625021640102421565406899216947163863977672462781893813143405531299974032335791967884127054367233713403232382895129292e-134j)	(-0.0000000000000000000000187724967636133123597355422814846343704387967811889958270888737055921166455254263748139040313519205149722195796197622046 + 1.87942433852979916551974743433177529995209914321962711685389178821705110102430512640635591839342407221357894461651433734e-129j)	(0.0000000000000000000413543627214981940377180236210354821757765369377369987262864609884919296032735114761182097529411681972270653501204756037 + 4.59097461921137363697643475295129653802083708125152518989863103362010885735688667614858439271509423378401218067433293113e-133j)	(0.000000000000000000000018778589330107493938744823276956132988370755426404907219436151184095449529533299708484969311732798116429729199467656647 - 1.8793874619935657723730213073924129199873843544703023509579873588113901512392912988069597054484092087329880911354199208e-129j)	(-0.000000000000000000000214278940445660174713565571630189464329149968718546978421305874338960128124913931106518125132096218648692229398325245454 - 4.59205390490180833906039653625704514734860540433638841696071070991284910035695841822748281341515590818439246041411537381e-133j)	(-0.0000000000000000000417759139167069047396074882529919671837668116307971223101710112400480855576254963028914456543407882258377590962533184452 + 0.0000000000000000000250747008714319864478486560776704674651741054343839740216805301254975534681686251732388820375563439613139508946279662172j)	(0.00000000000000000000355146339620164159877561562995825722712901501785670274228500780494432045597970747003225645158968102626633777748753367858 - 0.0000000000000000000582866687886410521034148015441738315352186809183319347295677954521107247922667364751577721206169650673662138875298618089j)
2.15443469003188372175929356651935049525934494219210858248923550634641110664834080018544150354324327610126122049178092045	(-0.0000000000000000000350786403414916640788813118320604012878102696763883462981211301270622961238180339408638970964468378971685835274389954597 + 1.21244382893179837897949283287890036426650271057149319991639690166122949441186331594800257532328383930226889647262460145e-126j)	(-0.0000000000000000000449050021092228982923055853086205083280037823652393964277246323152089332412558858370287631236711824851220355725228985509 - 1.46827262595566621234593562248820413097195835376340139532904262963233950116129029467623722550278965378049120529744826805e-126j)	(0.0000000000000000000409692687408005810880301593153002974114736023414725920767416144014353255364461973195160093040218277673482411026757724856 - 1.57140983264023912965816296974114431442944124089414508993857235975048080064848691630929797566553154447444622469144507331e-132j)	(-0.0000000000000000000563590641566117167333008432151310688989461145914786430497736342907955520323849659616882241458488718871603451331058885405 + 1.26902859823531324416012259845643968559045885303561058758238752826638032254678213330101602721326020132039516559297419219e-132j)	(-0.0000000000000000000000867104231293208925525236443345757754525076698302137831727647812401878782134583544179243338759815151911413453677776720074 - 2.46755806559896886622290590185626666572289220485463404569797786944575245335447930522813336156800424067551083640897346241e-128j)	(0.000000000000000000192090001799805986766688219074433067297888343734122834587280201188677547325960909861515969506828823305889618682634978736 - 6.02901948787719590985638419370418013633370479276725478730522552901357160867051498018729054563166760138505026085187151342e-132j)	(0.000000000000000000000086738345711683929884184473784646204854653340495423454420318690153282358446314030738522068128819761344361257458048930849 + 2.46750964918092580461802865627493250817136300734100419353821540147117702145032826387898045456182138812878229167404558186e-128j)	(-0.000000000000000000000995547517404579352588711046588779208833676497428151196969851208616094007656073224125481972428830047201550585884925465206 + 6.02906583472481413612347361757408807897786086684406527100908893980976507959491889099363177035079396657900685473453613239e-132j)	(-0.000000000000000000193901527756420284586376234357815678042895015811505153832147138373611252156773022685491105494812802394621922087602202146 + 0.000000000000000000116368292560846173566876039347419252645126261080626806130608147757773214134832132405223071293480682864413117800411727844j)	(0.0000000000000000000164925986100075442119292865608234564591779310788122814634296225749440679786211389117587191077298114896085629796636384363 - 0.000000000000000000270531685161299357831833704499944960332088607340452665301907954970926525155278696002938428116976810129998917774420876065j)
10.0	(-0.000000000000000000150746472392680854242679303194793789521813089751692298225869584011544467711823928213408369504691231968981550373599150524 - 3.91198251928172928693882455120519673328732318105671964855064694340662840615285962669871510478185735699966324685838081547e-128j)	(-0.000000000000000000202753336556741065109312690448614101785256441368673725266733904747346276025508715111831984622901372383246346571325783704 + 4.7374212045147784226272140420077766954551674833809278974793227269609407974649018351344319338079099651204631126111499329e-128j)	(0.000000000000000000182413157183932375362508146027183446888690131411450140231425458070359878037433181553328721188918370977198147935002149692 + 4.97023579630609077106222884796074135586051147068023125830224809650429674809672976518083454794839178902736893308999570711e-134j)	(-0.000000000000000000246010618848636276794028809726768259589131622064494785231657214223262254663284634784320964790984277986603068819248853589 - 3.95741774475221380047734702811854561818083500005511986746222530246892301338760235334694887863083629414053181255139562347e-134j)	(-0.000000000000000000000380832868752178285932057829910384698557031371105202020026003841781742760750794505892482406946366927208428834983517773709 + 7.96164244761657163533604664163642405394575237940652107545108896237780178527424880433011226915616021203467224126777388486e-130j)	(0.000000000000000000899624035484224366436305750093739183603131669151735983563156914580603490723578464043157006540755958902239234225972360334 + 1.89811607040499735493192262465522851751876101462277619688360175574511733418901369135333403887372660469234471706570654606e-133j)	(0.000000000000000000000380946475057782499447273370562069008114300422175239023660091339325252356655187626712923179832611067420999339424716758641 - 7.96148623074905196137482291077000199474743409882749431029783869630854054142449299581836007547840845418629445373168607158e-130j)	(-0.00000000000000000000467417757383446214236889180169949693220249245158105728546707681595628082884416213078653063978071538181638421947463925249 - 1.94504978216780674414967567954725204656802723858232623435698599700116072698506400871588058971429499194988403393166231406e-133j)	(-0.00000000000000000089953431425692041211052059692958900093179306656146943607079942078072191454423592557078719444579524219100941267412482859 + 0.00000000000000000053831961203996360987272258252182136706560495668734835961657292926386214409096607510810051978076294096600494623411403508j)	(0.0000000000000000000773195122873885712706836206097220517695224011557995672478801302822837604119304659210959988321216808190879040586364886829 - 0.00000000000000000125458389445122634509918848544700954493255359944358044054501239895445608938469498889510544588945144774651050907526543092j)
46.4158883361277889241007635091944657655134912501124363765069285868477786969284482618995907089757137984154330822826540482	(-0.000000000000000000388559753581103875932481707231782387671987288224376269259437250076164758599489956953083632002011733217963667607725967991 - 1.18698419024651141602372183294870734167424032972768734895944828407452180874218280610043791309163613287679394437102473289e-127j)	(-0.00000000000000000072100756191834900367622974611030811218791654263794923981037382260692501776029340501299787544625862073281927568247373887 + 1.43744157495737165815754585493640016216730169159077420310714919133602318573415549959621557439864687829315075421400290696e-127j)	(0.000000000000000000596446970367041441065100118853341080063229596007085370128590144648254856167214145928676218670144304203917468459220592338 + 1.23322605740890165643948967000258579676225869926740554786410597328508353531718749492241373545581182492846402716501370265e-133j)	(-0.000000000000000000720917527130545566832004286345647499844380402296733335803443442227353047516498062451161984211748129323446088375612340089 - 8.39470565743888938674591277654056936746890108510647601476373609057034754186758133726386793246147125296385725097602335808e-134j)	(-0.00000000000000000000119171312393901859396205827218407059467273209473805762780817068460766928953431866693065322160741482698628937624942776096 + 2.41574332402803238100141890104463789827961590095483671219740485557256776099454073198717447923745240554666909366365142891e-129j)	(0.00000000000000000446942602867133049173130674767068569482666551845352571598096483044876186094860425244768203735848959998472421338074913458 + 4.28839397441677252919908496296469134169297382998112566774735470183883194306885514616842520814681974857322898171073663768e-133j)	(0.00000000000000000000119194256245445398697126947620091459822978609180674762670819584180320819448397314191308595681221979179257184363403019306 - 2.41569592429531117693927539929916343534938305242172185554882069314754863201476170872336879373293381534230155951518066314e-129j)	(-0.0000000000000000000235378101209809663881062390390697236111535301889485883098311951284597223433029237911591549317858536122208680120361075619 - 5.89405456655998521687840597346190879791858701851145585476902837055567876393485648450960569699099148557201639799869767919e-133j)	(-0.00000000000000000415904832033194065191218921978802851619319363194356943883386868720306192009098703279701839049229774411462983359886464185 + 0.00000000000000000232126810424112674880119909505921259299683169845088563285074462994459775624057657414960075860866579069746632253801005866j)	(0.000000000000000000395776834585226362783143749327558252428354599605317354847184958452843126428680408426967260339440999318422170779528012595 - 0.00000000000000000569765478744631192603397093083623753642361235021714083160066888549265028801756841975557725314044378971412839001183777179j)
215.443469003188372175929356651935049525934494219210858248923550634641110664834080018544150354324327610126122049178092045	(-0.000000000000000000192104596183247037753010172729405741895363221592256958428511702571030891747891295762084964568795327149788971382142083403 + 3.24397782356464151023748625317739026914084804256076108671834431536448948082917537114028205317342964165683730063797818523e-126j)	(-0.000000000000000000953769747031758296736621108978555974708414177539037242485509748605558104686183681434426196347090317695639504174905532064 - 3.92846460183120216709601280018517732605616937844356960120004581644330536120248909972900530745659461074708627051800229829e-126j)	(0.000000000000000000659508089908076890024899537505144559837540401744252661957813025355509944296313006462325924260497555554801935237477534559 - 4.70000882645666783212251012607731635495511128906322688378129054844191624526980626016471142658688688403298564309864962526e-132j)	(-0.00000000000000000063813241974240243135718030189031644996927077690668147869265039036051819273485378711199142735322856920993658568261747087 + 3.96786667695209977283537099147158370695860969077831827414510679439860873697927876557331740555435457095028752769420307765e-132j)	(-0.00000000000000000000136561579271546333247581086488975664696864083784683562464646110224567864291086535063278257884063063646091859515768244981 - 6.60212261292823864990811462302724191724936996436835563660752582663629121813249917502476842977215466649227954939408194891e-128j)	(0.0000000000000000254546722766822384554338459624506899283805695853584073931168304916237177505120009439465764161211746371550032982706612445 - 2.13174270186177878257055751563088529618121920465078793493932810485015547347816801769875983317422177444985569202152352599e-131j)	(0.00000000000000000000136568742893551236552478397952127863481427688531254674509458558876592473179625254080323501941910286367634823816613079616 + 6.60199307142860797284094152811484299301850085358056275814873264890495591501354997571289798281288242455499796231948319602e-128j)	(-0.00000000000000000013626202031013498844845072569096582440809294979901368805234022503419255888869522161299197384384445259856220214289518395 + 1.61586646480805686045810820171306012686838656746221891268817958206819587985486781545324783899789170834516744445772460303e-131j)	(-0.000000000000000025269557391340182052763587285168856554141592906518519955557450819157035525549338904226635627482719654518957390434559121 - 0.00000000000000000194040523241962352961095807001903350725436125853442712983953887895698140787508426337765180626165774213606258607967130333j)	(0.000000000000000000343244442345809662839432013026574965655430924680522283950010336044540508071460882713227799052212294845660412141770447006 + 0.0000000000000000051710099068176155769903234797608337989961709927759897431472332949122060027137840344675889704093346493056296734343554592j)
1000.0	(-0.0000000000000000000130788982344107966197911386986726259818159971826157922814906459947640789875663212992193825068002128997261676300074629174 + 2.17318890797555025457798856211248538127506790205544805972278444218345552952471403289377200153385779955203662422084283581e-126j)	(-0.00000000000000000036553409302687680340132601421832292997491631763671158791204962320731470743302079940044537381294262756661689701626350639 - 2.63173625679679092055000226977676876454703017803732483067863189622491557228016724346546170146089028636894079252756986031e-126j)	(0.000000000000000000225522202584940888079244017437444064368740072817871931483399893209350566961413805583701819778771131086396586586019387251 - 3.45388706996480206508249041353346768277469297682181505642008011792712806357865105695263603873223256666942389693737875396e-132j)	(-0.000000000000000000188755133206397151927368219667690663476823974019448795379994886176916028557756860931027674074442313579057433896342642654 + 2.90196311545608562441382599883221007209492527328100798995223079723916126398915261479536369675860272926692363943213009086e-132j)	(-0.000000000000000000000515207433317209044668686679876374285156345512520142560668454010359864159042038171825453157587153498645251580767331526627 - 4.42285988015822938234924228389908687449695075289550046640046398025748642764168091194631179582665271641957580680782514886e-128j)	(0.000000000000000151190391530253853813646630086852309761696260353767822382377963546993576059612911740575680684178229859688247879146049594 - 5.14064065808486530741370260207384473564098717559289994065479568273919411712709730527491266611669676728237191169229656546e-131j)	(0.000000000000000000000515210145989394958380200203455091932758102834598416545730387933792018528533008736119179125546983677369370658562638692219 + 4.42277309838651459637117117797193566504041938058947882073053149161736395614726228121204152239188493818592206737981787325e-128j)	(-0.000000000000000000810307973405201865146648106644345047847101402827346427239277464753074850763408317657273891759424781225271590490277447007 + 1.10240303056976768578785498056288760165154665633900278806054994647873127880406465970138436431315457738936458144469535324e-131j)	(-0.000000000000000150374835926158599925351840277428327070429456921583025722826042414896139127018443396018298481369212798062251874298540886 + 0.000000000000000000000000000016477912511013456125252401703477717925262734556023268244554943528406550975212381757722140510901595568158512488587683735j)	(0.00000000000000000014409817461771447530840376454499297438336266700947101662467199827676350125616124191524190352940034075312564240620686916 + 0.000000000000000000000000000000592144904857917682574214284109187724068456130033764869247951256682649921699650731574633655883975862976126263187402219363j)
4641.58883361277889241007635091944657655134912501124363765069285868477786969284482618995907089757137984154330822826540483	(-0.000000000000000000000312215994092542560139718703168449994377817164744617843816799835627807271518245117509887624846198684784318987507778119574 + 1.13268677991051642920538166080194498573901171502241488515753531185839831791578948643971828959562466800201420769646972557e-126j)	(-0.0000000000000000000859551924756656314063722589415369594564857841945561625971301947062824805126963866515994209084171796441813673354792346974 - 1.37168630868015059707390440715304510868743114374949669786368726279562556270461175611704009468002603925313762098295889293e-126j)	(0.0000000000000000000517233336696651886868260341456552594520169100899457334373431169898535215412828145405482172167525285933643531449334942701 - 1.65347558229527277884248243568860135186656804426769746217995735246194477222433689734327714434991414234470501076328936563e-132j)	(-0.0000000000000000000419178804108264380247328903836501927875968468695709918251622617708701184510860529672466049862023387149215672813792666253 + 1.35307512710510543450794270571787457317998022914159420336753676010497012145919986891534367109738459559151567970936909452e-132j)	(-0.00000000000000000000012186661753235704083967017992849518436007263220799377876026386710290891314502861290964438947707082766120920960281304687 - 2.30523691498062579797861417543341277167202795624706760642032432213252500816283011050892344643241776282202687558399788945e-128j)	(0.000000000000000864429073027107489862594212421622261006543485099127775764447966525033301681823475411475853371537557428459177617584367554 - 1.60602305179138107125947437844721334524328909732947450415804123007741546294665214497965128934280952112037665728869504084e-130j)	(0.000000000000000000000121866653075728945744830693016025876740616403208760427887436283699367055975670872973808376833015923915184622397075835829 + 2.30519168349413605558271914217087497101856144920821569719677692992051799540825929078380997655262354119627483496912470477e-128j)	(-0.00000000000000000462350560258572422225588163865336017589259152155495841911764006744067555479487718699794511626736164398562961200190005143 + 6.46244751640054382476421767982403176661052576735704134523318236968078990587708582427142823183858997479008557995034029287e-132j)	(-0.000000000000000859805405235383814332271232192729021226646368348059647401686826308320910352124770011550007863562630735968724018853973044 + 0.00000000000000000000000000035813399748559567347385825983508498011151680673816347498931970457994246984552516316989277896557294075463331392181496035j)	(0.0000000000000000000449206936576579197057792612306108036429193856484483201730351009907304102574942916057673920356992515205907795557560981472 + 0.000000000000000000000000000000619575352060853076566609288719356505652736337151689646267021694666923714490894330102099947700653622034379185125589050636j)
21544.3469003188372175929356651935049525934494219210858248923550634641110664834080018544150354324327610126122049178092045	(-0.00000000000000000000000506772633464515231163261376250087399588132026687034718378194195856035281821218507885011748582754381951192304423267058308 - 1.12716964117716094997395484828545113493702036936225989322900942697009613844759832967215656062870866439652485278132270592e-127j)	(-0.000000000000000000018668909965511421715149381258140154323389757055969310248420827031302894598852404013166638574417331053263342015121431475 + 1.3650093293220355090237607729354346981888002427788761656604996839157180307063289766830598523808407911305377710477448487e-127j)	(0.0000000000000000000112037967858715204906546034089676457304481152577931134261985858401168717451819422338952835925910664769420185737474763514 - 8.47304896541681580530519567990660035984751273452963604212506298247473181343724136304912721011281024434682912433945444888e-134j)	(-0.00000000000000000000904883391964759766072199802637140489659495702071316240756373238261923849635802833961230372034352947140881247093334568702 + 8.28354070381799236014342540567287533712546346886876088072367450915972079234002325107912171017669135844953920943765421009e-134j)	(-0.0000000000000000000000264965220489721357355590289506200673804680663227035372791386562136562005438495252643115125857081544634243051876091660436 + 2.29400962016111048807832142790680075322577951330975168521765224999861503312636339610665235363027303148564375088682843216e-129j)	(0.00000000000000477031639056650565378628248163544455408775454460509374810786514953181878930911097795345490524004331705655984254986105547 - 3.28364800358366032811237634068857690345305026593902186373473486512818961669051119404805974328205328020178597959388711068e-129j)	(0.000000000000000000000026496522415490001134303701915322436113850319229634629070291345159187058074822047678021325308121338367405487884289212276 - 2.29396460899008599838771282511125916825416913195481535410258214651089462095354036710892320021907734564747716480238531159e-129j)	(-0.0000000000000000254739980133634403943809177918563708976727762838395648226368850445018894033631055119937333580648465768233125589184711937 + 1.69963605857397046941151787528636384715554917915591919153225477604200073863637455093118685312897049765370388537582662652e-131j)	(-0.00000000000000474484240010480266722985364610757849569541579123101906419680773269232381860334524738547861012157907840953840397855480106 + 0.0000000000000000000000000077191200896405385706714033358725356064653426600128651201256278565714642077425167235365419483493968506993898179314074108j)	(0.0000000000000000000570277517564861346841100307545748376403788123955199603338922950673149655846727288052721761212269731330134451458519492419 + 0.000000000000000000000000000000620802532982063960347657316897941065645064082620469415628551612328282557897777729337515584072312319083105992354707523857j)
100000.0	(-0.0000000000000000000000000702551707420016123909590818101621120817204136638487587479111636022345708574244742948369807772954237480571058034111060482 + 1.10291746835716116537106181868882461601360446536796000846024548388085189331950818748316733751920205922752846451841148699e-126j)	(-0.00000000000000000000402441942886618184827502358728284414725188855387021817554218983284032444573219781905486601007980279130412398113951361577 - 1.33563571421929114719740745542916437314457054630851272519684346841671616330548672328213683263411943573033725289518147257e-126j)	(0.00000000000000000000241468571384468181359185552259821416541005147813106684032295753460085904442769822679814365001618576830261263613657494778 - 1.54945689270636491925356238237792453411127311920270695080021056221822665210402453257379475107819288858779252972963147127e-132j)	(-0.00000000000000000000194973870687575637984289134188338362446863699375325405687582966035720898931190757072594277774409700219873708715560520123 + 1.25685865070620118791989204329845631512054484118443454517363967088503313998999000160792419073481213106065743213832731921e-132j)	(-0.00000000000000000000000571233216401415082567103691562016264537221916420152679881614946879871993867073798705708644082068968358192620094869527171 - 2.24465065678473184718899826362594425470049376610748469136160351235932845453857279015029315183550975020600175290018742653e-128j)	(0.0000000000000256608126477297507565696973824077877340872096228306850692077092125268746969812617719571485906695719263686294571848562596 - 3.04769198566455905579839483981822401185108605254410181198898585701589599727640399320243078758480547376064205615561496312e-128j)	(0.00000000000000000000000571233216768829086455882090768617148889261470633756792708750090805497310747993929247853997417821998447914004253593638089 + 2.24460661407368650168329453856530205673438166067362252192710184752069119239253231347785646024391340552766336910219966222e-128j)	(-0.000000000000000136871643124371376101675687809974883262625270647713026900061274959410187478102292010886070483244886066474594686389215217 + 1.68148432613744904185232504367770445243670085529242607798704055716256441817846509293973604808888708505385644149240812629e-130j)	(-0.0000000000000255239410603828591129735162763778072292706918482293455499460897832906506466835220970253232544486226258446981069381895128 + 0.000000000000000000000000166306767999327147844029143684171736079611227582107467086728949954268123636128629276786936500052479707467727933811863287j)	(0.000000000000000000231659426540520318780006373341199507624918666226945025684613775024825363448757633644083988659970799688474043605814087133 + 0.000000000000000000000000000000620859399563426121792916572828642606734296387822270431944117091635071059501979615782190914535097851997952739269227937238j)
