m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(-0.00000000000000256356558041324730255966792277430455610695594612958191822827846216329103136421658447135863040810266321748112873116661478 + 0.0j)	(0.00000000000000310449693108029352524405126807254879356347289209127510477143456785737294954813919437988521559857083423556617753808592397 + 0.0j)	(-0.00000000000000000000247343651612062793280819434050425181500277914281563141091139459283507595497518737078531007130338272674464660318908855243 + 0.0j)	(0.00000000000000000000530660802086654583641954964097319773562719390712412312131652471217148177221904042222454359606972381895373718204003741244 + 0.0j)	(0.0000000000000000521736389845630494134733151893719613062890907203595369081485124633301347407527598392530423602981228344736439104029366572 + 0.0j)	(-0.0000000000000000000143096325110277176657117210447396882359189708727441998171995667965188293126567908744533883677581182724528870707198033243 + 0.0j)	(-0.0000000000000000521726152800714434629702527369887888133037879903779485037829240878462539402357095590682091673031309633047402615677889077 + 0.0j)	(-0.0000000000000000000126075579761738045030886593032670932475480170578108799696148473037158470428469211373380346107239554908817260378907877168 + 0.0j)	(-0.000000000000000000000000000028650060340424317228837266449652101924535064291519874470127092852769841755842574593872801898863532222802311405784131471 + 0.0000000000000000000000000000171964013751701222874753329016887104383183794995587616485237653183690464469794501113480095591179765607145994234580191283j)	(0.00000000000000000000000000000243554841727628829634478967844696714663868153185705634674424567163063497488415526157096625242960092185447749243940638587 - 0.0000000000000000000000000000399732089693339250514097235128706819320312976136749032742536141916187508662366959925306172843997324624860549606489942982j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(-0.00000000000000176696253110366628906497318776456634157631737553740685464121304612985002656388079118800315318296532883629161425022898222 + 0.0j)	(0.00000000000000213981414266621538379712898270765374079937139914286996240289675694651961007566462192791998902965019055910419868448669119 + 0.0j)	(-0.00000000000000000000611883862541135021559233224010662000960692692627582825840700606931131252233959528621598769178091071303283194265129130585 + 0.0j)	(0.00000000000000000000974226258102021688701152218525030057766452987782733755923116983686634654544635949541811140022406453670172134067728447913 + 0.0j)	(0.0000000000000000359612748959217005791303089963286113675591215227328567420647643343441157833434072469832691890077067809687991173348746455 + 0.0j)	(-0.0000000000000000000304694028301785091480354892273115795739265066580950527667900097157756787546037897892401114309959219773623069890486526493 + 0.0j)	(-0.0000000000000000359605692991635945171430742834876369395867836719675883493568995881844009712738813243991283792360213884363578647305452056 + 0.0j)	(-0.00000000000000000000858312984838203448222092081990794135423801083480139681091054096360612072067800301228794022909621690609451105291504314425 + 0.0j)	(-0.0000000000000000000000000000286500564187580601207405692709402752784807247969456386977004033715509699485894446278138626958585920098501903220772002885 + 0.0000000000000000000000000000171963767065288620470557610929118950397762119978134376319174795599898564916859584213348314787682748001207916711191957833j)	(0.00000000000000000000000000000243555362590561565335180290861270820647749606594559947875584437018354772354728560760562187699339584774701891206791927672 - 0.0000000000000000000000000000399731923343800271096830058851628132667111593799259765197664392982990291602225196144955113356620338986752517262806734014j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(-0.00000000000000121789324234067146659353001201785003356361277202317679411284866962891792097365678656049700290612941406249103389261476386 + 0.0j)	(0.00000000000000147489789485824541799861975317260942841742711516142531078514044139752539327457656025866659433592528051026206096434560423 + 0.0j)	(-0.0000000000000000000106211965433590297419188723767528021087505937296228555475441453904405952824166007267344579836202726950003854529897870546 + 0.0j)	(0.0000000000000000000155421851099610520957919309750938210673741960120151848182402482969053245765583870704905442476789785981413162909139889247 + 0.0j)	(0.000000000000000024786725428857288287599470278243021338755382979932814814772226731187952525782596975913936826182306744711861821953039434 + 0.0j)	(-0.000000000000000000050897867015759286130383622129456636223572382945791650424319997399904558826629493723760487801895447955081420912755042817 + 0.0j)	(-0.000000000000000024786239092789578624227927446536791033554622861124280087595100143395148948242626324256728566638695581807554121377137651 + 0.0j)	(-0.00000000000000000000576111066758431366920988777047584903118605767463380811822918818299988950120418008983161844645564722341235769126643985456 + 0.0j)	(-0.0000000000000000000000000000286500481927355066696572380110290137309027198661398312457341782987333482734789381583404774363845949262432196699721807048 + 0.0000000000000000000000000000171963247968872799826030203399008538084261793391179305599860342225920507422037205389890295509784238883832797459545750554j)	(0.00000000000000000000000000000243556459908385459164902083518855951962967135122230669194813616474791393545347423835493017971250857789452785582806266525 - 0.0000000000000000000000000000399731573551467189551473209698379647205600579150872259365096055872865694846470395636812486943838187703864223402301744769j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(-0.000000000000000839438602764050367138266824766030591867343584731001928368725271070309237575328453354807625403597120257018972333040459512 + 0.0j)	(0.00000000000000101660007694908175673199981947016503163135978863196489144769928432859145672240009891165800575167150113444800372809799163 + 0.0j)	(-0.0000000000000000000166108170025972396098514866062927691019755569966066064868546965730734071299834315741458266669406848353871198950454560375 + 0.0j)	(0.0000000000000000000235179247353954443287365582525999019611749315127330449932021343623515338144935648146395132762795757854083422621084082468 + 0.0j)	(0.0000000000000000170845480602288138102340266417865281839302163060780662402180232549045352494689476074506893474159495985636277107178967671 + 0.0j)	(-0.0000000000000000000784572834459130150642507491055724817608229668238582314723283076260435950161303157876891051673573525551886434549205595968 + 0.0j)	(-0.0000000000000000170842128540350790818201372407916316516907222938589574332535162015200773738168104577300980002558323922767481772001590911 + 0.0j)	(-0.00000000000000000000374616080501528874933689928324299524901800254465210547499967025519380044206325139570563680279087370611940253559681357958 + 0.0j)	(-0.0000000000000000000000000000286500309039529509894752102171643562980017009005220995869006450089335246460913667311193392058075744460619630163111535155 + 0.0000000000000000000000000000171962155430174741430407693895513471850634822450813010331946436945783213928685304577509498866181711234283323510049263896j)	(0.00000000000000000000000000000243558771220464204859157340452684363338348515897706082281839122716607340057884129329372920726540778717680993176360911929 - 0.0000000000000000000000000000399730837515955567765402359315038704163867626029523356446545844039729775457826896945445666493794251549059618244694036663j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(-0.000000000000000578580906544890929770305619265153342602511503679593903757785363125781685403026712924496489708737583580938766773741348271 + 0.0j)	(0.000000000000000700717751608936733609997867495676864944963940862989157047196757176450847417215710870024579404862006581194820858575697169 + 0.0j)	(-0.0000000000000000000249255766084736622874772660718912204624704992173120571405997662238863219545766520493834086109508732999065003923936496021 + 0.0j)	(0.0000000000000000000347841059343255297222743219333858127101542409730857602450864806519023716869555805601502172101340328275519310550860170502 + 0.0j)	(0.000000000000000011775744838823302624845932357747353557967010126681025413062026429930956073752185176471771845054531122648785975522301808 + 0.0j)	(-0.000000000000000000117009678917037127117170372506545028944086402732971916610384328532223025709488761759404889396713803042310986600982916959 + 0.0j)	(-0.000000000000000011775513803466220017317700853299984388906225329867514479286881164650911000314158079675931310679877369848883109950314328 + 0.0j)	(-0.00000000000000000000225599752939339267067570968523891909168988269920300029585077590702611242661587874187095532976178755015141900492521888655 + 0.0j)	(-0.0000000000000000000000000000286499945515575099669968614723389405546927463602652941258838206083051904464618110413811304142723226775196563687207687737 + 0.0000000000000000000000000000171959855828714903630437631471597088141820547347327425820394279965848488680427069370606543031288542318851094373545137895j)	(0.00000000000000000000000000000243563638856603194076808462347139886023933130400287240775537011304235405433362558576414993665510002826523985790148851331 - 0.0000000000000000000000000000399729288388330036743677360327995789553105116193977533800483423337641713202201780052595143165314437887360607078964796531j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(-0.000000000000000398776605693523950751370003443971254019001419613033312346226374515329408197230538902952856431798853395865318355537484187 + 0.0j)	(0.000000000000000482998965002561774705457449930475361655209869229887452574620370554250218576855700730284349760523466006661844289734131411 + 0.0j)	(-0.0000000000000000000367269006563167791837756422838297492670627806734238455739837542487051516358471388852929110977377470153298828591288690443 + 0.0j)	(0.0000000000000000000509115074778879290333927244724269857669950605055996485454501581467691221312795047924390003574855554723042027610911032879 + 0.0j)	(0.00000000000000000811660556702467691234037487812675237549303323236593528294336553373920759024295397554199157651778933498993974046284230711 + 0.0j)	(-0.000000000000000000171959303913364535859613282022884569341723414676626357440107197868555763489161946745470656978348149851729833304991893733 + 0.0j)	(-0.00000000000000000811644633674907237946626378919896248668343862140282659095392152524597859699329577185853795091872912805539335618192627587 + 0.0j)	(-0.00000000000000000000108184030637083921981137308579776521714457971171053539879269286711881012180996332553818168147301283956180699679109172022 + 0.0j)	(-0.0000000000000000000000000000286499181334013056378543679849468880710514799069513036750743613297042721402563687043512194821838574425642062922162538276 + 0.0000000000000000000000000000171955015503068497832965487896352945567818187181366758940632287818239354817948406522999484672716751706640937530015469586j)	(0.0000000000000000000000000000024357388781856156479351245491180336652766034183497103989649103218729719652995977129938701950235113533905199439257024085 - 0.0000000000000000000000000000399726027680216444298657557333123781111578541497034816702012945538958081022563810214145070544499301450580917403406879923j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(-0.000000000000000274836931203758884960967952021963554253728428075976512199282836154126454003540920482777364703417112873998067459335050132 + 0.0j)	(0.000000000000000332943488390928669550182931559952028375122478645255989912211936099668519338251066713019936006272129816932338558139715205 + 0.0j)	(-0.0000000000000000000536586129922302379963676550567407739999265272415751526251611548189244725182010278812118868610195324887076409298137927948 + 0.0j)	(0.0000000000000000000741387545833365678466441510875114979524485386084906634776175169684927502197958047512311016081228145904902475924237242124 + 0.0j)	(0.0000000000000000055945214342258710149349784148618524722411516796264531324310812048409909854035396736072013562013516862886208405446811423 + 0.0j)	(-0.000000000000000000251013641047270540112011024297854618569319932745174062252472493674296348418094124719353489137340417592249823787895105097 + 0.0j)	(-0.00000000000000000559441170242459958293826916642006441072804351484963866502414285941341209156826032487141775939554337735525280448546333118 + 0.0j)	(-0.0000000000000000000000591360379465174327569252406627233728727875170995482218110043633128390194762043154268796149077900387730111631611308687075 + 0.0j)	(-0.0000000000000000000000000000286497576243189388220759290989280901056265626130386702666920853425902256076190958339861746629511729043447210547811240127 + 0.0000000000000000000000000000171944827402279729748007457884732982406243063885455284700596005551916961308681841017934397553255568310588832513888034071j)	(0.00000000000000000000000000000243595458549981227501743541898595974454630028185586428076147129198726462041653802721066804087191401516570380480265408926 - 0.0000000000000000000000000000399719164016105076709617715762411780838783770404930846648096678406728670528845880666870063874070357991712175811519920755j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(-0.000000000000000189399216274622274293919899118154937727788107942773230100376081507328867438071487921032486598831276549469344940462532503 + 0.0j)	(0.000000000000000229530034213499631449679713074084883115280892737701351320989575133660091742671026085062057791530448067825182066471944238 + 0.0j)	(-0.0000000000000000000780667276111815387228817686173839593908771993272455163864131934406487179758571306029931747090673484184087809589563239089 + 0.0j)	(0.000000000000000000107663488871319993256744197091842242278597821428232525888115379825112264899476145897099498496451571763854221138403472485 + 0.0j)	(0.00000000000000000385617362189557181793097231777929297840538955506846430667478073172164681552795625405570152034096596755957381064866100683 + 0.0j)	(-0.000000000000000000365273854251650802361454978568836163179246805751088099069073871414721965884710655756047188927816798222618268281712992625 + 0.0j)	(-0.00000000000000000385609801613537985554736335594782542875665910415017617447019850798263349255152117236065533664190735290131863169606831969 + 0.0j)	(0.000000000000000000000955565660347740586934933977200850609366350529829424905745959505507183233410052063622511104463927119051878027465558532484 + 0.0j)	(-0.0000000000000000000000000000286494210674052263825245025714115227835372285267048490075395123811111106669506950435764862680669492246892549179398738827 + 0.0000000000000000000000000000171923383717613051687659040364663601508436511271402982588929181074070107830619378157534643617203984064875894970134877699j)	(0.0000000000000000000000000000024364082328280836190615651920112352080960840153078218800694439342505896091284884597340051457706812893033494263348676141 - 0.0000000000000000000000000000399704715534070088864482804555294480182350397822977728137487398137707602302353462696082941615836870470952220641466239529j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(-0.000000000000000130494607291326288134713027045312216240314873257740659211438679867181557233427819475419150296723096848622788894691608771 + 0.0j)	(0.000000000000000158271364504192121765292979273772174776036297426235663318157456524924690755453611460694881761517207670098275356233856394 + 0.0j)	(-0.000000000000000000113299958070349746242533604366847039592276597143500943408630036325873202587471305014286696331732356369527402610227888754 + 0.0j)	(0.000000000000000000156031173065431195230953014519075909725774082043857460846738589586446025735790116048486188966044640420261710996249276831 + 0.0j)	(0.00000000000000000265803679084048799661128374333645655410479169260942281376241633845546513551596128050555048374409622512825474516946321405 + 0.0j)	(-0.00000000000000000053081874445250364609338559414752628105222289329803288844836477908116739203406633929871925984540883658873564021829146519 + 0.0j)	(-0.00000000000000000265798471923007495505256763882277330302929820433867003396159381260504460816685052294155042803046370590242642342812940797 + 0.0j)	(0.00000000000000000000210490226850412033414301119631638020146577089309420972433823836224495048771230170877538118654018864607084816670684581613 + 0.0j)	(-0.0000000000000000000000000000286487177066409407224130482518511009683020364496017243641488930971135329899732880106358635922211329836851121593840559514 + 0.0000000000000000000000000000171878252446905275581765391361732094103077673616926530095096730058213571535240102600488030276016689268298406044856762678j)	(0.00000000000000000000000000000243736092268862155093153903716343104775161169063375548937111891118671220009000962647785104200446362663532225338371210418 - 0.0000000000000000000000000000399674297662189826837287660447275749912380741213795597539205141415574176652101648762683376811625778402568231517028416608j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(-0.0000000000000000898714678024565037993366089003398548448133988343357376780807496791566971141268420886942955236563012286168666039377873209 + 0.0j)	(0.000000000000000109184720924433596515576912983091295989048789891486404646395450407728556273306028896992652847818721295755090999935942195 + 0.0j)	(-0.00000000000000000016410474404606937344112408794551829303032836211415070112527501886986656650502816832582728404396398481521344345161172191 + 0.0j)	(0.000000000000000000225619559337730886462770948517080836920552828951064105997726366913442776548408086646969660741768554057915646586380860767 + 0.0j)	(0.00000000000000000183226340654989774994596025350590303997603583983734559032695909888669646696875367848313778798868540620988821109864008061 + 0.0j)	(-0.000000000000000000771033317368978680069424021238804248531706627310082485020550838164515863828657817737786865291975678945520438012179165796 + 0.0j)	(-0.00000000000000000183222757365125411799086085559816767693101443685281196950953173009603138786498449553634557408053172402677237811333482606 + 0.0j)	(0.00000000000000000000355118918780374248679150273485761630967360958522630742259319126423601459077141062053160467021249072867443950698194111805 + 0.0j)	(-0.0000000000000000000000000000286472570391005273869866236730080237267044040369710894519402001888474740334358048634383488329635538583544377934049591227 + 0.0000000000000000000000000000171783280332529086809160426687555083398292614370835148992841029807455866616543958930359453241382760427033843863604245618j)	(0.00000000000000000000000000000243935634801401995841909339653461417485157584083115966946198855394754060115515237792338168192090158042221818073611457695 - 0.000000000000000000000000000039961024776165273320364961104332059582301489470913967036929349558246689909570323977593724304445087580668325156597112737j)
