m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
10.0	(1.353271478061074074704218409012881795376197633442459917130877584e-35 + 0.0j)	(1.693309051433696001226628777879716106336295300605710357605485993e-33 + 0.0j)	(-3.001317505111894031016625675452499172071119010494761285838929341e-33 + 0.0j)	(-1.564341755355650335570209722853013422168827157750488500152645391e-33 + 0.0j)	(-3.135011772623850749295397476862114503284019351758686408523312555e-33 + 0.0j)	(7.651420479366590541344734459355321845695559916358179914890594587e-31 + 0.0j)	(3.135011275496295526743829164319247922955365058732617649090143985e-33 + 0.0j)	(-2.630192889739985593900372719697455625113890433323649952913225839e-31 + 0.0j)	(-2.908517044516888871842910204300464148549953673223921375258004879e-57 + 0.0j)	(1.251902806801540990356583188713439810839626673178432862465387915e-60 + 0.0j)
11.5139539932644732216362789617117283891575717115700685366709713	(1.353071622666884735953943137393216718032691889178681783123310546e-35 + 0.0j)	(1.693167600914931651483388760287592794338771412289949991883958702e-33 + 0.0j)	(-3.001063718619390373114911931762693255047471515838900027603990392e-33 + 0.0j)	(-1.564208631872670179772767580986830638427135868518906406145860368e-33 + 0.0j)	(-3.134721308405981010998951053198769654427889000469790816788817679e-33 + 0.0j)	(7.651208965162060608784573280540726766759774297237433549460229029e-31 + 0.0j)	(3.13472081135774363794343065105660235983005034488650932327229214e-33 + 0.0j)	(-2.630120051047372835224280616754722912296079359089398398906727293e-31 + 0.0j)	(-2.908151518544766319939734692963700766309156705892081630112841801e-57 + 0.0j)	(1.251661176471132848821200231917830590843834979802079255857964747e-60 + 0.0j)
13.2571136559010909061671162374687970736866285307464313909808956	(1.352806751686672588823315858143218192608076318478733889529630626e-35 + 0.0j)	(1.692980122929253118086066702419529229369994751116954790867664563e-33 + 0.0j)	(-3.000727351407744381278947147045825908907303189773541858832424901e-33 + 0.0j)	(-1.564032190811696154893558149022241171288257916815786025504705708e-33 + 0.0j)	(-3.134336332076044621182092803395877208447767982821256063367177623e-33 + 0.0j)	(7.650928624002418798194476812700072680051018995411299173626889423e-31 + 0.0j)	(3.134335835132926862830554165952283093546002473048362044981480323e-33 + 0.0j)	(-2.630023510543483920364447347734224577835156033393249128252710032e-31 + 0.0j)	(-2.907667081350072867810704178173406845882818121585155304149459338e-57 + 0.0j)	(1.25134096062861335174823932745571198357514544839706628128740136e-60 + 0.0j)
15.26417967175233452102933260093379400628215365265398847764281886	(1.352455749021766530636249007239035913254231842834729077274926285e-35 + 0.0j)	(1.692731659538072260661029080822424809307509038910776829228594565e-33 + 0.0j)	(-3.000281566857716548066762057868187401836487359988441150137450642e-33 + 0.0j)	(-1.563798355119082777989855683577236383245730774449879573238200929e-33 + 0.0j)	(-3.133826132142862570927777256456474107261546534578542932402000246e-33 + 0.0j)	(7.650557087826436523895854162489189172033239146095323018586031518e-31 + 0.0j)	(3.133825635339045183684926498143603351931420038219347190248100674e-33 + 0.0j)	(-2.629895565364925188975542777428316636737046469178465899409523767e-31 + 0.0j)	(-2.907025111704770699867055819574823331331359848986089456716491634e-57 + 0.0j)	(1.25091665100614652597206708938768808680725862443881277443068165e-60 + 0.0j)
17.57510624854791881389007655886166993236741554122847989724604642	(1.351990666339788430219786712039910098522900368318253482472125973e-35 + 0.0j)	(1.692402406336526132402108408675132236032749632339119307974148458e-33 + 0.0j)	(-2.999690833375046560019152851887114110908373573079217975512805365e-33 + 0.0j)	(-1.563488486860720726929222439753934808962940171922476250234908808e-33 + 0.0j)	(-3.133150048606469090051329475549230513055489304606299426028163434e-33 + 0.0j)	(7.650064740590869146699869516313317912192296954554021735912101317e-31 + 0.0j)	(3.133149551987222104613783756134490258610130380983145544861926546e-33 + 0.0j)	(-2.62972601665736936479144472208850963907543445968043143895594221e-31 + 0.0j)	(-2.906174491783681049669218706673634000427300732838976336154208869e-57 + 0.0j)	(1.250354497447921221643638890522229252351321420137220644301154329e-60 + 0.0j)
20.23589647725157052491828358753364117410550997548752104154077658	(1.351374532093862543647534582698632298632352711583926570998633968e-35 + 0.0j)	(1.691966153161887661409207733638125179686402534273157335611469105e-33 + 0.0j)	(-2.998908127083874742615514367357040263730327966144384771838371614e-33 + 0.0j)	(-1.563077919945715492660533121540220708623145209018572903601735014e-33 + 0.0j)	(-3.132254273819158916389932363340511654313690570943426810635614964e-33 + 0.0j)	(7.649412385873806729352564496682475439297006530635943633076019316e-31 + 0.0j)	(3.132253777444420465789908740951521356257157214797938884443730298e-33 + 0.0j)	(-2.629501366358133284208088815593461273196450247408786378718113662e-31 + 0.0j)	(-2.905047599347868214456136299356348214005221084812119991731294994e-57 + 0.0j)	(1.249609873553150107175926329114574050664608172764617680534170339e-60 + 0.0j)
23.29951810515372068449409285952747834727346726842142635662525	(1.350558472771755972621270486216957714155118835016049415602114576e-35 + 0.0j)	(1.69138823142827506087914944204647124751974077331525156764351814e-33 + 0.0j)	(-2.997871249576423448689795769762093743175028452725160564795544368e-33 + 0.0j)	(-1.562534028690796004950101210212797511738161089932816341761587022e-33 + 0.0j)	(-3.131067642382157212447887497776311707301529119882582040980005329e-33 + 0.0j)	(7.648548176147518715153265944994156332080812110778237711523448553e-31 + 0.0j)	(3.131067146331253095527287901892808633015614926396351116743673195e-33 + 0.0j)	(-2.629203759709939726985852161439166366169088912379731653561551831e-31 + 0.0j)	(-2.903555041542780013970526147353541510348986275769318269324809617e-57 + 0.0j)	(1.248623821962941025200754885762701974718442533143618997223565568e-60 + 0.0j)
26.8269579527972574769880268062762501535385557236722348004234889	(1.34947794172630089992458666180418588943342059308167240790591687e-35 + 0.0j)	(1.690622818268958715349229555564261134392805110965224490529358322e-33 + 0.0j)	(-2.996497992109716852467754751507359632317996612140362718508609517e-33 + 0.0j)	(-1.561813691354857238128214785980839719593969535354255194271895865e-33 + 0.0j)	(-3.129496104063209434925662042645809248202483055052419245387056485e-33 + 0.0j)	(7.6474035792573430595965680854923941610720938014149033598254192e-31 + 0.0j)	(3.129495608441066246609161631716695697225106288920326306907144927e-33 + 0.0j)	(-2.628809596199148012534792242297919673418738078699198220100150984e-31 + 0.0j)	(-2.901578755634100033870753104700627631123816032872049860006794107e-57 + 0.0j)	(1.247318540264603475895294853598477478345165508600206710443179414e-60 + 0.0j)
30.88843596477481002430926824563108583451420625422300382615279384	(1.348047798660123414289333525925108421502941725710769943883507497e-35 + 0.0j)	(1.689609406966575902979201651561941329896516132942280048814314592e-33 + 0.0j)	(-2.99467980475791123663794101020064407272549241443387047177561085e-33 + 0.0j)	(-1.560859969563763240061536671814136246209203566121126878529918699e-33 + 0.0j)	(-3.127415491358477102830988524150743881801251168961955517559579391e-33 + 0.0j)	(7.645888096457219706130403205153207025012663123429545059166010382e-31 + 0.0j)	(3.127414996303782722005263586803629765861372792659398295114911942e-33 + 0.0j)	(-2.628287710534747626651807798961316105874330120913919650517872736e-31 + 0.0j)	(-2.898963006080824210348188833572443342388651265771318472533066158e-57 + 0.0j)	(1.245591511483158423163900021275070021341905840845273038201323295e-60 + 0.0j)
35.5648030622312895396122024695050431516351520715493127560941868	(1.346155924040378002944341587777844904519587057623718960569829757e-35 + 0.0j)	(1.68826820513784950578599251350059807053806903613821100595854834e-33 + 0.0j)	(-2.99227354313032582542265423524271821465159326513086889917670824e-33 + 0.0j)	(-1.559597779524042458171734135648342610397143801349550849836105149e-33 + 0.0j)	(-3.124662096833077697514065823706209595732758215651069586037696142e-33 + 0.0j)	(7.643882373994038750243303658588111044143479129899760114678957564e-31 + 0.0j)	(3.124661602528966477075830294053913303293217257184593711547248606e-33 + 0.0j)	(-2.627597000355181209872007659974809332398163534058091677103517874e-31 + 0.0j)	(-2.895502699242922876967999338947576054402644044788967971876612787e-57 + 0.0j)	(1.243307922709458236881286347346829923934815046577115411861120556e-60 + 0.0j)
