m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
10.0	(2.275660536635564106345879992640716237206544989629897378940632583e-34 + 0.0j)	(-5.047280483702603471877366571268915420146781821764676287698189085e-32 + 0.0j)	(2.847566656250698453569122319584219887165040843844323320381946496e-32 + 0.0j)	(-2.630822901330765471150399561963056003641606532235472423488943352e-32 + 0.0j)	(-1.864217461676418303562752208718053042591824135878459169679180803e-34 + 0.0j)	(8.489581697435500768994068325331359549761818910351518532457116598e-30 + 0.0j)	(1.864217166062259141812262461680977434061984340239400172729383926e-34 + 0.0j)	(-4.549869982848553582161102906356336680778359080316928716724944597e-32 + 0.0j)	(-4.891120982406798017766688753020010004742303882813236245278888845e-56 + 0.0j)	(2.106141939592307536706086413560998378131008501837300409270726801e-59 + 0.0j)
11.5139539932644732216362789617117283891575717115700685366709713	(2.27532446125694027847764002399287614299110601422347720911143109e-34 + 0.0j)	(-5.046853693923097951187944036666118732755001070449676283904727413e-32 + 0.0j)	(2.847328784804048109577673283445161853101908206969681600463505947e-32 + 0.0j)	(-2.630599020241625514455212604526431937732703688149704919987716793e-32 + 0.0j)	(-1.864044738731109632380390337573425115064573416191370722271542476e-34 + 0.0j)	(8.489347232285998228625031906237271022649416152850560752756120927e-30 + 0.0j)	(1.86404444316411639241187791021035514626740189968338579905380684e-34 + 0.0j)	(-4.549744207558840690945181057150917491635482465825292236449752758e-32 + 0.0j)	(-4.890506294126922746938298609168334718802279447778476243331584766e-56 + 0.0j)	(2.105735432227935648318597226027491893190706089631390177141532013e-59 + 0.0j)
13.2571136559010909061671162374687970736866285307464313909808956	(2.274879056140976755865259403689358385309959041157129877066175782e-34 + 0.0j)	(-5.046288029112956298271939843106131312955603193802019911565376561e-32 + 0.0j)	(2.847013510883162506772434643671445938582838160282572208575931187e-32 + 0.0j)	(-2.630302289597345213099928970245454634402505392557083218739003521e-32 + 0.0j)	(-1.863815814679574458269147742830807072874702027815484187450447801e-34 + 0.0j)	(8.489036471953046466100098175211715062364618240390639908674546219e-30 + 0.0j)	(1.863815519175090017472335466335652362122997933746958847696923254e-34 + 0.0j)	(-4.549577504851320101919032328512774584046223513657295687083725518e-32 + 0.0j)	(-4.889691638292239285129412109068579131897250414168641450712003526e-56 + 0.0j)	(2.105196716339258659188914226703626577755234123214850813390018909e-59 + 0.0j)
15.26417967175233452102933260093379400628215365265398847764281886	(2.274288812609243784667848648304269180328735924506015499370553461e-34 + 0.0j)	(-5.045538358443099207415818680039339054538597616001002270947348583e-32 + 0.0j)	(2.846595680345694710818947448292661004421920106634756106674965621e-32 + 0.0j)	(-2.629909035242148396616857945179044858481177288225045543936070451e-32 + 0.0j)	(-1.863512427102950439333198574681609100900795567107619144429860463e-34 + 0.0j)	(8.488624621303147797984345986853254814916103091063723812222459841e-30 + 0.0j)	(1.863512131681300196004639064169273818949385899657763354591578613e-34 + 0.0j)	(-4.549356573730961489104687054148710952203738498841550188148272943e-32 + 0.0j)	(-4.888612067353067395030748661759684420381206417967679396152053163e-56 + 0.0j)	(2.104482878030844030900938778396906919436452934497781830105982583e-59 + 0.0j)
17.57510624854791881389007655886166993236741554122847989724604642	(2.273506732948462525876222180572235415002401210188435340450162572e-34 + 0.0j)	(-5.044544928846509957357611052820183180298746498642478742248283029e-32 + 0.0j)	(2.84604198894883736118828867595204315245035711322847187449772331e-32 + 0.0j)	(-2.629387912736710876895919925638633927385721153081129970336580014e-32 + 0.0j)	(-1.863110397756489068219033311484514204618900355314041236802653416e-34 + 0.0j)	(8.488078850789892824600020277630750025034800768479546641150136337e-30 + 0.0j)	(1.863110102444592596458006020558312644409446598085400932245302867e-34 + 0.0j)	(-4.549063803246145096383390443399589916371521534679514654983429892e-32 + 0.0j)	(-4.887181618804865502310742765953611628024931892974457454389236752e-56 + 0.0j)	(2.103537137647291728999657447905219012602422115795417785738767521e-59 + 0.0j)
20.23589647725157052491828358753364117410550997548752104154077658	(2.272470646072896001121329626089370616440865659730004160605809916e-34 + 0.0j)	(-5.043228660820420580777159596192656160557203350283396889676991105e-32 + 0.0j)	(2.845308360153626717683551651697509633993133290713567683872756122e-32 + 0.0j)	(-2.628697439758948960961904222948988733196371237747905437272151929e-32 + 0.0j)	(-1.862577730219219992732360853696433383649528315683823632471197183e-34 + 0.0j)	(8.48735571099925357553951658388201880647327686645119980727257061e-30 + 0.0j)	(1.862577435052719172800586200502329642206717531628702211171009687e-34 + 0.0j)	(-4.548675885546984427355010768514413210098498280770493024158423487e-32 + 0.0j)	(-4.885286575426646730962564613801121359499478354895413511826667194e-56 + 0.0j)	(2.10228441785641856503202484726891419324988083033632024355069229e-59 + 0.0j)
23.29951810515372068449409285952747834727346726842142635662525	(2.271098366637411645187354577142490688619658738870556025421578466e-34 + 0.0j)	(-5.041484956028932860554301091856403473355347270690855510529110914e-32 + 0.0j)	(2.844336493243264969958025174258367806340418230422106234382964619e-32 + 0.0j)	(-2.627782747902724873157791141301793471429288670886009563928765036e-32 + 0.0j)	(-1.861872106379223594390995695621243598325843923797681774849696204e-34 + 0.0j)	(8.486397728769117511954060328142804714964417999218533523960701904e-30 + 0.0j)	(1.861871811405289075105124162917966799331144389048700860307619321e-34 + 0.0j)	(-4.548161989901105543540779285363219331014786738756954198776788107e-32 + 0.0j)	(-4.882776609350580221069058266300579524057643603943314848498207073e-56 + 0.0j)	(2.100625531604338629285833785792514219896740858314344315663511477e-59 + 0.0j)
26.8269579527972574769880268062762501535385557236722348004234889	(2.269281353465399798816534088562540499480599951186998623038851211e-34 + 0.0j)	(-5.039175564989072242021525234826444286743450139930786677079553419e-32 + 0.0j)	(2.843049329811608981017359158284614598888647895078753289684385976e-32 + 0.0j)	(-2.626571316964717403282892852369385677611948422086221262509986631e-32 + 0.0j)	(-1.860937599784556472787454249652467875203378950695351651340307145e-34 + 0.0j)	(8.48512893607823587387418318024307125379477095607632388295197863e-30 + 0.0j)	(1.860937305065582275171883803465686500539591310270455996569813235e-34 + 0.0j)	(-4.547481364191421046478043589646747110439305270498128053879045736e-32 + 0.0j)	(-4.879453179885553501220940209215864701198751148847480656491786209e-56 + 0.0j)	(2.098429587815733711451269654844646723436196951326809598242854303e-59 + 0.0j)
30.88843596477481002430926824563108583451420625422300382615279384	(2.266876435244780055308717355232546743073100569000807280627311212e-34 + 0.0j)	(-5.036117940558108744945288895024887747641755324155024662144642139e-32 + 0.0j)	(2.841345118232830430193745442612509595592074967560019239530983426e-32 + 0.0j)	(-2.624967390551123209415589128477359409108227392222708130319091862e-32 + 0.0j)	(-1.859700374913818101705002633989239926867430642205574492241289174e-34 + 0.0j)	(8.483449015085612570342268078396103075969410187375295001737775398e-30 + 0.0j)	(1.859700080532274208105929464932319061931911636548122537335173641e-34 + 0.0j)	(-4.546580194036680675589069991851493490113349543711207069901461139e-32 + 0.0j)	(-4.875054393707409236107839261592748484733856631488160247974438134e-56 + 0.0j)	(2.095524116812131821138751862784679341204576750501558559367585508e-59 + 0.0j)
35.5648030622312895396122024695050431516351520715493127560941868	(2.263695072572000152649835374517060352516949207854367275328272552e-34 + 0.0j)	(-5.032071358485489707675696841393844437101208009886303100052072068e-32 + 0.0j)	(2.839089674980612778444079636641390179843878684523835734856017694e-32 + 0.0j)	(-2.622844696120836623931955004655617366793089044532994912864785274e-32 + 0.0j)	(-1.858063084043666817083741958320530412433547911505209363212392179e-34 + 0.0j)	(8.481225662510495667812035771393005167449419455630740390044013091e-30 + 0.0j)	(1.85806279010845306050470485865168805532041549435320818727961473e-34 + 0.0j)	(-4.545387506648193959681472791909829294785505292310376570168288228e-32 + 0.0j)	(-4.86923535423812818001752295409022514638880567966771447748563982e-56 + 0.0j)	(2.091682315772662753222757778957233033494660862054128067133035724e-59 + 0.0j)
