m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(-0.000000000000000000000000228484814158542663572987810548619955394429021379361248483850951339988590165476105589192874264205907489592878358148434503 + 2.56167408478247708933510871750752530257716876170681125637482361427050768734933665966442007864499825678366513775286130683e-132j)	(0.000000000000000000000000265066029996880409052761745986854664978016514653254814665397052100597836003449454777116580653573553494161116100223899992 - 3.31982009576553094401845283051437742205510949270731218472528996754342081450377151763054794017683822966554999983363368263e-138j)	(-0.000000000000000000000000289984022270403532938585783521441711152277270985694222562092110975424796349301797695085017965805179022934979473851881591 - 3.10257805665888887527373301807391819287182611423632126680693601908264877471751717743050250709808976492008872897032688621e-132j)	(-0.00000000000000000000000036533513998696049652632844790152347012825503430238447364450700862996297679494027531714223419572364821759694254663093802 + 2.68051265993375648035533187982782411214040561268275505167993125720271759465694762973361858319959425521045685509927570572e-138j)	(-0.000000000000000000000000158347683934154844753057264729162438495645227637662622043690290392140886013183297368761641533450532501954776681275619671 - 1.46880843209989018507169836785050101646654346399521875694097812220568549212457025462881495305367265873082265409063383141e-131j)	(0.00000000000000000000000180682166682234975626983896759879632756770700673576863344706556094555843678714376269272519321942384997373566093243385979 + 3.9823558700932262614363890046830599618470434831672087912510345826695481577552516396801938292044605707106783362249247498e-143j)	(0.00000000000000000000000015834786633826069627571721793210127786096014761754416516430249452397595948419401284872080287189076860574378448275269847 + 1.46880832984587596731030443030985425081632210189154836409809148264123981476601264152133252423657617150686491237245193436e-131j)	(-0.000000000000000000000000575911721898533946470852309880316915595342795394744911569662238575240179560893713055408970988153011028052825818143258795 + 1.89516517520301733204510662623888442037118150402963379987263154861714880820161928850909235893328308186083163725287032111e-142j)	(-0.00000000000000000000000124999350427594945040515165897981688240705284122754905583844082013025542959471640719150607702639437385081086575753431106 + 0.000000000000000000000000750125891807062936009572392686089987978717097324334403782832490968313318519488004044223857836411207906273239866516563242j)	(0.000000000000000000000000106198540178598040469675299380982222385579816913588442379839570307941397886372682434308584112625024313074830315907238187 - 0.0000000000000000000000017440245542475771626083211918831228833689453296841008550211588743638342354862175708752698491941483019060111505268118539j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(-0.000000000000000000000000331485241539765917375982614672480973585999826694399699031205231181298010644033367236792062452121650329611179380201335275 - 2.24675058307546071502883796830100123964273039555202153497101723916231715919865368547943620181835874005342915015860606422e-133j)	(0.000000000000000000000000384561600887473116654141174425157813647923094300183298367682288563069703380653752282949697541389435969762505164917040936 + 2.91202538187844228017411880181405550139571464441665565157309895326297001306253220877114797042062583455609030960828039059e-139j)	(-0.000000000000000000000000420714161891290816695066807001392837282988088412194927152015710366035366152915540484175023168557569616560582770523660517 + 2.72115765913498661146220723581587186321735145669130775018307598794065497992144186391256970116746012074491665890261903177e-133j)	(-0.000000000000000000000000530030026193674446653651379646484462096251185390262746523732021093095951677875272448449782213889552014571779406391196686 - 2.35143807175403739018549892090079781604624662393610145481006661830543173544091318987271829811818138241308023662224854994e-139j)	(-0.000000000000000000000000229731845281018161274701144474525244132393075367902675163490995290772582392939010100862659772197735085936884190512350629 + 1.28823811755689828432413607567411151703895494092051742967981278550111254095750712963985782759828717850942803913931649851e-132j)	(0.00000000000000000000000262139641090583276612415876823468997213165235621436151035745283852099794077478410466254947985392296951167744536209933146 + 2.23282107477209321830556893197517413740208397575659986454233135127379742037854001400813600916987176591724808917972366013e-142j)	(0.00000000000000000000000022973210990684980409257299408684220100176244931390828911021203239516543807578185771767605193891363745040888091833292053 - 1.28823802787364487607869153109227475743583007144095880688693700286525477067763807085243479088189405919221107507395580927e-132j)	(-0.000000000000000000000000835552990462201885649686339924206752312984799188819177387773171228875862815938596493772251937000024001451783869454063843 - 8.89048211660555617042235754063144346118033741374531820122229544339220059507836772409199757669295306073658093002518509213e-143j)	(-0.00000000000000000000000181352646748149349383262338112943247194816611616082280048399404220542310643481014265905623588585650369294786457893587547 + 0.00000000000000000000000108830452222445961524356553529816224615585960444068465561934456420355910734002394692353360340653570194104306097091003235j)	(0.000000000000000000000000154076030545945067623110697156998889724001162490468948256210613131183652964875530678438525867958446490268810649345364606 - 0.00000000000000000000000253028035703918193276193512115039669201443395180784629298825457749516116860068220116006235414627866576178297411986982443j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(-0.000000000000000000000000480908078027817058821878770302720596802062612035516199166675461180420849462106921524029538985847304615418214071608225437 + 3.15597207590997862512327876431657176562630395475358241799585755210300336470224120447752964064999747023731662483790742001e-132j)	(0.000000000000000000000000557922080465170600579449416131014241055252659379120512865054550412797850275966580670821590078711783347899821565156900599 - 4.09002916514400626786930621290705404598905299063235443438954836427075150213935642473953253437202508863233631093314038311e-138j)	(-0.000000000000000000000000610376405854246563749166675840013982489901006947405043571251041481863157076258781376939291088413529027138012259436979618 - 3.82236357395361924109741542681374217770736775356243726664141370563973744049115531213930480152075064437512189112337060252e-132j)	(-0.000000000000000000000000768957963423466884297940349121719140135230975854795883702276181202507558641859777575083750312667473978058142941375606683 + 3.30241418496244764743150316255563098775705021880525791325192839758736212128950026673524974345274241750986490015345414175e-138j)	(-0.000000000000000000000000333291506076613100522317431195403361741936364552483820179384146898788613586456860670009018175511940566983134389900293761 - 1.80956602718160914957499826099485134255738351247575067973132681968161511452216975859298760122044558154557653292639881841e-131j)	(0.00000000000000000000000380321893659028046725621524212365360185089309189457283388676335968397847839275624638956738348385039982045816226553309113 - 1.16434387607027299056554625530325712287994770445697329037703664085583414395611581390662650103231635197130131874531003176e-142j)	(0.000000000000000000000000333291889971380136418152525691906842077824607597592182932917723214951946752265330567725781386028696403736098182532102433 + 1.8095659012050786298854097699399832232107829624269045602518419932197480272256683379885048935490922904347772952316713852e-131j)	(-0.0000000000000000000000012122548749619294210851630222435988665846457471122878148322309290346661322425678684240397388287779542092223620025853695 + 2.86234072137460358518176684689552616528314658963960261014316044585133121267445819963564281975071467824283877752065231586e-142j)	(-0.00000000000000000000000263111614002912017981590795978602282544059461520451823363880612490021489923897626512188252986269849094152418876099682769 + 0.00000000000000000000000157894440847396223790734589653209340500198024186646144052201631550157462257790374760988043176328707124299256602660616569j)	(0.000000000000000000000000223538342890049446855601775090295352721707284030971610888080439931469270646440904566203882263265072601710471534794383891 - 0.00000000000000000000000367100155334015108919866796769180035913166170995584715423277141075764835939208206410554776318332879124594672876720742303j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(-0.000000000000000000000000697657833433029033831613779212993518320211617143728937462514922194917323419545195094740673730876758016596457967222687115 + 1.35535040177197355977299190447656688124393300461602615993417391873962333478047521619724771873931172045133865934032444708e-133j)	(0.000000000000000000000000809418146377192314530485126278002581702900924149206076996199713091993241860791444113513763941717166770237880836665700684 - 1.75745299754223991413790636727048069581182660929709839544484248715382529826821981291015070999336229382783342064283288159e-139j)	(-0.000000000000000000000000885530455448548656807006760384650598711079595799269384769501340321074179862268575339459889427498056537600057966409715403 - 1.6415360702018273330737430672125337417100731480969777660061897767102613603929011513786656608224620512200823580138739403e-133j)	(-0.00000000000000000000000111555577087375092364532834784190686100293969573950724042365725507423412914631309206704723264398520403078554996911209359 + 1.41957272954155117844348758088504631808466596422981689295572582516569869803561344405933200237747280392302452765765582224e-139j)	(-0.000000000000000000000000483520363834584233765330134356733977599521721009550100124506103494625111170921790543158205008242644482064861713283829457 - 7.7712856175282047850897787277692264437810721980091082703176751256466280833850015158198247241622269800453128845927365062e-133j)	(0.00000000000000000000000551788100288211793157577156834009464180972522778513998283435959860536437521394007912290187413624621071854727004802563951 - 6.63784612558555925943621832335547368910737133472557451839729400525702651705215102421785017490938689954200618361444543166e-142j)	(0.000000000000000000000000483520920710013011245849070159971153170150717771411766267110607988704519210032412120903279150216720361571849167148877992 + 7.77128507651473175117826907204507436177913179382124032364192746813422163164003448154260378382342833994944566415625236457e-133j)	(-0.00000000000000000000000175880428150757455325346387390122430393581097577260560890453628957569538959856960740742122089183434457769446542253405656 + 2.22276930592136251473616493534598590988151410482399567263587001228193401700635146296196699192228736144060030945763720545e-142j)	(-0.00000000000000000000000381729825265981119489828167095744436530655633563778742201573287613095966110538944813318341932488844008826853569055905021 + 0.00000000000000000000000229078069837415657238106017917292074568662295728222245340191944398253191999421968868199597940113220014091459837749617417j)	(0.000000000000000000000000324317093609572280701829098642598590705373200911741744008498358875607828387026523393503711621022782340516210502926081872 - 0.00000000000000000000000532598857154729790838277527376637985900060286859712293745267894964128775419554072973609501734423406530439514305355474402j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(-0.00000000000000000000000101202004877230269712263137852994956588528790380025507860729172281558364160223214288261955948935085535652396340934966298 + 1.14430856790500269038848249628259499987724326244542539341398258144435857282783990791807833080493561238871172567739465978e-134j)	(0.00000000000000000000000117423837536019233574812993818833028998444331077185809943979720535208172787325265628961745956682328276265763743425586434 - 1.49291858171045077116050411214530892276874925412461321818378480276507472765292211929361032919654960854188644551391680326e-140j)	(-0.00000000000000000000000128469419920300657777236981735875055997253046977749152545838316985189404106760909151688927442420501730289983961178068991 - 1.38593219936144478377780429564051068241173566575528550223822099969491572491628788771105974543103502322114872698130634334e-134j)	(-0.00000000000000000000000161828115185034878128003229592366656670629049300680880014519706498030893317231928301919110762215223057421563425046741043 + 1.21109880701439545497582338472311699247889480681519168327140847894820340315106327323478445266740067740668430068686905516e-140j)	(-0.00000000000000000000000070142479498844446856251699033856493034267648615708154383243198247430523684725177267281359766939214544794868117970218453 - 6.56121740598069878214363790561329551857054126156522304705506281582168033736074459602221763876052922767992494324876412747e-134j)	(0.00000000000000000000000800567500534174668761289217303687333879071757713813536131959857191861918861641171077446457736093790503203479781653365439 - 6.7767017384737154279248053377841265659803964130322748206325995568340286189286539757523337969138370244013937247936417985e-142j)	(0.000000000000000000000000701425602667219273639541056358833070810063879526717993863874464407510615346010814932441435829414802961526876530258236398 + 6.56121694920851943526126913425593959391502729748234884574912905989121465133116979218882712285003049918215673295879664339e-134j)	(-0.0000000000000000000000025518088409195840067256103871587070299871469757893015251140700929249829845848102354682242631106952417950845216541549593 + 2.16907497456201334942788615488130629850128067306330380894748169468272379963747759830438466131907624785559276640376836998e-142j)	(-0.00000000000000000000000553824383098831211541691700428081751186362018841315892140395235727248432762973602663273713008001193036067535757410622289 + 0.00000000000000000000000332353884066611041804749884967615376734952786748810700158413598748157011855492407381445426829016938786331287073875822995j)	(0.000000000000000000000000470532336301942986926225268548303985589169355420716127303848896656820777291777294733833165105778470929747006001115066937 - 0.00000000000000000000000772707877877908537944310069196803534218262057803875461847956345073801817810421856401098426954791098812413306243910747637j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(-0.00000000000000000000000146781400798076904059512235128579893419072599617456863271382590791708728481970817910813021083718416546935112322312537215 + 2.03385989364723142376488091973465144195720348332282337828514808456577548559354515890234084485416593709630164260211167972e-133j)	(0.0000000000000000000000017033682434183044382217403605026705061501844607765378554117927276503524245252618387909911242070063060462123673613035837 - 2.63883815509063168390611749229850330313452135432192110170694756748863520151417188036036889346186569242787042351288298831e-139j)	(-0.00000000000000000000000186370627277521726968479026235647857646368925393741738056633223744362509686211358119776612486125764385694889586529769592 - 2.46331455557566804696608354002680701961052324576943458675216660938733867988339728018560926725435117019131438076587439981e-133j)	(-0.00000000000000000000000234728995624391789683855386565172113176183947869658548936461391248839110564084714914184072279782208824600397490493481088 + 2.13240559095497226433216127244057339968943369985976150595669762382341346184565773082859036684578949771897180363034312644e-139j)	(-0.00000000000000000000000101742202996216151923015636363610674601640876257449136291865141613699936002049680362586022419769361291040456426067270114 - 1.16617120613756419288817649583285216323066933416279447685095725797120104544491776569477082905699970455098305896953660841e-132j)	(0.0000000000000000000000116153554664331315614093908256686156990955527178163795928507745281745137834441612784215104992635083914659583079762662705 - 2.07162060862156439170467691159993260230049359134180929321022412328428699338221834343559533719422185498611811319690983807e-141j)	(0.00000000000000000000000101742320106652921290051276219196223696171762797593831634134942911733474936354091613269214660083223030723036552798919613 + 1.16617112495224089779360040201513988964314084978662166114980918839697649222311351673175712951325928678176793542239236101e-132j)	(-0.00000000000000000000000370247671857421076280076204201391891048196696571508015064811492889849819952620925937283526843276662854833292116555353049 + 6.76396959015378526046761212772785488258615194650398717670415063793442153619302146402744102147588551877499931418893569465e-142j)	(-0.00000000000000000000000803503641821883826839535011341165991589473723439447737127329751454488956470628343071973793471826987694970199879382139945 + 0.00000000000000000000000482191107648540995854556434141138733689993101310857519923927147406330469716873211467642277088008637313985185806579902867j)	(0.000000000000000000000000682673343639186212363607586834685903547660597924838696711300301806629325275641779633732426684519995051743205190733822084 - 0.000000000000000000000011210611113069693894740569052253521003998488337785429839334689563020600763332978326572757365947530266562200253462834607j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(-0.00000000000000000000000212828596402460118753685946184260212546791400801360851856612797107456333416667615011550691452576644004724513270767658274 + 7.6229582736196451132541535742890300311710234750599182015436459978233610624512597811119736854234798710565165254654752895e-134j)	(0.00000000000000000000000247059298529806155502314118890276608547191813936923451548447553692556801117297956538879669478680406894977232236902228356 - 9.87364610897698326256619153177374644020599636507100400294609010786506860339974062750481304399938875306294567995416938266e-140j)	(-0.00000000000000000000000270345505531749017016957279392370911234229815157855256469667687895888310381184981014363651412936290920649647817679783756 - 9.23256523401762907891182438900561390670801365435976925802711590084305699961042129707300690926288781649243874710341462073e-134j)	(-0.00000000000000000000000340396040781566004081940824736295488071365927075728560083562819648875273306218582881545792609952809919741508711514676756 + 7.96917150918066694172323650234775694445479500580736361481027908066520695864962244368237410361230900425145727796388612442e-140j)	(-0.00000000000000000000000147547976124240015755679768888645054541428521262684837280515804567757065898515652583523341167187063614597357965262758492 - 4.37083915709599479764760073788728964318769262857530070295868398923869511070424373240953086911848512827238562719224980138e-133j)	(0.0000000000000000000000168532687638665788013855387520680436837739245361221128685464864111883135293924838124880822079004690032813257730431999867 + 3.67482181427627160642349822851482011230440830789581945838524286508558926531121458176983087457075406044661543965917071083e-142j)	(0.00000000000000000000000147548145839450354251296537059747725035341004611903086214932729148553252312343455848258070220355237277164543022284206204 + 4.37083885281135224871881161674533316414988024247987730053784408390158652307973629128031478097684390901592908569469409644e-133j)	(-0.0000000000000000000000053723271860640124977099500070572892805359592232553808191492632960858712715963998122123882334979816176906794881175339967 - 1.1109398620222358315642118671346352403228029902458013455407995562746690179775619025378794800238621635244926958183236018e-142j)	(-0.0000000000000000000000116574403598423384796909126725860566345355142583775468691077262592579836330017139037844925517037950827905266688976546791 + 0.00000000000000000000000699584455765786754427158463525615131477391285715767566615588816170664296898674592336966261167542849995735257943187381055j)	(0.000000000000000000000000990477193368869497478903983892849779205852033886427338048628891351579456096506270827431663868894542685913803724572817901 - 0.000000000000000000000016264502691311476205849258980607893179937998522857075154982753295895518155818655230292955952862237832099640709535099156j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(-0.00000000000000000000000308430936900402432872704122467323543969488888944435705682966807749253488314082250861035386002430482548781475236541106873 + 9.31397245409242211318635368168353052247656092127118829105171487357870493383192649177080803001583923576169473949876728276e-132j)	(0.00000000000000000000000358245249843564908201212619909337959599314905474849104833632387673877812122693299237042160081050899768627287270771372828 - 1.20693069229393436691059827169675664202854588337094421629168254763580470163487932072478521335025340287071720341837895546e-137j)	(-0.00000000000000000000000392095114273326424782662499399574347044830590142540934191375250249644126759811734748100297305517929645789426526330758997 - 1.12806413331969259219017613203159692823394187817142293451481601976004971767209058809133205099406836983631471794359525716e-131j)	(-0.00000000000000000000000493427557452978619925178650090100384710028667741652805979509888660038175518606476929136515223846390402369202922042333701 + 9.74440105197776762424757915012235321805489022713016608583923042619803838575869606036553259335279006852683138290781622449e-138j)	(-0.0000000000000000000000021389490936756042226500075717868529386626142004662859839836352663090921379913932105249455533587598627936991484174586572 - 5.34043005700380394227378184689267146773047212756062012709476984843280908728569516606628439025986826216322502662085423678e-131j)	(0.0000000000000000000000244550304022759175748812981249286928884741707406452816311163144231502122587555432376837006603395735134413658105545364575 + 8.37313693098953215673251420887073709285087661089625394018695587217354124163020796663388333358930198214563055531368946979e-141j)	(0.00000000000000000000000213895155074618191778986940396701664485153954957097848969319402146034673007669387119791261868436637714873965637999292539 + 5.34042968521916619403692500935685813603400786238993398076860076923401332270563638745975435609865986801835101852882080057e-131j)	(-0.00000000000000000000000779617442918401961732409158386227772086180628947839316213597893792696522719758845080777297644884724837434012171731613506 - 1.93466689109561397285433617013757816784079210565480296924352226765108443123385438218895548618288405868701773377538823753e-141j)	(-0.0000000000000000000000169128837357804504940082463857856244490279140648787571052682960314148606732411727215353549082565228571070063228647448094 + 0.0000000000000000000000101500083702108612179549652001998595187966614864761638861367015136915625528701881529941115936183867948607608077041308742j)	(0.00000000000000000000000143711973735973088769277010167915285454232879667746781569001492170176244622759222533670752059575107147813278330331839386 - 0.0000000000000000000000235964755736401235128562224978758177237944235991611505180312187577560244112046980652843486765856227683561578537280759262j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(-0.00000000000000000000000446537200438649993835575222663866422475671666320859240207737274055984400366372548834646134067113940990738957299945268453 + 2.95239503469731576748616475933880718589479534353212309452110107499374523186626172518181040962576837179958931687360397812e-132j)	(0.00000000000000000000000519213795124265938308113380202271615837466244822044197511343900527234987918219087953654457182159417217434516260001375111 - 3.82394383068707955965779196273064116629886598204933895737639998892495130551072816922463317067397491545348360031785845847e-138j)	(-0.00000000000000000000000568500776016149702688071926296274066721397669199943137376664059111027623816217714843150924836603883122568573295801886026 - 3.57580072963976268091626013325178996128780927326461490330157433791269689360914110089425102909929173770705729682757011984e-132j)	(-0.00000000000000000000000714710088305830683590608085835113438858695764920880744888284494842493439865046097807524781405187015103119651664494153229 + 3.0862857300010643998753071057947479423175181577484963119735757133067409230784333959147247685726127291955767609042384619e-138j)	(-0.00000000000000000000000309857794423037586113033918798724436915813903653278549832693185778124901080193003463925275455595590318355744561369145097 - 1.69283936265561754755279270721386652490094645597582183906544985751039617697624685536131049367007417286479925708488338247e-131j)	(0.000000000000000000000035490574578005198839821332355078602049623681651320090842638505788061765545905425616402727645888841138817887838589899981 + 1.53276318210204895287891642686846041167489325082797594207706754905360029045458373709461832247555061340020955371934947034e-140j)	(0.00000000000000000000000309858149511208078778966351483479705629291144716655453253952488860041100236904485302307351221041576550878359833890012659 + 1.69283924480524561557281852187106158304785599621129332603688101729992331539834938898101398204116481787198794081296440598e-131j)	(-0.0000000000000000000000113159755745079956670989860746835870499146225004616874559129673932966195822127917194930758790985743719706512628633853401 - 4.65453142010078466342439100712079486739566321634695651911801959603294399083941501748584359654427155569019867997428156069e-141j)	(-0.0000000000000000000000245374967101802704852161340649068315655019589209244948865582788694491575003420061254324233744037966647501053004440007323 + 0.0000000000000000000000147266441923567694697922672078613925497854989972294227798232627679680851477195152374901939827604012963095810794045251341j)	(0.00000000000000000000000208534034178629237581093908695755716198164314431149367357015754082473619080936394005267849002297647139676779033211329855 - 0.0000000000000000000000342328181952638874030130557837314608689591294583552709594037693712802162753861871572869700901599005018891161128484584895j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(-0.00000000000000000000000645321497380042532123781433697246729984845696800355009639082877604632808921963153325761028788753219040631866454949695873 + 3.03062864327306761895983140636104393208818365494499418030214061380696976956664142996643042981865173309885375268385241146e-132j)	(0.00000000000000000000000751822816308412740169551444265579453066032246689651781660419009573339240777240990839623608688384165404800434966415581241 - 3.92435675602786189389337124126742667254562923169748789465013559575007649025749687113236074637886948688155390029500581509e-138j)	(-0.00000000000000000000000823796115020002913867233220016117227380425212146108132667719575754068842195793823788449485213799983731492536884688965924 - 3.67055356491311892242042981273431631042360917570141613678631845579327324334614641729855864576493771116077252057928637278e-132j)	(-0.0000000000000000000000103378053305332418153705418664683634632331626406874380830398938437884874737104208440204456958581653431110443964150315984 + 3.16681409121412148227131104025513518246561153887066140740599425381325050977506275956381039341069504303323172923994538912e-138j)	(-0.00000000000000000000000448300230896666928128797575366361045228936320069421176843372146601489283767205814903237355208154623599621323429305787438 - 1.73769681973823435559889747631100890374052663196913346372961232979174192629017611433985853567243573240733367629101540653e-131j)	(0.0000000000000000000000515193148405241216225626436027683626131894283899385280775304929912188021811962314188204679880912135442981755958242745333 + 2.20649328187955386144101649356645455486957936351469091770424859480990789457839316926254808524614073179175626117588040647e-140j)	(0.00000000000000000000000448300742424285098995977117125950673920482932915337122102755002329931226598967892717675580727410928697339137140686535294 + 1.73769669876502158702653727537114501719171338201878349350483824289660782356220147191314662583719559633893032316228739409e-131j)	(-0.0000000000000000000000164312339272360914981386073857430371219891357321749617264864797554579644194941618996579946047537416388858693197817719941 - 6.79922560265709960341660341490469816108739045019743413606867271657683073161622351925438918061714994238785183410680093546e-141j)	(-0.000000000000000000000035599093138192911994008761223598797346336955648505668163620530571278680101152809859273093177657052885631963377361348731 + 0.0000000000000000000000213680377048916316003799064730933351269576777091965908290630589565883638324399034548402653893071051946091137407127921402j)	(0.00000000000000000000000302646147256341717181790751042140344938041221232287314298232303297627569621485824087923880644921340016597916834583402339 - 0.0000000000000000000000496609876479842663065930883769678889174554572625677911867442958325929864484157884370932082529804056165867915088530222176j)
