m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(-0.000000000000000000000133504007903868624642456000456386287221894893858774384266772904181779755554433832062953257118044070284109244467487761792 + 2.02502934167039180818049661093850143847578064966578732649270982029688094065289442119842393735315590231772407269274713249e-129j)	(-0.000000000000000000000169438474468807335265514049920598483583302888970673057156941656341788724656962539495057673935700633223126625354783038751 - 2.45262164212583428540337616417516015555017412424451839087597504826431885498953980368526903670059053236477215923451634637e-129j)	(0.000000000000000000000154881939536460250351882490294528645450884531449567947693110068563930827015088625775283023642435708431599759748752022073 - 6.28613806401869979763029750408884072935922938141350828419749577384694258039910889545943369439837857491804101145182356618e-140j)	(-0.000000000000000000000213470864171898383453961752827648635284246035802767765592207624722927329482246668155573403865017010379088995016930582783 + 5.1600387397258170506002595963750617743243678314612372596697574057812206606962006564816116260611543968799937065480407712e-140j)	(-0.0000000000000000000000000021641112733696035344524125470360666772958058212932216784846838660913434070209671921956650525491869474392737073420571004 - 2.71577395847410030884045989050705094703697540392858028122069814477830214539013068267307615763683402522894241631899238176e-133j)	(0.000000000000000000000719264194448497207177988174955713053743590299826191692916500950147361080740909754294080613755135058737655193875288738952 - 2.41503557847707215393925520972175491990267485682573941499467541476307409414004010602148608280549423134621597004454170825e-139j)	(0.00000000000000000000000000216411376625595627970660978938180113013653257623209636625905448838167486779021115284139734883321113830152850457457441997 + 2.71577376941010605114069887450366066109047609035868604316676428233161810219397448245108393705464583068122916693023853536e-133j)	(-0.00000000000000000000000002469352400585474010274533042838563716691240192121923783441429813517709410948866758221303978394419033315926637357896047 + 2.34638916745933801527890945619701768557575618042142237843388322453060345422006131189475961125690091067571688764676663322e-139j)	(-0.000000000000000000000730390370445182538154082921238569472382786359478076354946700958685563773488197039430934665857756918156805450685323180537 + 0.000000000000000000000438309848216465344174589376994110839588916937073894331098597513798838292678372877352874877306040829875372508585782925243j)	(0.0000000000000000000000620535673383932016934815044423085031898683253845701797379416451077297639968651417209776872835830569866045647653355718048 - 0.00000000000000000000101906046241410712283173087946129698563790751425854483705558271812309005588021192829018251405717780525281471776557158391j)
0.464158883361277889241007635091944657655134912501124363765069285868477786969284482618995907089757137984154330822826540482	(-0.000000000000000000000619467257081961856643492345418811827186642179900746381732029476232911442439291292045636090526080092690376480486610242567 - 1.51622053053883664726129764610405206503090072855399341987453671510568455500147913580758816737861571041964125226945272153e-130j)	(-0.000000000000000000000786391342870438069357609481763501340705933024042552387623402838324228994889066698807376799293778235095186219845505181748 + 1.83637600149683057063317258950910488114829953383213947937843796067974730364338457097475159312383462563668536516117277003e-130j)	(0.000000000000000000000718785203366796573989863036720795810422118135694941386909782879381787462035047079028657710969741293581219828298914868878 + 5.24000872138769175055380068091206639795342208359537343011989774853734402960210557279299618406388143098736904984114048845e-140j)	(-0.000000000000000000000990589296438514186526177578918268029799169479485951943959720029667902603478457760542992667838897074067934927487532872979 - 6.9583676803784653331055189236315805250479383720131056430482026040660654316454137039600800960020857094677878043147761428e-140j)	(-0.0000000000000000000000000100425068792890778019665187984687720792295189334508180014428261979724427177488086201296035161670820361640520741975131364 + 2.03340867520151655907611776277669776198857805551732147454429088995055650266738301431210236532014749513769175327497894155e-134j)	(0.00000000000000000000333864260450094446824639016779487500659186496535329085900734615314679437491631124244853923196562771083227891421038963647 + 2.39662482061600052072144875594576126930489778340360298414039399571132184233512327501330004454727804151643080018159069838e-139j)	(0.0000000000000000000000000100425184426622288990953057972197377879454175822732591390388789171658817807521357985035948538730582888325837443825755729 - 2.03340853364173574112497884315733582224050803819840064810722441752425865949062052851460223707829755681910430478965351058e-134j)	(-0.000000000000000000000000114622387016857050475526397323164241731154114427413911076289465411078991433016621714644110830022181546214523999872820922 - 1.7575962360057712084544559495104234947386861150769051345281859051202604563281345702479146507252702062417254671969640885e-140j)	(-0.0000000000000000000033901689455378526533009830657416065957419677069336023391739251009779943831487866294175365036681569598240098143433812354 + 0.00000000000000000000203444399557758933866362268236596815583237005326282844148365352427712732734489007262188728124804259656974723402979643897j)	(0.000000000000000000000288031738872486800261818341122599214296620230858880287791607898440070257473330942448287952084256028078696957981265024823 - 0.00000000000000000000473005350911457966056113787245806297905682195071454011801969544358707905866712455975318255150155089321595266944007897562j)
2.15443469003188372175929356651935049525934494219210858248923550634641110664834080018544150354324327610126122049178092045	(-0.00000000000000000000286135171528642425269829496165568029110471204718579540710620526899666685686242688376746759985171239949571930425390153004 + 1.98941929233891320686467156311522956820426971125874957960427620939321564553185017307750058816091387379457678773198194726e-129j)	(-0.0000000000000000000036448200851186120272103671309162675662635754708245803019094918896070396064794566017561414572850162982280929656024547155 - 2.4094924019911965651457890557423351847511570261029098521329531241201216280132041551762268970573671851351220476862453188e-129j)	(0.00000000000000000000332837421681018939054774012531758260649944948956112630363286986137978204430386663560948680807821386296378453781746838125 + 1.48599912820924427341005734191935420910326795827589130901876809364602427587453077850614596416001175125562134145570651779e-139j)	(-0.00000000000000000000458060868470022040717441572214794799796229635255150238159004519924819041791206768839360912807081079008305208765380052228 - 2.39378677555642541796806863759005034497916354027742295418036731565800530888337691773076880647392833554003678362073440969e-139j)	(-0.0000000000000000000000000464512191415762021032870316004703224333713486291609502278699217434502219363256116815661133986517254821866972943062720381 - 2.66801719658825510894823754257110537239187905974870421554637943074608896147038607569158235363779654892230141996767322327e-133j)	(0.0000000000000000000155046272590343493817047290058300009650801286713336289083643219022311308068818363437812916584586811182483012618106681151 + 7.3862912239973860385922216052895547709217286107570089969739977121598099536884286355177826810771234105092589571269597624e-139j)	(0.0000000000000000000000000464512723277283654121245861641085780793270205144086975345063473760195559409149811482100636343466565096505497741906493777 + 2.66801701084894265125785637564153248004557023332113244986872157033715277424645303064052090697247380350110365286606197487e-133j)	(-0.00000000000000000000000053239238196776046524422639030737239051285393898332342687839829207401418720357519548085580333039778014147734593587740615 + 2.30479300203627954936911636379170577120314924090359112813852329284248870370782701637062161661660374147159442716166709751e-139j)	(-0.0000000000000000000157354870366395142921000193018302506608679946947896593701132042036050596630171057580334031700909799449652610396677344291 + 0.0000000000000000000094420422799156484900035705679789553243637766643872111653447039289932110174570584507745182339524089860696951783832735066j)	(0.0000000000000000000013373822375075035648617402249249201942288229523112928002289734444580645549499584504170252448622147678855195119408837687 - 0.0000000000000000000219543476116687027902334533127913184749142574583408164367470860850440403826353920272533862572894599403481651961303555758j)
10.0	(-0.0000000000000000000125415096804331360398304653317418527148170299389368691819850028632883925915684343616946604373311979200813496156487199066 - 6.42002739281919258221570918372459691002752436811051851775388014247150739562961055221574329555734561258981262864134524639e-131j)	(-0.0000000000000000000165858885731807661635435897246031020870446174787861447771334368870617203818614250037101622650238735820366014110708180492 + 7.77564009095401845956324397750122971247869580507291633242620748134874471251631464499458274006158920820427767988056440344e-131j)	(0.0000000000000000000149902576535635327030085627014589623577211679010533421262116079818285177565635515898466882355761149717282233867473488833 - 2.76248061281960252920128544395381102132695526635666151530922964288507165436096449500889669347130280586779080492844795958e-138j)	(-0.000000000000000000020329713082362206971220764701024920358415446134763122549463143766048155003555465602562969649135330882948653468899908568 + 3.8738714226345187894634271535842651868210666015628327187508574291812892866774454252997830247341410316022441224154939136e-138j)	(-0.000000000000000000000000207056803925420650428930099790560111804429233942798357414269216917876785396725496927797459910748026914742679517129103925 + 8.60992164111093911613195620140189638188493345491428020099205072735571039164211003142561534323946281381438790251154298539e-135j)	(0.0000000000000000000724365069477533756343025248937335191120307187684040774511525038401448781263213476295123178049236432001084399240918527151 - 1.22883679487846935841378288806990919647724283433456129353099266635919169338236894439378279440595165573992541399193262246e-137j)	(0.000000000000000000000000207057027962796840401492019985753615341194822667631994886777885435040430411715947718279972409695521085772228125919345211 - 8.60992104171420614934116193532915294097031432559611726231534248097052052300568223972933969372965522124289134953851454007e-135j)	(-0.00000000000000000000000249192524667591559244349447489574821364581291014738180486526385408919014693015016900746303123491669588197884736979957889 - 7.01768530965178924452650105174278820265088250238088095579737648945419443710081501267997681384024306685752630926260998295e-141j)	(-0.0000000000000000000730108741263993702109927467143550576444381046555876384949351810973742525805822195842319658043826509918217308171192609744 + 0.0000000000000000000437251355565322607484088337288289650195418978769779028510641070057992967610972658044608114206714794433841214000538061025j)	(0.00000000000000000000625082782124922832043410391826973292100159325018195609344850180705759633872086366605495373369188473419330541236526468934 - 0.000000000000000000101841157995768327108294670012491063497193897532850199892207518013501748904584084933840015107760155305644349214731374197j)
46.4158883361277889241007635091944657655134912501124363765069285868477786969284482618995907089757137984154330822826540482	(-0.0000000000000000000373436295838593265419583735075430853155143355574773647755934620472841282826723702182713698295340159922708496044104036516 - 1.94773153166489253505768073585143221887727675107362403821198595121509554646166083392113234447824312176805468014549791752e-130j)	(-0.0000000000000000000632105883643770595776624140415537203805209337328414286463683670689513282128097698159070069718830104249096803488332346536 + 2.35899962547152839176758460962859313376317912083322502994697941142482609001536423986846226781533776129318159525748681676e-130j)	(0.0000000000000000000534904150083943526383054617314046751984326893150460355213255421928625748706163223852535510205865266900235537452257517028 + 1.26206512753499653426512574467697065792119553218588596619868881087792047480494150715383825958170610543057974701712207791e-136j)	(-0.0000000000000000000665518423019563772139822624355871818099485787243935357229465833798922420107810209677815245230321848238913300566478078422 - 1.49135707748670482207648567504991615931978603317355756421529506270696673110790497388384870761922479484803471990018209923e-136j)	(-0.000000000000000000000000710306141839359294956167523287185665736950456575899055492792427280901268260924257888200413776762848115690684315020012872 + 2.61210837402007141845540700658817461125238199128941207941715870359691025668403130851276784117881024914367781663784105811e-134j)	(0.00000000000000000035452780107330781666175632988931309313619886551064282444290199930256863004557947969584030764584953576064192046196589337 + 9.020738532725420770596665617678109043362459376553150687702191063536944981406473533598236695195372980920131574253749545e-136j)	(0.000000000000000000000000710306691638376255859871509499296869043235544369843890470512354539974248043440549557249978457838398848287723872099251808 - 2.61210819217285860719434668894103469500998664327504322772282379794801963648501651825336719926651562204786500439358600745e-134j)	(-0.000000000000000000000012334162514676075101908109697702026077615223621146876816308577640736051895124344198445721888913196794161371259920164228 - 5.40368386063039932684754726082295777690902905670934833556890550649311471194955312713774954138860319056380677251885779704e-140j)	(-0.000000000000000000337747893812430911270762732361472566202024614817987576396833962356119089319718448536375688985812706416423633983641069963 + 0.000000000000000000193050523639025150752308651923538911308639407622424292706867451746797444350583495873008095561935404706758803052061116994j)	(0.0000000000000000000313537976518319993276374488865585883788208581482231493897983137209327269573979091405028656704078889481686349458019583985 - 0.00000000000000000046583706782773301100839018478302260597580709836664899256800309182604476799590803662263857729268527847443546735140315874j)
215.443469003188372175929356651935049525934494219210858248923550634641110664834080018544150354324327610126122049178092045	(-0.0000000000000000000279003524043034492767486963124405764817231294840404396815724019698997470522709514587376016783458796421958059370617112044 + 5.32278768994151101871591598852947261349135584705837464991976571703961359670371920437717070969435920912062554363047499763e-129j)	(-0.000000000000000000106793850851304767898000604022387691102868576439639930916968655525716293322985894207866307598634702251580026455908254734 - 6.44671110468577223729022698884938946993345999268001717894553481346424955347888990084892175333891852406663105592851291845e-129j)	(0.0000000000000000000765820455637518270300511142883682002943882588121846876799126495098856022211154374766139279521491561517257614892541967386 - 1.07983237311871231109496642907618431807218647174996977799543822948601740681982677487644151498613578149207774444367610516e-135j)	(-0.0000000000000000000775179989294796765300711764578376976788797108439356464320130461061102950416690949285939965854212924390480230456370682323 + 1.76700756493528658095392943208776678007232121041274919488179376033303935748173700903360424649325545608881182102254489801e-135j)	(-0.00000000000000000000000102569512824673984872521339842106561859598463296950527100927632493738910171282957538203835051369684325888119844728558328 - 7.13840727912620398263886770232097760263936355199901490191329842291763855360933703984327147606816591381114821126327051997e-133j)	(0.00000000000000000197616544919024641923050805565395011084845760064964506589207525729733468517717716769319370672176265550693732021314465408 + 2.31410277888286350776274935955535042394936027176430622755200111182543647671218568467949050083096989956318149282211077771e-134j)	(0.00000000000000000000000102569539805932994927809082711201637611001232116535051319654719404140088024814340151298127896208870872795557304452564933 + 7.13840678217157242059028843838118733734719870352118868791516450392428712593637497837651613167266334030839481925961287236e-133j)	(-0.0000000000000000000000699841714356196879321362606303257021807294148624196039236819979038862218219028789119371777521797825887380867214347402821 - 2.14090902471672315664407980039932496158990086044628450829395698392601151643985824790565395673983652501158502002620886179e-139j)	(-0.00000000000000000190869126769453446510817920426369300868049650632307446285121791164671391486630360780435508936345729778552561470380057814 + 0.000000000000000000170086784096223782028858942638230593509499229724518295145568906189563941510626499455893282009040177529028349445136106647j)	(0.0000000000000000000517943441938870228702377189744366600117833621219925794163121733314468741237537758883740415552396069751484330277453012159 - 0.000000000000000000505008074287938513815527991501857330761511169019672818503451295199383382380380095542370994461390543015669481075671074378j)
1000.0	(-0.0000000000000000000025973797424206471660173671271973967097274216796117686858516903809845567617012499928462020370142836526337523930260175288 + 3.56582103664049944359746306467769246371941584498650382198792215830094074943104775926403953247873340677210645309811223216e-129j)	(-0.0000000000000000000497290919798206806178295289707391620704284803927143392453741699839676254506677147404302699288852480263480737556379993822 - 4.31874720108156407877578519957574453592743978106823494715910159164352096512155180653385942289627467533711293084413848039e-129j)	(0.0000000000000000000310646180724677924131933561848295294950181288209178141399568037461669877442314847428981080539136044646549333485388805391 - 5.30763659303190687543582613162896490144408651241644012154668066769976866709475223123445058865737971239826885706230092395e-135j)	(-0.0000000000000000000264156328448101133039036592821317642338924378657498590315931849577380928582737751783225816732710569581240238876040167055 + 5.5605958319871959810711166565297511670404917431441704428717312004985543834277503894697496150273717019522703818957838131e-135j)	(-0.000000000000000000000000461293183686472502091366946054623166250743286424112145135800271646418440472650540929472403401973770729300287618734511925 - 4.78213143246625676709105184309528683341794647908908832766110745291682973651997324487989771439976046660781205151388079249e-133j)	(0.0000000000000000117519071026526697504326709385158252002222701891708743415481449473785502337318596625183097202650129659383283808478148209 + 1.32541957935935725474905388592538589955177909342756820228898172045421290841216106499361365047434682159778242774779897604e-133j)	(0.00000000000000000000000046129319770497670436815260739062551050315827584651465719827841466910279149835222046659282434493261142254007556792290122 + 4.78213109954839809399347444939956732216975210619799597524364523154744043547308332082948941993142064042562111451875654335e-133j)	(-0.000000000000000000000417481226637794266409614125079252287246632307935205233728906398734070217006043061640387440971691563545528555870532751326 - 4.31402760941136029328271646170665668730791997673061745438985668854358291493678309875740965811630326227595671729764283303e-138j)	(-0.0000000000000000117505373967112372867789460234430050820793840322435148277176811447191019030560983228031888219786675528095773619649073387 + 0.0000000000000000000000000000039497390193646183006440443942895789678850734582302500638781353730560555938128378156913185240898123467903465273011352149j)	(0.0000000000000000000190809097505937655168492308464555366259007761332614527989070087530436999868275301150090747476954176338309221287120039527 + 0.000000000000000000000000000000142385362152808916918025198093860480521264901860664338189248121209961573622258185083417409331164776025847609474734123117j)
4641.58883361277889241007635091944657655134912501124363765069285868477786969284482618995907089757137984154330822826540483	(-0.0000000000000000000000688047873281048752065284988480504641116323839288493036497745127462856619874206583817117637722579365525406822874656683766 + 1.85854128059143120697742208709169524669172013685634698488757559077011805614410974019225521093381272335300783679360267226e-129j)	(-0.000000000000000000012201890373100769515584577141667760120348348478486836521438794585543209260185688934530490058958819404782398947553866912 - 2.25097621626694292644178868192433510376869615104071962598239692007238261881442510099443966574797430072583772998464778337e-129j)	(0.00000000000000000000735422504710979503882022342578284914038764731429856450947264411306247624968037238474048072781327956918258362115714714285 - 1.58914752375355707184474688666791143865369201369693712799895419007028473384729775072814188138595466623159918128409119332e-135j)	(-0.00000000000000000000597219926737434030484317489697383635583377880991054025519362296515329073061027312341607396516756351318910045770503742965 + 1.47390584180934390408396738044027730969744844058330541592391890244242912172556131704459244085470472638191887760244240771e-135j)	(-0.00000000000000000000000011396493807349326372250414613831060244914630364601886474968744513194802268885046247220288910438366042650483405872902858 - 2.49249555320691550365701080564810846885307332884641284699131641486830312289558431050026168771577788811279721495740324319e-133j)	(0.000000000000000067640221967136968758809859596537941738555308431399443725524623171386692402330097076139505215496309780340957975028120338 + 8.03619414343975112083737178947340677462868563817054699835548465288567337503359620552111616429547714896272532892506791019e-133j)	(0.000000000000000000000000113964938272405520159977316416068325531081917700304033611976266316222360213573216917033462658887433050865459321408572331 + 2.49249537968684240977117777994402604003544808884989763048493023170295455649005776574362670207457126177721315907019250733e-133j)	(-0.00000000000000000000239813160949675016617911066709525715356945698602589817593559735590101978395784339611131240388322661331356157933573045983 - 2.82500285096255001099377358892313391879371474471317505656134029905033617700382353522349379801108918226745279404345684784e-137j)	(-0.0000000000000000676377899948116016314072675455879332054386250446656487568786056353497563659058484436775339203385633803506652064740705118 + 0.0000000000000000000000000000857517049430969118028725574821194646723538737093958635190134456607040288643025046806160204856594203067365115576810057505j)	(0.00000000000000000000485392720392120362164701048295715943433129085839387170568234597915975224732234186387932338714587749014492772801769727977 + 0.000000000000000000000000000000148837164068385255400004087074707291335378932253348059543577551704679647166630294966861566765243320673220404793892502987j)
21544.3469003188372175929356651935049525934494219210858248923550634641110664834080018544150354324327610126122049178092045	(-0.00000000000000000000000115772271360225254194311733992624423220657044001097946150530208015421885866239434096140191076742212013164570957063670886 - 1.8494911418363966285693654977454596288490814332578919475117813341605479776317109453506522129745549872620409363513269891e-130j)	(-0.00000000000000000000266236810725046044663720328808080252593560948902971438738214559956196697717447112698974819435007550951745001279949363165 + 2.24005254047286748135834087001861113680849419507644384270143360289913331748119694043868609787259264471097634673549203146e-130j)	(0.00000000000000000000159798096533552103005569960566249463881206545938304851196403384241827966010384894523129175617581541240904355652076558567 - 2.00467974606497172307971609132822406647857917251024457326568822691297885741511798315221609211053354964180052158542169627e-135j)	(-0.00000000000000000000129083517218309499011618474549908486974243516806502413359453549585540406883328799943785864109058613611013028401929467536 + 1.76583148766834100241298399065112794670187181381985960010449400751886176786903531448748656727494010942592808999928049735e-135j)	(-0.0000000000000000000000000249052314052314835328667741813130552927087841211331734461536297138964686816696789811960597682752039714910536902582515518 + 2.48036554728324151937781869974800221295681105303942873365974277045371503672459221937209330135469530486794243747484103456e-134j)	(0.00000000000000037513740879319616097232975736160631028720114655309734612369655539650601953066434537616231375950695639778778124754936999 + 1.91327113766936864363419960576045144478617327516314484474406139252625750133084161899970719495126533210931054587832358302e-131j)	(0.000000000000000000000000024905231407303979922689965029224110641883553201314046705242782771618834808043455425029004014663552968061733059821612049 - 2.48036537460812295373567821530056677487866380024431562305016390910750756014807604983601276303960468046532832730778584615e-134j)	(-0.0000000000000000000132777962951433931041176500175394236208960163417673020426318028022771868080502874147925941345828900069455620310527390604 - 6.76742645768268790767171717078638736757567364607693771184334700199679959812126180084662580355413144296456793540727939759e-136j)	(-0.000000000000000375124130375817603359575533874584495071451623504330925716501418095133320579104256828001752844789006874287817491829677824 + 0.00000000000000000000000000184817860267014423854422151432823699706863731045124511409765644223051854616410391199121908971877435998919593226787576946j)	(0.00000000000000000000107859818744666980074279093236288390546937010785491402583633796693306300706754083800349041259020575165839874974403677652 + 0.000000000000000000000000000000149125374598935970818594932585889095990946639170993719424408551846665314050478140869670904987467197577353452949439381029j)
100000.0	(-0.0000000000000000000000000163140001740378121604733545477179355773722255612178518300396485534136025446020190895551668680880217208778540389679699271 + 1.80969520934596745889014659370451634359987556987553093524543454785572037191129407155805131337354402830020937850478673082e-129j)	(-0.00000000000000000000057412361950658784228672342061453975674082353841347138795710983785935452330681799815474068753053012601678778286925943502 - 2.19181618472642023049643240658450442338536065154999686196489300143629422654834598181965518957480020945967545012787252639e-129j)	(0.000000000000000000000344482085036041291339707476687777004115093079210433236282882804059144344226981275758485014359937818967917411534060366013 - 1.60511954891058590753062249142389523086039195050168660966486393926240197205439716936037287846707980256128198297100971496e-135j)	(-0.000000000000000000000278155231246735270062744322918694587422177640125162676307657149013155749482588200033066797386773347689667310150581545963 + 1.37576206935780357241723334366276158070151114037803096121615549775445202643401433583298249508976326275086476322319714736e-135j)	(-0.00000000000000000000000000537144791625256336374491288225322106521000213426338923804206336173615396754670791398609904497946682210587736461743907419 - 2.42698816546658106047887118079255955762040610326534411003413946438346758701554961761000251500567969710928272377322476171e-133j)	(0.00000000000000202529885563327666742222125554692932677625744083162185801848691584530147686976633133128796779855128480530858737411201945 + 5.38823794937170026532656438702941676412042610928528148747197565842427957798119877022446236278701509932091398619507416467e-132j)	(0.00000000000000000000000000537144791627335748308179858500147638305817442623167722103410206103520946646270722308839045872598562759793020615096760811 + 2.4269879965069528565471399009249622107179376609419915703723735666500652206888272286835409102451987077065015223814169433e-133j)	(-0.0000000000000000000715962177134560911141909617814918847820599532217549412335042323222088568085929675130371374221584381254046381230503288516 - 1.83513200830280221965807093685638028940311343783441105785819494410231230379424314971472442088759108345521947804356567018e-136j)	(-0.00000000000000202522725940635220688995604014103470871426535967571903210591845676878786417700137818339492282460393207007065865424340776 + 0.0000000000000000000000000398185175649062598183283504218796178569737610566550986904923659786821746178473785309965799383002252571852256090170167415j)	(0.000000000000000000000295643814479833069361805394481435512225584767514588455246914762750775013733959053934230645887974480096980208585601903624 + 0.000000000000000000000000000000149138729153516280375623442104565444192209860286607470280112307998358476491693439956812439331481762063658453504428096833j)
