m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(-0.0000000000000000000273865070321442644500180997325554280632283819700951898577909423289776291578372908329182819261382680743046230144640265653 + 0.0j)	(0.0000000000000000000000100364157805006854954858721917652335542597921074536370590731159366355143254912367639421970451007774298613969513051795167 + 0.0j)	(0.0000000000000000000331566609393102979357691941724281430234276725165521567523040601491946452509064620422967977595126896046385905706108307186 + 0.0j)	(-0.00000000000000000000000810225348010476067375882944932388123397448976768292965588545648805101789541220094037605964314283537734656018007398387558 + 0.0j)	(0.000000000000000000157024639337416352383143754294040188279041679830013760240174736496072115741434516883323210986469796910641257884113426846 + 0.0j)	(0.00000000000000000000000000000317427297266925087941207286972518573154575410546534530422982453314391948798730265139475975987618310102711124461901275672 + 0.0j)	(-0.000000000000000000157021547396249144482956513961091466016296427492071843895221782742911683374523307112785588502799265884650153273412443329 + 0.0j)	(-0.00000000000000000000000000000317346438417230511681082920605586001201996441353874279416608678059919506618910265373828907377739354396848860220208463851 + 0.0j)	(-0.00000000000000000000000000000000151532321564873209371999439406781241106211815262869501804196647749166264385391279414750080671430938201844750790232568839 + 0.000000000000000000000000000000000909531023121434374160351234254793672532710660540363086078098965166598737258183949988452731905351799287547207325562761322j)	(0.000000000000000000000000000000000128740259327793161879519928507414946940412175055323575486355008073687467086971543727370525620802790160279607068414886033 - 0.00000000000000000000000000000000211421362401197242890393788397088411203241141810520014163611330967254589292274303455470371000807808339397847274514749201j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(-0.0000000000000000000188764570228520536802512841765016513754145876053206519194235129119588823324611032143509147498022213654045433217779642021 + 0.0j)	(0.00000000000000000000000691771210264594331101238423541232012253138992757620985141308308581217244862175078267367376836290037813223407983718890793 + 0.0j)	(0.0000000000000000000228536002969474386249494707042852989991760133882318943925098120729084355938853929035494539796723028447306422932649338548 + 0.0j)	(-0.000000000000000000000005584569051753245835901512088994316489051367273213734618295180567054397418170955845428781564584614355412821276664366989 + 0.0j)	(0.000000000000000000108230993185898826492198680578060543463234646259471537543588418633289672118275543522161562140929563799986981060777335489 + 0.0j)	(0.00000000000000000000000000000218824353841586075045616980737232207606656382592181114623468080939970158344005496282274494286831764801492068574780909291 + 0.0j)	(-0.000000000000000000108228862030783225854885464618192490666864649124318826833581731567271319884224548170557228177372723344697716407569250903 + 0.0j)	(-0.0000000000000000000000000000021874543656301820543013750051816407184437930927529881928009622451788173950481099171790834554271421375241758369257484041 + 0.0j)	(-0.00000000000000000000000000000000151532321462528973295557154553281071713645431982049111109057672740978823343161321298096454551873545892266070382976024805 + 0.000000000000000000000000000000000909531022507141286138618513137862663536091703878859446413473416782383177467088719338184395978689770875078279815188183377j)	(0.000000000000000000000000000000000128740259240842580266835397554238880234611688292716845415844937731551975245707589138693195957492448769172319299442782936 - 0.00000000000000000000000000000000211421362258404222881604791498774531935596744692609549906904358776722598827672898243321947241243801257541238417445929266j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(-0.0000000000000000000130108096335356359809874307775274194122777609758864621862947555355296896149975666350419967093393192660679268115203904513 + 0.0j)	(0.00000000000000000000000476811062367864833101919817332249699788658673821662944225212229143890509001371114329441825040473057839683188494504470193 + 0.0j)	(0.000000000000000000015752100224344362991460320363674453121967910982017372828416237422558283399800356913742507603089875778282925961382695898 + 0.0j)	(-0.00000000000000000000000384922682953862961030116745215216567172047607131385830702226128858570289743092968792906085040381071148058790177763769319 + 0.0j)	(0.0000000000000000000745994254687448460057809218265288260435593733802174810846034088820139396178152667647692303806865505977267876832277112614 + 0.0j)	(0.00000000000000000000000000000150861169483065739643955918341078510214748275143754447538171921835283633065735728600094216284751337917195281832390074649 + 0.0j)	(-0.0000000000000000000745979565461882959223334401780507280490673959139623172976994549429070548436561249221933250479655346202934413265034857433 + 0.0j)	(-0.0000000000000000000000000000015078359045416715559870100486941716120731055081549549930874675637413907659212012709634107256997026261805724843426029012 + 0.0j)	(-0.00000000000000000000000000000000151532321391987061332834983095148604891707713763236744010980635573321805479529695371018028064605308214907606306905792678 + 0.000000000000000000000000000000000909531022083732889185305910349430095551501251378936692474172808232916805018474198236146235547579654552282568189091596836j)	(0.000000000000000000000000000000000128740259180910917201333905770277071764910881028698635552864113688431591500075386990376505101876109266883595543750505641 - 0.00000000000000000000000000000000211421362159982533175233442079459989104603749396405556847121912783797986857648155636708463022387995611632124256595081352j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(-0.00000000000000000000896784640494060545608609612841626868211114651415217543277778797459397959750282192089325534364230036608575375200118425784 + 0.0j)	(0.00000000000000000000000328647370301624071735899998542774741871838289287417564997562932282340770224263386695351183725140655991622237907021504373 + 0.0j)	(0.0000000000000000000108573116774410747666636361613231648419928606735196875115059303127994143730924421089615081139755686234455613869618012075 + 0.0j)	(-0.00000000000000000000000265312274625862267848820625163999768515211171194749879015915418776444722487917337245455219115673709063664375352968994615 + 0.0j)	(0.0000000000000000000514184903433036738117132014060129670588202020825433457611347383639796074054869848015504921253118781087022076930640961449 + 0.0j)	(0.00000000000000000000000000000104016782662236973886682397164547420070875814959119009649963534428239058234436471245079925337351245594054487783375720143 + 0.0j)	(-0.0000000000000000000514174778719633861157039121734188768833729852654962023460769101536396555325078942775133628435438106799197641891587141368 + 0.0j)	(-0.00000000000000000000000000000103940126036927370589777312397566282185405898535403666584669237141622413638907563595015874155750317739353352517829161992 + 0.0j)	(-0.00000000000000000000000000000000151532321343365257743293363545563380916064387505335337973714270770064488261926266511126221510927136987822091277112578434 + 0.000000000000000000000000000000000909531021791893905210704240247490915176340304178871415175628024785442827271408410946445435399695355535628997292490987673j)	(0.000000000000000000000000000000000128740259139602346604249818402621800743433436118271323477702744155006090945949601544062811563640234930787677108470846757 - 0.00000000000000000000000000000000211421362092144280245785474949014379098792317303417793510787786090552011847472590278304894955707078064947537968844929141j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(-0.0000000000000000000061811886719556020076025417059035635466700371928218191698647192269619202851425866083182868732340007235489790090960835269 + 0.0j)	(0.00000000000000000000000226523884407967056747231436073511199305721139643112659076604417893275093779781641462788721367208054893122089422423268938 + 0.0j)	(0.00000000000000000000748352379357388822822883139077737738592578574674824729764511812630675989656085331630463824063808761353438521657084804747 + 0.0j)	(-0.00000000000000000000000182869459673882942802779075551672174989082485400874986537153094501662831378584042258128136871619823377070962862956837937 + 0.0j)	(0.0000000000000000000354407709150756457468310460132605935243562178613521476455600119638915497662927068895756822127068842224994828473655220285 + 0.0j)	(0.000000000000000000000000000000717287638502115817714295077571362855997138519509941937938913333346893763490753386228516117705934879315418424000434412046 + 0.0j)	(-0.0000000000000000000354400730578536689945871700239108084135643916293307898606962253851809319354027944013241753562774966552702189888973701477 + 0.0j)	(-0.000000000000000000000000000000716527430019172098424102402919846422718576665478629488610845256172347622719611912145150719567312346175551182670442894586 + 0.0j)	(-0.00000000000000000000000000000000151532321309852134564871124141090765523901601270463989632698040801166599220501848790611384693819494608013679115323463853 + 0.000000000000000000000000000000000909531021590740613967716344153105989904753863294850141777450877075145910393395595254569139790456381783560939058720106299j)	(0.00000000000000000000000000000000012874025911112995124780925072288334005028036676453064582239135270934769594505635226247636513240179715325641505900213118 - 0.00000000000000000000000000000000211421362045386003941889399561686071456166353898832397761366627451416598772194937713379217934548621062753972193867956089j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(-0.00000000000000000000426045358780776975088080393113958278330392263484312418696237346423993472462403707181598522046805573325745290350059735005 + 0.0j)	(0.00000000000000000000000156134126832209951466188155095525362034464601433520142980106251419876249049243483916919051923744336804930667843066019031 + 0.0j)	(0.00000000000000000000515810267051576964621990904647967038988111441555553779182682026513300743889952841325578475070154455969156769779412793677 + 0.0j)	(-0.000000000000000000000001260448251879848693625965279664884851790178450839457051148076602758242576985000800850933197536596627561031271491745381 + 0.0j)	(0.0000000000000000000244279486702731943892953751206324374470363473193260026543873965518159572489744051086346318993466099749783350026929272185 + 0.0j)	(0.000000000000000000000000000000494738848976207689766469311303305874656112037472135303846580769635315867240384316701349383093718777165665341028604698119 + 0.0j)	(-0.0000000000000000000244274676643594551810729493255127652015958710045945042292462974308107180413648458660450413417483095751003385230141708388 + 0.0j)	(-0.000000000000000000000000000000493983022657619481769810809384611504826322442895390190982197821031238132912508899350067084668038341475834713066766569636 + 0.0j)	(-0.00000000000000000000000000000000151532321286752838725644339922964760013525782141519958187477298161326941500611656537944358781541030112452597802865217256 + 0.000000000000000000000000000000000909531021452093453011747337826179865928635455641451685368996298008778163317414939643028747715951061299476216453772850338j)	(0.000000000000000000000000000000000128740259091505033567403104864499069453963574584766755233758883285572792970131118277653133180741632551119208080614809919 - 0.00000000000000000000000000000000211421362013157337830238385355829127362772280676364699386694611950407728750110578242454211833447909377039065149999533916j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(-0.00000000000000000000293656539781271139951398907723379052468293290090885039174472889880342125605564277420410266612760357215203639368853776554 + 0.0j)	(0.000000000000000000000001076171972877566189538950295738045796429202182397168669988886209899148633115703854417908056134544374803679392325738401 + 0.0j)	(0.0000000000000000000035552800912908151749788155014407971468862590914650594108708761819812886147685159668178310132745567510597589682883144777 + 0.0j)	(-0.000000000000000000000000868778088110006161953830640866241266881394555509940346084751288654191941223948360236569291887237195170445576238140724555 + 0.0j)	(0.0000000000000000000168372374739515048902232553320099562072057061460249636197726655876826824700618804862636672969657396911952360317618533583 + 0.0j)	(0.000000000000000000000000000000341344600814304955542505844246838809017243285383921221010817266833616260011224495018661788327462768274569930337139583761 + 0.0j)	(-0.0000000000000000000168369059352330754577704293956974706001499658842756761165619328569222501554819061778443996496348861817047175542535603313 + 0.0j)	(-0.00000000000000000000000000000034059179495162696623318700085503629536311285501620844370873701891020728174585538311734333098821833041563366237530911157 + 0.0j)	(-0.00000000000000000000000000000000151532321270831390119193754993761802630679092783575820666654501867704571578389313278438583105891959144378829288162312202 + 0.000000000000000000000000000000000909531021356529343051214689729284238446755791713754788509792451490870604965526950020013373843511253573643770477549325729j)	(0.000000000000000000000000000000000128740259077978339055624908152700956145022704235595795113093541395839731803765638071936405506090341379921800614308565929 - 0.0000000000000000000000000000000021142136199094336842084519307183610069589268657693876696992503835704340802272430492051006541088085653649196744293352102j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(-0.00000000000000000000202406062103513289469302426786938038593298246997400371786646991052242796697442421160848852522630616490785275189378627242 + 0.0j)	(0.000000000000000000000000741763596864633068429314376316345486778973567048259900840530948696809111694863985723497241452905957096189781268530795671 + 0.0j)	(0.00000000000000000000245051665966356493812991004330103594781057966861024016463572661949411888088663386850138123161905692623283100471432368683 + 0.0j)	(-0.000000000000000000000000598815036802348649132150678112028621673938435544481414493415744486495909810016208264520593798990008922014968235724811891 + 0.0j)	(0.0000000000000000000116052546840691933156646792020774806078218592416403204443024456393585073435260447902315083167853194526447637494557331036 + 0.0j)	(0.000000000000000000000000000000235615895599052593126418256352195689746331163550089069506465035347259267452019680457182942819221158780153170616795850588 + 0.0j)	(-0.0000000000000000000116050261672907754689075657954402202861889099659552855289070224580944039431114297242992168823710358275667476548705078604 + 0.0j)	(-0.000000000000000000000000000000234865171619472398434402074871112639182805444083121715860423816489240878545515806022654150798483405837700098461423302395 + 0.0j)	(-0.0000000000000000000000000000000015153232125985735318268168381582774730031603090256385483584559096640749365192611048408207070341320233712740889688684236 + 0.000000000000000000000000000000000909531021290660708956770846823675214616338019206322659787783294855305652068745706347964925238139225480112860874541068996j)	(0.000000000000000000000000000000000128740259068654913224822835406994060303338300657965424951036756143534122822399099033848387227056078494738176772545646163 - 0.00000000000000000000000000000000211421361975632140979740131942262900207614118331941399655320616998223538546295924276324701282312534505897741186806163582j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(-0.00000000000000000000139510647384670380335597729557708054571177473905004575003891331561308119618164616881225230981300007582190480868475315865 + 0.0j)	(0.000000000000000000000000511268874754100096056859342525052403356133024138044472753698325666599026208414001196239953146433412917815663317817004934 + 0.0j)	(0.00000000000000000000168904607927070526407847277663575125797741363336606356452632634060383700249417947743583036779906167024521404805395101594 + 0.0j)	(-0.000000000000000000000000412739977220517056194529463734290303573742381424557024857158621693654712734443993898047417300561261930860282602108930861 + 0.0j)	(0.00000000000000000000799905189208417745347875825459284137963170631112661993046885497698044722278318404213670334463962082005821833282925071167 + 0.0j)	(0.0000000000000000000000000000001627412002392881767394598986185189777101409220323894313282937657980941284174061473838952045602011972862473537535047877 + 0.0j)	(-0.00000000000000000000799889438433285807890409446303732827775564737963549050020923688420782648716572796116834476622597929007523030382352233611 + 0.0j)	(-0.000000000000000000000000000000161991911220972451772697331164081812435258145600021577832974652010203900291670985289284133490482473493467477623423914678 + 0.0j)	(-0.00000000000000000000000000000000151532321252293375201341361196440873190064881557242651483140839029031796601129269415086346345085354250750555916634906753 + 0.000000000000000000000000000000000909531021245260014496406648430552221646572312215266438401823762718226795211876284839385829958931530148678956403580057561j)	(0.000000000000000000000000000000000128740259062228637452029521390269520382849571201585170417355961692528513777839532975954611311696167135827092090252637351 - 0.00000000000000000000000000000000211421361965078705821664015207394911570315576371118265320024345482027048435904167808015387706812912759797809646373303874j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(-0.000000000000000000000961592776943459154850577193000668694827098778090551877573416697001861106347578611301578150394563102647799418776101547008 + 0.0j)	(0.000000000000000000000000352397803555189212570192345932408080607686384716957515440095294599324848240514664546683836506209032072081693450839925519 + 0.0j)	(0.00000000000000000000116419394519252651676371146059116254061300164697305162558942262911704382883174106571572586795423411332846166541687821282 + 0.0j)	(-0.000000000000000000000000284485656390600523411834797357686323445797754939744218877387956003310558528471434811123814238382994327174785784749143424 + 0.0j)	(0.00000000000000000000551343619001000944872337848694920203742442967141095998205226779010692658130699220862847084103814349310484773555658973664 + 0.0j)	(0.000000000000000000000000000000112511499493480925447590916309651626906977931877279118541808284233742131744864832456566802051178920835534233607016136952 + 0.0j)	(-0.00000000000000000000551332762602667152435411708220606658422131836814344270231575019825845384869849610376044204705847181643424784188574344075 + 0.0j)	(-0.000000000000000000000000000000111763199538303513577737784472631586726054520326812390215072927996508469349683493742192007159925442011620027973687079965 + 0.0j)	(-0.00000000000000000000000000000000151532321247079818582636418569478765933314077172168581306766690590247977557914527324892451850597146542609665296869775305 + 0.000000000000000000000000000000000909531021213967076880571606307920552206919161450369455247648073495189905182248094814486364075144982325166417759591035039j)	(0.000000000000000000000000000000000128740259057799254834639484957231761794506672567547993605000401312762680843192313330264522181547974869769500301576185019 - 0.0000000000000000000000000000000021142136195780463233094351794598896638570079363576724134897506274503601469699571423291065901653583484664721198395690521j)
