m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(0.00000000000000000000016445436502281550777422851868802007366762337087944798532622551536300749653318151230706890936279928276664743176239845043 + 2.72183719090678224044838883749666632666497076294226686827690187435463374924684156447825787227197967722826263939227300458e-128j)	(0.000000000000000000000210081836206406779585353329580434261907283084845624200912612228390275738047805326465969963284867769156584594963044310243 - 3.29615634335345561631972402254143418237370870068117436965913446466341954187553504122026846003440453749171700285588612835e-128j)	(-0.000000000000000000000191937279773021607892145008416594679461873790980210957707081936047201430485350419017768124117200885757319764742048695167 - 3.00306235230659140746111805651461114846381806876465045886977552836231762122371839527974616817074238884699475565119296934e-139j)	(0.000000000000000000000264585552112061432484583821672664169565587471156035947812319266900924837114743242011787302650053033886258099643638347523 - 5.71073078759678282871302456357594230523492684673173334809883431617263418258710334011166758684060062528871165403367687246e-140j)	(0.00000000000000000000000000000948345122467423273374639569654685828372784239286434095064357839798967409392212110051084979410464703390183650466530445338 - 1.29107108764440538132339401703591760354686694450604467671748627959564623132509269487754755729717368679530267450462676116e-134j)	(-0.000000000000000000000891381646616803995565083125210496166116951478736116357429265022804485900169950211916022130468979995326416073731091348915 - 7.1726928681172183609630385653474435852249902049426792653046681589297582180233533470541673188447717061950177830028533297e-139j)	(-0.00000000000000000000000000000948654173925873302437098322937254980034664638357407443030195627789573180804196339798386473556132258277976982865726287808 + 1.29104566541855354552510181329580609946465528972393765438911105860925736171839333664816979667746579296116041269965916933e-134j)	(0.000000000000000000000000000108206526324410059653142507068880667005158097303122591874779389696278000765533114720823885385694989061061078678395663021 + 3.15451641380983364612847133193531858024032142048269839245143690671908425120112916673978833356271620250351556010217740167e-138j)	(0.000000000000000000000905201960681393320651975621645653342688934598781550836767833555676386393904437293246094283280496182132076182567500798297 - 0.000000000000000000000543322312591719777203247777435825819851130849585021370131621371236748250647375521332117659177439996804624324943279485095j)	(-0.0000000000000000000000769514059238359172060696614854067119703563291932546242895979628085149921052764123707639438740618357226792145157853799038 + 0.00000000000000000000126295842070259602752801821418265690267414483740152468209204918641562293611423123533310373140239983372049884251604756333j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(0.000000000000000000000238684713519393048165384269776301414671606763083638166773112043134991532640202305501095189036050044846992085100803161989 - 2.38722374420339246043941543442703175400043385672212112067215775800273760445576590244621853156503616285447609144418225879e-129j)	(0.000000000000000000000304789250796640132475794309884110070178328149278401310531626880499741085883158563146087563089971298477116576031803585679 + 2.89093804423531571738651535500685000963671150978445831182254740124936073695151920900001566217240789669153884329676189092e-129j)	(-0.000000000000000000000278462533780727270345885887301648988494092474530879209543295690021272918408738459236397243370392307761729587518852786107 + 3.7993936427233801120950410704198124447592343528340654702035828661467996808043006907455981352187323338742894502393678535e-139j)	(0.000000000000000000000383855613998288125622169971440919206254983650339801882649203384027943262167816575566321657596633432492158325579912230707 - 4.8242971183759846782083166139623931651117206743687040597804370815699681099723058172006629190296534908853039076562366161e-139j)	(0.0000000000000000000000000000137584376503108098176515514609208795663098422679117802755466735639976346859734677342806154988444404720390595509485350701 + 1.13235118020168996238606246570009896645397264924018111840069350478479748818267311680815196473358134148092647249843419384e-135j)	(-0.00000000000000000000129324777933252239832933847588285190997093999773720799199575006552719859694506251983186933648507788568639911565067405878 + 1.70507639792471346483629798093077549057854542831152310236735326848685089627133453522958800434946166279922869585397260245e-138j)	(-0.0000000000000000000000000000137629210732762883665051204184061921150791782117471015327942895458267217024959939985949026625669621998987060852419187127 - 1.13232888329818870158956378996208402100487825024480417101410632355128981962385855548304424631267822867348079670344244421e-135j)	(0.000000000000000000000000000156990054960122584693385478169039122474884319556893520996238984267639626803141461116306144607459460221797960849021413011 - 2.76671284182505203990726664911147523727372322047219511743561493854815735070661246195552924229938912826845878097499142533e-139j)	(0.00000000000000000000131329293052924682135787434820947184819104996602205356656123978966893462128117184721641771432787010297473284905868099898 - 0.00000000000000000000078826720596056856338036841969931001788362058318631022115969882014451952725754787395907082819936645732474950796500032717j)	(-0.000000000000000000000111643512721694260666164464448728484061633105317898794025639348638363613944195093532399494141702888322864401403579966113 + 0.0000000000000000000018323361539402418739020066849365497703921385838259257820150420657208375035321891265928663445225551012484518017173109998j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(0.000000000000000000000346406175817938889745347620096802589476334536297669714642812340261737142974525991250478474788842465258460027504053477213 + 3.35329236561823491306311449679286180170121603823002666150200872564920999708836653134202924025280201855934013104466248737e-128j)	(0.000000000000000000000442186850713097017880021579306955259812024871371622340339804562395970627535715954871478893332405613886076832492940854763 - 4.06085122902566647606643143779557435737722847337801236469119747035254541065189372887446840945341448187543252172343890955e-128j)	(-0.000000000000000000000403985461495201942308945750164755695803126336416146476586261486488229520471606800007869301252002814550453193464823643522 - 6.27976691302670945549489226756976105901185347757557466963508874976798690378180341900593223114385427469085662741626817335e-139j)	(0.000000000000000000000556872572451921834129488624509086978095989631720998741951062844122270209910336629859218933929209365490047647555096940663 + 2.85313615424760417646656431450634017766770551088009650315805797646135926988029549184888052259053490802806735616898078316e-139j)	(0.0000000000000000000000000000199599257630336498621710911395097499765124118613833060771999576742165081163969729176832974187232093864375823530521053814 - 1.59059433683250462740158113848790148587932498243459135565674051711304185593594921983754066251048270570394338506593749888e-134j)	(-0.00000000000000000000187629721013557118784928593079812008917055693898413587942978066920677523933429401797799703522321598026766006458104304983 - 2.08176284794831897356942820564066709488599555069869379415883778950580234795129424742420624198764190643353228121099347723e-138j)	(-0.0000000000000000000000000000199664293560410925787112276894986627280298109438500342606237456797607641030212207178848077449575966729172801073031822268 + 1.59056301675349646589368922147782972336164222922248490810001739148224737709272032224770056852158872719044035125210676602e-134j)	(0.000000000000000000000000000227768295922534440038519198973540210981627707519153236733533540242653905725178027985257302311650911528287508336736874926 + 3.88635155650510096241939250119503024117939031974821041973990301243094464871704614554291557520854471379833566509323694597e-138j)	(0.00000000000000000000190536279882137867272707701524446402914684313000399316916290460031290463020837830963759003416419639809033926914931210418 - 0.00000000000000000000114363940061084665718933660527497194512539482098369452807587125799334314977031721580797115367904566202170366939351856401j)	(-0.000000000000000000000161976227694656307694940499840178411640932620463410086384815924416716223823513322139135527418388542393164178658256720808 + 0.00000000000000000000265840520335545733001324312713392232888093426377721937974336236487578166693716655462600162103003125344557148539085514104j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(0.000000000000000000000502703021712396592960987880745690223803850532461950155971085179849108447808232008556280880778980205108816618705917159182 + 1.44009075535014036524699744074725875284930719171194826485866832951095038272557996041713525513979323336299975973634538574e-129j)	(0.000000000000000000000641508236898217222217410079642524400238388732324850642573788924134240959735876281410300162340819143936048486240044773836 - 1.74395598975621277059650856597786911855074374968189670710480019638791869818384487483276548699497094992356519507019935585e-129j)	(-0.000000000000000000000586068215493199510284505477119149909161785232263550379650529240460924812565318593341372125146529874143365591750557258369 - 1.05431192188069633898245968949887860601249549332886530010897472677398101555885594065686785684318543724824837290710139151e-138j)	(0.000000000000000000000807824280369215229348963565263306522443776108481423848802530048455735597476070500028676061131550338162456978198045455312 + 1.42841024393425630457277601286393385669014357229867871899292109704970381562451820962397694369488529495431088839095925677e-138j)	(0.0000000000000000000000000000289550105134248001718793902784545664514054261705803933691489771759758533951297086534529089836708069301974358542775165954 - 6.83089915421349117380261796307843503801895887917101098212032727777275481975480676998247206797650322950221033395030265414e-136j)	(-0.00000000000000000000272223186810500525277024992918718722637512116294237273860342516495405623657672764691243866226898841184653189625113757341 - 4.86073988719717448562956762382534314218088312963669038259493614931337180653534287587656463284211587486912952201263661204e-138j)	(-0.0000000000000000000000000000289644430660976408250740253839277848896367022358146005467450919444210535328519101561625679230378189200920416003985239623 + 6.83076464832689800434029343910750328612629134180517314116535801413008355110744981171761427250924800793883733812960119679e-136j)	(0.000000000000000000000000000330460206222132109479180139378079382121784957118081343337437353690256533532462430759415054560625825181172463273699283582 + 1.66902189171063906460407300240479853400923819197219053125211994376990212711856304260433393764416593772178127998537287894e-139j)	(0.00000000000000000000276435402397176922019708043164920187175999662468796452270002837634946908246112264184869851662863739205161111167268649866 - 0.0000000000000000000016592208415227292689001627563245697425973256389157571196618956180719974431342453721675887552002116862786643952736388578j)	(-0.000000000000000000000235001625893029638008082169160916494731032540888833608366776242315495959748725090550860812774944208157693391278429515002 + 0.00000000000000000000385688826814242979912793783512687734125484318722046775524655349960246786230563978113549605058138260919218740253116597098j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(0.000000000000000000000729406829106851441684530906799546338176767139877874882990833083972870633647098848503385784067266788493390612691012102624 + 1.21585411821740696473065651729308928410051424287832408219327340239987771708877530946649885095064169774735938109540596443e-130j)	(0.000000000000000000000930635336869700422293035513246351210684557563465324987075633290043619482759536850564349692588871784749351311792344314039 - 1.4724044540278665211871644399827941167124665890999130660362165846112152006213085464662374486249230691447987814960791193e-130j)	(-0.000000000000000000000850155802120710197173106913114084201503691588035548606908610649916206705676912392419670285081851926857528988627682767437 - 1.05787307802253243206465007718198940678702090287451906630694514451604175324333094717402146465409495819914113238231040018e-138j)	(0.00000000000000000000117172642271096073309726798896659420974283804910848622953786468811988453089661218564448161781060355102717691907014190333 + 1.45613830340390736356391567023705767333671730261078457240691085962292246470073091132014922304243967394006865600974999537e-138j)	(0.0000000000000000000000000000419991468201330842865624258984032937535603672131584737605228331090692265125590520531208475025395412659578984913744855983 - 5.76725930175348402114148502232227527297182909206068783411677850560054971311585445855136732608793052686284277662093704467e-137j)	(-0.00000000000000000000394962226866516037451003376296627579193894984010202714374737034391645246292166143509603514575132743284500297763030870663 - 4.91010029287067882663238512581094146298237056214151889493009534513636112836000081619027085157922263756117157455721474623e-138j)	(-0.000000000000000000000000000042012823355556995004626403604292193454580788113087153335379555463842605256551762044012034654974287876280248542675079492 + 5.76714573978757276708068943190024276045565148653995577975450450161717919679166293229562955221221230180915659362228323293e-137j)	(0.000000000000000000000000000479462115457807428381392546172857970581966916230980080627793000941230293404663307970195383671150951798907606034884998456 + 1.40919298394845166633534519708244251515746764423036403112913902849510042584914604455312725036392048547214717255611051281e-140j)	(0.00000000000000000000401060083666218939881510293936142703784314392378250915714676510579615534975044032615716059435360105068759807802727393993 - 0.00000000000000000000240723278620790545124467390736150609881632731804740515945877700365333181892598214305393408763085693745697903184406357443j)	(-0.000000000000000000000340952784350857816535937260409310924266962962554590716045506942684429589733787181390580030911296637198433992459755469929 + 0.00000000000000000000559567684287156072302940006246528436340569560274929377200419982919398777662232707105538226016865013864333198637122111778j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(0.00000000000000000000105803349158752295681631726553115729062934651474621436629206776310113321391499480287805618496648567547848679264874462705 + 2.16102256106873299072857661659804981078020413677853973600836963753266875398820092387961224006970425294578262818797755841e-129j)	(0.00000000000000000000134995610037564966666900924099790384005245216368929813652717585534735627233397703827976542572999715782917590128410030734 - 2.61700744916323518217650811658793357702744497690713175202240536285305384625517377534209985381398419140824156385214541897e-129j)	(-0.00000000000000000000123306814005387678433605612076582689791296201801098249078281685033170922133020812335046864310535610291727794499313071011 - 3.25738668303566546026406161527483667203778430808124302599649477764132790817026553772145521873504508969469578770763917537e-138j)	(0.0000000000000000000016991692564355443592571267264752987654234051699344308629552731686230290699182940969170431951646159556457884975534270914 + 4.45215658913842466484748475829466942508418428177217982421226508231755435758045849634175391208851728797651267186164809218e-138j)	(0.0000000000000000000000000000609067734279727749031590122809269257579780668169264201604375017368246916585687510161098377346090586368719462713623680534 - 1.02505533896203489522299453860712133830462671093872717396501928138671506462058776284698453079564201997961227239812575185e-135j)	(-0.00000000000000000000573059138580235006434259417572021362738838815011580849220509972230689196943136717216646812786648557665146962895540091848 - 1.50787775633310009938614918816226908166010719677631285928616930340054856206476830403306317350597189846708504019935999944e-137j)	(-0.0000000000000000000000000000609265923404693187861951694053480655398615561322564711136041063169088334584176337109775858085351172915602722602504506889 + 1.02503515479970771188083809968429086331576617043742826583539328791325917271559338061199418416657452252102175214205600522e-135j)	(0.000000000000000000000000000695676236981503248798530907211510676473382005052092840125597834838830471689862690012627303668922355615347576573658338844 + 2.50456962964055354471974517104404819302818625425725388915740891148663725154038988204760155529756607187507509908100555699e-139j)	(0.00000000000000000000581868432174254831191371264163084723898630711176590408530425693122617263910113197380868533351668664952608138839528053625 - 0.00000000000000000000349244424503889107909112106220014425877357520549888448437627172867369243356522429436827207104289604439838258731730229415j)	(-0.00000000000000000000049468140841272285755358149998159364306329480165495841592927418233693766559856728670986574950105145577103339767144601893 + 0.00000000000000000000811834563064643634686140226276550793164367426471593253256147099343283359802102411676089710634234105253159946888162189891j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(0.00000000000000000000153386102584187725564283368048239244724785826950531596178672195180587861791580834449230869657795521496506767019236133653 + 8.09956716710682626289022742503001031500609472681786419665705530251719331687105245389270593862423930924221795129313219476e-130j)	(0.0000000000000000000019578879570240797075544125810156623126139105068317327880138214355539122067356387621991289347751561546643175435201452581 - 9.80861008829026511645992557549646002140637946357806942213025210888162276508752509111474027196620678680728051415422367944e-130j)	(-0.00000000000000000000178795898653477451064745842396418019331895775848395413866976112959620320874248144627081005145217330850710123541513227409 + 5.63134189396359214713523942226402214531865377327758281608012040451863485955804372715889038056253215262097877744513075462e-139j)	(0.00000000000000000000246297441247339034840447411616323619426807230375662316055583293520814646319018649831082302177710785748305896160780177779 - 7.90888498514005402240225084119210656531987676908945635489599659633948106259752316143054332196636828494327741702395603736e-139j)	(0.0000000000000000000000000000882912961251147367021164488197738160132208105781507107336972163980246812623666211667293625949048545840344536931080657276 - 3.8419333213233492124642061023589132622330087267550290526315323752315393553162617128207633689904708768789685282221480568e-136j)	(-0.00000000000000000000831512899910890563575981082374064923261704869807110665579623065726244075781989873177900797275319143004963413641198403299 + 2.63155404548296595355306085200347581797220510147314199079542299746983965600983777976141264022718315319124916893006524626e-138j)	(-0.0000000000000000000000000000883199861623563338531145926820324839053503448584113902909948341319715477833314380101892690599150799129887072491578703673 + 3.84185767057304542977888646270559452890446861999300279215164001251821323448132710169979076185396908237719330973702048356e-136j)	(0.00000000000000000000000000100947099057920679904376321340176758865131156161776519002543479362633023323236297930891602288889496031142103790025002908 + 9.38708973023294261860892122264690953001928235683993775587511097087548295298852108091718862375630473857278644001057374979e-140j)	(0.00000000000000000000844188174019400243689340465463920388500099607727093593281491353415297349260676855973946979730119028535576489536461407055 - 0.00000000000000000000506682148011537779763691708029186935974636979043914714484896313040111629811798895902810339153422942009709961537134794544j)	(-0.000000000000000000000717750834940947539200815446907418614342468375475569636290623239802284089344175562715537884381587922568939860192551604184 + 0.000000000000000000011778258109109451176935481231997214438155566777906832100960572100643172368983136262906641024449809052356321792301883445j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(0.0000000000000000000022213621507004416845887163119469605840615076194313880506904674833936277813294244313904214787320461567769741064089461594 + 9.89630832336978517226841760767051499173112698979487487933431951839198372847971122281404344868168165593335019384170646623e-128j)	(0.0000000000000000000028386904349034305411264783841618408096446936502040541462579981177442957692166713710852016018823773948668591022854486581 - 1.19844712138814686695282414589627960197982353445665122212306131860828513453369704541810983230277373669072782712781199643e-127j)	(-0.00000000000000000000259122209611837596672768702836865405341338371270555390535276170107099416534330671289694072670629566775398239071896167379 + 1.16956875771366583074361318686161223556292903167151720351143890376225129558661938828246486842505508393978795850377116696e-137j)	(0.00000000000000000000356724644406054162286583364109373115453849112183480950375869652685983492626158091041988534938602510047434228512945914051 - 1.78078243734224402923192311053101842995026505439677389690305674670844227591773318876320545484739951818859168873842282841e-137j)	(0.000000000000000000000000000127893423950629762956810228214966525392885930172392905983686477881163184881814311229339372177652362213441323809816755778 - 4.69419610952262541335419135714674554651771984903025633451152765430454416211924719748057605366010209756387256291669299643e-134j)	(-0.0000000000000000000120666606142094628184776100973014346372468692032920617257584419714662800682838969567917686706203179961433758257404205596 + 5.69622230213452943285440284008866367676031926312947233050199763662903547634761491646136331547487000294432268681912330698e-137j)	(-0.000000000000000000000000000127934876667947773031662597961267080629248832071473069205248199483137945732775306315090834822763552811658240592711553086 + 4.69410367703397070772833656012157693629765727725576246375058042885584900314272552131459575257638697392451944327058138638e-134j)	(0.00000000000000000000000000146502220932758667706328896179143916445402592648086334348626097259646754485209401173446098789764461129326853493514052726 + 1.1469476375710980033303148042020993186862363279016582564730023225512643861027361320849323074425318400696172357290242309e-137j)	(0.0000000000000000000122476245814913219229747308900080440244419896768550766477810696959178789192892167880291363506102040807391875552443906722 - 0.00000000000000000000735073270229353550432267213494707158118847962295032078182671303214619495166207346311065677132806350001464036850961581033j)	(-0.00000000000000000000104149467895658380755970635068292081778907520243704201964933781621000464337197889821562090475849789382012680103390785619 + 0.0000000000000000000170880178658544465467333245984262123073024572125164936713549247908668506196187179576679203655733832910788146686471064636j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(0.00000000000000000000321084428748663211950887764950302093413662532950853979516307319921897528022801030441545158515756768750420927848384398143 + 3.13698711246293745057080490291340665825412687132370399912662300147801311196383182182885207233516164263078233966614675318e-128j)	(0.00000000000000000000411325716353127138953584561981353558275624726583923938552436808933317930443642254442939976509165490258378019221518209102 - 3.79890465825838793507798307973788339902253532413649558813450091419879179057290615223695936823290023924681525236317543245e-128j)	(-0.00000000000000000000375175118617488559502478694792384649278620825586393489075414310660624430480983011038227568512092245354541600035316643446 + 2.33949691611715888848308222957603774811446053529436770543898741529731288532665806222656205459240204173087875245545906702e-137j)	(0.00000000000000000000515894355699343961358781437047748392215392983597630628811730327129038434138859286668810554991393732840646823236335466896 - 3.27383726438990099336268109453561621586737231211730079742059816250223318130132457680048121460774454887555150279609209106e-137j)	(0.000000000000000000000000000185006785253067541785086644079792446908640609069152837479752940740284400034080789746192364857146184209084761765983390865 - 1.48799251464894433470239597549087390434677595791722084157495128761081994335074467728122548053543363479152339767461641755e-134j)	(-0.0000000000000000000175144262938851847718612303797721930000784646395348752537643507125336197634047873309248073706383341491744897267459037345 + 1.0980012438206985395366079665220062661523088633888742462543185011049654742279809445604296784532007599308782026328443892e-136j)	(-0.000000000000000000000000000185066472483705998131576645084073246999047762657271234764034687231099672684541425058804266867708420668130375560138746181 + 1.48796321488219769076395654095724487472017932841701917690160368647007458298236227643350687525143329421637090440932880141e-134j)	(0.0000000000000000000000000021267329858360901603868628768575625824528645599187820119158355121588553215261739218367793514715344194366807204581426573 + 3.6356475752935957812427618745782933652625368848898596046708333011863097944553842284408421350731170076582139793747618133e-138j)	(0.0000000000000000000177689005713190692471744630132830608379982145475341918950004371467866661303450725491026011808443462895128896477736605597 - 0.0000000000000000000106635621674435733868174784020323086917794704445393881384204728469497510449012374540405981143460179655626458660235660996j)	(-0.00000000000000000000151152118930942577324663642478138949153627628225337338570544995321818168310618815859446725477272590114287989746406503474 + 0.0000000000000000000247911223455581983684982230664952711495014135842326030398445701710134274306726960764182346459242113730564437986481861632j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(0.0000000000000000000046250047070014010731417505239335496495434373045967545311763797129036166622421752883571092654336547727177614999310673265 + 3.22011210691163124700292853425784470215802192835432250883714719693396475081972483442602317227274864656351857506571323362e-128j)	(0.00000000000000000000595333338780690640645359427514965135331804038210495160697613424036705279208419675386275797978914428411712636681144136439 - 3.89956938010997738440088484521316507418738960668346770387639759827269166902012444811608237585146986567262865068229595256e-128j)	(-0.00000000000000000000542242200643988731536952236662922358734408807551687232897551283537799646255469772571404320315773455993782151537461489229 + 3.37402608430356320470627633487335239410142165887159675781746955340702089009743940617799787973505972417714121359467115796e-137j)	(0.00000000000000000000744076928703882660724311473361785518839041856133538942576326317002570518827082724610996048288833105066160584447581249438 - 4.69230965578214728728591681737981634200495428760917334123051297469220794086723078320280444785668977454758355525574328507e-137j)	(0.000000000000000000000000000266969926976568587262387595514712020359235179524512138725117389607059089397878652810372262613252611448769620981016617719 - 1.5274218672307080706934784027772144016130714443558604780931576463118015828258791334434865897966288845229898717786182916e-134j)	(-0.0000000000000000000254314750449994716496943542822976563106759291079406782355679781251724608392385680948616019391378196883199937588695284707 + 1.58505759790501263489617112605719214471481068185059383696982293966385718566348394032636201603351389438898319407930455278e-136j)	(-0.000000000000000000000000000267055350441973920396127852906560953683965298204314526211368706629470777614023004201514939229558976093382380313725920934 + 1.52739179106838262633990103764962191836632369098229250523305774963963456931858116129368541015615682820930434755507644974e-134j)	(0.00000000000000000000000000308885897077452414433539003048699783692367299972123161372272616947944818259919736062961163556179463882030411458796128125 + 3.73198068847985206393284020142972792949930880248503739936441263518326139858800827349501219553114649218903150406658600966e-138j)	(0.0000000000000000000257787043780526145191988379057851633997443033975041668019035063020911146464055772253948538994103156941802999396228556485 - 0.0000000000000000000154676671240343691329793517795860608121048726893341694536976424946266810718792071334311262174987520521172546044374210706j)	(-0.00000000000000000000219444888944467143018340967114767178494922154999819751736576414610906352005345372333052373797484211994535695670824067868 + 0.0000000000000000000359656398643377603910301040434985367056928835102506769883058072325954962139779457052728386828710871264173555061919705751j)
