m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(0.000000000000000000000742317804432651585604274002114709289498262446300439546140001837560184362062099555559012559139933563376979626123604911504 + 0.0j)	(0.000000000000000000000948511061901213242758756478647014037590216391112450400621134482211648824504432841333363846322839313665698945108557202777 + 0.0j)	(-0.000000000000000000000866590707687383243157150249147884430057539716952332487361792417354090848193892745984287733325433675109031872275820946554 + 0.0j)	(0.00000000000000000000119459864572268249190523545253591090521227392209587012730116119293273904651507986751232915929119507983210761758613938329 + 0.0j)	(0.0000000000000000000000000000428175795052318860240985167513825946382284617392713504402415602447145421310906172225041015522769561915179322466267270045 + 0.0j)	(-0.00000000000000000000402453918313319543259814775734125868572241360077251768335123805585340712949007423430785888414327771891863320350298874028 + 0.0j)	(-0.0000000000000000000000000000428315332753365607589630284311979090511339982108876824372900466641546818012734349715245003563536798598791271563474063925 + 0.0j)	(0.000000000000000000000000000488546374321226626333071753501391032633771637982413157256073223513022484006695673440484346392444773022401662154623971312 + 0.0j)	(0.00000000000000000000408694092669814826955993631649466713566106528136679161752995748234197396895730661509907002407833689500491196410425551868 - 0.00000000000000000000245307289510282687243237850869602516404097363859006145744312044332085928586570125374718568149883118428483037340054131164j)	(-0.000000000000000000000347431568572181896164998466121424975824065146095176699796223219262072826296087838932477178258373559426390773141959216038 + 0.00000000000000000000570219325086061024764546303014775003369776304884035846903838567024589210607936978838123108063793921205310879608648194546j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(0.00000000000000000000107739010548971304421489721500940222880919781894704978258369630408862066371466589252503138302926789860130474871131433746 + 0.0j)	(0.00000000000000000000137611453622646036666664085766954828044502028346673397850497653475837281922528364963538022174158464394161700292041875952 + 0.0j)	(-0.00000000000000000000125725465864055335890939013263012619446321412252414498091674627278513628225310551728551136807869448306813013122582796349 + 0.0j)	(0.00000000000000000000173311242172159094932437457947332566747981310177650004266352411150740524257129974552247095775931884628969334870197788261 + 0.0j)	(0.0000000000000000000000000000621194456744683312433814940583932088613350783761406841753299226208690408559331923067222827221024863227993648253828780414 + 0.0j)	(-0.00000000000000000000583893748423349852999107517486340985882250463750364301065372709809911304569851049579117665467909805752481079159584631522 + 0.0j)	(-0.0000000000000000000000000000621396888234988842667459928368189532493415217882982048092146360412225647197322146727975527541534120225209086324038286487 + 0.0j)	(0.000000000000000000000000000708800414833895710580932607779946265664595970920052319331349611767673339613021000179092307942145543384518712637061695566 + 0.0j)	(0.00000000000000000000592945107635878467833397297984409119906739158843214222937164633296956428220526958509654939327951100999861245327382497262 - 0.00000000000000000000355898718725379030742393334575480288817473678453278157958316057242214499858549318289018426624869246470377821716809308231j)	(-0.000000000000000000000504064424247501301380338884982582721667401438832422508658583106868392387111046338745333441002686000243104757767171807183 + 0.00000000000000000000827290512119567825539914463431266775341395909497687931387420073396353598951078076747848586909413614230915669527642558657j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(0.00000000000000000000156365733772074456941136916428993269490879880257429139820751311292840290747736711030514367208618985249446242434241670026 + 0.0j)	(0.00000000000000000000199647013472599601846552695862836565450324241882485081807588821780591194435539301800995131336447216294638866224577275071 + 0.0j)	(-0.00000000000000000000182400380061714869387356184421940834082341104608887929245136753347632701840431035115373238685042735842613240356049263859 + 0.0j)	(0.00000000000000000000251431930079403426843995453776729975718473981626554955104592663393541077876981908863252482490159296307100370448862098826 + 0.0j)	(0.0000000000000000000000000000901203251968226212384848121169011032071803783431056216650563232284328051956086776826900053617893447623516778322578395907 + 0.0j)	(-0.00000000000000000000847135639856992088898155978364343754951628717831008627666704691659568613437908763627094372365244170391894429413670336446 + 0.0j)	(-0.00000000000000000000000000009014969063271297273265522763351200113809567014752875245436876343865611959813081247423421093904537589066491055218918955 + 0.0j)	(0.00000000000000000000000000102835740033948642528719996496342289162697672654264853366605637751845037441848446853306823729745793769888625615140434284 + 0.0j)	(0.00000000000000000000860261691954955118456359526348868969715994335906637588763302399364504876326021420396147524968237388485012755235142423612 - 0.00000000000000000000516347624858138274106239422765907712153691642161928808367602070680011013489991629822274031193557729677192292588700969673j)	(-0.000000000000000000000731313329452379568960737362645664834417341342858311576883139707684714460892761019221262788969247625109969759511400184705 + 0.0000000000000000000120025659221418198776460999857431655734222753384508358791090290242568264081610792689735991423284109226913011949778867036j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(0.00000000000000000000226924894139993539460782887684662277120638561031647629738925260536175533474272927913336436224226804336585993355346308337 + 0.0j)	(0.00000000000000000000289643165710949810800259070988958268865589599467157391586740257052390909822855653860302544376851738323274989733906398518 + 0.0j)	(-0.00000000000000000000264615363823925767398983151814313821192110308981140054094798298122578849554356346912487655847884706466762630460755190952 + 0.0j)	(0.00000000000000000000364747826500757033165693682925985832522110215035515717270449135943367851920307958837522136992696838291908381092753496406 + 0.0j)	(0.000000000000000000000000000130736843616482241667203431789450575645853649396083536880226501097686154336973928656597437641530208931499453878382547147 + 0.0j)	(-0.0000000000000000000122906525068426498202669914121496889527103076474330092788419303912427217529810343337181884707043364589436250373279656016 + 0.0j)	(-0.000000000000000000000000000130779436861588642432584262419131729679518817976318932829895785368834552111928780599371116369223042441091946257449996666 + 0.0j)	(0.00000000000000000000000000149199713520285141106522442409367412771505561645468032587996944807168851971533907285027154916669252946013541512251173093 + 0.0j)	(0.0000000000000000000124809200862556737236935807486138287755051902856182284779985829442115470129557051633354080584924180284645025246574651173 - 0.00000000000000000000749130531929170706254165851192181416213588523073173356310230222285178830939083349157962889492115709716472713042617069777j)	(-0.000000000000000000001061017013281528049768068745811287754695552353262951497372484108972288541132609664358682994427857226520156408242789123 + 0.0000000000000000000174136591552276447617903247585673209575159120445086985518227333917622659206214121553831886345157689703056759714145750494j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(0.00000000000000000000329282578742573868487493615913432117136573980186346936202232194849555922084700593002387321604472723121986471218901492658 + 0.0j)	(0.00000000000000000000420192733556775881060865277736850819987872725932251284551525232883345692416310623450786993035820104177772145169775397963 + 0.0j)	(-0.000000000000000000003838652511269781447776964951795751878820216315756247737237080363703139434245573930877157461194852099939556489973673908 + 0.0j)	(0.00000000000000000000529082861566469732593935531274236558167971386058307783593192793881990824173694486270426789393879065450847269803774166223 + 0.0j)	(0.000000000000000000000000000189642149530595969589627584409541034122854161079581438949734862867408485652472928819935405246609664271525501920097293727 + 0.0j)	(-0.0000000000000000000178320996207776184767409844013850320417559706453088209990706522224783829798864048813080419609426106669605331991051397768 + 0.0j)	(-0.000000000000000000000000000189703914445970213243618873635000614337333664575162220675500774590694911383435410539029213644771192522016438941095075673 + 0.0j)	(0.00000000000000000000000000216470770094741374686563692506474366268529478027903281160198309219512552249338359798010736078048524618853505483391632124 + 0.0j)	(0.0000000000000000000181076654804619796345515709227988850489769613556549173632814189967484722812942070735904586124164284328218527926685494394 - 0.0000000000000000000108685566941891918745841019129807998495203105328826358246502617254574286824972759377792191361114095818091760776618612482j)	(-0.00000000000000000000153937414759101669750662183419347906645328118388711348994956999428625044022561783700990506907663080017203859535324092921 + 0.0000000000000000000252642106451942676236532581510710694295498466340171714383601583111059571217741620308108928420266418302582530161434658243j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(0.00000000000000000000477696909702707911782519269414280660456055210089860661543914726799483589182751162904825692590484360742723309813067869603 + 0.0j)	(0.0000000000000000000060954272472249143886371007184923696625701045700247799459728855565766477271282975054478986779186420890096146011890345658 + 0.0j)	(-0.00000000000000000000556792301504391730305756626978286284854077099219680431493900572913767702183524268098923638585459629082967551810480682329 + 0.0j)	(0.00000000000000000000767318457531795837350097500228897161416398631410159913296313954019571112019677799363773545792376372894076058996608575284 + 0.0j)	(0.000000000000000000000000000275041675210194759300872029101011946644022975841173558125368229282054418180770235839223464498654490223319482735722828179 + 0.0j)	(-0.0000000000000000000258726398118468364687270539229917096970544293883331504251646769343304017975121717173411061666499722226387737887913659857 + 0.0j)	(-0.000000000000000000000000000275131201027738252922589308051489714258787103176588603765694510657520759187566748864594120555512478610986316502894358201 + 0.0j)	(0.00000000000000000000000000314083196931180047620391168377073480161645848634555403341304659408900554407432332102587280528362333175364863574313606596 + 0.0j)	(0.0000000000000000000262710838300366222766376089371347569803101453671829307018819558519477785434041366648894925821504994961259331560521322249 - 0.0000000000000000000157682784671400785435861884843852419411786131379635584450355300882158617598996259794064328644236900942262350490752207669j)	(-0.00000000000000000000223342980485984108324606438592361928559305417391353501581067876385985703393219016965645823896007689221846316032732395705 + 0.0000000000000000000366539608000840192628656495626985509203037392708804419179198210995327886636018697747968380387123849725778369307468209273j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(0.00000000000000000000692694201471319236367982825650833517185590820669809031901445860747626575645155661114425966550135858606511336149534060967 + 0.0j)	(0.00000000000000000000884102063447865428407584206266008919517203182506973920969705687789339675300036645850561050238522801834080945258836543149 + 0.0j)	(-0.00000000000000000000807445635420762811120966995292428692981809477850769109675459642052274341718789789665106734703859531956293758024315239506 + 0.0j)	(0.0000000000000000000111244315168177066071961290460701560349998715519818190734072325422574012603979556075440543726607888426864489996087654936 + 0.0j)	(0.000000000000000000000000000398771183410806055248142405637919074706026675151943879635282791284772251808763382677851072176650974557296452662938456166 + 0.0j)	(-0.0000000000000000000375404537580761037854768581962398045561955016053171060886823756293733687367320896074469517410262890304852984685987598602 + 0.0j)	(-0.000000000000000000000000000398900839180412707208458784627751799022543301957708095947114259570268865894530877452678414717613799695093298651015321911 + 0.0j)	(0.00000000000000000000000000455740025900574450056262096773729736673765318297386041345057646959428048371455392423253005400609550620906162309653339287 + 0.0j)	(0.000000000000000000038114727396826214871237561941140171200625226857230189950410808407965684868414449797508144241288923080513050844046087209 - 0.0000000000000000000228766557431111869417081767199278141081782250617725492843071777803676573234229886381021497036918890971986893875555008501j)	(-0.00000000000000000000324051199077901181338351531594935557129162941855616326879612180582844726935736879005116759397188865259789973742384294311 + 0.0000000000000000000531783674655220086111995842550380133791343546041083390825060809810338792666162476769954952794786161954952396730772030718j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(0.0000000000000000000100361512172452156784317950808498596311916667353882507742354255344350128541250614154121588870477891943982914519370886483 + 0.0j)	(0.0000000000000000000128200721980734981915758852820802512981766281347021372703666592764677405539827371127559581452938067287134085745103323613 + 0.0j)	(-0.000000000000000000011704546784224370469102063860446786897304128490364877061033287849648828442389560154279411103555086972981337102423099103 + 0.0j)	(0.0000000000000000000161175649715964031418524558552053524149957609579341554055755167726157200081732472622957383237625324364662239665500681893 + 0.0j)	(0.000000000000000000000000000577817608274596205279660150025914161690215634915235985578628192541708516208157024719231806451457943169860672106773446089 + 0.0j)	(-0.0000000000000000000544749908516423169203130394415973501409581732392971322576460296925670706378951015668207321613980942335913982268335047127 + 0.0j)	(-0.000000000000000000000000000578005094292268070624317075462152986338925796178609701384107018028875149855169723405555219118275854447991417947000825464 + 0.0j)	(0.00000000000000000000000000661364172130428654979847429699084703005706344052028176459647888758102645837145535360760848689770016894169300238074250841 + 0.0j)	(0.0000000000000000000552975864198766818413253156707333421292495131750619335519721308838239340634485099696260489215877804268144248898090128653 - 0.000000000000000000033188838758261850650289080907202851531688774613044112547165783272473646268247853529619229367142254141211529563573873676j)	(-0.00000000000000000000470200089217039709708431277357212687760527026061485895266285550631627464800665153938399053066104025544439099922210120707 + 0.0000000000000000000771519310407827674663504105073407214807737363678900408781086483496806288719553007299329539110019690059465581510502032688j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(0.000000000000000000014518550755485540876793064091901562922674066905689443447641676352213228753124636752357524787742430112809877861040037911 + 0.0j)	(0.0000000000000000000185809865621853788202698730894644120518737480307829336723836050797397642840279277132100362757071559082088030362451425258 + 0.0j)	(-0.0000000000000000000169535686424824489480337059229094955963479750145960408811952553541941536175470614506718591714011220542253935511614088024 + 0.0j)	(0.0000000000000000000233239782770295761521378372929876553717512438499528273998070148313809549263953782041987633175570162128741543426823076413 + 0.0j)	(0.000000000000000000000000000836339960992242357757799302171591560982979170492587561792201368976731257803307296398473087469839576917883403407059800483 + 0.0j)	(-0.0000000000000000000790619617427016708700835870888652663783753919628290634146868435410780918437151582787128505035884539185778138842788189148 + 0.0j)	(-0.000000000000000000000000000836610321598061635784083421756922841119606037447800508829155100485787502061585566856177448954594652620225779034267877623 + 0.0j)	(0.00000000000000000000000000959973438412667288963592667693811770129689196019537495343617465910834639874194193942798603019594501787630134978088403281 + 0.0j)	(0.000000000000000000080226242772545524918934580364616153113641522788263964604523567543957314706118340787954550333813171695869786777003485824 - 0.0000000000000000000481474387642429029663011468412371246903589567515268064687548515326170147746741389972333822450005837790025416782671073303j)	(-0.00000000000000000000682354335701043301598880523703322787321943889376107868630315189480107319053457500631856874904215655305004890995883802416 + 0.000000000000000000111931875088937106225291694639974762787689325261522462336043533621926108580004808442935212693564177411040680810591302809j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(0.0000000000000000000209443365661456829581208810344260217305902033301583289023875240393770768342217632344884277311673458636898444870557659849 + 0.0j)	(0.0000000000000000000269061755004618291011173499327638820932125841477655095981357083380989998499784547079715272523826006526577517149617276202 + 0.0j)	(-0.0000000000000000000245216295593434653557239337400586480262398922383411417273386418490121570547391098530426198935037470661612089178607907986 + 0.0j)	(0.0000000000000000000336793666802549427292374412881632985315043004769938398321076858154591636343426133756182118473966168863892281575613612735 + 0.0j)	(0.00000000000000000000000000120813960506938242854669882672129064321799701138047976591900528956653541735138573007928013590551417233270841583315765237 + 0.0j)	(-0.00000000000000000011478157952230330026409933603904462477382086022652535482262500695766785501952281751605850146377375851931612389240810897 + 0.0j)	(-0.0000000000000000000000000012085275717630399404885707491546728227294726989001940905816200251384889757182991446895675344331280269479383885028762032 + 0.0j)	(0.0000000000000000000000000139396543989523019940465842660667664019514534967905744070687426922152975941000500124330937458564734073880330263428791609 + 0.0j)	(0.000000000000000000116391240598876297685717010639449216285686139769453313597388698887420308395961460808126041063484713719696710238264443886 - 0.0000000000000000000698418304544034416251179749116085704363500470677510818123337977260488343292152246546384054549573202501900567643234187816j)	(-0.00000000000000000000990509515849441525154682606520745458530906207135840652474057388002213892947800115784605745388186691752115452505474850447 + 0.000000000000000000162386755084000167608647743546826574992277635988235682042056409454596161339298622481240506145913705045226312111662265989j)
