m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(0.00000000000000000000029710446612999089781227323948962161616459126922633809352101964878750472937689907 + 0.0j)	(-0.00000000000000000000034478928581353437741249296876724935215750007585546982072995590926017447424659062 + 0.0j)	(0.00000000000000000000037948501551196085098792588798732058393613935126119664519752317275659980850941785 + 0.0j)	(0.00000000000000000000047515329813450938483189575454128020514156680307403724089783609755599903135787616 + 0.0j)	(0.00000000000000000000020663465798792984702534725493185198528748925042920461228772259981299486671641249 + 0.0j)	(-0.0000000000000000000023578078401122277419061098109631709903066383691938856841141309691779941047692995 + 0.0j)	(-0.0000000000000000000002067017604307041526175431053117134143716608623889326890112058707618785085284237 + 0.0j)	(0.00000000000000000000075714365254335200513003328177408835090481338238523602843560458817667926891577356 + 0.0j)	(0.0000000000000000000016254503203767602103709067278447404854723526425980864262764634135581609437853754 - 0.0000000000000000000009756328288680329245734907179996895779087539609165982812964429395048866502529149j)	(-0.0000000000000000000001380969810272120451216153968920065441687869988755928154546251313391446453159606 + 0.0000000000000000000022678648837599372920675174601272103058757391366211366832940152540082496517670071j)
0.12033778407775895498239640770431763786298404250453128277430639102473632896813104	(0.00000000000000000000035752514685842122391657279729684710248334740086176064027157148360556228868770286 + 0.0j)	(-0.00000000000000000000041490961583294467552396757091540281393060890788443921619570056773502798272867894 + 0.0j)	(0.00000000000000000000045657278707430013945570676532090786347126679320911759208093204970219842761943114 + 0.0j)	(0.00000000000000000000057178400970762671883502437056647638663362760655552087525830239942024109878081486 + 0.0j)	(0.00000000000000000000024865754940656309310917831339373481881350377177677060794095892902531671820419042 + 0.0j)	(-0.0000000000000000000028373380172567782309790664690471682727705541675459776388782106461922471646819204 + 0.0j)	(-0.00000000000000000000024873829717836470588964037720877649578280900396184860237502227173341863179945634 + 0.0j)	(0.00000000000000000000091113201205138420655790159033036757655228040583167265226818900240883545212284231 + 0.0j)	(0.0000000000000000000019560308504810321290565749017554574536850169635115565708412571431409130126546377 - 0.0000000000000000000011740550928697638802588482024511421378576003099095040522578246294976551225149345j)	(-0.00000000000000000000016618292216502849553233226861189162415830104308907942399302637482389809442222816 + 0.0000000000000000000027290979738492189865220093331710612914283572632655105618343020221652104804559901j)
0.1448118227674533666352114050535057466308525408301496112587129039799224385673547	(0.00000000000000000000043023133643402108011968302512084046190817803424725049146860156796273517707462389 + 0.0j)	(-0.00000000000000000000049928936680119585455387399540016934226318498605167851456032878469905567349717179 + 0.0j)	(0.00000000000000000000054931931015552603752595788279488922960040925595490545356983116347688640047163884 + 0.0j)	(0.00000000000000000000068806386795088171846959193880835169572407103054526575762121302342961560858602504 + 0.0j)	(0.00000000000000000000029922558297318200672236194452288734671033247485872625281035249135612397724539775 + 0.0j)	(-0.000000000000000000003414396973464885555361821922318223240529689202731496005617877079808029097559874 + 0.0j)	(-0.00000000000000000000029932274999305221911606003798328115939072327412737763360607349277173592066731387 + 0.0j)	(0.0000000000000000000010964396475470401913814468114485510082941122312359719198785036035065816506321366 + 0.0j)	(0.0000000000000000000023538441000830458049714662023484852586832025039703717860298036058888070572486313 - 0.0000000000000000000014128321713552035453568203298054625604414449217362251271017288021745560928776222j)	(-0.00000000000000000000019998097725477596496701604859702828125363282691675276798064890986998035832467988 + 0.0000000000000000000032841353760531627035621143179298012984384056321581236606062790635196041727427271j)
0.17426333860096501471714050368858326275344393605772895444378037149488747271744414	(0.00000000000000000000051771976011972488815527625103866156527826942000852997517004860597311303391895092 + 0.0j)	(-0.00000000000000000000060082756018153005124058880400542800876564362869670897070304796372841404251581084 + 0.0j)	(0.00000000000000000000066090486209416921663164048563967522072283668776713045621083108640973820213945998 + 0.0j)	(0.00000000000000000000082798675668316612843842601344857931411003184508288551821845207680976764909017428 + 0.0j)	(0.00000000000000000000036007571102498825039575718550298280872483116347258725370601890211900094591310588 + 0.0j)	(-0.0000000000000000000041088219313119841021285250440477567913430382920604358166981643809369391281109681 + 0.0j)	(-0.00000000000000000000036019263453032765798411793222260203973399304586070982708208745715397041796480173 + 0.0j)	(0.0000000000000000000013194371999511643003138512768213273775955793745318297454272929669266173577630152 + 0.0j)	(0.0000000000000000000028325636885920167184658834249986917550013792585996330777399854834219748900292392 - 0.0000000000000000000017001714306054828197205332205791228219134467175132218624868151668168990923277427j)	(-0.00000000000000000000024065290519839586006696419565994633364437032862187533188932764821477336213176703 + 0.0000000000000000000039520546024900491552440772843024072640226843964796158961597199147047798378540222j)
0.20970464013232325233942615801676567577466555516317545286211947428272059349197792	(0.0000000000000000000006229936517582956121280009529046635041623252365647871456138221544007563553508532 + 0.0j)	(-0.00000000000000000000072301211414420209931735669579193464156065253029624808634638750395130584365717829 + 0.0j)	(0.00000000000000000000079515531374164405713125064251277165215077272751405231672465259319010370376682694 + 0.0j)	(0.00000000000000000000099635726125563346687891306934027587040288906099039771787818762996940159913357504 + 0.0j)	(0.00000000000000000000043329750962752109371534535737037953731385616172003511128246682071462477262906139 + 0.0j)	(-0.0000000000000000000049444859437473299656718739862408488650202014118835908146377417701765049272906008 + 0.0j)	(-0.00000000000000000000043343820418293296623011130433594135370720157611964834383819794092577077419521375 + 0.0j)	(0.0000000000000000000015877916310849140903711430453763930201574012242217737021762041679266834357213663 + 0.0j)	(0.0000000000000000000034086441273810346382669032898575227097397023493389108577677037911518613827049086 - 0.0000000000000000000020459495010970535651361829959848641367172140039396716941161995699786546541685358j)	(-0.00000000000000000000028959677172905133241342227807978912413710078365818703241991624301341924716070039 + 0.0000000000000000000047558129552690086411439992551960834198503621304606720964571851259862962872216415j)
0.25235391704347660629848322524084291725319790219501911106406412803806382359604405	(0.00000000000000000000074966491727942251700802497063714370305985259140642290403542343384150233004841053 + 0.0j)	(-0.00000000000000000000087003913987549067491315206328806193800761282353483947521956868962222533328090943 + 0.0j)	(0.00000000000000000000095667296875363955328226321850334879225226465474736836646075144795513821957663921 + 0.0j)	(0.0000000000000000000011989544996309805387906670553436409414539068059785809088045322565870686738734938 + 0.0j)	(0.00000000000000000000052140447145477914974952082618380312827002724372202742594817607770643155567662287 + 0.0j)	(-0.0000000000000000000059501196209910079547297292926098195108778867370757175587036821938794824989369049 + 0.0j)	(-0.00000000000000000000052157376578020283906638360355198887151704452995341299244080965784023879411089941 + 0.0j)	(0.0000000000000000000019107303189573473998869664685179115972235562211324932393827316520921214899128569 + 0.0j)	(0.000000000000000000004101886377325103439526512350188029008176636160467270495782444471412480519127226 - 0.0000000000000000000024620518191720791490727877984248207546183659918079267773919783530224243107980401j)	(-0.0000000000000000000003484950318604934595912660362726261172956140503609919278030249301323086708205863 + 0.0000000000000000000057230364760068301714175460471165460672862985606518685842176829021565639849892419j)
0.30367711180354583332815008889520565909335908898849948054461381899839518069084088	(0.00000000000000000000090207651586190634677074952138326837088498460317384243891900281763307462998131187 + 0.0j)	(-0.0000000000000000000010469561848025769374571156049834344017742281750149732703500360899068594675798462 + 0.0j)	(0.0000000000000000000011509937741030244389360935192419980026656446702676060734657612681668601604230416 + 0.0j)	(0.0000000000000000000014427285806709180125731451019873246034238273645175239274079817502856203352571134 + 0.0j)	(0.00000000000000000000062741951940258575013990562685628555279825857978788179883006159231103984089735754 + 0.0j)	(-0.0000000000000000000071603005970117370035562960208201702633130595159977296444233388062418395267384649 + 0.0j)	(-0.00000000000000000000062762322042319172480107484160863243058696424888729022154749077186001799928340952 + 0.0j)	(0.000000000000000000002299359164497534741748312356542836200051113924907614794739651091347108946695679 + 0.0j)	(0.0000000000000000000049361184176294949102262326724457260138547673164050293950283801404677104773963166 - 0.0000000000000000000029627812613317286377136548584581452594105357835602675080641522621700410783398799j)	(-0.00000000000000000000041937240821923069367917122569682476725919819912348238727561861751503407756413557 + 0.0000000000000000000068869692656871970584635126469308123608998857788946124493310767341941463418743466j)
0.365438307095725637910590077455332094869746999496986712366473307851666037465686	(0.0000000000000000000010854488069892670115344330123307549574028601614357174701613171644523732702867545 + 0.0j)	(-0.000000000000000000001259834085121632695817220330123365807831509381260634402293199606196130397524279 + 0.0j)	(0.0000000000000000000013847761199029252783199731978868009871764257139041948805900130863678402891616177 + 0.0j)	(0.0000000000000000000017360358746164253639343276207167192698990757008265925131953895256269416258220578 + 0.0j)	(0.00000000000000000000075497745247233007057487387412491431630766645687792026640174338751676363922076034 + 0.0j)	(-0.0000000000000000000086166452568046347105478461430813665737400937701379245846905337340862237669919213 + 0.0j)	(-0.00000000000000000000075522254173649058456996340095327877454902842132488611547699927536688178364565351 + 0.0j)	(0.000000000000000000002767045891067455379244773171482128516268783164626574032932413746026777600523265 + 0.0j)	(0.0000000000000000000059400142088525624087959261198671768299151220319807208545549284630398168410116545 - 0.0000000000000000000035653499508136348368050696577948831713142169567428804501324271751507983525723274j)	(-0.00000000000000000000050466557011839234779455821687371491837868242927062328497470204057362237174884164 + 0.0000000000000000000082876157278796520725450515178340605778074467539129200182562384329831632989548054j)
0.43976036093027200008446483656661370205864648958772811970946895253599695009909159	(0.0000000000000000000013060541428001193330404649916556088346325512030332987294980811371838577828105193 + 0.0j)	(-0.0000000000000000000015159729033629205725148708000939836166627109440802403966087000515487294244401109 + 0.0j)	(0.000000000000000000001666027414677979430619856372975870763723076644313989340241093765850203522460648 + 0.0j)	(0.0000000000000000000020889202510598423620570588116525319625656761624132380431078076357406227038982365 + 0.0j)	(0.00000000000000000000090844747225788588635225431113095526118225903231315316518948284177095441118696339 + 0.0j)	(-0.000000000000000000010369244529539129973044558861898580227480958823995988541420571987949137657981037 + 0.0j)	(-0.00000000000000000000090874234067103934718161608310415773090848556621656127772659868003095760347967182 + 0.0j)	(0.000000000000000000003329882118550070993851863975611144067625802760815173437398588615636755085446939 + 0.0j)	(0.0000000000000000000071480791827826774633947850207789828776179826765329013247503731957313734250959541 - 0.0000000000000000000042904712002156649830362012448873212851455330600283925278166058193352424958965423j)	(-0.00000000000000000000060730703530702046117932901144966234459979036241854429123709865204886738531120894 + 0.0000000000000000000099731148622941350384347668476843254788858635503055146193927916517945207713320161j)
0.52919787359584417116031727749057727682839012227009734171767126635992309031477458	(0.0000000000000000000015714244814369044010997924330139350396551655414864025830150499316946056919653242 + 0.0j)	(-0.0000000000000000000018241483197906068269984998721619864582734631961432499484595803289672018889957806 + 0.0j)	(0.0000000000000000000020043757269949017023507614296593615774985905785326686209399652769762018302022422 + 0.0j)	(0.0000000000000000000025134484286717067837126171135355937463552475601490739089699359958335317207390123 + 0.0j)	(0.0000000000000000000010930793932438134696212488813105849038700313259143185061190743793187969061281177 + 0.0j)	(-0.000000000000000000012478394484282088803608781166893256868957189281961613645830913510162042667208183 + 0.0j)	(-0.0000000000000000000010934341208813351961612095348800085587771089002135521284391121287936090109527409 + 0.0j)	(0.0000000000000000000040072407618568530049713317185420130230094634357522815020222994484432673908551112 + 0.0j)	(0.0000000000000000000086018361032854882853397928881142833284449794211367414838609315029136808386614304 - 0.0000000000000000000051630720398961963965711337721698031226989416707238060961366910571183144120212178j)	(-0.00000000000000000000073082622512675408704562732177569487643585002981665680168960935504377702287929476 + 0.000000000000000000012001393611995486747687370956676246623249623144272266563969148590578930926870544j)
