m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(-0.0000000000000000000000978253732843394846952507126545038661354859232863784931860064114543432302896802264131388643858488600792642455401991949015 + 7.34056094346300530400020874449613775232861098960336988764478162781368389540685597600313857426654287286115923759224221496e-128j)	(0.000000000000000000000113526339085534133023640632627457744179193650473280597571905894852343457694337049822203791543889305336879062991300301078 - 2.69011837545093412721469100484065196848102449149195644303666613367487842635213564684307752227355990087294656781419772492e-131j)	(-0.000000000000000000000124932598492681649496554446980224377404459360550065814604380516665259594701355241877982327634168628703062198030797272776 - 8.88716415498879747617604917347911209302708522639406343297978070347124260405434668076542394698110635614528501976762183413e-128j)	(-0.000000000000000000000156450225592440437651995816883834223534415280457632068338904537454917398529253591095909597364401786569072736537709492362 + 2.17169513305946978608098082430486931282275254249664596166821566913175542458206690175457114781046133441464065351908029549e-131j)	(-0.0000000000000000000000680370802136954327732086313269558642093684682761637606378523708115913787448390848437038017592505037870824048580554139553 - 4.22375936605779584752500592713872274692158398128569343673220325053536618408599380263755896333273320400828747688968079435e-127j)	(0.000000000000000000000776340272136299826182492767404089263304432912372891195499321864139757403657490659084862329510590453193780932478416916034 - 3.64925923110949113530551327335565562149966366570229850573420108935547103931627907578675292581581657108412630687098557629e-133j)	(0.0000000000000000000000680591744507703795411275641792586523757046408112961798503574019125674949661679231340095745148407228220744823764296970445 + 4.22367649088576161953441809642121247368230151458644314765249898981309600785623213894022944834862001361081179649094098451e-127j)	(-0.000000000000000000000249299894501089027149858417064101549262748978861238562871726064685332244262532630483504959422025733493366135377367564443 + 3.64919032052623577343151957533738239876041764010174013124533448385295621434589156690740819001323691843844988754452023726e-133j)	(-0.000000000000000000000535201370502700972525847746561110984618704450172671495023302046859460174226459172831941741683451700332032790721079452012 + 0.000000000000000000000321240239499555072962880819401146146656022853552611518124285387228151393242476940222699962123820344715663932881120089319j)	(0.0000000000000000000000454702933914980498274724810831459214237189668997058337598609774266168510821897283221895258557089329305499655187337650914 - 0.000000000000000000000746724979556579095607091652719452818777470915215802946680598710903459069032214267359795488799744932465612328004405057237j)
0.464158883361277889241007635091944657655134912501124363765069285868477786969284482618995907089757137984154330822826540482	(-0.000000000000000000000453852501999132946264748398135470502534570107926061032232756134562135322158047076093884714220402715467336742590625894246 - 5.4928473751333827261190030103703549414730001939298250620124701481164654091193429927845387290715071101166343496318773171e-129j)	(0.000000000000000000000526824782138065902644194416368967386757307968281002816432543199440931890736542972347386024321729879701525742941596024265 + 2.01297950000709649231348824441503510915172647645674480877871346149433280425628414971317261383640409825924743525011022347e-132j)	(-0.0000000000000000000005788658165213017027913095724755929504462678150323593523359502123735951917861466464271664885062218196306763948427965107 + 6.65015067657437057722948136332311204497184292885416650688344606638891846525894277626783597507447115754218464721967727374e-129j)	(-0.000000000000000000000725912922176980182101108315992676128692097834694799214325350740071377681504018024018579418273161998432467648533394193587 - 1.62504948844010334551744013209806803613689358567524458429585569155171004813576891402629241791300790030381732991474144858e-132j)	(-0.000000000000000000000315692774932746074195719247191735637208573542008550815117557601102767446363508509448720741218511958037417547626757254386 + 3.16058482884730167068466631285894213465160598487717834455139708765034016597202991378610408589488879136231296945987096862e-128j)	(0.00000000000000000000360368478112674482706542812197923490626843007601988229298667102035684233947994527383984132090115231884516050454808478241 + 2.72967241427778970364708688793705924279497080811661769601858952545551628692537764546197228410102768124665581047069057145e-134j)	(0.000000000000000000000315795232226905183418494479347835268424346587989417219779739916647471516667107125875625615855059054146879884775374789246 - 3.16052281442162339418770266917781830494868802203681756135075659509521739932902435850665760195254626786797011131448252931e-128j)	(-0.0000000000000000000011572613488410206588466149850233120265636675149532274645863890144083357611658470286327254976382708454034150886481680592 - 2.73031422008144152227420355876475114807499857894777895806865245786329628679066565616535397504037141964301409849346848172e-134j)	(-0.00000000000000000000248418164205395060905288865400804371336909622931529054508341234921697599229017168753722642914146803538369509734017510134 + 0.00000000000000000000149107589905440515269486329795381181115710242644037130599383896489973738614380704349149228803922411718165346538122326945j)	(0.000000000000000000000211059312846210620029266313035167024902031541294019884220629867311384562023874798174867853287447905759927489794920258136 - 0.00000000000000000000346596592611059230169789401882765954369756105878801423395236638698604116193363883213406467783828348102052189624539141348j)
2.15443469003188372175929356651935049525934494219210858248923550634641110664834080018544150354324327610126122049178092045	(-0.00000000000000000000209226977119790199024122320029980706328487620504298577486023101051136313152946404171204329319752869299965477357863333387 + 7.2117400892044286236343753640201077183518103541284023491307282163523559647218963110770010897791808357825748389352429064e-128j)	(0.00000000000000000000243712375178819722858115795286733510287843606144099135915148183282479585757193445607688586964238269538304403599432627794 - 2.64290878825951829679889827480703182872764916830093679602140181980088144138164608478433160000755225569997085754822482167e-131j)	(-0.00000000000000000000267701842108386518776041984721677916627383577505990829769057217719846794011779164677884949252374248983597503001343797198 - 8.7312016769197588495581098359668681302617295365126612958208362512180313593377361536952964235887814723147037254938408898e-128j)	(-0.00000000000000000000335162350008367732301171004653310049353759532563248442351824911677022349188177223019437692409043021035780819307644867469 + 2.13358337327295089540454518473105092103976787451333289250052784944964031158876147107015156096202350313977279037980976525e-131j)	(-0.0000000000000000000014581893094980609610153053442393934541978305717822606735600873480450523687522772253552246061979605818903218903103296795 - 4.14963583611601724364644385838758847970507121249101367635709725260588652684785169249258096236581867791660816276892730117e-127j)	(0.0000000000000000000167428378039933729569205048278614332697459773020261142593924668196105054641126033899791802094064111789046445006422107335 - 3.5850773792958911014217603870460702423901056479697888482442750018043180034659021283061684623142145223026864984112097619e-133j)	(0.00000000000000000000145865887716508335845175112709621858374067134764999166402884220883741521322087401720660914229959001649007896959027846895 + 4.14955441533562353321369524719730889311884163659278507602717529647745182882285659564263222647427404099044870602304053812e-127j)	(-0.00000000000000000000537927755380062577210051904192850451624614558629873317835415076546499033393968952913230719067513756710780135554447567436 + 3.58510494123276457008145183444527701789082787345660969822425517107519690158007529093654453706293177924012341344100595122e-133j)	(-0.0000000000000000000115302456217276490533956081187661148367280475326923379262319640426880143836254459398465406625093570252206571637590928196 + 0.00000000000000000000692204024451575844205012784391084823565340992454697178146124896698149299023003256990720837947365103728755413203554470287j)	(0.000000000000000000000980138744651266181601107029512030864008576984229874411416309479269472832884984770906180011258575789073781370648470612995 - 0.0000000000000000000160851488672736642528915370938035156203648479800607538291975805915125844591490857371601527246849862106066340829430851079j)
10.0	(-0.00000000000000000000897764982401092696785602901927182118729919254760010948026350808320112063737470018791879076780588336954403854611474881389 - 2.32688727410885014194230994752947563191542859242149987637738642966931701171297646083967349008830710908145898669394137841e-129j)	(0.0000000000000000000108509876872808133908047927700832381450498092928453910620692118286604422106766868942456173452051964660284598600056114761 + 8.52682161779709054470764125954063497497120804590373227920738725989396293414112129740780264232560765274463767512831898063e-133j)	(-0.0000000000000000000120691898533450815359197693391008292885502772797034591234242262716215925690991869208673001259662080698941205076444688333 + 2.81714575589992900502802921915601695508569059488716284276696459823526482265857510946361773200411273063846710515060568218e-129j)	(-0.0000000000000000000146300447313116784738577937273349805369381935167408024751217726239545865160369020073611888890197117528813480195128404515 - 6.88324856194710071519522760400828804282380530466177035422041073516733067172469545425289059682085998847246688439436829872e-133j)	(-0.00000000000000000000640437905707926849461703838401065829526828281338244616035780036256206172503934058054245967827675126140042456680686533507 + 1.33889116027559923111520043873349389026065205118987990139371776771631846301177377725364407406519163679310313445192662361e-128j)	(0.0000000000000000000786085773256364962075793227870105579814674681716943749851326369977021274801847573124186973921763705493620645537480248937 + 1.11561295441859837680440457830492064453579850933344242292544834281644237359712764438359409232344919796351598434211917691e-134j)	(0.00000000000000000000640628954827911614582511982980236549080045285014475876945551672528362580395927206512516260947731687732043238926937554129 - 1.33886488964307784100780501961298369717839539587759053002042567347366963339348141439994428200970706472699783863881163289e-128j)	(-0.0000000000000000000253899258718049397066397438785261527215571251333964602206463002244214192426835706381717412851920415944410083032561506472 - 1.14352239150678199058303581333643397463637831492512004118459966163524257909262808434870569064484918650732474260045492414e-134j)	(-0.0000000000000000000534902148090007889207737346920511748711785347529516305635184427060612173756790598865022385130965424866536342876804897989 + 0.0000000000000000000322370609697847933489181282176671823124909294543136095040521315344924997871722805732276511337441667415222077339122598795j)	(0.00000000000000000000459517341072813257191558296179713334796827229636014455103659321308778168219115473843036430085390849731346724052756083803 - 0.0000000000000000000744170389866482020637293738166163701272830363414378220577475619109391866015399248507126695418466753505467069559642505377j)
46.4158883361277889241007635091944657655134912501124363765069285868477786969284482618995907089757137984154330822826540482	(-0.000000000000000000023117999038428544888344089934370373858611833437117349281438822437992379503167383437191296018493526039549643183370579526 - 7.06030354903246695689204278566412744029447015355850898797108753597063847682304138315253116131114108264298847996835315402e-129j)	(0.0000000000000000000354773259809079023655475524303345016972161231614694774521688567537194019693231915757752129360103614081408863004534639309 + 2.58559649853928268694594305909082047737546924303444152494377048159904708118295990845105938372054546883723334306273794517e-132j)	(-0.0000000000000000000428795298340433058787742118883045335559927316681999171100932696986360286879300476987472093141368710646727587889287663756 + 8.54786234519141010689430897205647846631384545964427608636085803337565171663175039958594378820482673357204652309675192266e-129j)	(-0.0000000000000000000428721567727298732085239911072426997071524638933224732723763914808372033748947118218010333006114592810196148688632212376 - 2.08638543330305788848883954955513295485404058413387454819469165510268968099673752806468085202020854848448413266837485514e-132j)	(-0.0000000000000000000200407664338660285715258646745503281927899938468319617314710028643950714915952060053227378700108944679051499250668011672 + 4.06250017294382890072513835747697832286306862556370543293117621774812866912810869301413102893986341218971649230285413399e-128j)	(0.000000000000000000395840399291385025581405033575891457838977609621626189154731934024571270172203870623761679588038054002252519946255193586 + 2.09536625957912679616342952909271870414539553926406266215579898368696818941228151509224529746140005282577156891217937021e-134j)	(0.0000000000000000000200446248487868740421140439284720529340391606576541509368987778105853540833881555644490432824281739470428658534881969417 - 4.06242046189983590559939512208850231093593107185884979770062231386158741461456510482888990614452089639326324913888312806e-128j)	(-0.000000000000000000131466186093932542728272398254875558627395396423199294839539055543746970487863503612760141115421522704047644712976023748 - 3.05017801775473648616850083667656119446232102876268039619065304597801739741967621343803807796673859495012810865836715573e-134j)	(-0.000000000000000000247313067478486681864133258022160869341620188445922319760673285683801940971047180845303619261768086669311300555010841355 + 0.000000000000000000160171216949428764977175833462548910256498877881826185207341359244750246618655223976039545770663349413792929309921903918j)	(0.0000000000000000000235253353028953587821094134360224880651492503034226460307155196649179179369697478810579968487580322669520712891987927387 - 0.00000000000000000032190353528115444549025962545235327451629114400722711444976126435329909366085060158020694260603838348298700986174542922j)
215.443469003188372175929356651935049525934494219210858248923550634641110664834080018544150354324327610126122049178092045	(-0.000000000000000000011425515586154837032651149898470215764856394657036095560778288173507237966716240000274372634734476350460278691266376597 + 1.92955123865772608495533751035426946357488768112235705653677118668048654540824838654629799161750808787931927670122494798e-127j)	(0.0000000000000000000392222317988756338654795396266467483164600860307810605513263671305803439935766883784162663514535845020789625315730070004 - 7.07423347434484173457472963244574386288025852335391046026158404792716059484049805622992234917758873304676509854788596053e-131j)	(-0.0000000000000000000567130148115466329085402191184326464548843947892534848735871004486244759932867150338596618834755940196976717036281126365 - 2.33609318273145316996114121534700513129268115689646111112732938843684387730769579247912328538950944149599849076719977482e-127j)	(-0.0000000000000000000379476850052489920033701713646134120020842955967035485304798986602569851213285097615628246817735069756457773475778550994 + 5.71195479339276524982169323288145430644884815210355648510736539277828396518514267068748698800503711777617044582209208785e-131j)	(-0.0000000000000000000229652477516978816670733417886429395772543929503741089154771046198774990861499167795321413310501888387464302005667200244 - 1.11026382604653323182620978128640782444479609264504603411531784405801253206993303843786769185358231503913229605682078854e-126j)	(0.00000000000000000229149523745877874846183865792426983118485711774357265070355868840292412749250194723681917453716487296893325644990019599 - 1.42136095199555179795706699370057151733848676935069406919785316401080084413378945710540842320629717084281195396520237256e-132j)	(0.0000000000000000000229664524415895750691497980489511561144813176834795741954265128644200361436635367182626933239165920343739932847612262584 + 1.11024204134948290390139649476113381796089848823520336385047861958482490698002805317482679441045790884864600410060542416e-126j)	(-0.000000000000000000785949333970321468235233539534740467432532788025396836851891415977630457132736256083988375278992233321948269481712920022 + 1.11459666752734657026409437537061578900504317259349523484510817915322207755550771556333031180386658091325147880701795913e-132j)	(-0.00000000000000000150264730925583267102334083583090258463351554394556440479798586151267120044101228843482807861091344834514193745907316428 - 0.000000000000000000190087884835283310321345284500151266739751057365283021256840291439975171673027965787954288065903370552993352330421643364j)	(0.0000000000000000000203799245445290787293931177570257327139425004033251594892005439678905342521514674670273046190138359899248982500288397688 + 0.000000000000000000276050939255474858127278119713994529569323713392218105721444826942496894889274709498339637524396626418658339555344381455j)
1000.0	(-0.000000000000000000000777790296745923080220597786675589143794978809684431610980415521031676104562003725042915093834357629744513235050649756944 + 1.29263502317678018280439977102476589565967217327609344872363329888177658215561231491994176943135478881247194828024001122e-127j)	(0.0000000000000000000134108999504792070640570933925009552771867807179722204571471311997562045500158567893394729255932404791581418992405844322 - 4.74094938151434402233298077743157106708195442520275699912696485348967537169712426542220969544714369178172553096057334927e-131j)	(-0.0000000000000000000217360103828907112716117638952933218892696763382179101580868138040098975350757780501719278279852586700258817424683528027 - 1.56498320629406510038505180126146234188081965676655017287663521577299736061080005171866173656415767522967302450166897318e-127j)	(-0.0000000000000000000112242978623430601338481677254735228901367132206675525039795056980439318749518036536151442528916880496738885006733294899 + 3.82797323226581781938350219640915350577998467705304715288551213983316726158157055460379982250101925498865380388035982901e-131j)	(-0.00000000000000000000866412530724982077522243624839233780354821207057108186967016082574321625625057681232041167509284086317245621618626439902 - 7.43782207709440796926090729185020963829136088850075616006845393522649757128468402915097821080119832074322115094127597387e-127j)	(0.0000000000000000136267657294728311942117777868574307601486745418279261061384943297059173948560479913415238456215982441873318481731149348 - 4.30042909630586792742760215683299915102775955233468742218791801452807127717277820764818041542578434667621909953033576692e-132j)	(0.00000000000000000000866417092563615678352680800218828933977439525539033147308818004957113422874467066875567500491589453880882025717972919417 + 7.43767613817817748032186183919289570867283700605169537895443137061823709929947421634907069797202789254688385826661289632e-127j)	(-0.00000000000000000468449696941345514332922404465726136058038008061566164911578288433702044574279974787987940772905449129897635495009633812 + 1.89911263543950109108921660508023213974324177759212134586536890701210053740905769249317226039024974806658054287408195812e-132j)	(-0.00000000000000000894195862321631137988548998295562211535342052714310748584769163494843514861251424736469879964036667410884175412476801506 + 0.00000000000000000000000000000371254772001308396584390635250914299056808021221955056179003578884242830428616540257088608562950100858428776787416764228j)	(0.0000000000000000000084322793570923465666911287312747146903080105615477035304012642306834745445886982054937216079792871761578432253202379409 + 0.000000000000000000000000000000121519716418662396112021953606990662358471680186559126276551138242376838507273984278450223626776767504810613030026541533j)
4641.58883361277889241007635091944657655134912501124363765069285868477786969284482618995907089757137984154330822826540483	(-0.0000000000000000000000185664966230463071656049884272970435075745664334320151031176086931638454379589847753738903507010224508456558266581902691 + 6.73733699184325543253771981305294874293641121286664148128129776430889792067793441681521133359052061413498779120963748686e-128j)	(0.00000000000000000000307570795229642443993767023124136872179948879316128476967863045069472753411361299125905256986500255875985774066823649961 - 2.4701555117318578027462296804905204010265700938029480349540462729973336880739523043297514307345284237616122594422070991e-131j)	(-0.00000000000000000000511127058015971285328030001568444107917874235383148325625365991024781995115027749298918883052031344224277563369210966335 - 8.1568433456572987815370575588285717967896074451150264665887721825569675391204867563801468453942872699046713677097781328e-128j)	(-0.0000000000000000000024926250971652563804499359380021714343857580826234259406031749414730164263801728361564250377538234900561702193654690422 + 1.99422802176414889426957220345420228233402972386946867916887403356361100097656799630564773083670283101131880727831404112e-131j)	(-0.00000000000000000000204940297206647673278796475400100277571492198812318593344654982870030978053071683829860618858818919967912356781047123284 - 3.87666407794101339711932650365380826942377398669048319812986700267310087639996811485792704431942629760358382940581344866e-127j)	(0.0000000000000000777524343951365578485531214581684315470587116739853906235611857079521253482855230084036837270398365940571774671202367582 - 1.42926139793456629124024737180319449358858934343610548216983550591648503380758120880159683003467159440972132334228525385e-131j)	(0.00000000000000000000204940356979121459905508106371811224063346263681164162309360245177037050048202297323718675430165317592215548128400690565 + 3.87658801318700604933059846200808338160518748498969349206990824881560818220813893944929073910400782264812881247703854147e-127j)	(-0.0000000000000000266245704921818538745216221177494482483903737854975978420438180291470727286551333496531992983206370357991628018341802304 + 5.126772240945341514560390890713668240030569257205465776575129726085829678841074897216443760340778755959067867447995254e-132j)	(-0.0000000000000000511278545969781401827030990120062375901137680291124000127640535805057402898319274682633943487511484691979896408878218758 + 0.0000000000000000000000000000791023583087421884184412720672603663890108764263107379292080113037089815216808413839738896350961662247697785091687326045j)	(0.00000000000000000000203846676024025187604603688878759414886759440366767966056677221666606208413758153033730685119940728009963153881280941946 + 0.000000000000000000000000000000121963848110914320355751081011362142891763506733963216944554769594937332601759402682650810734093794728469395483666572971j)
21544.3469003188372175929356651935049525934494219210858248923550634641110664834080018544150354324327610126122049178092045	(-0.000000000000000000000000301357164387286989172510344493617163571315199906469961384950934155318149540620777109990544648683876821831981457612690335 - 6.70452048551686842506189012243939476855667265354815640288000774038786851498094869638706635029155946148602460465900113885e-129j)	(0.000000000000000000000666227735435294551520779282845806852825338129529375419188249422597110802539628292322673207593039958651856902229862587113 + 2.44330079223520579155524923169125050973363357684267765965999120550477257949505630364270524820075437268286496657037507489e-132j)	(-0.00000000000000000000111013630660173313413279876052028946742488343994675533347527679266911425738033502282734062995502697843920297116998358474 + 8.11713814829316725402976058837234952604104887455250012572220764128111264901701070825306515281195342182309517926452324847e-129j)	(-0.000000000000000000000538083939451308333088584969018027337365235451147381910157039668706081348315636443948843410187048432655002059367752097186 - 1.97158218399740899809188371465045697096887504312128188624977008393545962522647734205183058670156306168260741445533003958e-132j)	(-0.000000000000000000000445585937610605991889886581309850207511437519649432209443595614989562336724819869971082285188731699222791131134348123947 + 3.85778339360161913860197445806405260872303481546428674938087978131037204974532468673676538053330204308686442854511638081e-128j)	(0.000000000000000428390385401243911132998355292424323667125108157071056887822127992300542820993150585995688257440158404008733525892152735 - 2.95216420131259850643684355855171282407284545918509927371783829588090349445320904463140106514755301522692117994960132447e-130j)	(0.000000000000000000000445585943774252918942824870199316901696536799416700615273877338250550028495441071712748174209620303724286534185861534399 - 3.85770769934707950699904543860230169004741904581225933190489694572151071000142697018849259657511808857389388136548018621e-128j)	(-0.00000000000000014624094920639993775443118956209585271483321328476090942992167921595658286500951295651901415965269226670331600712254178 + 1.0096678158201320265150871869779535772084182297867738860934434182151660576654036823376914082637638672326592105813459853e-130j)	(-0.000000000000000282149436031836714819090695941760499230420967862757925283016574709671092625416542328779194668697197740111489454561304723 + 0.0000000000000000000000000017033827053888666255669826490138577701070206364752191018317630227568657767968429643990608892353468942300971261348186252j)	(0.000000000000000000000454324602245421330623223739695456684732454767375218448745545931516441508155198933547190795669273337803807880159454055547 + 0.000000000000000000000000000000121984372483100257495701369413238284499602364096705752578148643815415308081722442625030788545849909643311829827317781798j)
100000.0	(-0.00000000000000000000000000417776124015110004570629485909879539461491175313282123149912522308948851856134684087083198976212758110701553109978990786 + 6.56026607735196013293839660714115025710075751555589298743681433370035510028083074031876304395940273969946323384567532663e-128j)	(0.000000000000000000000143587956250937328621846549323878669041366290010187775203305855729858360687289197003495979809384428291301351900753522019 - 2.40487466542406736258283589473938796418308480462013859539844766576059384144308849686089985210100974650527928644063177563e-131j)	(-0.000000000000000000000239309880124993861975297639909575979876122853521458366988148639142566291915279224967253621304084959012843916590838087684 - 7.94246557596940669010919542373203621861388420600075983949103733405316407960609186151047321372247225197457783244000849585e-128j)	(-0.000000000000000000000115940137232024604190893456318686225794473645777542092099286198363143601664448311420628355177611135418208739256544613112 + 1.94145499446788400847132310051595259587794730438438751724389548379272126995015468913518945229383829475897277497598950339e-131j)	(-0.0000000000000000000000960629805882091996602483310040586995841007130806655773967865166111082103939663780019142022831407407833558715636730899158 - 3.77477755632644201211077366525307146356910784899275529878173274367858826209673334081625013228321394543917875701138276614e-127j)	(0.00000000000000230173904793149626144868097173245672505533896826620430533245567591971625737912688253040778510250546911797306245191204082 - 2.73580938689798925052786541160683060544751280522337196897762771431371458156803054470036588431634584873976689574677796164e-129j)	(0.0000000000000000000000960629806499963704864658954952796769993728124844119907905044185452068854415749094381357045099215593566307474539125867665 + 3.77470349070884970412736961366188019357283115425376955736455630208746484205432043017817909326992236773223919555454712456e-127j)	(-0.000000000000000783971971996079605079372808814711992319317672931160101331327320956821287659504768869078742826624488524694627294557890701 + 9.33515008769043646709480283903768036943434804034773324051641926641714487304176051146199817597595559800282730832239404393e-130j)	(-0.00000000000000151776707593304329123198737728840824079483566913219041433681025922803993402731117727290080956658851438557565739513476997 + 0.0000000000000000000000000366974444417009289489140160863703303927143953240253820281249782903237953972789781448475654597349312222015890865424752888j)	(0.000000000000000000000144085901761339090042861038573009594621811649760829359311164922310884063295505467181751264878316564902280676761783687467 + 0.000000000000000000000000000000121985324884719504256738758928933787509358349589478719642918696741006462456521425567613159100000205827292129604146654902j)
