m6	Gninj	Wninj
0.1	(0.00000000000000000000162545032378408047586269877069087879922303582211078804202184442760360949508417901856215752351885928036593675623081640131 - 0.000000000000000000000975632830913183300281187984149185139692317475425896649077768112915213148968041700882827235293695433887310593252398455127j)	(-0.000000000000000000000138096981316695288499741076314849076822790847685436593981829824745086158746241885210066861135035458276418749900307563432 + 0.0000000000000000000022678648885139078399716066536550093003385561579876269107338847863338908146432929727588224106145147504400046268963025148j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(0.00000000000000000000235824996794715310483470504552872390425041884888134445201573947537165233704425420468761275663229486053252809781109743306 - 0.00000000000000000000141547668018176032496698698670019945523810986642706759834629362727824316325589224086928135197206125363524643586288202794j)	(-0.000000000000000000000200355298436380436552928622837257319114283034908191621091329874985424989748080342279033433094031392568681376054025648465 + 0.00000000000000000000329028253387132239458331911529987483508676188636270778453901100285158882285427240149533836309563844628360539227929051096j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(0.00000000000000000000342141649361370743785160527372689002171500108404978677588957144684116872541391606577575559901123055806255043838931871553 - 0.00000000000000000000205361580488877670737731002138883652621936633501176993985188046627824863485602796451848854652667325078022795522697865676j)	(-0.00000000000000000000029068191605698906043684480956350721510872737784511585386320597049928950392275560577638731099188209628933628225168249672 + 0.00000000000000000000477363319316381646564162759599902852030448922284937424988635015672518919950644345919527784653611579621674019466470912282j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(0.0000000000000000000049638882096723663309166784337332762553380171254182594505315789052932706053992956839955747826046072960945184255602062245 - 0.0000000000000000000029794494965282926497928251797883966788741020583370948403081761988115355992861976254200973759177071287849807454922133723j)	(-0.000000000000000000000421731775243607473197214874680732002282418149833174103260545767989390109780254344205449737450378347826091233783991626954 + 0.00000000000000000000692571404255505126897163532900720706521581585694931133969664028656463734221005281378167862018347182350376797589665654632j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(0.00000000000000000000720174789323735277818984073028992222251136883499194235758899798036201383388533105630615556900989411160053977657259490392 - 0.00000000000000000000432268508106927243447652634411137142104748159250262260365370765751203020847031038204677131147181713228646456344525543234j)	(-0.000000000000000000000611866965398936201435039264466472570312177679234256205627976503122345574235019448547155702416161723660003032200668320625 + 0.0000000000000000000100479935697496336081385857165778794341940253705622419143460049296062885538899714557558946997284821857257233750763004034j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(0.0000000000000000000104484909727212247722366464068591401777916155158711110050319474403596472698096197412458036171726092529078238694018283703 - 0.00000000000000000000627151869249142573502471407781034319900955564914354123171897882016922427062186206094995672676844945092694830381991648682j)	(-0.000000000000000000000887733643955823729013806212882530733749297558567707443272154369569659637512787611999608257632350876230550196067470497984 + 0.000000000000000000014577821507183560481627705520157155451604026451583541609608569901637302950488280655465301449971711883366499691127402547j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(0.0000000000000000000151589344120447238370934802463400617804230543406314199747451497937753752716671036839355428764456753160106387066201741434 - 0.0000000000000000000090990304363251708248382043514306607509355806839697633424342775242433347196303455315356644325162660696828245540559183552j)	(-0.0000000000000000000012880088424631463702933148404106835518983140226711437499728626928535612086367813230713992431532083612523204955114391445 + 0.0000000000000000000211496275740462538199351508902945024843730878673670932317023957312407390036215575021808564790968731504252252936393812517j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(0.0000000000000000000219929055827117038471688468653101596624130823055741095346829563302304963686581977026284280739987414440619569430362666883 - 0.0000000000000000000132015341404753301584285114022836482517124455636219795153268355927416013055190400396142205050565637420062353866597338101j)	(-0.00000000000000000000186886117898427354004291648350373559012959460516573664746033708093381989666378637498437187016353979851792804278802142308 + 0.0000000000000000000306835862605280972763114099371878492582376772802604504938702994124435721069645185722596822401414342584446618597523492281j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(0.0000000000000000000319075972769500078225485525477395314144696099032958213789699394422063770093419642999958411867866664861273582404535452471 - 0.0000000000000000000191543838824817131281126482547918683338537044331659916111924717531378775532836367190865869841785847548751075052819426104j)	(-0.00000000000000000000271194833512494217217702267465889175809807122489618913686871685476909836026902918365551839156577473887580333110616693567 + 0.000000000000000000044513875282509557165717678622446232755390036755861200674435169287430847911731776254677983173326724657374210057153341142j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(0.0000000000000000000462914187962362222965250924415205605653822247544030622551399921421660078134958597335029470950731216335598644232506617782 - 0.0000000000000000000277934514523166297748648678347173479738747079817979337520939353179948272506609615976384916846568156819909343996874322838j)	(-0.00000000000000000000393624529045028686891855643664168902080950002911464027483483158120504078680207966213892966528152651179043726820822297458 + 0.0000000000000000000645735996775925887430812725863554473991643603665654001788221420886441965040651761118982682994017739969308633696627950267j)
4.13201240011533687355142497933077619017638268318171456231476085676355862974777274254336073067136946165422363295876158346	(0.0000000000000000000671577749120885817735762083472966623498597967898352982188612499805289586927765000245505605278167654477388648931500216454 - 0.0000000000000000000403348983918958412806549439540683173812577881521697116075593546270473501827697661520045867627493650431156743720534257906j)	(-0.00000000000000000000571587361684364993959758124134001513613318589677088732998739730052203483711723201949517259295063388023729781302180833006 + 0.0000000000000000000936595540391038889853659137441629788009998482813675334841816283610956678982638879647728396921722151787300663129957356148j)
5.99484250318941014811559563053420341792505712982592727891133592796725701829834579759265675256212768861671456310321803177	(0.0000000000000000000974250022361675934127445591254768479007182215306528294222564680613709235186606695966707782264282025965750608340047504893 - 0.0000000000000000000585537114988549177508366235360804011927636984904234541374346437979538073964900152982151749828276580961926235354551035229j)	(-0.00000000000000000000830790652694621224917585122169694370853440111120673428417031290002043799805588911350097776198618263963015892811422348121 + 0.000000000000000000135805578444220975308984497625255724594166067369388591015645638569579768774497674757961478442225619162316195848168241047j)
8.69749002617783327913479146387332709624003280073782296075665591367558291372894603935108544234132284333572317686378518819	(0.000000000000000000141319193952978209604636093782400209639118920810296270548117019231672936667730458253844789848094662325140647299779158635 - 0.0000000000000000000850572590202669104748424202447258945475730686177860062973397847846288990213334750613357921625207386604914712303777088508j)	(-0.0000000000000000000120980873963985518412547574504020482061137404222589289643918952991303159539528411263168002751798843608616740455245540189 + 0.000000000000000000196791440039257674638781427366940644434604053515256905749270805327063508428555009799877347463410812194822176450817518419j)
12.6185688306602042565689206334196624508024911714658731858465649332180634116211899497219788988697166664969466672360606298	(0.000000000000000000204950411370196312371342474860967713077628996855476313467171498869061483782121753839444231125801071965347465485600412781 - 0.000000000000000000123726387853051618207966545412686122383029247849235545917794599812485082740296822430010519156559226228682195577933640151j)	(-0.0000000000000000000176808893520475514997365650347864786018814057999725249397566018338873371125277178702734811354223576693847436909651616545 + 0.000000000000000000284781580536176278758984274814626783330963039567439575066690331559596940510927921982829936676785790608533730488297984486j)
18.3073828029536820179342319923628569781055915557191387497830535616968839393044958367626536597989915192462491854959924239	(0.000000000000000000297133351445431811599756542258659984053668287640458046367320428498374871797588580057459877541501884753749568958259082643 - 0.000000000000000000180489334664282493270028695986829854116805909629747254715557838463743587853007554348891265616056646106348143805835971596j)	(-0.0000000000000000000260047921966590690912661075306074990912570682501188928846322646429407868800493359970747296302710452007949641412957887709 + 0.000000000000000000410951671724456476492974062910690147219027553101959148322410721109585593456554232833229396061572499723038289202448367875j)
26.5608778294668627766323355407359483556132018226376559851531431605004742854432986067497955435344554252309961345358605571	(0.000000000000000000430579941194071960340390181659329585248465456777395937667440794384413127420310593020295594974885664110067147745547800349 - 0.000000000000000000264846534582127192833585815575906209519267936054837969740382951294365567033822506589649675555448491302197801096764603701j)	(-0.0000000000000000000386147057010895501331503684156075901966690182394477756904706024210987296887974370947249535313281620022333440917339623696 + 0.00000000000000000058950629469123308393649222116434452790035673898632896286928591708023580261285474810948980648104228510383639604848152742j)
38.535285937105294070702149979604145171150825306967036808584949878257488105734519144985119335655181255951150785636696589	(0.000000000000000000623872323948324482057127510621277079551484293760820337092901567955135627336369707151708142024968244453666548421723562436 - 0.000000000000000000393261911164625899934546703714739184763633724526985421903904335928148869790797720476414490632199799864441573179811071453j)	(-0.0000000000000000000578622458710626001176413038643261385625086344740484715602877207769522589405676278445568192879956855977068600673745426761 + 0.000000000000000000835151826937912555023570556292844384641460663897671420340374170711448222216663630779314823977711764414752651739597257123j)
55.908101825122235893502827688604298694102377288028055241742113811755967334254924284872276933619688524435259406390244338	(0.000000000000000000906214224076384395855536519694317735861380131655515403545022567446207535103291701712836447144260110925312915192784377198 - 0.000000000000000000597324164344025157217287745058918103096474002045177895285612872474925081883939072165084878468660425855789424983646503734j)	(-0.0000000000000000000858864005704348908870934816272246813489830452120509630826602601687382929217103066963966319888392648136310824917617870236 + 0.00000000000000000115282293474461353563363778863922598650580945441911730538359605600305716138141354287253417541572931537428960999969996254j)
81.1130830789687091321110011535867985365974862957505536386900006308084045347577436316212753590723423233030129119885749938	(0.00000000000000000133595110998615070703146400501990163370052789145380621567708359796359479430561711610224677923588117952757316428765974653 - 0.000000000000000000942311954637904169183762000893832896373397244663167017944474020431516528613951234912218961207579432198781526871253018756j)	(-0.000000000000000000116548415307816946006454334274897882433468391924287951497579089102245107432407049519811749495662787750859403239797949646 + 0.00000000000000000151196843861984621016521090034950363633252586520150747958323011869133940958401698536535278863320865912355230687568799179j)
