m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
0.1	(0.00000000000000256357054391626781546847896491380413112058372557662414338192206018671154320935436170282139564412488786358651637861992755 + 0.0j)	(-0.00000000000000310449058696681078721902587320921789949473545742932357499356969192161228419209478670465577821811420866535855355892110376 + 0.0j)	(-0.0000000000000000000033226370419218566124922842148328693366943481187745060182137008323493016064861676461803191883015591099021768463826827701 + 0.0j)	(0.00000000000000000000268331563431709124573988915436813220536339383061766238283150761129198956172591517814688222394899738535732169757921261907 + 0.0j)	(-0.000000000000000052173626697147066722283442775005631882766266482032262756127928578988937072570327450402601441162722053967368912792377377 + 0.0j)	(-0.0000000000000000000127480058565263146536785231287772376273456150232297607015187861200850077937922193152437100483600939385660136466231878127 + 0.0j)	(0.000000000000000052172602988665251017757481010682547896383286369717502540326083974459879251539682229650477340189726162708274292465540874 + 0.0j)	(0.0000000000000000000127477557396265025183704253154901257844029426903915418474716010087194058575888413574605987505352548132509356573738658092 + 0.0j)	(-0.0000000000000000000000000000286500638752721272035988872935305115678557036993992519483261982016789547648972319209228565967908453756152955637896191595 + 0.0000000000000000000000000000171964236918370584332799682567855812732293801295941348468613222194757950758352092959732691993407640820011695038431994841j)	(0.00000000000000000000000000000243554370812682645186639325051998572899952522506231994003030171676524166939881704705207414230717799623098198765861807147 - 0.0000000000000000000000000000399732240019783951872548899411327017352741872499011076550898996591553475227851710217904575499858671198680927715924314584j)
0.145082877849593967645049687553240463784275076356545632766478145843906750092977925839998940387477061798530018033437034274	(0.00000000000000176696973511692651102467121213698836725980447799410603377828233438978004531635472860383643907405013479893210814119983524 + 0.0j)	(-0.0000000000000021398049385236316722154303401689181898495321128203865073572279187975513258086970395353911962348791959658138868390669939 + 0.0j)	(-0.00000000000000000000229016482708752239770719522011679193812840941394161054932553371587889514439878895876152228443554961421008781380826994992 + 0.0j)	(0.00000000000000000000184950537972153388593089802749714702068315892036985272686985170985134269565671561446248215969174597303559120622668059633 + 0.0j)	(-0.0000000000000000359612570693348233356475774009470320525778486397519534881544097523251373239907323254022239444999981219490648624727117052 + 0.0j)	(-0.00000000000000000000878670593783179557689004807893818160893149173159650147319592045869387357185198461135977977568923638029016688539369602155 + 0.0j)	(0.0000000000000000359605514667879211088015579305951339141910261100980293471128493544652800463404518644267928923097479819049238713553211011 + 0.0j)	(0.00000000000000000000878653354633814166145305838932616031998804648387949068899552850193142048998802872881907564344068581996083250703487120811 + 0.0j)	(-0.0000000000000000000000000000286500638571370043795399291680379853752336801787926527004400010741912898860328265473802474244697554668432446773865526875 + 0.000000000000000000000000000017196423680951942883670733267494198758807003871783227018454662524883639483161895876432468122495733373340773186136876526j)	(0.00000000000000000000000000000243554370658515853508502202013971168365344135325474179783333627796903268277746652585726103680316486484354335423869505191 - 0.0000000000000000000000000000399732239766758572904658462197885569359026950340069894713971883760921279496379631219857284576772437807020945557388516397j)
0.210490414451202039373873568152081696542991489497419703547012160501353775143431645725398087917808685091776210875523289928	(0.00000000000000121790369794490657830852704289458211628014462315914051168757281972902106037438002577026826126646367251972666258111526025 + 0.0j)	(-0.00000000000000147488454143571106953627270719372109698946237959868692174334117886950340486475771301345586309826331413721533768017138668 + 0.0j)	(-0.00000000000000000000157852177924308609428543502697954011947796113894203402005818951356646967274752621948708028331898635806648116637139258123 + 0.0j)	(0.00000000000000000000127479231492536585297681007724128430289278678576992083434207516908599594298636514181878284145692613053395847527534207796 + 0.0j)	(-0.000000000000000024786699566527722469577444269276026264419520636641820380755304088606361498648010766255254647147734387667413844729105845 + 0.0j)	(-0.00000000000000000000605633556363435121267377107168603566823754657340562468923029738340299813572136525858658581589916670713784933904239928712 + 0.0j)	(0.0000000000000000247862132220623518166339119744951272165775736838864770976542930515959231275039639574798424328272823358803124957276031022 + 0.0j)	(0.00000000000000000000605621674524817531061726376336373580400919010685849216546929492079547225013574754704695619916075081603129602632489305298 + 0.0j)	(-0.000000000000000000000000000028650063844637167683688643381058121216586059133877662132391928104478665611355946532175729765984665860946337506329428836 + 0.0000000000000000000000000000171964236734492549721733764204986920810112658719135763155559292375212342197819385277175106097776897761515885290879692264j)	(0.00000000000000000000000000000243554370552254664180161644322419733896001823030215506252744637683092361321511175869039862544913375489281458190590771901 - 0.0000000000000000000000000000399732239592357994111300702280777443282757297379225099066572361413731884635821387777486020383117790287012602907956044395j)
0.305385550883341543454765005265989937812762215067081857109263977048211801695352225919693526645751835179429445998326969405	(0.000000000000000839453776808914054994795646064488901006619325347856597397721178234121303524373192239389829186240880346688037073267878985 + 0.0j)	(-0.00000000000000101658070400349526220103638773874501959347441263907214114353343330599624455412875356666454459126400569937492938283449123 + 0.0j)	(-0.00000000000000000000108801383101731169832875175596283669050963847685318373732411789818354398259419188273602250007578332792031811010428533331 + 0.0j)	(0.000000000000000000000878664892496954859338818937653310670981428967464128884382127805639394977346715203854067330162796287499449113898882041447 + 0.0j)	(-0.0000000000000000170845105412356138723985813091955278449424369792512952119035621698968209493062573477634012173237742772152217881192648227 + 0.0j)	(-0.00000000000000000000417439717584195111570012556333612933066041278227569549187586485351955528026094526825343566603435930586751948444484649735 + 0.0j)	(0.0000000000000000170841753228608159212997168713717747920964550166501987499206758915739039500466471016409955778820064107998278758703467962 + 0.0j)	(0.00000000000000000000417431528332065749597344966137247050160461278981158617450536653432033800230720742177941420515918322956363536630383107026 + 0.0j)	(-0.0000000000000000000000000000286500638360215151187598648200293130974182646009037408375129873347567665258575804925798806110639512248539115046612231012 + 0.0000000000000000000000000000171964236682779432245561745231630233128089387248799529339503403805124967696838496984650102456768049864935774231654466219j)	(0.0000000000000000000000000000024355437047901294825494809124432971240920046946823017571632084490326169039888902709494202769419654246357222489650023935 - 0.0000000000000000000000000000399732239472150440159434825776494319712735400996359306129929388717369227283004060460926719596201367577315890852369394225j)
0.443062145758388043344851766231203362309441869579003501556732567797678580175745385061882116090233765887964179690861184894	(0.000000000000000578602926198336442186269539880186095653558104855137443716811365110978989563971141707566411828023618025813649974838912713 + 0.0j)	(-0.000000000000000700689646414064422517093516062995780631420285026469062107088302734521718679331214575936662336009359266320098063387070033 + 0.0j)	(-0.000000000000000000000749925729051596236873625475731699982159084573643724989938521282830838101716086388876218272140963323583818349837077908635 + 0.0j)	(0.000000000000000000000605629625953734064365265359103834142343400695587637095055970309652992197934471381333574078904620877055392046818463154042 + 0.0j)	(-0.0000000000000000117756904131190000779726787228365999569093400961068818733274267329711442453856317893664949103663361659969030195398728825 + 0.0j)	(-0.00000000000000000000287725004530801628178007339929747678274893634395047263594356662384049314229140829920430862429196019687031172520450476415 + 0.0j)	(0.000000000000000011775459360096270398970305266489761676184540365579324653999802058471479688832279584235216183909011573445664389607435355 + 0.0j)	(0.00000000000000000000287719360435303601155303176371023557511525994316810249404201329842253924599813832553009842945733356040565960057169577768 + 0.0j)	(-0.0000000000000000000000000000286500638300830800061596503961294076888361845270080804873639842832428904225278202518037754325398118302574440571378133844 + 0.0000000000000000000000000000171964236647135586316514778626742022892061687931738784646952573342846954413702291825642061954043882761745734858795392401j)	(0.00000000000000000000000000000243554370428530274507417057569910598565386592356849322665000193561176664626098192752624478585078814130477908431716619665 - 0.0000000000000000000000000000399732239389296036060858457919403518046208343256796578023752738640417106272614077994627601411353590735055918935450893669j)
0.642807311728432105390700173421914840640176447689570980836916821378800984682842063136701256129023036780620417676888592035	(0.000000000000000398808553220809853757070701335416302149744514579502342936452016218569816847111702354019128211156735715195241689024971012 + 0.0j)	(-0.000000000000000482958193763795086969361890736241224559685432307931618554192794815273449560052323401879655324402803635520559938934502107 + 0.0j)	(-0.000000000000000000000516894714731327142898872396675781750545623782160332591962447542041319646471502598601862357710408650929683793739573827214 + 0.0j)	(0.000000000000000000000417437007704707746391658355774310896601945592769347797513295741376027543746908709471069530414829557519171222428279077516 + 0.0j)	(-0.00000000000000000811652662679821385538500200312273961229324577306281155383638515315031904083198382422704822833182928165803829633954677435 + 0.0j)	(-0.00000000000000000000198317684428894516661659923974027943819589968075604551494686512291231595505505578079286695822908966150483715305759769926 + 0.0j)	(0.00000000000000000811636737091211325219228787943679018184368360924988104658008818423232460649159058885100587433344051417438485510430778186 + 0.0j)	(0.00000000000000000000198313794611136390959632079603318877758444945816280853585333094696342039808836304620861752977003777223382792028708508684 + 0.0j)	(-0.0000000000000000000000000000286500638259899470337796728915898535190113867712728555948133043638953934017129434012530449783502835241519400389809598801 + 0.0000000000000000000000000000171964236622567665935427696202558499180348875584962174460528474752894819133374947405392632557803964334661532864299136822j)	(0.00000000000000000000000000000243554370393734525706274739455744929743439408174479131277721831198121053849877183039057166874529423027353365843126841199 - 0.0000000000000000000000000000399732239332187709221822949106089570887997944119734784807126563853546963405919495023022657971243551248716762740670128906j)
0.932603346883219869518569049008609590217689363295328558250674943997388199059571027839061570433945892778217585364184979127	(0.000000000000000274883266100151116414823861174455637730466273920640256490860578966070556883455045485275734175999390796574136688377955572 + 0.0j)	(-0.000000000000000332884349193278903648250391141909930932777524840311717070664986157037484971626343779239304837887427748110467566077642754 + 0.0j)	(-0.000000000000000000000356275475767339390062222075665883265835959593299031332998852243330498024484140279744191929138299892023719742065809349957 + 0.0j)	(0.000000000000000000000287723135883957155668992205919704866822392054477427507144253642204737294465040744021049433771807377883612029907287803839 + 0.0j)	(-0.00000000000000000559440696681307726807133804443857087417899486985465478929465653585981487214714722438743551185606774658857111406298380872 + 0.0j)	(-0.00000000000000000000136692686767246861369609033109029604564998825286793799209154662879604996904719123035900693520000822675672033296617098419 + 0.0j)	(0.00000000000000000559429719790826451377812825398369677810492626663245175103483419467688215500541853934897386596252671341202590414316292173 + 0.0j)	(0.00000000000000000000136690006105086913511027640657668382289974612710857295081140546709050997693648156394294446553799618208385766892229532777 + 0.0j)	(-0.0000000000000000000000000000286500638231687092474405558392993254973640576093523164194976911638127514799202754291410894324185090100847921737955079465 + 0.0000000000000000000000000000171964236605633951399739905495648170975905665478362910492335042762076587184253784405231115490469436609042880422303864263j)	(0.00000000000000000000000000000243554370369751165775344647420617967037342066439684611476321720323604572938041688089377151276762161177564806545083485845 - 0.0000000000000000000000000000399732239292825154748248314527229389453587905841297934043646362719762318813962908869199047684766649578399209544555432885j)
1.35304777457980699410885954748953846170789002407826848599162803796495080851604998163006576771101740539756605645479590477	(0.00000000000000018946637270880004989373230288678622648585169094177712634673067467002303592632788478287238564702146339886509703548496246 + 0.0j)	(-0.000000000000000229444269445640138832088318378072655948281742954942085543642202744967482900673829073397916562619538881517035122626242887 + 0.0j)	(-0.000000000000000000000245566864716642997586404471492472876838341226038164637579536733456775791374376291229015350686804606843322209654483039273 + 0.0j)	(0.000000000000000000000198316395596119645362810622598810606495568214170840671516956351855136065320773234913650890252880368830480575916201347378 + 0.0j)	(-0.00000000000000000385600771737314695050975108871647945445328307835750830879201191258431392058624537395191751044723145708881712690084831868 + 0.0j)	(-0.000000000000000000000942169662923598454950725528976881278064962841832110430517170029811783887234578628313988866629150521079310405462408836337 + 0.0j)	(0.00000000000000000385593205792495226618791099849580417615036810596403008418365215076999542200223175658214748347308173620460774746531817114 + 0.0j)	(0.000000000000000000000942151190542509757049074913457115929070651252156080586986424624581106269513935885434703418435662145180787338862069695397 + 0.0j)	(-0.0000000000000000000000000000286500638212241394762241622471592289102852334826356482925538849147291950117831260465024638213062184806447332613797058706 + 0.0000000000000000000000000000171964236593962198823635696358839113068186450370756932322722052735350523453015429089463681571793102327065184412077340513j)	(0.00000000000000000000000000000243554370353220366081779478990426099696353702637895712406319168900973674216575854625757904081383590979120117972220896143 - 0.0000000000000000000000000000399732239265694072810452644885446201692556092474736417210305007837949364065402474303614206199092025812956689498690844347j)
1.96304065004027092028598420795303816625341284603502768157589669371623639979595500661156171132034140882081734805035783625	(0.000000000000000130591821384427980738066960619716661136408311970524021986528246740356486367050262897499617227190053210272210180546968986 + 0.0j)	(-0.000000000000000158147034878734860477466558299604429953119426496220358202163152363186754348293298753983840175156435708762648028541462657 + 0.0j)	(-0.000000000000000000000169259713466230686766780264129895351993607375652442308358211164094603589607963993979727812547496326773454817026519005191 + 0.0j)	(0.000000000000000000000136691797570712172830572935724487253874166511857030764248435589767607080406994964764667927625751441080267401435786681803 + 0.0j)	(-0.00000000000000000265779654661000714768911784608359995271562917775391357719204273435507548167463184931173372812154839779582107549871004093 + 0.0j)	(-0.000000000000000000000649400997867977168970140036771948511095768901825965534789940198036977497711793381473588618085446755332076277140014261011 + 0.0j)	(0.00000000000000000265774439748716585935383797103953257554351807904631752329699498191488620548236341318019578071928218186544962122286481189 + 0.0j)	(0.00000000000000000000064938826995559038831483339892716676261074743779064594177760829608357875170782640609787471787291631333554083848395969017 + 0.0j)	(-0.000000000000000000000000000028650063819883822962092600446195138189705397657705721917349785456398641333290084580918988693041091188912305909820009109 + 0.0000000000000000000000000000171964236585917312516046783297495140443102932000513503926670642878221910295442469999706902618002426803422509035983782418j)	(0.00000000000000000000000000000243554370341826327076829442907625047824918742720185599866632322015300063229326998690385271302861915740820641245981624718 - 0.0000000000000000000000000000399732239246993670435722207128333669888259257842295692619648049921528591625332128831203432096405725941244139715907876919j)
2.84803586843580165490759490549689969966364464254003031211582596306242135388582187373043967963164859535725701924286724665	(0.0000000000000000900118768776950690136842230502849548046104352773307551733046753757560221587287932321108336766438470141252409824241615754 + 0.0j)	(-0.000000000000000109004616684019322930754907705660895768874805245726302661407749493518679091788857369019651251339811428423524665028536075 + 0.0j)	(-0.000000000000000000000116664154034311179692259273649102219131947916679417098947495654743507645141857295069053237295558794482389736049343305746 + 0.0j)	(0.0000000000000000000000942163525462072757504617819172980103260498394501475252329403919419461856774337100260539321733116489515505070011898712949 + 0.0j)	(-0.00000000000000000183191606475252130276557632571730454964404340103190213361903644059506755806780449057126695777964669424555374106283914448 + 0.0j)	(-0.00000000000000000000044760691342882752581285051428257138725548633482327382250575853574160820959729205130163142534394168996124576502252804658 + 0.0j)	(0.00000000000000000183188012038498965025166185496390047256175452293752035951360518594812552231717813088325647074873071030003624973322626243 + 0.0j)	(0.000000000000000000000447598144955891249575550363510268309909218351321060939572464872446658139887749597374777141800957169182947581472490256452 + 0.0j)	(-0.0000000000000000000000000000286500638189599947792686566343512877309687880105245052858195570130939264701038604020214291744860327113055227548933164385 + 0.0000000000000000000000000000171964236580372284442300630254748866999433084528531151224279882966124625243230564829863561298318988244118790466816823132j)	(0.00000000000000000000000000000243554370333972857961149419118430867979958691812860838287187570532840431779383739665203720023024871480246211884862486368 - 0.0000000000000000000000000000399732239234104208460304046281945382946088202987559330088205554788497675664997636394521783929324032789447616803371041844j)
