m6	niWW	niWG	niGW	niGG	niW	niG	Wni	Gni	Gninj	Wninj
100.0	(0.00000000000000000133356747150074482296123818402394364268438121984269512612024398979691741400290133148764349675632412663858961921860826568 - 1.2911437486189002079353123355813557608318455117869582521676898438904846954103725058492088097053306589687075999074106067e-142j)	(0.00000000000000000326756100242882999246621220479179829970211653724920468268174609263768399384857645501431917626743756121509936879055528528 + 2.94469489107684093397244137118272275455613592781170777835865539173314856292698293615895750991834364941142060873172618615e-142j)	(-0.00000000000000000253635563796605104830065059378510346830413696820680242722117308137976350714529507631617675149601893498333744141051897109 - 6.29645245291865397593560245494951954273323510850592458026895922519232796897634608435180184863036874100569866892214784152e-143j)	(0.00000000000000000284187820938437385322122035716349381063601588257175539276801683716928654971071967091668571122391579643831448824542203932 + 9.10671950629290627894519491789134815389234214836963895923325093084886334277440450975511984812591424057774925355090020602e-143j)	(0.00000000000000000000507179851574920886926288951890975649782257323287475004387976683424253629770408966913368423998324531045422609135208645179 + 0.0j)	(-0.0000000000000000315029208813710196996349794822292778908296501687999121094180214061942604509372233408937669328845426139824893890942279295 + 0.0j)	(-0.00000000000000000000507249594632734108989056697085176710431769656359564263274387658623517076339004878926462556818652586213151112937530612681 + 0.0j)	(0.000000000000000000167328419075535189747749429555010989510607037738574635673758988715144513442603707580718636790463096469161207752770476684 + 0.0j)	(0.0000000000000000285496435258876642023194337316577973009403823798371305224070476884832775438041793558379358043627700456184117547625182206 - 0.0000000000000000119566625135311041646866339729637827486387727568041112424880869013076827901462337722208813399583529614573649913336785087j)	(-0.00000000000000000205044865544266213676548306459859511675008297192492874068722059748767293527713852056916332881353499145089493621614642349 + 0.0000000000000000327525908125272251341533133190685168440794783736077211549070939994304950774740462867134745397475593822474373506572736595j)
101.393945767529198239448673743258537554316223680320403095586848117740035905171401733534167053858112059551477572655230694	(0.00000000000000000132977116450947612740209357959908443577737804790853273720766593133623247668824057846161696992686884240497085922811456639 + 8.8091956863274754400289985587396160192824367841927720011181359220859418753905850885043293652744857532655117957170837313e-143j)	(0.00000000000000000328068712479782088107847347957060091380212205304973031411643958349948114012754304891096883631418625743693150131192033108 - 2.01827517061214360472250747085189324238882279137098905676209266458202740614956498652822182936047461944017793751369853135e-142j)	(-0.0000000000000000025428877182918668616183252015906128596971649440053653860442944736305624017347686278650067774464739148610205257912205028 + 4.32328588995168774587327794234183395820781654977526969529229964240787673810198902776083568827241939185916719157345110571e-143j)	(0.00000000000000000284429020128168627373808950381068700724558464634664514689621281804971428961928039672122530370122477730356636275056522347 - 6.29129356456896686626759061381076615862371688321894324065279578408080296002421826175041972289894813094101360022216473701e-143j)	(0.00000000000000000000508590269508584789008153089560173151251414159417149886696595766832962008803227670333496931523353959702288269937072518381 + 0.0j)	(-0.0000000000000000319996925448613288140031226682659195224988176063390767484759557929313264544861119800972511216704433941034160617651819776 + 0.0j)	(-0.0000000000000000000050865961678166639185209160602545368610881570948046483790530353865122610034797000150946787116464510950438893198065531667 + 0.0j)	(0.00000000000000000016999424087752079472053671559283600650265151775905969273544016002453872434030365415766719871686417710291841725434803219 + 0.0j)	(0.0000000000000000290356713416884755663970101418217399899890792854064836159116963398932914881813891181258717435656765025261867202399740237 - 0.000000000000000012028341262173717932574675745568264324965883357675621108823155821705374797669489574653230661497297258464771724619700537j)	(-0.00000000000000000204461077424759528480749652362528317718631337546356268348061172819229043289345560159193192360434275808208954784099431911 + 0.0000000000000000329702114731285884135519315009305150718936144801793507152462798761986649675394967427651021516738984602912108707934036021j)
102.807322383086522134705814617847016531149812217401048462300039961606488754401860109146605301088685268735300416256762244	(0.00000000000000000132581359127484863392580113770548484478765111072628617533167161790649167293209642485019685837588649896079620834268677342 + 2.53833356611547606571847744167287250667503939190348676070142386910521635607196207999318975234216048924626203632202162443e-143j)	(0.00000000000000000329353657705878704346073668635451606767505137031862481022530678978172654701451430207537734683959809653240346287544103364 - 5.63506226128903003037485281007433918423939889707908143211714642497089774580537823457123866500302836149679552507979490985e-143j)	(-0.00000000000000000254918103620250483173964222908165656240921390723649487400692691889503065520427797218983405221827484525197246734959915281 + 1.16490659999185599568982697081133794663146226672994995372642897699148302969379009402692292531062129168636542659675859843e-143j)	(0.0000000000000000028464198198649735551952010947148882080590619887379390321251604324979290398690580323592095364946416250478354189275860857 - 1.69207736065814446668663093338399262117034259202726238240351662608132477863571504856932252185765438889335971616446713082e-143j)	(0.00000000000000000000509958792476845165848041501509800075680250196503135871141889718672298322275181347091079410145678816211309939986941189912 + 0.0j)	(-0.0000000000000000325046417087238199207035565719385426228564712887424318269132772208596252100471179762082735110253119261799452924859233545 + 0.0j)	(-0.00000000000000000000510027737825760745110033727359988488040027786907809442973653004053358019291618171923277721398950020167283692923376356036 + 0.0j)	(0.000000000000000000172704162163931772929198142584847016485783407244046103970986031037284333258179583479475388613523101111935037716676521145 + 0.0j)	(0.0000000000000000295348222441715198365246336670810457249755195578207600831192537361832197740121335470901379310841163108002030500132619998 - 0.0000000000000000120998730855620584580722912161846856636796646761602806049855818066115160391926229353316977417178553012848690716249969239j)	(-0.0000000000000000020370443798218232066363752016837450218537791481754611022692436693615760904735517974891867687022632706711871360240687598 + 0.0000000000000000331739974331166540873615934202285150971072231016479802730042443205310509562201823129934598270756509544114319374267523573j)
104.240400702155654774025680529278637258147351835424773002036819000845599326037820311345896728609571349778187060620798083	(0.0000000000000000013216967469085651287205896382612376687669402950946587659564963591712088280255689126905205882062938134362119361055768705 - 5.27992771185042173959326222589021384142477534145465211817587806450452587102909069057681255943348483037141624279931959256e-143j)	(0.00000000000000000330610531160511075748348665119392875130870392263684338570374476877438411924307313881708843668925380833318290236790259267 + 1.34186262364809640623944050428961035929289408460589872093794661816253238626154431573585052652745161498357625478853963921e-142j)	(-0.00000000000000000255523389107153197374616872935592566009609884548250589464205114838292031655362537979937157481971379765549680138086366517 - 3.13965188335427020780561325922473183222878295847042839056109392037662993422137200930573658013808061410046083308402798048e-143j)	(0.00000000000000000284826714980610743678875848735435408526828349245066082529845800157243715013062041215771340027583880392827250584585995439 + 4.70744009276049889433249071519086859901447091768236346802520459798348705672738066786233651643243283406296840905118081321e-143j)	(0.00000000000000000000511285066060886408816630507394037753722591470109181491855963822864038473695168492688497025900585860235273051026069293725 + 0.0j)	(-0.0000000000000000330179046732686973308678692101861338533683790249943542285077654140218945599099980829838100635157847416480627818897023055 + 0.0j)	(-0.00000000000000000000511353603524690374361406622516179057589110647051716109334541360077528386473887223016481035837582941615229524813875959831 + 0.0j)	(0.000000000000000000175458914638082643598076975504886843373673795018380578956731675604239555073161018891258553653297219512205526147257254963 + 0.0j)	(0.0000000000000000300476909022696002608509687961013719148583109488379029352745336527106109051801296542096613161718011865046667124729576239 - 0.0000000000000000121715706618319951704598142878327798671323366341919290282028579939717076025251298375028286406650642737563973153217410951j)	(-0.00000000000000000202774797722352429000224853855902885611629502904822685713261191535411678745996106575375514694554768729785755870443278002 + 0.0000000000000000333623111949298357259681139005510782954444755665278474580146025949916370388330068779267142973385514979839775314338762851j)
105.693455355798830166809395586430583989156854235949065917720406648706484442504640629006160424549607431905225327105429108	(0.00000000000000000131742270480888528688942313272826110017578723940132831817208765934664731906417158844224759401713249031176228219859277129 - 1.10308611970931932163687971468078363769347512573425916222579774236388023910890771427580774229905059607993103841221762319e-143j)	(0.00000000000000000331838939386199924177303666722377146859046809150292107252069166533894179792773886033505327126440342248539887568594271268 + 3.48645008772640944650753156971889787426456806676533703565628932092393400360108180675544963574794749388146810951012948609e-143j)	(-0.00000000000000000256104468786130681000374182342338133829188690818591668482791068178943302179988393513877114422875396724908865352800012174 - 9.42796569985898921974014704765309671234129228096127725275194211259112880753956353979280390852615478220093487344348424346e-144j)	(0.00000000000000000284983239955728103032378797219476056932173689455061189339956992410057986402124939284356547558379918425952948143365957817 + 1.46329625482148430043648429722967237525670722248205461705932291484205445697483270211634894772051578098731231055507002316e-143j)	(0.00000000000000000000512568751180333835296187761973135618406459484374120486801170626228079439101556347550097323940077974462393788205741181594 + 0.0j)	(-0.000000000000000033539619930736619410511425550291789031332267518945945144324787614053229599459443894322771718855084782454195318469402854 + 0.0j)	(-0.00000000000000000000512636874978087330061260533775799783770064018955113732977169739136159863735054774596610803829706348126771028553692281046 + 0.0j)	(0.000000000000000000178259241647837654572932950302155947240016135112871021727627465322596056950114679142675294647130518010283283090975983907 + 0.0j)	(0.0000000000000000305748956500664940937763074811525463297189896830606492304720398723252930059609365758593185189858889644377826601092874984 - 0.0000000000000000122438200550079950282026507785648795596491846554148915640944709569186204464965482555114672881602013487805086939827906031j)	(-0.00000000000000000201674048950280697486040461494603899590076348237150162993995781070420307946093194785863881779015877635256901290126979873 + 0.0000000000000000335333357801692555073756990644687363612678055500161784251508594886241349877367819311046305054488745494884381654011519107j)
107.166764803286350653910511571315427878405849203900579427336317258117139049102468551335788816346492830899289385319645615	(0.00000000000000000131299361441062449242936720675930658278070114024990500445546747156593707642387506774237098875029051650716980263018242456 + 9.27378330093263772889492520253649923050526005960265875642305484320881190675114523136939935787413208045078236035009093939e-144j)	(0.00000000000000000333038500519117152813357226581049378176944644910625737904923410111147562759648136808667698268844500447117699356065259086 - 1.4916213694663827809753721920729130135031753078439351682865136642011411600783285447384116966194438750775004897203164321e-143j)	(-0.00000000000000000256661193801076496101883871629962682578101493987798270091879341007178645600365410167240160703819749399480439211023025443 + 1.84013724740210780154741231239673668009742066489983097348199596616289011515319595064856697986573352275606612809840966078e-144j)	(0.00000000000000000285111590049382395194902093864097473454323226980517583269826813877081243685709698158039709902494756372227921515447382234 - 2.23895297135772664488114131875228720400832047880789549598909423129751913085445578593755085331285837133577578507984441172e-144j)	(0.00000000000000000000513809524283351413135213279533373985587572738945714239053078356443824123643908454838354427133247873895980142221433864604 + 0.0j)	(-0.0000000000000000340699281983237390136986967695069880052748785531287528611451560117848581952105306889239716118727436428355560093253126541 + 0.0j)	(-0.00000000000000000000513877228815476163407584796283215219132137650025564886385873401933009987325086250327137503689014079538401898831924455007 + 0.0j)	(0.000000000000000000181105898361131421997780181081643829052693584249450361366542189372103857955301816145283139638278398597413220519176591081 + 0.0j)	(0.0000000000000000311170748051599576376882705855640348088504530497314120554571347623167091880759905773541332468899512302247439052380491512 - 0.0000000000000000123170951977349145054236287503414360124091231542005363239880252703847801752053079144892797996545319687671375923339361595j)	(-0.00000000000000000200406559501136143666813399492989388344828345800983155900043103072623254873899949053333583746592312198218019949686651186 + 0.0000000000000000336850499339369002200399179958141474261252445462643272714438870754969590302853393393670032318203380240999823963534476661j)
108.660611385459731248352566284291661672655359317901808345821563119142453185691423294380801998862784645011991301972345711	(0.00000000000000000130841169885842912497411142032185020661796087087119280484546357665117134173991980719090624971928773926624589859542815802 - 9.08309279336864337792305571735485263263918777531730732119699412517983131850166280662489269229317327402160555556489721329e-144j)	(0.00000000000000000334208844568029854469169884249521841310584100565007902318916832330896632269168920667761385202772131119566649723342101083 + 1.47399788884301825417470455880836262156034246582152133748332046944209264640848453597756892143434463774688901102126748563e-143j)	(-0.00000000000000000257193426021331290608219507990021982254046961876076414279726191787922924768440485853331605189118003755696216733913808869 - 1.86258007990755020118682200261956204045727912966742019164321813401224445896265521412368934952705217930797973709657643518e-144j)	(0.00000000000000000285211810593806768151349434749062175817812906615412659276670198750782335110828020806329489952321210482539996114653570923 + 2.27793409747716992721327648824494129163470938834403528165638146547699360181919958358320958079714851663495552462353778142e-144j)	(0.000000000000000000005150070775240362627848943265685734738942187024777057187100640421020516952669879305985239203470688896463311818955622358 + 0.0j)	(-0.0000000000000000346089724517040883574452880068258953563106677509056323632532404089803876274076949339867291814009994114427586137607180278 + 0.0j)	(-0.00000000000000000000515074357373504594666650203334957597514892012160519877343066525167954491911886618506505821822533209050301716788539049704 + 0.0j)	(0.000000000000000000183999651944208502140865001328824289793381657956689801498937532116011345952838227806758581535306280540820052625849178296 + 0.0j)	(0.0000000000000000316748805540979547149181036445828835656371170972099185825957805702106002930822911396661443023721544798834857009441910748 - 0.0000000000000000123919756029755319505607593784968111037160299021220492177333988344207530255306635193869494925107702352677960781557685302j)	(-0.0000000000000000019897967373787138928146510681536939883608506647919836550297085650532557672795077842672811126128977108184322151500524618 + 0.0000000000000000338151987788204116660172072762615316180604690319231166211845265559921625178392329468658636824250235133021543479821879465j)
110.175281378838697268004571171618583794893827072998374301789548393603798983099000358678539681738589330646884655658050483	(0.0000000000000000013036792526076571678407113833428940978413660560986337152536784223779874132688054349803721409967725439864890305308738476 + 2.61592439527391149784041948742702628247283531619761864078335119512182740853543121258960946249728856310496496326425667628e-144j)	(0.00000000000000000335349613681343772909096498955127745566889670225931494272940408423643352951691099313588825129484771950190216733318548126 - 4.28433792660442380280111557145859361555494262052897836143044274190909545944695581138429355430481306808373501439721334297e-144j)	(-0.00000000000000000257701038108430460017365113069944185437086594331763161832748659320408004865102984529969840478568239924022873390991299313 + 5.54470503364689639748318851215534230772735306168396682455955972741777820641222407424997540988208360423188706102440049162e-145j)	(0.00000000000000000285283959006669286256705834006564300303267988154124942047638800038935147361669412511308271491036650748738914556457048075 - 6.81702387158103765325202231490038585186369910015972541410522596929597307253286443722615769281271124289263759507768086435e-145j)	(0.00000000000000000000516161118926942555655840951018036227022998782749420771632919685445083455386533384341392444943096422381056480793436487841 + 0.0j)	(-0.0000000000000000351568979590579679681357441293760214721915877796772237212382466035183383630416767307914878149062752302964849307914697532 + 0.0j)	(-0.0000000000000000000051622796886030405598306773412624283176908117153923318222356808468828497298150376818635488290084920728604662426219714115 + 0.0j)	(0.000000000000000000186941281742628887994953310076891165441992941430964380058680899865622313801695768128372973954844087532316205749908402238 + 0.0j)	(0.000000000000000032248969210537156809671815859966680354491388116139048785356920296383797961384565263230785737048902328464489224751957266 - 0.0000000000000000124691681767766457866530612223670402749563284506223293915175519874264938981965161106100776254640606169727054522152288673j)	(-0.00000000000000000197404285236622193332401868516246248568207235461077573270137503175827046806156281486944247752390668404173920227608136495 + 0.0000000000000000339212588246668228761035961937277066262860364030269652870082978148427382132033697804342555368856641259733778147358240133j)
111.711065050482404171694302400532746721070466972854540023523868599163664163307694746151915932036463433834633528147587677	(0.00000000000000000129879863895730677763029194311027383255957601479716276912934144718589043661723122413443303483139109517550127925110624032 - 3.07302266216741160150952918622699207161421679456802406928042628270971560124689283260689184268850245728809570729073172389e-144j)	(0.0000000000000000033646046240189264863260167661723994342299494152983639995764968412093802711394344031623560844882985696541041156868685051 + 5.08111705486769993947802704339788147244126053242361337343025784181359576677175045946250911752021257845237489995570544248e-144j)	(-0.00000000000000000258183913571777960898970275433430415158863062717865273251958077724767204183785492551118270109096581828859933904819168433 - 6.7340923696970272304761573375935969019162883514028797511604161231714723371873061141001260735895191364696028026657150754e-145j)	(0.00000000000000000285328104670418007313496443732778953931430545447322494849526069555811294001073812768809520761600981915761608940831497913 + 8.32426294831492791388412270787100724954500653364905842923507327216094674500292540324850070405943877971066538818416267541e-145j)	(0.00000000000000000000517271372538585833399860857228629958744578450767687420073706302100785515483280580676609509763109552426425242438637862931 + 0.0j)	(-0.0000000000000000357138523156151424259766907053911682697118739111429675902267040754192312342016080924625808397275158477558251553391917116 + 0.0j)	(-0.00000000000000000000517337787506831373144176449185106316673120896758454331939351926361343851731179532959876685536106859064662271013833660509 + 0.0j)	(0.000000000000000000189931579465087093672292683493950717184841231745283311135311093477093725345930139046965426369452541066342609197133523088 + 0.0j)	(0.0000000000000000328399859928589387815409633975575393199447898811687250638794938788254965914108864688570171420834558351019703996355135785 - 0.00000000000000001254953429068411486590789158235617950327513637153383735365848628425930560304550028569822537760185455638765766299742993j)	(-0.00000000000000000195695481077271276624497733940238773829827831582479935481914444271706736097704715612031079286358526680759242217919630877 + 0.0000000000000000340003959072292522437659962275661563352388288931086423480068140337182375310383502198506307008877681219497637967297588889j)
113.268256713615393047241982102102600412040265953847870639615348943102656532119922909523461075638198425767143157027105738	(0.00000000000000000129377228751953674561397121211189121946703227859039765394429603482189508491944557801164403877593329869751426580204874616 - 9.02257486604517594679755701828114414804808195425254125053862506393352362996806302637180993038012130499417664651946930638e-144j)	(0.00000000000000000337541057909142913468525642277413852431210713133192735028691009668688632838386932691359116890638911097854945147882978065 + 1.50662142420187359597717907365772758304042518145361786662451521186206826513964489192863703775677625093232630041967237221e-143j)	(-0.00000000000000000258641946813234450155304650105658919218130688784091489794519487750400534127809096516217083964282607766566700781092995586 - 2.04454150438147635980911063682591262739883720571967799351031850448063188156803897422173401190100801149841533344366113168e-144j)	(0.00000000000000000285344328800516706172222797362638891648841869432947560597688999383062115882941244000392812281551926639665278270259461626 + 2.54140978466357981165052386213945647556070320778860071868240931531985917077686737876303999530893712615388585009774624359e-144j)	(0.00000000000000000000518337578565797372076973653411510911551929412155195076591904512778533940912931893965870823238344046543315771542448641627 + 0.0j)	(-0.0000000000000000362799854787217894034331167153655544061889660823150327316262704697001312968107346786137527241689243334791647289458933653 + 0.0j)	(-0.00000000000000000000518403553705061445771369862963642014401304437126537691268489025475458533067521615529203699345661438741724824362083741287 + 0.0j)	(0.000000000000000000192971349370093162677228920696616731011665157326508102908259252749881066279598927368695077564649075216768054042630188394 + 0.0j)	(0.0000000000000000334485413640322479785491310331203800803930514287599955032360297602625481477030429304980185907952758378135789093910388752 - 0.0000000000000000126341236719021329300771995827287964530756711206762789705781124151653609188558970346427684740694258097710768239362418985j)	(-0.00000000000000000193873248237777544810923947935360094637918415015584209586928340665407261594224579606103632793549913628834483190259742522 + 0.0000000000000000340494141711373168446786899322725847498143925708610892950394733128106827273539219296206906877370059511140343274554859989j)
