	m6	Whl2l3	Whl1l3	Whl1l2
0	0.0000000001	(0.00000000000095651437675898327830663794377426043813186117546717681083674823668244671084435607 + 9.5195918719982087917834832142332019034133028717467709283576843202754257788639129e-42j)	(0.00000000000012552701507868917899619062314722332015683940277958010639329162731527723793052821 - 1.6935637551763835861163964121881622669162046678209376164930247353875611530084096e-47j)	(0.0000000000000023246896024879900732241981224711440430423057388345616922130900778552800866843093 - 1.0728846823612670718007770287789340378668390197238964188777721699454941381862767e-49j)
1	0.00000000011222773562085078591615155244300628084626992413280747242901576764119897739408158	(0.00000000000046066327113672351950512875415179210478449010262306894175102358745010846640033048 + 1.3235164971320303780155493673869910182385964530503340640785345310913660874773e-41j)	(0.000000000000054013844633578704407979194246377729871064529937959659795551869284545730349614067 + 1.1912838740097609186178233628653775074526416980450272511008914921799331656672795e-47j)	(0.0000000000000010097626392970339875301679821944403570710654817519776466831846097703172667412545 + 5.9097674386232131687896847840081889365166373902654014646058695533400688875413062e-50j)
2	0.00000000012595064642583580338134875667527669846053415058498424765425396465788522683507248	(0.00000000000050704098587171934770893549053327748673758265374132853852281242115813334377168544 + 9.4757122963436695442709120307448433437744845580140128782886596448379445311544796e-42j)	(0.000000000000001245518791095747764739073423750576612171404505791776614310421729832851734087915 + 8.9970073612290230239422703098645838367242554251762051336033496625226092812800364e-48j)	(0.00000000000000040660865006922634493598317432349956032851154022367396377961001292635730470484615 + 4.4414686551962171110796266461022792168637331411003524748853465150564500553842852e-50j)
3	0.00000000014135155848353955515521595271378115915405833365110591402934393024752544796116287	(0.0000000000012773903785270001192441077493442514079159462166449947619365535142773739168955783 - 1.006700876366541996965592743656583158958086931558298801529979058304441759958829e-41j)	(0.000000000000052989600300496545514066616518040646679198032579476495764530119327507761059182086 - 5.1851429287423169823787922140428512997308410249562198387506197381123647576542559e-47j)	(0.00000000000000023657982139511392582003419115077525621569452916213507891548720093877089225809295 + 1.5531747097576049305139260325830535480247382458739804534577843209298243931484577e-49j)
4	0.00000000015863565335085905232955851950534541988865964032520329713736163003803828943225081	(0.0000000000024298028808608448312889671652751846797033664484420834676687282600360943349400259 + 3.4651951259980118124596040623753963517172934103464895644715455536870922865162837e-43j)	(0.00000000000010156317583023977453176251965128726633132327492513746016127422688159104101474253 - 3.7275843166850629628468156637145759525007856925865795174532755566161427344522189e-48j)	(0.00000000000000045275060578739072714484907951764308879312966667847952311801619158578906960317494 + 2.4319447197331725337584174768925444732351723900882792631029375761341264253055011e-50j)
5	0.00000000017803320164301141804395849347400834530616178276118547949736540812133627824132132	(0.0000000000042769081482835560897604159181771227369525951604303096104888902038907698331149213 - 1.0365337451419964629495711076943533268582510982873495672443198980157928125947271e-42j)	(0.00000000000018143648253953038205440543141454724509895427713196465627581016975113321326048913 + 3.7259267219103088219593623493872746741401613992447919928359510451416007736143713e-48j)	(0.00000000000000080644416556495133667465709743849295210157915393860424972479906445923963519708891 + 1.7988058439797480758126748246335028517451675990444758209240524836140448450611104e-50j)
6	0.00000000019980263085725503185443914884798720267281775075257133722523103377587770891309259	(0.0000000000089329728843679821647959900034677641218762787875486351835703093900076606753136437 - 2.1793137063456001264997286197520897054915484632430276741009924180609582163520896e-42j)	(0.00000000000039586254706114509305838330729346519333495968357609746896622626614396214433270973 + 1.2577386786662717904912825208513961346742247609634372749204812584139621609401416e-47j)	(0.0000000000000017484779467768073540374847439005107982058739346370505261217612078388944424866794 + 6.5628911912473553539310591808920167131070208961713663153376619735875249045346581e-50j)
7	0.00000000022423396832198460938218055284637122654587566920992254986624256218002839990087204	(0.0000000000089311768350797737195149527697909535512698745845686595154237984908643282672784425 + 1.9529336212646325552199470482904309591234007679943301516992163168901904339401948e-42j)	(0.00000000000058551860197455415788671857293487805174816898269539005258761568550410286138116312 - 7.8000835495176002463997923838530010233535642834783324628624306665449269739148758e-48j)	(0.0000000000000024190528203400123588403462811303948152145657587895901472494433951070949498846318 - 4.3934666090180877188322521680828914714101301345672736980357290789095355739925166e-50j)
8	0.00000000025165270514053918877623448488483298922140242363376786287854012161974340682603834	(0.0000000000025896214818557786783446096771816662737439510882291808496180367163700937087450375 - 7.4783496565786798784858558452664623104537565822216909694322760468068198143037313e-44j)	(0.000000000000093024918707559103611269271895875379128915859248763386105101495726747105405309779 + 1.0086219802263004562977282632411724567639041798255834646347254831906871998142868e-48j)	(0.00000000000000042787502107356965817427417565556064372840294484069527996910620713782052057951712 + 4.6652196828888527237840276755058869963751147806527519300978136367527904436659424e-51j)
9	0.00000000028242413260784349599523525233491996401798066424170014477434664519635777470588315	(0.0000000000013727012866189121671685462956267788760948178793382746056890300093344929909664726 - 1.7290127557485835884901202587776911348502395265245356991841237438249866477880411e-44j)	(0.000000000000052595647080624141484552450573619073007050271992935398176958980655439451748981856 + 5.6979590341008051700344210534907703320906589093422948885190432796655254020782165e-49j)	(0.00000000000000023869193534606400064416451886445217039646717066304980763876243931632681561986538 + 2.4702403388459294563078231162128203062699915839953614831766840478829468195283819e-51j)
