	m6	Whl2l3	Whl1l3	Whl1l2
0	0.0000000001	(1.3406395629825728334498661873544602812198960346720318767470094453453458562788971e-57 + 1.9883324512275490281833325927050256587475979932276230074110620826046102479227107e-64j)	(4.606334987805845320961861721375621749876326993794938185925716720793542980629132e-59 + 5.8662025618715072424860487271825442730511060745086029207585779720434330606372288e-70j)	(2.8604530430859675579313584187168519588864295640224504398350404223187147366698382e-61 - 1.1882829863712352451198277055801326550812842941857455003545055574742271315825557e-72j)
1	0.00000000011222773562085078591615155244300628084626992413280747242901576764119897739408158	(2.6440184700799276496122026524455419250014435446331931896376445517651361267787471e-57 + 3.647502354883875146744098402620701438395381889072648577649814218531265014367058e-64j)	(8.5465234257143108654158063062271057181854455673202928408452813978123085307795882e-59 + 6.2162541277208403498009340949320084063961230798200512163310134923379312888744257e-70j)	(6.2002953099607995889201298045956014051041314001257875946531181562259198401357761e-61 + 3.513172948113086065114466283095023977101251923428918510946110920080815950264212e-73j)
2	0.00000000012595064642583580338134875667527669846053415058498424765425396465788522683507248	(2.5835235326508434240224525061929038277380695595615383623480676806770348498196379e-58 + 1.9174864590038195165839403759613651838772871598256975494310133121136965384976553e-64j)	(3.6480995506967801361168399406237015458722077322880865057368353040235636518453322e-59 - 7.6844778295641061399945055707873524666659216603087431997508712633067288211955431e-71j)	(1.0618997990449958974333850627079269555175002657100058435571580665191604326301123e-62 + 1.8914732631124092828126537825617375565462391209566636936940393467930016397499565e-72j)
3	0.00000000014135155848353955515521595271378115915405833365110591402934393024752544796116287	(6.2101427700410702281683427956040550994629485929501968256550723687852997576202558e-58 - 2.7154191001206179103185089203557511200651508659739634476480259557496552514084382e-65j)	(1.2232165481493220074743741966836983318376656295600983513717130532214367362509323e-59 + 8.5813598209909196232520463031414505111187091030564406622326110791587325140920346e-70j)	(4.0761592657405323118001213513231880949343940601801325608837132957704135570917907e-61 + 3.0507450127134825022423839813213239040052825209781328114606376182752774074586212e-72j)
4	0.00000000015863565335085905232955851950534541988865964032520329713736163003803828943225081	(1.8435862373890987568085871987316567017125492800290054366453102086296050932952743e-57 - 1.0397143728310502945921840564516564528030405408294405608083490165987405369030206e-64j)	(1.903396610406570585383147875683849183452096987989533046767382161808040062116109e-58 - 4.0054596876945279062408741951092636740712589805079555234244534356525664665348565e-70j)	(8.8589415806955713618227188316646262912252923290725086674095252515333315013958213e-62 + 1.175634292922650551497536766581920927310181431988549654283331186586740843567481e-72j)
5	0.00000000017803320164301141804395849347400834530616178276118547949736540812133627824132132	(3.0889287455691231339830840143010452168714146115821210724386856348994903832380942e-57 + 2.2222406762929273021599502976032082959220673337625162291879469506142874081705606e-64j)	(7.1732235301941778680813322446770014789123167197028865583730932173530821942971283e-59 + 1.4298803352872942845803243712121471213141820053782418184600669016800102359587803e-69j)	(1.2571314183292282148804246878530170453478319889007751471103362029752845516427593e-60 - 3.4523536825766910510995962775348861308510884317665979506044512072933826923519342e-72j)
6	0.00000000019980263085725503185443914884798720267281775075257133722523103377587770891309259	(1.7865081257382559369354995082273613917285025725529706363385090318201587036385808e-56 + 8.2680574578790860590585813433626401190158146704407560992500026978463106007420949e-65j)	(1.0420795077453045602479830840456501705018891819824986907360234479788491316268879e-57 - 7.4648312692765541152193329483436055783354231281330263102767197897432019321852529e-70j)	(2.2506468389067274497953487270060452352675911118183425423349662353616406429035013e-60 - 2.3225968918180851053015324443956684313129948101561863971606522090358618166784382e-72j)
7	0.00000000022423396832198460938218055284637122654587566920992254986624256218002839990087204	(3.2775690099903810568241326982195305836648269345888320369101406371316052934832753e-56 - 3.8178375162261807568708786942204015995587018503649554514454807234717009881034125e-64j)	(1.5529193223866646278445799015286791990233031578648094909896141390986670902907965e-57 + 1.6679218143404153984211858535971499009568893003215232557951561738909237178218653e-69j)	(2.2774302844504680425335919478282019477285728529325131261766632660067850747612589e-60 + 5.3317873800323093409025010160283604750349532079101037444612139525709219701322252e-72j)
8	0.00000000025165270514053918877623448488483298922140242363376786287854012161974340682603834	(2.5879833919889499729639105575187636169440823224930690177796425029568267767834261e-56 + 9.2172542286689959461647454811712565245953802391316376783839897184798099509669759e-65j)	(1.8869596401523242370756133000251156938032772271152813736385946723316378652883513e-57 - 4.5236760777812649505953228118918879137015332447494825360256210980830572971695672e-70j)	(2.4871972128814142985475533273705775135423348513118885570324074781457814934609112e-60 - 1.3836856800995063812395821343944768942846537223618049681795400710823257687856345e-72j)
9	0.00000000028242413260784349599523525233491996401798066424170014477434664519635777470588315	(2.1318162157315486561050725111674346708851569093787472844461048316565123234825455e-56 + 6.0275826642280602271659023857766614520494807333710885640204492187362215512723471e-65j)	(1.6818111021844405659202218736945118725589898726361935607572847449943096740818182e-57 - 3.0132080681315236838391452596514352951433069519576355795983452620762291936760236e-70j)	(1.593298119956369036999383238258907166001762120978137340936798142085483831898814e-60 - 7.8537371317030785483021209934070686797109884728435329784701679386635671003973084e-73j)
10	0.00000000031695820887261163481293862343532982476802668084482837363476233002883194841822801	(1.4614314730501092019090043719992496345460919821618239589793950203445127929042943e-56 + 3.5954890121580128734057857148750665595993484264410796250535798657544731261750156e-65j)	(1.3755939288805170371459052170890334318288429499106569272714068823122359885668206e-57 - 1.9440780641825189416718480723889126402155239799543919868880250984227546283427815e-70j)	(6.7572847192468129795567622891855061355402987346420616773863536780723606828525897e-61 - 3.6591188162948521393795441576611274738834400301839725696182076611744829872016651e-73j)
11	0.00000000035571502068213860390839903994109054551788276392039801030402136019045065053534443	(6.6593365087967557503654194806289169143854458866168573461552853121196641513186628e-57 + 1.3937376108178493287355036994633704981741131934239218409819753475854856014641109e-65j)	(9.3435628239917297065813928225519005370396336651711747282155195637183965413666698e-58 - 9.0863664731113627771805519237009288190889944213210842060432390711861757092299916e-71j)	(3.4019895907371599835235167644090907776058760412297638019478889141374496410958823e-62 - 4.6606356719153811574069083007237746098025431701333563117222851657381996971798418e-74j)
12	0.00000000039921091297480520625387627869334106397400058735948623090341495179009473943615496	(5.5207103198923736783215779142914440377560761647490373191780199768851893471091894e-58 + 2.8145397322473412531377711245933816437244852644624437618930951655997743889484268e-67j)	(4.1881570215973396804227733891186315584811968839418571037366458256477421299475463e-58 - 3.0497186818007218430392981966785208899097951243792742141752231256981327664955049e-72j)	(5.1545502216082606528825502246475400031649468907880544468189041235854963924151751e-61 + 1.1277830316931106541164531591618147531209110590837706038211520815970161563057271e-74j)
