	m6	Whl2l3	Whl1l3	Whl1l2
0	0.0000000001	(0.00000000000095651437675898327830659896857661146863464008621388818245508060598631261915168926 - 1.8060016260363143998082451234230467185486382317012314036759301685603609440844446e-43j)	(0.0000000000001255270150786891789961932711921063332578816657230377515205190362600975345178754 - 7.4819090631071120058110427350070858840835780555444006256326250526534617995957689e-49j)	(0.0000000000000023246896024879900732241705623861129611058254918551381040591810985755266058575314 + 6.4380828891729497314970251725884670238066892606094343324407391644486062848328055e-54j)
1	0.00000000011222773562085078591615155244300628084626992413280747242901576764119897739408158	(0.00000000000046066327113672351950509081620692454759712075675698287929959204665305043217897336 - 3.4328230246592874847848508770789826928501362093514715450166010939899343486086067e-43j)	(0.000000000000054013844633578704407981262585754939723922862131012198137095096614461980218731943 - 6.2450363045864460573587721874363546332432464210507080678237565723741576956712276e-49j)	(0.0000000000000010097626392970339875301412229233905743150986316649247317259001629416067795402992 - 4.8751506392001025127602243414947808101789096270948144988626270258555479547889702e-55j)
2	0.00000000012595064642583580338134875667527669846053415058498424765425396465788522683507248	(0.00000000000050704098587171934770899228955857851338766057462923725783576580584507297370141351 - 1.8826123942315214650070796635477448469223899080906034355589278979768108456172577e-43j)	(0.000000000000001245518791095747764738769695806506452872556471802872901349605284819665098994126 - 2.0209183520161871111260051555791329862890665401939132987615820836833640536677528e-49j)	(0.00000000000000040660865006922634493600219049892429406564477204811730288510795096657099106200086 - 2.4957079465374516936883843219241490173587877964631635283590555623791737638457709e-54j)
3	0.00000000014135155848353955515521595271378115915405833365110591402934393024752544796116287	(0.0000000000012773903785270001192441070193344583716925953038922115606963994366560733583331864 + 7.2406693577492294137192830012678643971477919621666593965099240083382482803174669e-98j)	(0.000000000000052989600300496545514067519187316032724554829364137622684071902912369177019398742 + 6.3693656804508363600038561577586926148279622843229119507834709119994223903386595e-104j)	(0.00000000000000023657982139511392582002950587212021728356240226805861874075094404232544728065476 + 3.5900669737840883742740541419020137659154343230803984007536481735574019628606882e-107j)
4	0.00000000015863565335085905232955851950534541988865964032520329713736163003803828943225081	(0.0000000000024298028808608448312891669385048371280049894974469467313190817262699082809980951 - 4.1897547649268004468712199255536948132853600190441415232844532478957157059789317e-96j)	(0.00000000000010156317583023977453177250748803370691660063521887385502853337725046535707492681 - 4.1105384105052073500773229161513352772561330974361932358186242829034380288444552e-102j)	(0.0000000000000004527506057873907271448801230951157838040221234038864307388316467317968195619364 + 1.5907090363341840436640999856864642611422678873451727914698395461105583338501164e-105j)
5	0.00000000017803320164301141804395849347400834530616178276118547949736540812133627824132132	(0.0000000000042769081482835560897602515065662672231393669039321964016864660330338059059747269 - 5.6001067825943691328161402237855266369345752297236411927137322441988692809648127e-96j)	(0.00000000000018143648253953038205440102905616992833280364430569108532013461093450007591482325 - 1.5205174110096204575583289781383300397171667142125459447559927929344970981002099e-105j)	(0.00000000000000080644416556495133667461738742037972239545129357557287248171780690710642554039286 + 2.3179423741972446883198104591137626856424438087115111656758634178245923523161936e-104j)
6	0.00000000019980263085725503185443914884798720267281775075257133722523103377587770891309259	(0.0000000000089329728843679821647967942864418285029580526572370186775041313161087051098032077 - 1.6897468605023892637843580521202714853032277476474850806792955227562929221606165e-99j)	(0.0000000000003958625470611450930584206955707382358007894557584125534413182105987856033331576 - 1.1238231734058502036401169165867968741188781151890628409804895713597750955516768e-101j)	(0.00000000000000174847794677680735403762867305574527222994218734624407958800262100814526845557 - 4.9500182268698559333390554923368410977123055153337026679372517089871543769461366e-104j)
7	0.00000000022423396832198460938218055284637122654587566920992254986624256218002839990087204	(0.0000000000089311768350797737195159832472483602252110359912842824802924941389500004875654177 + 0.0j)	(0.00000000000058551860197455415788677230088688864793614729297940556462942042581062997561513651 + 0.0j)	(0.000000000000002419052820340012358840534045166390549317455222709469520524114634716857211684298 + 0.0j)
8	0.00000000025165270514053918877623448488483298922140242363376786287854012161974340682603834	(0.0000000000025896214818557786783451060804865475101995987435660609457857823827367873150351034 + 0.0j)	(0.0000000000000930249187075591036112909991845104364511581150982225660031213046118163947612366 + 0.0j)	(0.00000000000000042787502107356965817435163093508754105021035373747022354753942824457692713191852 + 0.0j)
9	0.00000000028242413260784349599523525233491996401798066424170014477434664519635777470588315	(0.0000000000013727012866189121671689163376134441916298000482746380905672124119413173731033535 + 0.0j)	(0.000000000000052595647080624141484569174054759466197804286749506478238928776947292200339289689 + 0.0j)	(0.0000000000000002386919353460640006442223414779640471240202769703496722428910011561852507271847 + 0.0j)
10	0.00000000031695820887261163481293862343532982476802668084482837363476233002883194841822801	(0.00000000000059963694688577396268707797928699419890437299163026143108185783845114872511831283 + 0.0j)	(0.000000000000023417213095807452883561713262423291883711844098928208603931695128130811284534262 + 0.0j)	(0.00000000000000010585403432847501469800864058119374045428593900991392536793193359499591600336345 + 0.0j)
11	0.00000000035571502068213860390839903994109054551788276392039801030402136019045065053534443	(0.00000000000015558080251357301336156727372016803898537112064008760535715029791275991720632228 + 0.0j)	(0.0000000000000061312201261108066340870362163551892526667803580137163789246672518552794943919301 + 0.0j)	(0.00000000000000002766322556301854729958770170849145977176799191627261087145503319088410075590145 + 0.0j)
12	0.00000000039921091297480520625387627869334106397400058735948623090341495179009473943615496	(0.00000000000000045535393095990199219206906787355216261576784902365381576012779006917745999749665 + 0.0j)	(0.000000000000000018039992373988559249182006288117512431322037856839547325611556667453943943474721 + 0.0j)	(0.000000000000000000081305067577230368890626772344004444030161169139408269913073116961603921469631259 + 0.0j)
13	0.00000000044802536798294909430792564926846092549312994573246876469403437229144266020676736	(1.4184325963214165455006906037166838808206662451224553760585998096553468792628411e-58 + 0.0j)	(3.1621985081853979940425181286262478134006952519677950180200321807957972385229886e-60 + 0.0j)	(3.2381484815627826937842992755639365808222114537191018636816794219592478727796757e-62 + 0.0j)
14	0.00000000050280872549424797297066836393346421956164598553599062317495266502964427344097618	(1.7848332301378692024246944480333725552831921574208045675229446090214005590278697e-58 + 0.0j)	(3.9790716661232594159746579365634103233819389030599409227886924683198008694591546e-60 + 0.0j)	(4.0784532087486065019868312314644328483662147340950600825184209189754175632071661e-62 + 0.0j)
15	0.00000000056429084712625397923441693367351286755894900288358515611190216974918209627383828	(2.2458636553527243138622012041501252514534055070034009151579763563120146465159877e-58 + 0.0j)	(5.0069222489726787850023210990943669896498252340408650106293686874899730327215647e-60 + 0.0j)	(5.1368182273905108211981229242314483202876593886435875279734077112041175981290314e-62 + 0.0j)
16	0.00000000063329084004551159047841359252981743430768906767986536160186068718062423738149838	(2.8259601311675454685405735341042638512780398340543953580249883764627052387997341e-58 + 0.0j)	(6.300231133633150397225736127712477528399049584603055330885240660531818565932757e-60 + 0.0j)	(6.4698304697202869743025337269043035130327785623389286817148536820337996469857149e-62 + 0.0j)
17	0.00000000071072796967734178471395616813586949086029673994717964482391640443962315182742734	(3.5558683348053778954136549198738840092943403254071106319185588421261110387553869e-58 + 0.0j)	(7.9275458975638313760460686369868046086470307786116431105982234590883008299800128e-60 + 0.0j)	(8.1487612455196280637760838367384256280855467289079271582518950696141560947666812e-62 + 0.0j)
18	0.00000000079763390679292767866073300176691062497921373420570236465234675869913458308121983	(4.4742722979836102609185225805738251786120726496662833556027521675644572618666504e-58 + 0.0j)	(9.9751123883794304421033529713149221659433750701730071721228784356844604069750564e-60 + 0.0j)	(1.0263376854836632143775063661445356180779281692433309214653120756088469402995607e-61 + 0.0j)
19	0.00000000089516647213783025300661421962316076165247456060289809982022551621699459845854245	(5.6298438669044097046916603517239448372114152868495812094937741883414424733950211e-58 + 0.0j)	(1.2551443775926083739921263946245203970126509614826164599479912745463765449513547e-59 + 0.0j)	(1.2926738058862499593376440292039210771287538140095739500737771743150810191826221e-61 + 0.0j)
20	0.0000000010046250617173410486196994780700724803095241382598130638987566943674260308057058	(7.0838212423796243699283068939875898746616801966639560699111529687473617370563624e-58 + 0.0j)	(1.5793069083131789925372827019699945868475330231161207767650872840142466300921432e-59 + 0.0j)	(1.6281245018711073508910527263104261963802780836475860990768679165808384512345433e-61 + 0.0j)
21	0.0000000011274679582449465522738719686824299241746355618104106786864299376269084130082079	(8.9132531792841985449917471455976351563137165364824572805916428342575211543058777e-58 + 0.0j)	(1.9871765657120098411009582327450414964189335751825742588863130694644533075754951e-59 + 0.0j)	(2.0506250902340150196116106814529588203365925739221800209364729471970520884437067e-61 + 0.0j)
